"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"HP_REDUCED_CONTRAST_SENSITIVITY","HP_REDUCED_CONTRAST_SENSITIVITY","16","-0.7513371333209372","-2.161060207946253","0.000015561919359584490","0.017292404792370285","0.017292404792370285","2896","tags=88%, list=19%, signal=71%","MT-CO3/MT-ND2/MT-ATP6/MT-CO1/ADGRV1/MT-ND6/MT-CYB/MT-ND4L/MT-ND1/MT-ND4/MT-ND5/WHRN/MYO7A/PDZD7","0.5756102610711286"
"HP_LOW_PLASMA_CITRULLINE","HP_LOW_PLASMA_CITRULLINE","15","-0.7549159117682255","-2.153607586101825","0.000111427688587746260","0.055016742909656906","0.055016742909656906","2758","tags=80%, list=18%, signal=66%","PCK1/CPS1/MT-ND2/MT-ATP6/MT-ND6/NAGS/CA5A/MT-ND1/MT-ND4/MT-ND5/OTC/MRM2","0.5384340963099162"
"HP_ABNORMALITY_OF_CHROMOSOME_STABILITY","HP_ABNORMALITY_OF_CHROMOSOME_STABILITY","56","-0.5417962366853877","-2.095006489336528","0.000007117166038106247","0.010760534459600356","0.010760534459600356","3472","tags=54%, list=23%, signal=42%","RFWD3/FANCD2/SUFU/MAD2L2/RAD50/CDCA7/FAAP100/RAD51/TOP3A/BRCA2/FANCB/TRAF7/RAD51C/UBE2T/BRIP1/FANCI/TERT/BRCA1/NF2/DNMT3B/BLM/AKT1/XRCC2/UHRF1/SLX4/MCM4/FANCM/FANCA/HELLS/DCLRE1B","0.6105268783859310"
"HP_ORAL_MUCOSAL_BLISTERS","HP_ORAL_MUCOSAL_BLISTERS","13","0.7316008028898331","2.065838452898746","0.000654462961489523168","0.108580207313998464","0.108580207313998464","2625","tags=69%, list=17%, signal=57%","DSG3/MMP1/LAMA3/LAMB3/KRT5/LAMC2/COL17A1/PLEC/HLA-DQB1","0.4772708153628621"
"HP_BLISTERING_BY_ANATOMICAL_LOCATION","HP_BLISTERING_BY_ANATOMICAL_LOCATION","21","0.6372401818286023","2.046016682059408","0.000353280916525359871","0.097037902166768150","0.097037902166768150","3627","tags=71%, list=24%, signal=55%","DSG3/MMP1/LAMA3/FBXO28/LAMB3/CD151/KRT5/KRT17/LAMC2/COL17A1/PLEC/HLA-DQB1/PKP1/COL7A1/KRT6B","0.4984931087665903"
"HP_ABNORMAL_CIRCULATING_CITRULLINE_CONCENTRATION","HP_ABNORMAL_CIRCULATING_CITRULLINE_CONCENTRATION","21","-0.6573156160677670","-2.032102432638203","0.000097205915851556908","0.054007606847125023","0.054007606847125023","3923","tags=71%, list=26%, signal=53%","SLC25A15/SLC25A13/AASS/PCK1/CPS1/MT-ND2/MT-ATP6/MT-ND6/NAGS/CA5A/MT-ND1/MT-ND4/MT-ND5/OTC/MRM2","0.5384340963099162"
"HP_RETICULOCYTOSIS","HP_RETICULOCYTOSIS","40","-0.5609960828166345","-2.024796176481023","0.000057685459715186499","0.040062551772197023","0.040062551772197023","3066","tags=50%, list=20%, signal=40%","PIEZO1/CASK/NHLRC2/ANK1/BCL11A/AMN/GPI/MTTP/GALE/PFKM/UROS/ABCG8/HK1/FASLG/ADAMTS13/CLCN7/EPB41/CDAN1/PKLR/ABCB6","0.5573322387586460"
"HP_ABSENT_TESTIS","HP_ABSENT_TESTIS","26","-0.6170761295877654","-2.024467092667529","0.000338608649939433498","0.097037902166768150","0.097037902166768150","3711","tags=69%, list=24%, signal=52%","FANCG/RFWD3/FANCD2/MAD2L2/FAAP100/RAD51/BRCA2/FANCB/RAD51C/UBE2T/BRIP1/FANCI/DHX37/BRCA1/XRCC2/SLX4/FANCM/FANCA","0.4984931087665903"
"HP_SMALL_INTESTINAL_STENOSIS","HP_SMALL_INTESTINAL_STENOSIS","27","-0.6059246516120780","-2.014218308681382","0.000225646983283576470","0.078355914945221927","0.078355914945221927","3711","tags=67%, list=24%, signal=51%","FANCG/RFWD3/FANCD2/MAD2L2/FAAP100/RAD51/BRCA2/FANCB/RAD51C/UBE2T/BRIP1/FANCI/BRCA1/CDC45/XRCC2/SLX4/FANCM/FANCA","0.5188480777437918"
"HP_PSYCHOTIC_EPISODES","HP_PSYCHOTIC_EPISODES","17","-0.6799211490300971","-2.008590316199437","0.000745472363089911172","0.118161900679537954","0.118161900679537954","1576","tags=41%, list=10%, signal=37%","NAGS/PARK7/ATP13A2/PITRM1/KDM1A/MTHFR/USP48","0.4772708153628621"
"HP_OCULAR_ALBINISM","HP_OCULAR_ALBINISM","26","-0.6094160678178966","-1.999336412290605","0.000454101054056150447","0.097037902166768150","0.097037902166768150","1320","tags=35%, list=9%, signal=32%","CASZ1/HPS1/RERE/BLOC1S3/UBE4B/SKI/SPEN/PRKCZ/KCNAB2","0.4984931087665903"
"HP_LOBULATED_TONGUE","HP_LOBULATED_TONGUE","19","0.6448274598467192","1.999060062130880","0.000310438510509444680","0.097037902166768150","0.097037902166768150","3783","tags=79%, list=25%, signal=59%","CPLANE1/TOPORS/OFD1/DDX59/MKS1/KIAA0753/PDE6D/SCNM1/C2CD3/TMEM231/NEK1/KIF7/TMEM216/RAB34/ZRSR2","0.4984931087665903"
"HP_LEBER_OPTIC_ATROPHY","HP_LEBER_OPTIC_ATROPHY","10","-0.8003060362792167","-1.979473930340380","0.000128728880098189305","0.055016742909656906","0.055016742909656906","2896","tags=90%, list=19%, signal=73%","MT-CO3/MT-ND2/MT-ATP6/MT-ND6/MT-CYB/MT-ND4L/MT-ND1/MT-ND4/MT-ND5","0.5188480777437918"
"HP_HYPOPLASIA_OF_TEETH","HP_HYPOPLASIA_OF_TEETH","118","0.4185195082877198","1.976627323178400","0.000004466543707640733","0.010760534459600356","0.010760534459600356","3713","tags=47%, list=24%, signal=36%","EDAR/IRF6/TARS1/TGFA/DLX3/MMP1/WNT10A/SUMO1/FOSL2/LAMA3/CSTB/GTF2H5/DNAJC21/RNF113A/ERCC8/NECTIN4/FBXO28/OFD1/DDX59/FGFR1/COG6/FLNA/C12orf57/LAMB3/CTSK/GJA1/FLNB/GNAS/LMNA/EDA/KRT5/LAMC2/IFT43/RAP1B/COL17A1/SCUBE3/NF1/PLEC/HLA-DQB1/SEC23A/PCNT/SMCHD1/ITGB6/OCRL/PGAP1/RUNX2/PPP1R15B/NEK1/RHOA/KCNJ2/KIF7/MSX1/COL7A1/LRP6/SMOC2","0.6105268783859310"
