"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS","KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS","28","-0.5213387794214867","-3.143697407405701","0.0000003420452595933634","0.00001983862505641508","0.00001983862505641508","1343","tags=36%, list=7%, signal=33%","DHDH/UGT2B4/UGT2B28/UGT2B7/UGT2A1/UGT2B10/UGT2B11/UGT2A3/UGT2B15/UGT2B17","0.6749628600110250"
"KEGG_ASCORBATE_AND_ALDARATE_METABOLISM","KEGG_ASCORBATE_AND_ALDARATE_METABOLISM","25","-0.5154740621493978","-2.927976062878145","0.0000008964094341242547","0.00003899381038440508","0.00003899381038440508","1006","tags=36%, list=5%, signal=34%","UGT2B4/UGT2B28/UGT2B7/UGT2A1/UGT2B10/UGT2B11/UGT2A3/UGT2B15/UGT2B17","0.6594443980379349"
"KEGG_RIBOSOME","KEGG_RIBOSOME","87","0.6014239803073973","2.114699445394550","0.0000000001000000000000","0.00000001740000000000","0.00000001740000000000","5460","tags=82%, list=29%, signal=58%","RPL10A/RPS28/RPL34/RPL21/RPL8/RPL41/RPS19/RPL17/RPS3/RPS10/RPL28/RPS9/RPL27/RPS12/RPL22L1/RPS18/RPL38/RPS3A/RPL23A/RPL36A/RPL3/RPL23/RPS5/RPL31/RSL24D1/RPL13/RPS16/RPL10/RPL39/RPL18/UBA52/RPL18A/RPS15/RPS4X/RPL37/RPLP2/RPL24/RPS11/RPL35A/RPL13A/RPL35/RPS21/RPL26L1/RPS27L/RPS8/RPL27A/RPL15/RPLP0/RPL12/RPS24/RPL26/RPL6/RPS27/RPL30/RPS6/RPS27A/RPL37A/RPL36/RPLP1/RPS25/MRPL13/FAU/RPL5/RPS13/RPL7/RPS17/RPL14/RPL29/RPS2/RPL4/RPS20",NA
"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM","KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM","31","-0.3684921056069208","-1.946818833448126","0.0002158528312070513689","0.00375583926300269337","0.00375583926300269381","2368","tags=52%, list=13%, signal=45%","SDS/DAO/MAOB/GAMT/PIPOX/CBS/GATM/AGXT2/DMGDH/SARDH/GLDC/MAOA/GLYCTK/AGXT/CTH/BHMT","0.5188480777437918"
"KEGG_BETA_ALANINE_METABOLISM","KEGG_BETA_ALANINE_METABOLISM","22","-0.3835547250176704","-1.908587110801135","0.0006661562728547311017","0.00891624549820947861","0.00891624549820947861","7214","tags=91%, list=38%, signal=56%","HIBCH/ALDH9A1/AOC3/HADHA/DPYD/EHHADH/CNDP1/SRM/AOC2/ALDH2/MLYCD/ALDH3A2/ALDH1B1/UPB1/ABAT/ALDH7A1/ECHS1/ACADM/DPYS/GAD2","0.4772708153628621"
"KEGG_LINOLEIC_ACID_METABOLISM","KEGG_LINOLEIC_ACID_METABOLISM","29","-0.3152940700983075","-1.802577942521808","0.0027840025935805096623","0.02849508536958874488","0.02849508536958874835","1320","tags=31%, list=7%, signal=29%","CYP2C19/CYP2E1/CYP2C9/CYP3A4/CYP1A2/CYP2C8/PLA2G1B/CYP3A43/PLA2G4B","0.4317076958033464"
"KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS","KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS","15","0.6352994852364087","1.742997998093094","0.0026180552361676290643","0.02847135069332296445","0.02847135069332296445","4070","tags=60%, list=22%, signal=47%","ACAT2/MVD/HMGCS1/PDSS2/HMGCR/GGPS1/FDPS/IDI1/MVK","0.4317076958033464"
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE","KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE","22","0.5808692249975003","1.739552444905793","0.0014798415940722952321","0.01839231695489852714","0.01839231695489852367","6132","tags=73%, list=32%, signal=49%","CHPF/B3GAT2/CSGALNACT1/XYLT2/CHSY1/CHST3/XYLT1/CHPF2/CHSY3/CHST11/CHST15/B4GALT7/CSGALNACT2/CHST14/CHST12/DSE","0.4550598673872295"
"KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY","KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY","61","0.4920245906616280","1.689918731991497","0.0001334520748091807098","0.00319547834368814985","0.00319547834368814985","7404","tags=69%, list=39%, signal=42%","IL6/IL1B/PYDC1/NOD2/PYCARD/CCL2/CCL7/TNFAIP3/CXCL8/NFKBIB/CXCL1/IKBKG/IL18/TAB1/MAPK12/TRIP6/CCL8/MAP3K7/MAPK13/CARD6/TRAF6/MAPK3/MAPK10/SUGT1/RELA/MAPK11/CXCL2/ERBIN/MAPK14/HSP90AA1/BIRC2/NFKBIA/CASP8/CCL11/MAPK9/NLRP3/MEFV/HSP90B1/RIPK2/MAPK8/MAPK1/XIAP","0.5188480777437918"
"KEGG_ECM_RECEPTOR_INTERACTION","KEGG_ECM_RECEPTOR_INTERACTION","84","0.4805335207504192","1.677709632415474","0.0000083452052388924507","0.00029041314231345724","0.00029041314231345730","5984","tags=57%, list=32%, signal=39%","ITGB5/SDC4/COL5A3/ITGB4/ITGA6/SPP1/ITGA3/LAMB3/LAMA3/LAMA4/HSPG2/LAMA2/LAMC3/DAG1/VWF/COL11A1/COL11A2/LAMB4/LAMC2/ITGB1/THBS4/LAMB2/COMP/COL3A1/SV2B/ITGA5/COL1A2/LAMC1/COL5A1/ITGA10/COL6A2/COL4A6/COL5A2/ITGB8/THBS2/IBSP/COL6A3/COL1A1/ITGA2B/COL4A1/ITGB3/COL4A2/AGRN/ITGAV/ITGA11/LAMA5/ITGB6/CD44","0.5933254763964051"
