"Dataset","Analysis_Name","Scope_Group_Column","Scope_Group_Value","Target_Gene","Feature_ID","GeneID","Symbol","Ensembl","Entrez","Biotype","Expression_Mean_Log2_TPM_Plus_1","Expression_SD_Log2_TPM_Plus_1","Correlation","Abs_Correlation","P.Value","adj.P.Val","Samples_Used","Correlation_Method"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000162772","ENSG00000162772","ATF3","ENSG00000162772","467","protein_coding","2.2418573769637091253","0.7864960597828087874","1.0000000000000000","1.0000000000000000","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004995287578292537","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000094975402726076","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000124762","ENSG00000124762","CDKN1A","ENSG00000124762","1026","protein_coding","5.3322699388992491620","1.3272686536010680491","0.9133126934984521","0.9133126934984521","0.00000012182182797478528697934937151392542631356263882480561733245849609375000000000000000000000000000000000000000000000000000000000000","0.00115809920764229625986252436575796309625729918479919433593750000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000128016","ENSG00000128016","ZFP36","ENSG00000128016","7538","protein_coding","7.7634990024505032835","1.1785072764129598255","0.8493292053663571","0.8493292053663571","0.00000823105971317051083474027051156696188627392984926700592041015625000000000000000000000000000000000000000000000000000000000000000000","0.05216571277550364343911226683303539175540208816528320312500000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000134757","ENSG00000134757","DSG3","ENSG00000134757","1830","protein_coding","0.7439099542395420928","1.1485941751315154047","0.8101135190918474","0.8101135190918474","0.00004594554343625301676872288436648261722439201548695564270019531250000000000000000000000000000000000000000000000000000000000000000000","0.17471252347069571309035040940216276794672012329101562500000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000087074","ENSG00000087074","PPP1R15A","ENSG00000087074","23645","protein_coding","6.7983529728193854424","1.1428261945603799266","0.8101135190918474","0.8101135190918474","0.00004594554343625301676872288436648261722439201548695564270019531250000000000000000000000000000000000000000000000000000000000000000000","0.17471252347069571309035040940216276794672012329101562500000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000153714","ENSG00000153714","LURAP1L","ENSG00000153714","286343","protein_coding","1.5992629812596284022","0.6776183622466106504","0.7997936016511867","0.7997936016511867","0.00006775961943481649573436248479296750701905693858861923217773437500000000000000000000000000000000000000000000000000000000000000000000","0.18696604286105114600680110470420913770794868469238281250000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000171223","ENSG00000171223","JUNB","ENSG00000171223","3726","protein_coding","9.2647967274061855392","1.0960987026934951860","0.7977296181630547","0.7977296181630547","0.00007304134709663055204098558448322364711202681064605712890625000000000000000000000000000000000000000000000000000000000000000000000000","0.18696604286105114600680110470420913770794868469238281250000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000125968","ENSG00000125968","ID1","ENSG00000125968","3397","protein_coding","3.3216186756281285142","1.1962007669137300070","0.7956656346749226","0.7956656346749226","0.00007866871839732863104337201587412664594012312591075897216796875000000000000000000000000000000000000000000000000000000000000000000000","0.18696604286105114600680110470420913770794868469238281250000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000144476","ENSG00000144476","ACKR3","ENSG00000144476","57007","protein_coding","2.2855722892601288976","0.8774741447941468708","0.7791537667698659","0.7791537667698659","0.00013847602522645965439709869748696746682981029152870178222656250000000000000000000000000000000000000000000000000000000000000000000000","0.29253829640340861528713389816402923315763473510742187500000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000146278","ENSG00000146278","PNRC1","ENSG00000146278","10957","protein_coding","5.6908759850753982690","1.0776103867959525573","0.7708978328173374","0.7708978328173374","0.00018055675377341647057718998503617058304371312260627746582031250000000000000000000000000000000000000000000000000000000000000000000000","0.34329255594939672713294953609874937683343887329101562500000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000173262","ENSG00000173262","SLC2A14","ENSG00000173262","144195","protein_coding","0.1514322744758309913","0.1537423495668865103","0.7667698658410732","0.7667698658410732","0.00020535416507779972279321145656183489336399361491203308105468750000000000000000000000000000000000000000000000000000000000000000000000","0.34665943053788655925373518584819976240396499633789062500000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Liver_metastasis","tissue_class","Liver_metastasis","ATF3","ENSG00000186395","ENSG00000186395","KRT10","ENSG00000186395","3858","protein_coding","3.6513697507190538971","0.7146815702681030835","0.7647058823529411","0.7647058823529411","0.00021879309769392725200203020374800644276547245681285858154296875000000000000000000000000000000000000000000000000000000000000000000000","0.34665943053788655925373518584819976240396499633789062500000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
