"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING","KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING","23","0.6542415279682985","2.122498248364846","0.00005586016768674638","0.01880990450439812","0.01582381682999453","3340","tags=57%, list=21%, signal=44%","CCNE2/CDC6/MCM5/MTBP/CCNE1/CDC45/CCNA2/ORC6/CDT1/MCM4/ORC1/MCM2/DBF4","0.5573322387586460"
"KEGG_MEDICUS_REFERENCE_CENPE_INTERACTION_WITH_NDC80_COMPLEX","KEGG_MEDICUS_REFERENCE_CENPE_INTERACTION_WITH_NDC80_COMPLEX","12","0.7635394085226044","2.098595934749274","0.00011434592403889434","0.01880990450439812","0.01582381682999453","3565","tags=92%, list=23%, signal=71%","PPP1CC/NUF2/PPP1CA/SPC25/NDC80/CENPE/SPC24/AURKA/KNSTRN/AURKB/SPAG5","0.5384340963099162"
"KEGG_MEDICUS_REFERENCE_DEPHOSPHORYLATION_OF_KINETOCHORE","KEGG_MEDICUS_REFERENCE_DEPHOSPHORYLATION_OF_KINETOCHORE","12","0.7631755706017603","2.097595922473459","0.00011434592403889434","0.01880990450439812","0.01582381682999453","3505","tags=83%, list=23%, signal=65%","PPP1CC/NUF2/PPP1CA/SKA3/SPC25/NDC80/SPC24/TTK/AURKB/SKA1","0.5384340963099162"
"KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION","KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION","30","0.5971630493940305","2.090216290252260","0.00007420223588953701","0.01880990450439812","0.01582381682999453","3157","tags=57%, list=20%, signal=45%","RFC4/PCNA/PRIM1/GINS1/MCM5/RFC3/RPA3/POLA1/CDC45/POLE4/GINS2/RFC2/MCM4/GINS4/PRIM2/MCM2/POLA2","0.5384340963099162"
"KEGG_MEDICUS_REFERENCE_CA2_CAM_VGCC_RYR_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_CA2_CAM_VGCC_RYR_SIGNALING_PATHWAY","10","-0.7684526848044209","-2.037862480423308","0.00055704201471680091","0.04581670571045687","0.03854326632793463","3205","tags=70%, list=21%, signal=56%","CACNA1C/CALM2/CACNA1E/RYR3/CACNA1A/RYR2/CACNA1B","0.4772708153628621"
"KEGG_MEDICUS_REFERENCE_BETA_OXIDATION","KEGG_MEDICUS_REFERENCE_BETA_OXIDATION","10","0.7791407613561188","2.037201817030269","0.00049976835723910878","0.04581670571045687","0.03854326632793463","2191","tags=70%, list=14%, signal=60%","ACAA2/HADH/HADHA/ACADM/ACAT1/ECHS1/ACADS","0.4772708153628621"
"KEGG_MEDICUS_REFERENCE_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_II_MOLECULES","KEGG_MEDICUS_REFERENCE_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_II_MOLECULES","12","0.7395575099757198","2.032681439392127","0.00031565473440416932","0.04154016304758868","0.03494562829914717","3763","tags=92%, list=24%, signal=70%","HLA-DRB1/HLA-DQA1/HLA-DQB1/CD74/HLA-DMB/HLA-DOB/HLA-DRA/HLA-DOA/HLA-DMA/HLA-DPB1/HLA-DPA1","0.4984931087665903"
"KEGG_MEDICUS_REFERENCE_TCR_PLCG_ITPR_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_TCR_PLCG_ITPR_SIGNALING_PATHWAY","19","0.6251750171182143","1.990029539828593","0.00124967005595094595","0.06852357473464354","0.05764540138329299","2372","tags=63%, list=15%, signal=54%","CD3E/CD3D/CD3G/LCK/CD247/VAV1/CD4/ZAP70/GRAP2/PLCG2/LCP2/VAV3","0.4550598673872295"
"KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_PTP","KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_PTP","18","0.6349433937713503","1.988805340663014","0.00084673987705330216","0.05571548391010728","0.04687060541864540","1391","tags=50%, list=9%, signal=46%","DUSP1/DUSP8/DUSP16/DUSP5/DUSP10/DUSP6/DUSP2/PTPN7/DUSP4","0.4772708153628621"
"KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_NFY_MEDIATED_TRANSCRIPTION","KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_NFY_MEDIATED_TRANSCRIPTION","12","0.7228298511909854","1.986705296796631","0.00064412935570943664","0.04709301289520103","0.03961695870662137","3763","tags=83%, list=24%, signal=63%","HLA-DRB1/HLA-DQA1/HLA-DQB1/HLA-DMB/HLA-DOB/HLA-DRA/HLA-DOA/HLA-DMA/HLA-DPB1/HLA-DPA1","0.4772708153628621"
