"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GOCC_T_CELL_RECEPTOR_COMPLEX","GOCC_T_CELL_RECEPTOR_COMPLEX","137","0.7049970234027061","4.148416125533317","0.0000000001000000000000000","0.00000001691666666666667","0.00000001691666666666667","3808","tags=72%, list=20%, signal=57%","TRDV3/TRAV20/TRBV2/TRBV11-2/TRBV14/TRBV30/CD8B/TRBV12-5/TRBV24-1/TRAV12-3/CD8A/TRBV19/CD3E/TRAV8-4/TRAV2/TRAV12-1/TRBV5-5/TRGV10/TRAV21/TRBV6-1/TRBJ2-1/TRBV5-6/TRAV38-1/TRAV39/TRAV29DV5/TRGV2/TRBV10-3/TRAV41/SKAP1/TRBJ2-5/TRAV17/TRBV23-1/TRAC/CD3G/TRBJ1-5/TRGV9/TRGV11/TRDV1/TRAV26-2/TRBC1/TRBV5-4/CD3D/TRBJ2-3/TRBV12-3/TRAV4/TRGC2/TRAV36DV7/TRBV29-1/TRBV12-4/TRBV10-2/CD247/SYK/TRGV8/TRBV9/TRBV20-1/TRBV28/TRBV7-2/TRAV38-2DV8/CEACAM1/TRAV13-1/TRBC2/TRBV7-1/TRBV6-7/APBB1IP/TRBV11-1/TRAV12-2/TRAV26-1/TRDC/TRAV9-2/TRBV13/TRBV10-1/CD6/CD4/TRGV3/TRAV19/TRAV8-6/TRAV18/TRBJ2-6/TRBV3-1/TRBV27/TRAV23DV6/TRBJ1-1/TRAT1/TRAV30/TRBV6-6/TRGV1/TRBV18/TRAV40/TRBV7-4/TRAV1-1/TRBJ1-6/TRAV8-3/TRBV5-1/TRGV5/TRBJ1-3/TRBJ2-7/TRDJ1/TRAV3",NA
"GOCC_ALPHA_BETA_T_CELL_RECEPTOR_COMPLEX","GOCC_ALPHA_BETA_T_CELL_RECEPTOR_COMPLEX","10","0.8485757352202929","2.555784279460700","0.0000095228513177458339267","0.00042024756902226182136","0.00042024756902226176715","1940","tags=80%, list=10%, signal=72%","TRBV19/CD3E/TRAC/CD3G/TRBC1/CD3D/CD247/TRBC2","0.5933254763964051"
"GOCC_OUTER_KINETOCHORE","GOCC_OUTER_KINETOCHORE","20","0.6690305321931926","2.542118467985013","0.0000076098012486944059178","0.00037559601285430341006","0.00037559601285430346427","1989","tags=60%, list=11%, signal=54%","SKA3/SPC25/NDC80/SPC24/CCNB1/PLK1/BUB1/KNL1/CENPF/NUF2/DSN1/SKA1","0.6105268783859310"
"GOCC_IMMUNOGLOBULIN_COMPLEX_CIRCULATING","GOCC_IMMUNOGLOBULIN_COMPLEX_CIRCULATING","12","0.7661596570114060","2.423629838291329","0.0000437029248841738277758","0.00152960237094608387728","0.00152960237094608409412","2816","tags=58%, list=15%, signal=50%","IGHG2/IGHG3/IGKV3-20/IGHD/IGHA2/IGHA1/JCHAIN","0.5573322387586460"
"GOCC_MHC_PROTEIN_COMPLEX","GOCC_MHC_PROTEIN_COMPLEX","22","0.6275631566781341","2.386520745108144","0.0000211782507988490511987","0.00085983698243327156066","0.00085983698243327145224","3856","tags=68%, list=21%, signal=54%","HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-A/B2M/HLA-C/HLA-F/HLA-DMB/HLA-DRA/HLA-B/HLA-G/HLA-DOB/HLA-DPA1/HLA-E/CD74","0.5756102610711286"
"GOCC_IMMUNOLOGICAL_SYNAPSE","GOCC_IMMUNOLOGICAL_SYNAPSE","47","0.4928536751636976","2.317701588809322","0.0000047625872801204586322","0.00025442242575380343960","0.00025442242575380343960","2875","tags=49%, list=15%, signal=42%","PTPRJ/HLA-DRB1/EZR/CD3E/SOCS6/CALHM6/SKAP1/RHOH/CD53/BCL10/CARD11/CD37/NEDD9/CORO1A/GZMA/LGALS3/PRKCQ/HLA-DRA/GZMB/HAVCR2/CD6/CD28/LCK","0.6105268783859310"
"GOCC_TRANSCRIPTION_FACTOR_AP_1_COMPLEX","GOCC_TRANSCRIPTION_FACTOR_AP_1_COMPLEX","6","0.9317859396010638","2.266499898207534","0.0000081409973229504191292","0.00037559601285430341006","0.00037559601285430346427","388","tags=83%, list=2%, signal=82%","FOS/JUND/JUN/JUNB/FOSL2","0.5933254763964051"
"GOCC_CMG_COMPLEX","GOCC_CMG_COMPLEX","11","0.7330977253314549","2.243730999364716","0.0003515916760379383053901","0.00829919886461645030240","0.00829919886461645030240","3875","tags=73%, list=21%, signal=58%","GINS1/CDC45/GINS2/GINS4/MCM4/MCM2/GINS3/MCM3","0.4984931087665903"
"GOCC_MHC_CLASS_II_PROTEIN_COMPLEX","GOCC_MHC_CLASS_II_PROTEIN_COMPLEX","14","0.6519269582395567","2.220655587788058","0.0004198872415391722082156","0.00887886562838041161483","0.00887886562838041161483","4390","tags=79%, list=23%, signal=60%","HLA-DQB1/HLA-DRB1/HLA-DQA1/B2M/HLA-DMB/HLA-DRA/HLA-DOB/HLA-DPA1/CD74/HLA-DOA/HLA-DMA","0.4984931087665903"
"GOCC_MHC_CLASS_IB_PROTEIN_COMPLEX","GOCC_MHC_CLASS_IB_PROTEIN_COMPLEX","7","0.8040144819508039","2.156567503070980","0.0012587902995460488551199","0.01965649467752676390897","0.01965649467752676043952","3688","tags=100%, list=20%, signal=80%","HLA-A/B2M/HLA-C/HLA-F/HLA-B/HLA-G/HLA-E","0.4550598673872295"
