"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"SRF_01","SRF_01","44","0.5722354274868109","2.171397572457859","0.000005270453453137556676","0.0001004899791731560834","0.0000607709585167572199","4511","tags=64%, list=29%, signal=45%","EGR1/JUNB/FOS/FOSB/THBS1/IER2/HOXB4/FOSL1/EGR2/VCL/EGR3/ITGB1BP2/ACTN1/SUSD1/TNNC1/PRUNE2/DIXDC1/CALD1/TGFB1I1/FLNA/ACTG2/IRAG1/STX10/PFN1/CD248/MYH11/SETD2/KCNMB1","0.6105268783859310"
"GGCNKCCATNK_UNKNOWN","GGCNKCCATNK_UNKNOWN","116","0.4508062783479805","2.096544659277781","0.000000494227420989497547","0.0000176686303003745367","0.0000106850415122666197","3937","tags=46%, list=26%, signal=34%","ESCO1/ZBTB40/UBE4B/GEMIN4/NRBP2/SYNCRIP/BRD2/HMGN2/NASP/NFYA/ARID1A/COL1A2/IGF1R/ARCN1/PATL1/FBXO9/RPL18A/PUM1/DYM/EIF4A1/GNL3L/RXRB/ZNF362/RAD21/DPYSL2/ZWILCH/SNPH/KIF1B/SLC12A8/MIOS/NSD1/YBX1/NSD3/SMYD5/TYRO3/MATR3/ABRAXAS2/SFPQ/CNBP/EIF4G2/RPL4/CHTOP/CD4/TTC9C/ACTR8/AP4S1/RBM26/ARID4A/POU2F1/RPS27/RPS8/KBTBD12/SPRY4","0.6594443980379349"
"MYC_Q2","MYC_Q2","165","0.4198194708416709","2.064033638109537","0.000000021564721783916332","0.0000017621458372000202","0.0000010656514455877718","4775","tags=53%, list=31%, signal=37%","TGFB2/PPRC1/RFX5/CSDE1/UBXN10/SIRT1/STMN1/RPUSD4/HMGN2/UBIAD1/POGK/CHD4/SERBP1/SLC43A1/CCDC6/ALDH3B1/FOSL1/ATXN7L2/RCOR2/BCL9L/PLA2G4A/B3GALT6/PFKFB3/EIF3A/WEE1/TIAL1/NID1/E2F8/ILK/KMT2A/ZZZ3/AMPD2/RHEBL1/DCHS1/ATAD3B/GTF2H1/EIF4B/FCHSD2/ATF7IP/PABPC4/YBX3/SCYL1/HNRNPA1/TAF6L/LRP8/B4GALT2/POLR3A/MRTO4/HNRNPF/CNNM1/YBX1/REXO2/EMC1/UBXN1/IPO7/ESYT1/TSSK3/NAT10/PAX6/ADK/NRAS/CBX5/TRIM46/ATAD3A/AP3M1/ZFP91/WDR77/DNTTIP2/RAB3IL1/CACUL1/UBR4/FADS3/NRIP3/HPS5/UVRAG/PA2G4/RRP8/POLR2L/EBNA1BP2/CIART/TMEM86A/B3GALT2/TFB2M/CTBP2/MACROD1/RPL22/TAGLN2/RLF","0.7337619883564803"
"USF2_Q6","USF2_Q6","230","0.4000233710957932","2.058586626071030","0.000000003208475593334040","0.0000009176240196935354","0.0000005549298715515343","3178","tags=38%, list=21%, signal=30%","ZBTB40/UBE4B/FAM76B/ZNHIT6/TGFB2/PPRC1/RFX5/CSDE1/UBXN10/SIRT1/STMN1/RPUSD4/HMGN2/UBIAD1/CEP57/POGK/CHD4/SERBP1/SLC43A1/CCDC6/FAF1/ALDH3B1/FOSL1/ATXN7L2/RCOR2/POLR3C/BCL9L/CUL5/RNF115/ADAM12/PLA2G4A/B3GALT6/PFKFB3/CCAR1/EIF3A/WEE1/TIAL1/NID1/E2F8/ILK/KMT2A/ZZZ3/DEPDC7/AMPD2/RHEBL1/DCHS1/SMC3/ATAD3B/GTF2H1/EIF4B/CELF1/FCHSD2/ATF7IP/PABPC4/SEC23IP/YBX3/SCYL1/SLC38A2/BCL9/HNRNPA1/TAF6L/LRP8/B4GALT2/MICU1/POLR3A/BDNF/MRTO4/HNRNPF/CNNM1/YBX1/REXO2/EMC1/RBBP4/UBXN1/IPO7/TSSK3/NAT10/RRP15/PAX6/GUCY1A2/ADK/SCAMP3/NRAS/CBX5/TRIM46/ATAD3A/AP3M1","0.7749390301364363"
"E2F1_Q3","E2F1_Q3","225","0.4037287930340155","2.053854863919791","0.000000001742149515553138","0.0000009176240196935354","0.0000005549298715515343","3763","tags=39%, list=24%, signal=30%","HNRNPUL1/POLR1G/TRIM39/ADAMTS2/STMN1/HMGN2/NASP/NUP62/PLK4/TBX3/PELP1/SERBP1/POLD3/CASP8AP2/ANAPC10/USP1/STK35/ABCE1/ACBD6/HNRNPR/SNRPD1/DNMT1/KIAA1143/PIM1/KIF15/BRMS1L/ORC1/EMSY/E2F8/TENT5B/ILF3/SMC3/FAM120C/EIF4B/HNRNPD/MCM3/ZNF362/MCM6/FAM216A/PRPS1/CLSPN/MCMBP/SIX5/ING3/PCNA/ATAD2/MCM8/TRMT6/NOLC1/CNOT3/DNAJC9/POLD1/FBXO5/SLITRK5/CDK1/SRSF1/SNPH/BRME1/SRSF7/MCM2/ATF5/TIPIN/H2AZ1/ZNF687/ARHGAP11A/ZBTB4/PRPF38A/RBBP4/IPO7/TYRO3/ZNF367/MSH2/WDR62/PAX6/SYT11/NCL/SLCO3A1/GPS2/EHBP1/TFAP4/PDS5B/CTDSPL2/KBTBD6/ZNF565/MCM7/ARID4A/E2F3/IL4I1","0.7881868108002371"
"TAANNYSGCG_UNKNOWN","TAANNYSGCG_UNKNOWN","76","0.4682559946785962","2.036544257183563","0.000019646038584290847204","0.0003121537241726212472","0.0001887738576386636632","4460","tags=51%, list=29%, signal=37%","QRICH1/SYNCRIP/CLK1/NFKBIA/KLC2/YWHAE/PCDHGB5/EYA3/SEPTIN7/RHOA/RND3/RBMX/INTS12/HOXB8/STK3/ZBED5/RBM4/PRPS1/ISL1/AKAP10/CCNA2/RFX3/CSNK1E/GSTCD/MATR3/CCP110/LHX6/SFPQ/RAD23A/PCDHGB4/CHTOP/BRCA1/RPS27/PBX3/CAPRIN1/YARS1/PPIG/IMP4/MEIS2","0.5756102610711286"
"E2F1_Q6_01","E2F1_Q6_01","229","0.3929001880919413","2.023723151158748","0.000000011902673868633527","0.0000017020823632145944","0.0000010293282727104937","4043","tags=42%, list=26%, signal=32%","CPSF7/FKBP5/HNRNPUL1/CDC5L/SIK2/POLR1G/PPRC1/SYNCRIP/TRIM39/ADAMTS2/STMN1/HMGN2/NUMA1/NASP/CHD4/SERBP1/RNF207/POLD3/CASP8AP2/FAF1/STK35/RB1CC1/ACBD6/HNRNPR/USP49/DNMT1/BRMS1L/MCM4/ORC1/WEE1/E2F8/RELT/ILF3/PRKDC/NPAT/PPP1R8/FANCG/RIBC1/FAM120C/FXR2/HNRNPD/MCM3/PHF13/ZNF362/MCM6/PRPS1/CLSPN/MCMBP/PCNA/ATAD2/RPS19/MCM8/TRMT6/NOLC1/CNOT3/DNAJC9/ZEB1/ERF/FBXO5/HNRNPA1/CCDC150/SRSF1/ATM/MCM2/ARHGAP11A/PRPF38A/NSD3/IPO7/KANSL1L/TYRO3/INSM1/ZNF367/MSH2/PAX6/CBX5/NCL/INTS7/MYC/PTMA/TFAP4/ESPL1/SLC9A7/RPL18/CTDSPL2/RSBN1/KBTBD6/SPHK2/MCM7/POU2F1/E2F3/TSTD2/SMARCA1/DDB2/FANCC/RAD51/ATE1/PAQR4","0.7477396631498854"
"E2F4DP1_01","E2F4DP1_01","222","0.3949736267753155","2.018508792747584","0.000000005987336180612244","0.0000011415854317700679","0.0000006903697412245600","5740","tags=58%, list=37%, signal=37%","FKBP5/HNRNPUL1/CDC5L/POLR1G/SYNCRIP/TRA2B/ADAMTS2/STMN1/MAP3K7/NASP/NUP62/VCAN/LIG1/POLD3/CASP8AP2/STK35/PBRM1/ACBD6/HNRNPR/SNRPD1/DNMT1/PIM1/BRMS1L/RPS20/MCM4/EMSY/E2F8/ILF3/PRKDC/ZBTB25/SMC3/FANCG/RIBC1/HNRNPA2B1/HNRNPD/MCM3/EIF4A1/ZNF362/MCM6/PRPS1/CLSPN/MCMBP/ING3/PCNA/ATAD2/MCM8/TRMT6/NOLC1/DNAJC9/POLD1/FBXO5/CDK1/SRSF1/BRME1/SRSF7/MCM2/ATF5/H2AZ1/ZNF687/ARHGAP11A/PRP4K/ZBTB4/IPO7/TYRO3/ZNF367/MSH2/WDR62/PAX6/APPL1/NCL/SLCO3A1/MYC/EHBP1/TFAP4/SLC9A7/CTDSPL2/CBX3/KBTBD6/ZNF565/MCM7/ARID4A/E2F3/IL4I1/PCLAF/FANCC/PAQR4/POLA1/H2AZ2/ZCWPW1/RRM2/OLFML3/NUFIP2/SLC25A14/HMGA1/MAT2A/ATAD5/RBL1/CNOT9/E2F7/NPR3/FANCD2/OTUD7B/ZNF644/TBX6/HMGXB4/TOPBP1/SUV39H1/RMI2/STAG2/JADE2/TMEM108/CDC25A/GINS3/FHOD1/ZSWIM9/MDGA1/NIPBL/EZH2/PKMYT1/NRK/PAN2/CCNT1/POLE2/YBX2/H2BC12/SMC1A/STAG1/EED/STT3B","0.7614608014455848"
"E2F1_Q6","E2F1_Q6","222","0.3890187941127186","1.988076679629232","0.000000015505903066093358","0.0000017621458372000202","0.0000010656514455877718","5784","tags=59%, list=38%, signal=37%","FKBP5/HNRNPUL1/CDC5L/POLR1G/SYNCRIP/TRA2B/ADAMTS2/STMN1/MAP3K7/NASP/NUP62/VCAN/SERBP1/POLD3/CASP8AP2/STK35/PBRM1/ACBD6/HNRNPR/SNRPD1/DNMT1/PIM1/BRMS1L/RPS20/MCM4/ORC1/EMSY/E2F8/ILF3/PRKDC/SMC3/FANCG/RIBC1/HNRNPA2B1/HNRNPD/MCM3/PHF13/ZNF362/MCM6/FAM216A/PRPS1/CLSPN/MCMBP/ING3/PCNA/ATAD2/MCM8/TRMT6/NOLC1/DNAJC9/POLD1/FBXO5/CDK1/SRSF1/BRME1/SRSF7/MCM2/ATF5/H2AZ1/ZNF687/ARHGAP11A/PRP4K/ZBTB4/PRPF38A/RBBP4/IPO7/TYRO3/ZNF367/MSH2/WDR62/PAX6/APPL1/NCL/SLCO3A1/MYC/EHBP1/TFAP4/SLC9A7/CTDSPL2/CBX3/KBTBD6/ZNF565/MCM7/ARID4A/E2F3/IL4I1/PCLAF/FANCC/ATE1/PAQR4/POLA1/H2AZ2/ZCWPW1/RRM2/NUFIP2/HMGA1/ATAD5/RBL1/CNOT9/E2F7/FANCD2/OTUD7B/ZNF644/TBX6/HMGXB4/TOPBP1/SUV39H1/RMI2/STAG2/JADE2/CTNND2/TMEM108/CDC25A/GINS3/FHOD1/NIPBL/EZH2/PKMYT1/NRK/PAN2/CCNT1/POLE2/YBX2/H2BC12/CTCF/SMC1A/STAG1/EED/STT3B/FLI1/HIRA","0.7337619883564803"
"E2F_02","E2F_02","220","0.3861275989072316","1.976333651530961","0.000000019167123872962983","0.0000017621458372000202","0.0000010656514455877718","5740","tags=57%, list=37%, signal=36%","FKBP5/HNRNPUL1/CDC5L/POLR1G/SYNCRIP/TRA2B/TRIM39/ADAMTS2/STMN1/MAP3K7/NASP/NUP62/VCAN/POLD3/CASP8AP2/STK35/PBRM1/ACBD6/HNRNPR/SNRPD1/DNMT1/PIM1/BRMS1L/RPS20/MCM4/EMSY/E2F8/ILF3/PRKDC/SMC3/FANCG/RIBC1/HNRNPA2B1/HNRNPD/MCM3/EIF4A1/ZNF362/MCM6/PRPS1/CLSPN/MCMBP/ING3/PCNA/ATAD2/MCM8/TRMT6/NOLC1/DNAJC9/POLD1/FBXO5/CDK1/SRSF1/BRME1/BRPF1/SRSF7/MCM2/ATF5/H2AZ1/ZNF687/ARHGAP11A/PRP4K/ZBTB4/IPO7/TYRO3/ZNF367/MSH2/WDR62/PAX6/APPL1/NCL/SLCO3A1/MYC/EHBP1/PTMA/TFAP4/SLC9A7/CTDSPL2/CBX3/KBTBD6/ZNF565/MCM7/ARID4A/E2F3/IL4I1/PCLAF/FANCC/PAQR4/POLA1/H2AZ2/ZCWPW1/PPIG/RRM2/NUFIP2/HMGA1/ATAD5/RBL1/CNOT9/E2F7/FANCD2/OTUD7B/ZNF644/TBX6/HMGXB4/TOPBP1/SUV39H1/RMI2/STAG2/JADE2/TMEM108/CDC25A/GINS3/FHOD1/NIPBL/EZH2/PKMYT1/NRK/PAN2/CCNT1/POLE2/YBX2/H2BC12/SMC1A/STAG1/EED/STT3B","0.7337619883564803"
