"Dataset","Analysis_Name","Scope_Group_Column","Scope_Group_Value","Target_Gene","Feature_ID","GeneID","Symbol","Ensembl","Entrez","Biotype","Expression_Mean_Log2_TPM_Plus_1","Expression_SD_Log2_TPM_Plus_1","Correlation","Abs_Correlation","P.Value","adj.P.Val","Samples_Used","Correlation_Method"
"GSE50760","Primary_tumor","tissue_class","Primary_tumor","ATF3","ENSG00000162772","ENSG00000162772","ATF3","ENSG00000162772","467","protein_coding","1.7091743939313246425","0.5986077328840642142","1.0000000000000000","1.0000000000000000","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004995287578292537","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009507530847764185","18","spearman"
"GSE50760","Primary_tumor","tissue_class","Primary_tumor","ATF3","ENSG00000087074","ENSG00000087074","PPP1R15A","ENSG00000087074","23645","protein_coding","6.5261602644824678876","0.9936551800811995738","0.9029927760577915","0.9029927760577915","0.00000028975155060171094549502346891800552697304738103412091732025146484375000000000000000000000000000000000000000000000000000000000000","0.0020639805961237761913751320719256909796968102455139160156250000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Primary_tumor","tissue_class","Primary_tumor","ATF3","ENSG00000128016","ENSG00000128016","ZFP36","ENSG00000128016","7538","protein_coding","7.7720741336710341685","0.8521633633120604401","0.8988648090815273","0.8988648090815273","0.00000039902367172568971823655892446069959333954102476127445697784423828125000000000000000000000000000000000000000000000000000000000000","0.0020639805961237761913751320719256909796968102455139160156250000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Primary_tumor","tissue_class","Primary_tumor","ATF3","ENSG00000120738","ENSG00000120738","EGR1","ENSG00000120738","1958","protein_coding","7.3456833227924578367","1.3669265052843631025","0.8968008255933952","0.8968008255933952","0.00000046588614800456561457962746317096325299189629731699824333190917968750000000000000000000000000000000000000000000000000000000000000","0.0020639805961237761913751320719256909796968102455139160156250000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Primary_tumor","tissue_class","Primary_tumor","ATF3","ENSG00000142871","ENSG00000142871","CCN1","ENSG00000142871","3491","protein_coding","5.9655789488644836993","1.3333612475790281859","0.8947368421052632","0.8947368421052632","0.00000054221105346602645409429368020259865090793027775362133979797363281250000000000000000000000000000000000000000000000000000000000000","0.0020639805961237761913751320719256909796968102455139160156250000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Primary_tumor","tissue_class","Primary_tumor","ATF3","ENSG00000171223","ENSG00000171223","JUNB","ENSG00000171223","3726","protein_coding","9.3101821398703918931","0.8420563436306528482","0.8782249742002065","0.8782249742002065","0.00000164827026122461002518367490649042750305852678138762712478637695312500000000000000000000000000000000000000000000000000000000000000","0.0052285879803146669345115249427635717438533902168273925781250000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Primary_tumor","tissue_class","Primary_tumor","ATF3","ENSG00000120129","ENSG00000120129","DUSP1","ENSG00000120129","1843","protein_coding","6.7423556672023829961","1.1872683338230620720","0.8720330237358100","0.8720330237358100","0.00000240176414537721498814967259483044159651399240829050540924072265625000000000000000000000000000000000000000000000000000000000000000","0.0065303967112806471720376499945359682897105813026428222656250000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Primary_tumor","tissue_class","Primary_tumor","ATF3","ENSG00000125740","ENSG00000125740","FOSB","ENSG00000125740","2354","protein_coding","3.2741498432418629783","2.0149874917131178620","0.8637770897832817","0.8637770897832817","0.00000385441089174491011398304002311121507773350458592176437377929687500000000000000000000000000000000000000000000000000000000000000000","0.0081512225002867647744020374034334963653236627578735351562500000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Primary_tumor","tissue_class","Primary_tumor","ATF3","ENSG00000168026","ENSG00000168026","TTC21A","ENSG00000168026","199223","protein_coding","0.4574322797693368137","0.1870545555537985460","0.8637770897832817","0.8637770897832817","0.00000385441089174491011398304002311121507773350458592176437377929687500000000000000000000000000000000000000000000000000000000000000000","0.0081512225002867647744020374034334963653236627578735351562500000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
"GSE50760","Primary_tumor","tissue_class","Primary_tumor","ATF3","ENSG00000111801","ENSG00000111801","BTN3A3","ENSG00000111801","10384","protein_coding","3.2321222517005492314","0.6576301178520964630","0.8575851393188855","0.8575851393188855","0.00000538925994674149812880886364907517815936444094404578208923339843750000000000000000000000000000000000000000000000000000000000000000","0.0087927085639530506988581493033052538521587848663330078125000000000000000000000000000000000000000000000000000000000000000000000000","18","spearman"
