"Dataset","Plot_Category","Analysis_Name","GeneSet_Name","Denester_Rank","Pathway_ID","Description","NES","GSEA_P_Value","GSEA_P_Adjust","GSEA_Q_Value","Core_Gene_Count","Term_Size","Core_Density","Unexpected_Core_Gene_Fraction","Intersection_Size_With_MSP","Core_Genes_In_MSP_Intersection","Fraction_Core_In_MSP_Intersection","Fraction_Term_Overlap_With_MSP","Jaccard_With_MSP","Denester_P_Value","Reciprocal_P_Value","Denester_Status","Versus_Pathway_ID","Versus_Pathway_Name","Is_Reciprocal","Core_Enrichment_Matched","Core_Enrichment_Raw"
"GSE50760","ATF3_correlation","Liver_metastasis","CP_KEGG_MEDICUS","1","KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION","KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION","2.112969830332126","0.00000000010000000000","0.00000006580000000000002","0.00000004849446330967887","66","81","0.8148148148148148","0","0","0","0.00000000000000000","0.00000000000000000","0.00000000000000000","1.0000000000000000","0.000000000000000000","Keep","itself","",TRUE,"RPL10A/RPS28/RPL34/RPL21/RPL8/RPL41/RPS19/RPL17/RPS3/RPS10/RPL28/RPS9/RPL27/RPS12/RPS18/RPL38/RPS3A/RPL23A/RPL36A/RPL3/RPL23/RPS5/RPL31/RPL13/RPS16/RPL10/RPL39/RPL18/UBA52/RPL18A/RPS15/RPS4X/RPL37/RPLP2/RPL24/RPS11/RPL35A/RPL13A/RPL35/RPS21/RPS8/RPL27A/RPL15/RPLP0/RPL12/RPS24/RPL26/RPL6/RPS27/RPL30/RPS6/RPS27A/RPL37A/RPL36/RPLP1/RPS25/FAU/RPL5/RPS13/RPL7/RPS17/RPL14/RPL29/RPS2/RPL4/RPS20","RPL10A/RPS28/RPL34/RPL21/RPL8/RPL41/RPS19/RPL17/RPS3/RPS10/RPL28/RPS9/RPL27/RPS12/RPS18/RPL38/RPS3A/RPL23A/RPL36A/RPL3/RPL23/RPS5/RPL31/RPL13/RPS16/RPL10/RPL39/RPL18/UBA52/RPL18A/RPS15/RPS4X/RPL37/RPLP2/RPL24/RPS11/RPL35A/RPL13A/RPL35/RPS21/RPS8/RPL27A/RPL15/RPLP0/RPL12/RPS24/RPL26/RPL6/RPS27/RPL30/RPS6/RPS27A/RPL37A/RPL36/RPLP1/RPS25/FAU/RPL5/RPS13/RPL7/RPS17/RPL14/RPL29/RPS2/RPL4/RPS20"
"GSE50760","ATF3_correlation","Liver_metastasis","CP_KEGG_MEDICUS","2","KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_SRF_MEDIATED_TRANSCRIPTION","KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_SRF_MEDIATED_TRANSCRIPTION","1.951729404717384","0.00001707169065541657","0.00561658622563205190553","0.00413941238061643276835","5","5","1.0000000000000000","0","0","0","0.00000000000000000","0.00000000000000000","0.00000000000000000","1.0000000000000000","0.000000000000000000","Keep","itself","",TRUE,"FOS/EGR2/FOSL1/SRF/EGR1","FOS/EGR2/FOSL1/SRF/EGR1"
"GSE50760","ATF3_correlation","Liver_metastasis","CP_KEGG_MEDICUS","3","KEGG_MEDICUS_REFERENCE_LECTIN_PATHWAY_OF_COAGULATION_CASCADE_FIBRINOGEN_TO_FIBRIN","KEGG_MEDICUS_REFERENCE_LECTIN_PATHWAY_OF_COAGULATION_CASCADE_FIBRINOGEN_TO_FIBRIN","-2.661612722052006","0.00004828669950999626","0.01059088275919251205537","0.00780545859244334040705","8","10","0.8000000000000000","0","0","0","0.00000000000000000","0.00000000000000000","0.00000000000000000","1.0000000000000000","0.000000000000000000","Keep","itself","",TRUE,"COLEC11/FGA/MASP1/FGG/FGB/MBL2/FCN2/COLEC10","COLEC11/FGA/MASP1/FGG/FGB/MBL2/FCN2/COLEC10"
"GSE50760","ATF3_correlation","Liver_metastasis","CP_KEGG_MEDICUS","4","KEGG_MEDICUS_REFERENCE_NALP12_INFLAMMASOME_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_NALP12_INFLAMMASOME_SIGNALING_PATHWAY","1.879216524601452","0.00017332399783336625","0.02545645866964807435551","0.01876135715728882366604","4","5","0.8000000000000000","0","0","0","0.00000000000000000","0.00000000000000000","0.00000000000000000","1.0000000000000000","0.000000000000000000","Keep","itself","",TRUE,"IL1B/PYCARD/IL18/NLRP12","IL1B/PYCARD/IL18/NLRP12"
"GSE50760","ATF3_correlation","Liver_metastasis","CP_KEGG_MEDICUS","5","KEGG_MEDICUS_REFERENCE_LECTIN_PATHWAY_OF_COAGULATION_CASCADE_PROTHROMBIN_TO_THROMBIN","KEGG_MEDICUS_REFERENCE_LECTIN_PATHWAY_OF_COAGULATION_CASCADE_PROTHROMBIN_TO_THROMBIN","-2.265782954194965","0.00020822054492072723","0.02545645866964807435551","0.01876135715728882366604","6","8","0.7500000000000000","0","0","0","0.00000000000000000","0.00000000000000000","0.00000000000000000","1.0000000000000000","0.000000000000000000","Keep","itself","",TRUE,"COLEC11/MASP2/MBL2/F2/FCN2/COLEC10","COLEC11/MASP2/MBL2/F2/FCN2/COLEC10"
"GSE50760","ATF3_correlation","Liver_metastasis","CP_KEGG_MEDICUS","6","KEGG_MEDICUS_REFERENCE_LECTIN_PATHWAY_OF_COMPLEMENT_CASCADE_C4_C2_TO_C3_CONVERTASE_FORMATION","KEGG_MEDICUS_REFERENCE_LECTIN_PATHWAY_OF_COMPLEMENT_CASCADE_C4_C2_TO_C3_CONVERTASE_FORMATION","-2.407119245374810","0.00023212576294511913","0.02545645866964807435551","0.01876135715728882366604","11","11","1.0000000000000000","0","0","0","0.00000000000000000","0.00000000000000000","0.00000000000000000","1.0000000000000000","0.000000000000000000","Keep","itself","",TRUE,"FCN1/C2/C4B/C4A/FCN3/COLEC11/MASP1/MASP2/MBL2/FCN2/COLEC10","FCN1/C2/C4B/C4A/FCN3/COLEC11/MASP1/MASP2/MBL2/FCN2/COLEC10"
"GSE50760","ATF3_correlation","Liver_metastasis","CP_KEGG_MEDICUS","7","KEGG_MEDICUS_REFERENCE_ITGA_B_TALIN_VINCULIN_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_ITGA_B_TALIN_VINCULIN_SIGNALING_PATHWAY","1.748158607100271","0.00047879209991893870","0.04500645739238024606310","0.03316966560354724785631","21","30","0.7000000000000000","0","0","0","0.00000000000000000","0.00000000000000000","0.00000000000000000","1.0000000000000000","0.000000000000000000","Keep","itself","",TRUE,"ITGB5/ITGB4/ACTG1/ACTN4/ITGA3/PXN/ILK/VCL/ITGB1/ACTB/ITGA5/ITGA10/TLN2/ITGB8/ACTN1/ITGA2B/ITGB3/ITGAV/ITGA11/PTK2/ITGB6","ITGB5/ITGB4/ACTG1/ACTN4/ITGA3/PXN/ILK/VCL/ITGB1/ACTB/ITGA5/ITGA10/TLN2/ITGB8/ACTN1/ITGA2B/ITGB3/ITGAV/ITGA11/PTK2/ITGB6"
"GSE50760","ATF3_correlation","Liver_metastasis","CP_KEGG_MEDICUS","8","KEGG_MEDICUS_REFERENCE_NLRP1_INFLAMMASOME_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_NLRP1_INFLAMMASOME_SIGNALING_PATHWAY","1.812179413436251","0.00072363633448813039","0.05951908851164872116257","0.04386544459048143801416","3","5","0.6000000000000000","0","4","3","1.00000000000000000","0.80000000000000004","0.66666666666666663","0.4000000000000001","1.000000000000000000","Keep","KEGG_MEDICUS_REFERENCE_NALP12_INFLAMMASOME_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_NALP12_INFLAMMASOME_SIGNALING_PATHWAY",FALSE,"IL1B/PYCARD/IL18","IL1B/PYCARD/IL18"
"GSE50760","ATF3_correlation","Liver_metastasis","CP_KEGG_MEDICUS","9","KEGG_MEDICUS_PATHOGEN_SARS_COV_2_S_TO_ANGII_AT1R_NOX2_SIGNALING_PATHWAY","KEGG_MEDICUS_PATHOGEN_SARS_COV_2_S_TO_ANGII_AT1R_NOX2_SIGNALING_PATHWAY","1.849637910414243","0.00095144323933741789","0.06956107238711346785198","0.05126636584587825062886","6","14","0.4285714285714285","0","1","1","0.16666666666666666","0.07142857142857142","0.05555555555555555","0.4285714285714285","0.800000000000000044","Keep","KEGG_MEDICUS_REFERENCE_NALP12_INFLAMMASOME_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_NALP12_INFLAMMASOME_SIGNALING_PATHWAY",FALSE,"MMP1/IL6/IL1B/CCL2/MMP3/CXCL8","MMP1/IL6/IL1B/CCL2/MMP3/CXCL8"
"GSE50760","ATF3_correlation","Liver_metastasis","CP_KEGG_MEDICUS","10","KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION","KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION","-1.672779142884253","0.00161299445119272378","0.10613503488848126388167","0.07822130023208116733624","29","30","0.9666666666666667","0","0","0","0.00000000000000000","0.00000000000000000","0.00000000000000000","1.0000000000000000","0.000000000000000000","Keep","itself","",TRUE,"RFC1/MCM3/POLE4/RPA3/PRIM2/RFC3/CDC45/GINS1/MCM2/POLA1/POLE3/MCM6/WDHD1/RPA1/GINS3/RFC4/RPA2/GINS2/MCM5/PRIM1/GINS4/POLE2/PCNA/MCM10/MCM4/POLA2/RFC2/MCM7/POLE","RFC1/MCM3/POLE4/RPA3/PRIM2/RFC3/CDC45/GINS1/MCM2/POLA1/POLE3/MCM6/WDHD1/RPA1/GINS3/RFC4/RPA2/GINS2/MCM5/PRIM1/GINS4/POLE2/PCNA/MCM10/MCM4/POLA2/RFC2/MCM7/POLE"
