"Dataset","Plot_Category","Analysis_Name","GeneSet_Name","Denester_Rank","Pathway_ID","Description","NES","GSEA_P_Value","GSEA_P_Adjust","GSEA_Q_Value","Core_Gene_Count","Term_Size","Core_Density","Unexpected_Core_Gene_Fraction","Intersection_Size_With_MSP","Core_Genes_In_MSP_Intersection","Fraction_Core_In_MSP_Intersection","Fraction_Term_Overlap_With_MSP","Jaccard_With_MSP","Denester_P_Value","Reciprocal_P_Value","Denester_Status","Versus_Pathway_ID","Versus_Pathway_Name","Is_Reciprocal","Core_Enrichment_Matched","Core_Enrichment_Raw"
"GSE50760","ATF3_correlation","Liver_metastasis","hallmark","3","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","1.878901475417271","0.0000000001000000000000","0.000000001250000000000","0.000000001250000000000","81","200","0.4050000000000000","0","18","14","0.17283950617283950","0.0900000000000000","0.04712041884816754","0.00091116366972705191","0.24284516098767855","Exclude","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",FALSE,"ATF3/CDKN1A/ZFP36/PPP1R15A/ACKR3/PNRC1/ADM/MAFF/FOS/DUSP1/GPC1/IL6/FOSL2/DDIT3/JUN/BNIP3L/IER3/ALDOC/CCN1/BTG1/HAS1/BHLHE40/PLAUR/TIPARP/EDN2/CAVIN3/VLDLR/SLC2A3/NFIL3/SDC4/TGFBI/FOXO3/PAM/TPBG/PIM1/SERPINE1/AKAP12/PFKFB3/MIF/ADORA2B/CDKN1C/LDHA/PRKCA/SLC2A5/CXCR4/S100A4/SLC2A1/IDS/STC1/GPC4/DDIT4/KLF6/TNFAIP3/ERO1A/VEGFA/PGK1/ALDOA/NDRG1/KDM3A/CCN2/PPFIA4/ENO2/EFNA1/RRAGD/KLF7/P4HA1/HS3ST1/F3/ANXA2/KIF5A/GYS1/CAVIN1/ZNF292/LOX/GAPDH/CSRP2/CHST3/SULT2B1/HSPA5/PGF/BGN","ATF3/CDKN1A/ZFP36/PPP1R15A/ACKR3/PNRC1/ADM/MAFF/FOS/DUSP1/GPC1/IL6/FOSL2/DDIT3/JUN/BNIP3L/IER3/ALDOC/CCN1/BTG1/HAS1/BHLHE40/PLAUR/TIPARP/EDN2/CAVIN3/VLDLR/SLC2A3/NFIL3/SDC4/TGFBI/FOXO3/PAM/TPBG/PIM1/SERPINE1/AKAP12/PFKFB3/MIF/ADORA2B/CDKN1C/LDHA/PRKCA/SLC2A5/CXCR4/S100A4/SLC2A1/IDS/STC1/GPC4/DDIT4/KLF6/TNFAIP3/ERO1A/VEGFA/PGK1/ALDOA/NDRG1/KDM3A/CCN2/PPFIA4/ENO2/EFNA1/RRAGD/KLF7/P4HA1/HS3ST1/F3/ANXA2/KIF5A/GYS1/CAVIN1/ZNF292/LOX/GAPDH/CSRP2/CHST3/SULT2B1/HSPA5/PGF/BGN"
"GSE50760","ATF3_correlation","Liver_metastasis","hallmark","4","HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY","1.742476760159660","0.0000000001000000000000","0.000000001250000000000","0.000000001250000000000","67","200","0.3350000000000000","0","26","19","0.28358208955223879","0.1300000000000000","0.06951871657754011","0.00001132633582648562","0.12663154044589794","Exclude","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",FALSE,"ATF3/CDKN1A/PPP1R15A/PERP/TPD52L1/FOS/DDIT3/JUN/IER3/EPHA2/BTG1/BTG2/HBEGF/SERTAD3/KLK8/ZFP36L1/MXD1/CDKN2B/INHBB/IL1A/FOXO3/RGS16/TNFSF9/ITGB4/TGFA/PRMT2/SERPINB5/CSRNP2/TPRKB/APP/KRT17/PLK3/SAT1/TAX1BP3/S100A4/PLXNB2/ABHD4/TGFB1/DDIT4/MKNK2/TOB1/S100A10/ZNF365/RACK1/UPP1/TRAF4/RPS12/KIF13B/RALGDS/AK1/LIF/KLF4/NDRG1/TM4SF1/NINJ1/TSC22D1/PLK2/SPHK1/SLC3A2/EPS8L2/CDH13/TRIB3/RPL18/PHLDA3/CTSD/DDB2/SESN1","ATF3/CDKN1A/PPP1R15A/PERP/TPD52L1/FOS/DDIT3/JUN/IER3/EPHA2/BTG1/BTG2/HBEGF/SERTAD3/KLK8/ZFP36L1/MXD1/CDKN2B/INHBB/IL1A/FOXO3/RGS16/TNFSF9/ITGB4/TGFA/PRMT2/SERPINB5/CSRNP2/TPRKB/APP/KRT17/PLK3/SAT1/TAX1BP3/S100A4/PLXNB2/ABHD4/TGFB1/DDIT4/MKNK2/TOB1/S100A10/ZNF365/RACK1/UPP1/TRAF4/RPS12/KIF13B/RALGDS/AK1/LIF/KLF4/NDRG1/TM4SF1/NINJ1/TSC22D1/PLK2/SPHK1/SLC3A2/EPS8L2/CDH13/TRIB3/RPL18/PHLDA3/CTSD/DDB2/SESN1"
"GSE50760","ATF3_correlation","Liver_metastasis","hallmark","6","HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS","1.639453763540419","0.0000005211513170881001","0.000004342927642400834","0.000004342927642400834","85","161","0.5279503105590062","0","18","15","0.17647058823529413","0.1118012422360248","0.05247813411078717","0.00492206536855931825","0.10416028038180897","Exclude","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",FALSE,"ATF3/CDKN1A/GADD45B/IL6/DDIT3/EMP1/IFNGR1/JUN/BNIP3L/IER3/IL1B/EGR3/BTG2/MCL1/TNFRSF12A/NEDD9/IL1A/RHOB/TIMP3/RARA/PMAIP1/BCL2L1/APP/BTG3/CASP4/SAT1/SQSTM1/IGFBP6/GPX4/GSN/SMAD7/IL18/LMNA/GNA15/ENO2/PLPPR4/LUM/MMP2/CASP9/ANXA1/CCND1/PLAT/PEA15/PDGFRB/MADD/GPX1/BGN/CD69/CTNNB1/IGF2R/PSEN1/SLC20A1/BCL2L2/BCL10/RELA/LGALS3/BMF/BCAP31/ETF1/DCN/LEF1/ERBB2/BIK/TSPO/TIMP2/PPT1/BID/FDXR/ANKH/IFITM3/TIMP1/CAV1/DNAJC3/SOD2/CASP8/CFLAR/VDAC2/PTK2/ISG20/CD44/SPTAN1/DIABLO/ADD1/CASP3/ROCK1","ATF3/CDKN1A/GADD45B/IL6/DDIT3/EMP1/IFNGR1/JUN/BNIP3L/IER3/IL1B/EGR3/BTG2/MCL1/TNFRSF12A/NEDD9/IL1A/RHOB/TIMP3/RARA/PMAIP1/BCL2L1/APP/BTG3/CASP4/SAT1/SQSTM1/IGFBP6/GPX4/GSN/SMAD7/IL18/LMNA/GNA15/ENO2/PLPPR4/LUM/MMP2/CASP9/ANXA1/CCND1/PLAT/PEA15/PDGFRB/MADD/GPX1/BGN/CD69/CTNNB1/IGF2R/PSEN1/SLC20A1/BCL2L2/BCL10/RELA/LGALS3/BMF/BCAP31/ETF1/DCN/LEF1/ERBB2/BIK/TSPO/TIMP2/PPT1/BID/FDXR/ANKH/IFITM3/TIMP1/CAV1/DNAJC3/SOD2/CASP8/CFLAR/VDAC2/PTK2/ISG20/CD44/SPTAN1/DIABLO/ADD1/CASP3/ROCK1"
"GSE50760","ATF3_correlation","Liver_metastasis","hallmark","9","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","1.484133438944185","0.0000196739634015402077","0.000109299796675223362","0.000109299796675223362","113","200","0.5649999999999999","0","13","11","0.09734513274336283","0.0650000000000000","0.03359173126614987","0.02992576745102763780","0.14436907542764929","Exclude","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",FALSE,"CDKN1A/ADM/DCBLD2/LDLR/IL6/IL1B/IFNGR2/BTG2/PLAUR/IL4R/HBEGF/NOD2/CCL24/OSM/CCL20/MXD1/IL1A/RGS16/TNFSF9/TPBG/SERPINE1/RGS1/ADORA2B/CCL2/BDKRB1/CD55/CCL7/KLF6/PVR/HAS2/PROK2/CXCL8/EDN1/RHOG/C5AR1/ICAM4/LIF/PDPN/IL18/GABBR1/FFAR2/GNA15/SPHK1/NDP/NAMPT/PTGER4/F3/PDE4B/GPR183/ICAM1/BEST1/MMP14/CSF3/KCNMB2/IRAK2/CD69/CLEC5A/IL10/TLR2/ITGA5/GPR132/CSF1/PTGER2/PSEN1/INHBA/FPR1/RELA/P2RY2/LCP2/TNFAIP6/OSMR/ITGB8/C3AR1/TACR1/GNAI3/OPRK1/GPC3/SGMS2/KCNJ2/SELENOS/SLC7A1/TIMP1/EMP3/ITGB3/NFKBIA/CSF3R/FZD5/SCN1B/SLC11A2/PTGIR/ABI1/AXL/CD82/PIK3R5/MYC/SLC31A2/NLRP3/MEFV/IFNAR1/RIPK2/VIP/PTPRE/IL15RA/ADRM1/CHST2/LPAR1/CMKLR1/OLR1/ACVR1B/BST2/IRF7/SCARF1/CCL5","CDKN1A/ADM/DCBLD2/LDLR/IL6/IL1B/IFNGR2/BTG2/PLAUR/IL4R/HBEGF/NOD2/CCL24/OSM/CCL20/MXD1/IL1A/RGS16/TNFSF9/TPBG/SERPINE1/RGS1/ADORA2B/CCL2/BDKRB1/CD55/CCL7/KLF6/PVR/HAS2/PROK2/CXCL8/EDN1/RHOG/C5AR1/ICAM4/LIF/PDPN/IL18/GABBR1/FFAR2/GNA15/SPHK1/NDP/NAMPT/PTGER4/F3/PDE4B/GPR183/ICAM1/BEST1/MMP14/CSF3/KCNMB2/IRAK2/CD69/CLEC5A/IL10/TLR2/ITGA5/GPR132/CSF1/PTGER2/PSEN1/INHBA/FPR1/RELA/P2RY2/LCP2/TNFAIP6/OSMR/ITGB8/C3AR1/TACR1/GNAI3/OPRK1/GPC3/SGMS2/KCNJ2/SELENOS/SLC7A1/TIMP1/EMP3/ITGB3/NFKBIA/CSF3R/FZD5/SCN1B/SLC11A2/PTGIR/ABI1/AXL/CD82/PIK3R5/MYC/SLC31A2/NLRP3/MEFV/IFNAR1/RIPK2/VIP/PTPRE/IL15RA/ADRM1/CHST2/LPAR1/CMKLR1/OLR1/ACVR1B/BST2/IRF7/SCARF1/CCL5"
"GSE50760","ATF3_correlation","Liver_metastasis","hallmark","10","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","1.433365214913247","0.0000895186214260084221","0.000447593107130042124","0.000447593107130042124","78","200","0.3900000000000000","0","23","15","0.19230769230769232","0.1150000000000000","0.06100795755968170","0.00650129028489959508","0.42059643564971150","Exclude","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",FALSE,"PPP1R15A/CPE/TMEM158/DCBLD2/TRIB1/GPRC5B/EMP1/IL1B/MPZL2/PLAUR/HBEGF/CCL20/SOX9/RGS16/PTPRR/AKAP12/ITGBL1/CBX8/ANO1/HDAC9/CXCR4/HOXD11/MMP9/SEMA3B/SPP1/TNFAIP3/ERO1A/PLVAP/USP12/JUP/LIF/KLF4/NIN/SPARCL1/PTGS2/KCNN4/WNT7A/SLPI/PPBP/G0S2/PRRX1/PRDM1/PLAT/MYCN/DUSP6/GABRA3/ETV1/CCSER2/PLAU/RBM4/TPH1/MMP10/ADAM8/USH1C/ETV5/FCER1G/ITGB2/CBR4/INHBA/BTBD3/ADAM17/BTC/ID2/LAT2/PRELID3B/ZNF277/EPB41L3/CDADC1/C3AR1/FLT4/PLEK2/F13A1/ZNF639/SNAP91/YRDC/PCP4/TSPAN1/ANKH","PPP1R15A/CPE/TMEM158/DCBLD2/TRIB1/GPRC5B/EMP1/IL1B/MPZL2/PLAUR/HBEGF/CCL20/SOX9/RGS16/PTPRR/AKAP12/ITGBL1/CBX8/ANO1/HDAC9/CXCR4/HOXD11/MMP9/SEMA3B/SPP1/TNFAIP3/ERO1A/PLVAP/USP12/JUP/LIF/KLF4/NIN/SPARCL1/PTGS2/KCNN4/WNT7A/SLPI/PPBP/G0S2/PRRX1/PRDM1/PLAT/MYCN/DUSP6/GABRA3/ETV1/CCSER2/PLAU/RBM4/TPH1/MMP10/ADAM8/USH1C/ETV5/FCER1G/ITGB2/CBR4/INHBA/BTBD3/ADAM17/BTC/ID2/LAT2/PRELID3B/ZNF277/EPB41L3/CDADC1/C3AR1/FLT4/PLEK2/F13A1/ZNF639/SNAP91/YRDC/PCP4/TSPAN1/ANKH"
"GSE50760","ATF3_correlation","Liver_metastasis","hallmark","12","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE","1.395475560926836","0.0003364054764416253172","0.001401689485173439201","0.001401689485173438984","109","200","0.5450000000000000","0","12","10","0.09174311926605505","0.0600000000000000","0.03092783505154639","0.03481480232724173951","0.08780958772214638","Exclude","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",FALSE,"ZFP36/CPE/PERP/TPD52L1/FOS/KRT13/FOXC1/EGR3/SGK1/TMPRSS3/KRT19/TPBG/KLK10/FDFT1/SLC24A3/BTG3/SEMA3B/TOB1/HR/GJB3/GAL/KLF4/MYOF/PLAAT3/ST6GALNAC2/LSR/CLIC3/NCOR2/KLK11/SLC29A1/S100A9/PGR/SLC2A8/CCND1/EEIG1/TFAP2C/MAPT/DYNLT3/MAPK13/LAMC2/KCNK5/PKP3/SULT2B1/FARP1/ST14/HSPB8/DUSP2/RAB31/BAG1/HSPA4L/CD9/IMPA2/ID2/RET/LTF/FLNB/SFN/SCNN1A/OVOL2/PTGER3/PCP4/UGDH/NXT1/DHCR7/SCARB1/RPS6KA2/CAV1/XBP1/DNAJC1/BLVRB/SNX10/FABP5/ISG20/CD44/PDLIM3/LARGE1/WFS1/TFF3/ALDH3B1/ANXA9/TRIM29/CHPT1/ATP2B4/OPN3/IGSF1/CDH1/LLGL2/ABHD2/MYB/GFUS/HPRT1/FRK/NMU/SCUBE2/PRKAR2B/COX6C/UNC13B/TJP3/FKBP5/ARL3/GLA/RAPGEFL1/SLC26A2/CYP26B1/PLK4/BATF/TPSAB1/TFF1/CELSR2","ZFP36/CPE/PERP/TPD52L1/FOS/KRT13/FOXC1/EGR3/SGK1/TMPRSS3/KRT19/TPBG/KLK10/FDFT1/SLC24A3/BTG3/SEMA3B/TOB1/HR/GJB3/GAL/KLF4/MYOF/PLAAT3/ST6GALNAC2/LSR/CLIC3/NCOR2/KLK11/SLC29A1/S100A9/PGR/SLC2A8/CCND1/EEIG1/TFAP2C/MAPT/DYNLT3/MAPK13/LAMC2/KCNK5/PKP3/SULT2B1/FARP1/ST14/HSPB8/DUSP2/RAB31/BAG1/HSPA4L/CD9/IMPA2/ID2/RET/LTF/FLNB/SFN/SCNN1A/OVOL2/PTGER3/PCP4/UGDH/NXT1/DHCR7/SCARB1/RPS6KA2/CAV1/XBP1/DNAJC1/BLVRB/SNX10/FABP5/ISG20/CD44/PDLIM3/LARGE1/WFS1/TFF3/ALDH3B1/ANXA9/TRIM29/CHPT1/ATP2B4/OPN3/IGSF1/CDH1/LLGL2/ABHD2/MYB/GFUS/HPRT1/FRK/NMU/SCUBE2/PRKAR2B/COX6C/UNC13B/TJP3/FKBP5/ARL3/GLA/RAPGEFL1/SLC26A2/CYP26B1/PLK4/BATF/TPSAB1/TFF1/CELSR2"
"GSE50760","ATF3_correlation","Liver_metastasis","hallmark","14","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","1.328820949675593","0.0020972675182775644097","0.007490241136705586868","0.007490241136705586868","62","199","0.3115577889447236","0","21","12","0.19354838709677419","0.1055276381909548","0.05555555555555555","0.00836117906284204043","0.73462980566575009","Exclude","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",FALSE,"GADD45B/MAFF/EMP1/IFNGR1/SOCS2/BHLHE40/IL4R/IGF1R/SLC2A3/NFIL3/ST3GAL4/MXD1/RGS16/RHOB/TWSG1/PTRH2/SPRY4/PHLDA1/PIM1/ITGA6/BCL2L1/ARL4A/PLSCR1/CDKN1C/SNX9/SERPINB6/KLF6/SPP1/TNFRSF21/MAP6/ECM1/IRF6/GPX4/HOPX/LIF/NDRG1/PLEC/RRAGD/P4HA1/BMPR2/MYO1E/IL1RL1/SYNGR2/APLP1/UCK2/CDCP1/RNH1/ODC1/SH3BGRL2/DCPS/DENND5A/CD81/IL10/SYT11/SLC1A5/CSF1/IGF2R/PTGER2/RHOH/CAPG/EEF1AKMT1/SNX14","GADD45B/MAFF/EMP1/IFNGR1/SOCS2/BHLHE40/IL4R/IGF1R/SLC2A3/NFIL3/ST3GAL4/MXD1/RGS16/RHOB/TWSG1/PTRH2/SPRY4/PHLDA1/PIM1/ITGA6/BCL2L1/ARL4A/PLSCR1/CDKN1C/SNX9/SERPINB6/KLF6/SPP1/TNFRSF21/MAP6/ECM1/IRF6/GPX4/HOPX/LIF/NDRG1/PLEC/RRAGD/P4HA1/BMPR2/MYO1E/IL1RL1/SYNGR2/APLP1/UCK2/CDCP1/RNH1/ODC1/SH3BGRL2/DCPS/DENND5A/CD81/IL10/SYT11/SLC1A5/CSF1/IGF2R/PTGER2/RHOH/CAPG/EEF1AKMT1/SNX14"
"GSE50760","ATF3_correlation","Liver_metastasis","hallmark","15","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY","1.319428692287641","0.0025752790762079242823","0.008584263587359745873","0.008584263587359745873","107","200","0.5350000000000000","0","13","11","0.10280373831775701","0.0650000000000000","0.03359173126614987","0.01782213634679175041","0.06041585607253927","Exclude","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",FALSE,"TPD52L1/KCNK15/FOS/KRT13/FOXC1/EGR3/CALB2/BHLHE40/TIPARP/HES1/IGF1R/KDM4B/TMPRSS3/INHBB/KRT19/RARA/PMAIP1/TPBG/KLK10/ELF3/FDFT1/SLC24A3/KLF10/SLC2A1/SEMA3B/GJA1/TOB1/HR/FHL2/KLF4/ABLIM1/MYOF/PLAAT3/MPPED2/KRT8/CLIC3/NCOR2/TUBB2B/KRT15/PGR/CCND1/EEIG1/TFAP2C/MAPT/DYNLT3/TMEM164/KCNK5/SULT2B1/FARP1/HSPB8/RAB31/BAG1/THSD4/CLDN7/GAB2/P2RY2/ISG20L2/RET/UNC119/FLNB/SFN/SCNN1A/STC2/OVOL2/ELF1/NXT1/DHCR7/SCARB1/RPS6KA2/CELSR1/XBP1/B4GALT1/BLVRB/RHOD/CD44/MLPH/PDLIM3/WFS1/TFF3/ALDH3B1/SYNGR1/ANXA9/LAD1/NAV2/CHPT1/KRT18/OPN3/MYC/ABHD2/MYB/CANT1/SNX24/FRK/MINDY1/PODXL/RRP12/TJP3/TGM2/FKBP5/ARL3/GLA/SLC39A6/RAPGEFL1/SLC26A2/CYP26B1/TFF1/CELSR2","TPD52L1/KCNK15/FOS/KRT13/FOXC1/EGR3/CALB2/BHLHE40/TIPARP/HES1/IGF1R/KDM4B/TMPRSS3/INHBB/KRT19/RARA/PMAIP1/TPBG/KLK10/ELF3/FDFT1/SLC24A3/KLF10/SLC2A1/SEMA3B/GJA1/TOB1/HR/FHL2/KLF4/ABLIM1/MYOF/PLAAT3/MPPED2/KRT8/CLIC3/NCOR2/TUBB2B/KRT15/PGR/CCND1/EEIG1/TFAP2C/MAPT/DYNLT3/TMEM164/KCNK5/SULT2B1/FARP1/HSPB8/RAB31/BAG1/THSD4/CLDN7/GAB2/P2RY2/ISG20L2/RET/UNC119/FLNB/SFN/SCNN1A/STC2/OVOL2/ELF1/NXT1/DHCR7/SCARB1/RPS6KA2/CELSR1/XBP1/B4GALT1/BLVRB/RHOD/CD44/MLPH/PDLIM3/WFS1/TFF3/ALDH3B1/SYNGR1/ANXA9/LAD1/NAV2/CHPT1/KRT18/OPN3/MYC/ABHD2/MYB/CANT1/SNX24/FRK/MINDY1/PODXL/RRP12/TJP3/TGM2/FKBP5/ARL3/GLA/SLC39A6/RAPGEFL1/SLC26A2/CYP26B1/TFF1/CELSR2"
"GSE50760","ATF3_correlation","Liver_metastasis","hallmark","17","HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS","1.257440822688022","0.0105073782560548920767","0.030904053694279089853","0.030904053694279089853","90","200","0.4500000000000000","0","20","14","0.15555555555555556","0.1000000000000000","0.05263157894736842","0.01637947303133739999","0.50961758198142604","Exclude","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",FALSE,"CDKN1A/TPD52L1/GADD45B/BHLHE40/HBEGF/ITGB5/COX7A1/ACHE/ITGB4/APP/DAPK2/HSPB2/CRYAB/PLXNB2/TGFB1/PKIA/AK1/DES/CNN3/ABLIM1/GSN/SOD3/AEBP1/PICK1/PPFIA4/LAMA2/TNNI2/BDKRB2/SPHK1/MYL6B/CDH13/MAPK12/IFRD1/MAPRE3/TNNI1/FDPS/SLN/MYH11/GABARAPL2/SPEG/ITGB1/PDLIM7/SYNGR2/FKBP1B/KLF5/SCD/EIF4A2/TNNT3/RIT1/TAGLN/MYH4/KIFC3/CTF1/HSPB8/COL3A1/SPARC/BAG1/ACTC1/LDB3/DTNA/COL6A2/IGFBP7/PYGM/WWTR1/DENND2B/GJA5/STC2/MRAS/GAA/COL6A3/COL1A1/EFS/SGCA/RYR1/COL4A2/PRNP/ATP6AP1/AGRN/DMPK/TPM2/SH3BGR/MYOZ1/MYLK/LARGE1/SPTAN1/MEF2D/ANKRD2/NAV2/NOTCH1/COL15A1","CDKN1A/TPD52L1/GADD45B/BHLHE40/HBEGF/ITGB5/COX7A1/ACHE/ITGB4/APP/DAPK2/HSPB2/CRYAB/PLXNB2/TGFB1/PKIA/AK1/DES/CNN3/ABLIM1/GSN/SOD3/AEBP1/PICK1/PPFIA4/LAMA2/TNNI2/BDKRB2/SPHK1/MYL6B/CDH13/MAPK12/IFRD1/MAPRE3/TNNI1/FDPS/SLN/MYH11/GABARAPL2/SPEG/ITGB1/PDLIM7/SYNGR2/FKBP1B/KLF5/SCD/EIF4A2/TNNT3/RIT1/TAGLN/MYH4/KIFC3/CTF1/HSPB8/COL3A1/SPARC/BAG1/ACTC1/LDB3/DTNA/COL6A2/IGFBP7/PYGM/WWTR1/DENND2B/GJA5/STC2/MRAS/GAA/COL6A3/COL1A1/EFS/SGCA/RYR1/COL4A2/PRNP/ATP6AP1/AGRN/DMPK/TPM2/SH3BGR/MYOZ1/MYLK/LARGE1/SPTAN1/MEF2D/ANKRD2/NAV2/NOTCH1/COL15A1"
"GSE50760","ATF3_correlation","Liver_metastasis","hallmark","18","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","1.287004675053921","0.0150464834389239399820","0.040137940188734948233","0.040137940188734948233","57","144","0.3958333333333333","0","20","13","0.22807017543859648","0.1388888888888889","0.06172839506172839","0.01264402814636986228","0.69839270329668324","Exclude","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",FALSE,"ID1/DUSP1/LDLR/RBPMS/CCN1/BHLHE40/INPP4B/VLDLR/IGF1R/SERPINE1/ADORA2B/PRKCA/FZD2/RUNX1/PIAS3/GJA1/FHL2/HAS2/PMP22/RND3/SMAD7/PLCB4/GRK5/DBP/PPARG/F3/MAGI2/ANXA2/COL11A1/ARHGEF9/PRKCE/LTBP1/PTPN21/PDGFRB/COL3A1/COL1A2/MRPS31/LAMC1/PDLIM5/APBB2/IGFBP5/FYN/ERBB2/INSIG1/GCNT1/MAPK14/MAP1B/COL5A2/MAP2K5/NOTCH2/NR1D2/SLC7A1/COL1A1/CAV1/BMPR1A/ITGB3/YTHDC1","ID1/DUSP1/LDLR/RBPMS/CCN1/BHLHE40/INPP4B/VLDLR/IGF1R/SERPINE1/ADORA2B/PRKCA/FZD2/RUNX1/PIAS3/GJA1/FHL2/HAS2/PMP22/RND3/SMAD7/PLCB4/GRK5/DBP/PPARG/F3/MAGI2/ANXA2/COL11A1/ARHGEF9/PRKCE/LTBP1/PTPN21/PDGFRB/COL3A1/COL1A2/MRPS31/LAMC1/PDLIM5/APBB2/IGFBP5/FYN/ERBB2/INSIG1/GCNT1/MAPK14/MAP1B/COL5A2/MAP2K5/NOTCH2/NR1D2/SLC7A1/COL1A1/CAV1/BMPR1A/ITGB3/YTHDC1"
