"Dataset","Plot_Category","Analysis_Name","GeneSet_Name","Denester_Rank","Pathway_ID","Description","NES","GSEA_P_Value","GSEA_P_Adjust","GSEA_Q_Value","Core_Gene_Count","Term_Size","Core_Density","Unexpected_Core_Gene_Fraction","Intersection_Size_With_MSP","Core_Genes_In_MSP_Intersection","Fraction_Core_In_MSP_Intersection","Fraction_Term_Overlap_With_MSP","Jaccard_With_MSP","Denester_P_Value","Reciprocal_P_Value","Denester_Status","Versus_Pathway_ID","Versus_Pathway_Name","Is_Reciprocal","Core_Enrichment_Matched","Core_Enrichment_Raw"
"GSE50760","ATF3_high_low_DE","Liver_metastasis","CP_WIKIPATHWAYS","1","WP_1P36_COPY_NUMBER_VARIATION_SYNDROME","WP_1P36_COPY_NUMBER_VARIATION_SYNDROME","-2.578301028612759","0.00000000010000000000000","0.00000009240000000000001","0.00000004732510296272451","41","112","0.3660714285714285","0.00000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.0000000000000000000","0.0000000000000000000","Keep","itself","",TRUE,"C1orf159/RER1/SDF4/TRAF5/TNFRSF18/TRAF2/ESR1/INTS11/AURKAIP1/MCM2/MORN1/BTLA/UBE2J2/FNDC10/TAS1R3/PANK4/FAAP20/MIB2/MRPL20/SCNN1D/PEX10/TMEM52/ATAD3C/NADK/CDK11A/KLHL17/CDK11B/SLC35E2B/DVL1/SSU72/SKI/B3GALT6/PRKCZ/SAMD11/NOC2L/ATAD3B/ATAD3A/PUSL1/TNFRSF14/ACAP3/CCNL2","C1orf159/RER1/SDF4/TRAF5/TNFRSF18/TRAF2/ESR1/INTS11/AURKAIP1/MCM2/MORN1/BTLA/UBE2J2/FNDC10/TAS1R3/PANK4/FAAP20/MIB2/MRPL20/SCNN1D/PEX10/TMEM52/ATAD3C/NADK/CDK11A/KLHL17/CDK11B/SLC35E2B/DVL1/SSU72/SKI/B3GALT6/PRKCZ/SAMD11/NOC2L/ATAD3B/ATAD3A/PUSL1/TNFRSF14/ACAP3/CCNL2"
"GSE50760","ATF3_high_low_DE","Liver_metastasis","CP_WIKIPATHWAYS","2","WP_RETINOBLASTOMA_GENE_IN_CANCER","WP_RETINOBLASTOMA_GENE_IN_CANCER","-2.246287042222861","0.00000003840258591570863","0.00001774199469305739140","0.00000908703166247892626","56","90","0.6222222222222222","0.00000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.0000000000000000000","0.0000000000000000000","Keep","itself","",TRUE,"RPA3/RAF1/BARD1/TYMS/FANCG/DHFR/RFC3/HMGB1/TTK/PRIM1/RPA2/H2AZ1/CCNA2/SMC1A/SKP2/CCND3/TFDP2/POLE2/CCNE1/HMGB2/CDT1/MCM6/SMC2/TOP2A/PCNA/KIF4A/CDK4/CDC25A/CCDC6/CDK2/RBBP4/RFC4/RRM2/MCM7/ANLN/MYC/SUV39H1/CCNB2/DNMT1/TFDP1/CDK1/CDC45/SMC3/CDC25B/E2F2/CCNE2/CDC7/FAF1/PRKDC/ORC1/STMN1/DCK/MCM4/E2F1/HLTF/POLE","RPA3/RAF1/BARD1/TYMS/FANCG/DHFR/RFC3/HMGB1/TTK/PRIM1/RPA2/H2AZ1/CCNA2/SMC1A/SKP2/CCND3/TFDP2/POLE2/CCNE1/HMGB2/CDT1/MCM6/SMC2/TOP2A/PCNA/KIF4A/CDK4/CDC25A/CCDC6/CDK2/RBBP4/RFC4/RRM2/MCM7/ANLN/MYC/SUV39H1/CCNB2/DNMT1/TFDP1/CDK1/CDC45/SMC3/CDC25B/E2F2/CCNE2/CDC7/FAF1/PRKDC/ORC1/STMN1/DCK/MCM4/E2F1/HLTF/POLE"
"GSE50760","ATF3_high_low_DE","Liver_metastasis","CP_WIKIPATHWAYS","3","WP_GLUCOCORTICOID_RECEPTOR_PATHWAY","WP_GLUCOCORTICOID_RECEPTOR_PATHWAY","2.333083885493313","0.00000009647856021691872","0.00002385953881515363387","0.00001222029362630160057","27","70","0.3857142857142857","0.00000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.0000000000000000000","0.0000000000000000000","Keep","itself","",TRUE,"ACKR3/SPRY1/EDN2/CCL20/RGS2/JUN/CDC42EP3/MFGE8/PLK2/FGFBP1/AMIGO2/BHLHE40/BIRC2/GADD45B/MGAM/ALOX5AP/TNFAIP3/NAV3/LRRC8A/CDKN1C/TSC22D3/DNAJC15/SCNN1A/SLC26A2/ADGRF4/PTGS2/CPEB4","ACKR3/SPRY1/EDN2/CCL20/RGS2/JUN/CDC42EP3/MFGE8/PLK2/FGFBP1/AMIGO2/BHLHE40/BIRC2/GADD45B/MGAM/ALOX5AP/TNFAIP3/NAV3/LRRC8A/CDKN1C/TSC22D3/DNAJC15/SCNN1A/SLC26A2/ADGRF4/PTGS2/CPEB4"
"GSE50760","ATF3_high_low_DE","Liver_metastasis","CP_WIKIPATHWAYS","4","WP_METAPATHWAY_BIOTRANSFORMATION_PHASE_I_AND_II","WP_METAPATHWAY_BIOTRANSFORMATION_PHASE_I_AND_II","-2.091391293502400","0.00000010328804681884693","0.00002385953881515363387","0.00001222029362630160057","68","183","0.3715846994535519","0.00000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.0000000000000000000","0.0000000000000000000","Keep","itself","",TRUE,"CYP7B1/CYP3A7/GSTT2/CYP2D6/CYP4F12/CYP2J2/NDST2/NAA40/FMO3/NAT10/GSTM4/CYP2S1/CHST13/HS2ST1/CYP4F22/CYP8B1/EPHX2/EPHX1/GSTP1/CYP2E1/NAA20/GAL3ST4/SULT2A1/NAT8/KCNAB3/GSTZ1/HS3ST2/NAT9/CYP2B6/AKR1B1/HS6ST2/AKR1C2/AKR1C4/CYP3A4/AKR1C1/CYP2C9/CHST9/AKR7A2/CYP4F3/CYP2C19/UGT2B4/HS6ST1/CYP26A1/CYP1A2/GSTO2/CYP2A6/GSTA1/CYP2A7/SULT1E1/CYP2C8/FMO2/SULT1C2/NAA50/GLYAT/CYP1A1/AKR1D1/AKR7A3/UGT2B7/GLYATL1/GAL3ST2/CYP7A1/BAAT/UGT2B15/CYP4F2/UGT2B17/GSTA2/KCNAB2/CYP4X1","CYP7B1/CYP3A7/GSTT2/CYP2D6/CYP4F12/CYP2J2/NDST2/NAA40/FMO3/NAT10/GSTM4/CYP2S1/CHST13/HS2ST1/CYP4F22/CYP8B1/EPHX2/EPHX1/GSTP1/CYP2E1/NAA20/GAL3ST4/SULT2A1/NAT8/KCNAB3/GSTZ1/HS3ST2/NAT9/CYP2B6/AKR1B1/HS6ST2/AKR1C2/AKR1C4/CYP3A4/AKR1C1/CYP2C9/CHST9/AKR7A2/CYP4F3/CYP2C19/UGT2B4/HS6ST1/CYP26A1/CYP1A2/GSTO2/CYP2A6/GSTA1/CYP2A7/SULT1E1/CYP2C8/FMO2/SULT1C2/NAA50/GLYAT/CYP1A1/AKR1D1/AKR7A3/UGT2B7/GLYATL1/GAL3ST2/CYP7A1/BAAT/UGT2B15/CYP4F2/UGT2B17/GSTA2/KCNAB2/CYP4X1"
"GSE50760","ATF3_high_low_DE","Liver_metastasis","CP_WIKIPATHWAYS","5","WP_OREXIN_RECEPTOR_PATHWAY","WP_OREXIN_RECEPTOR_PATHWAY","1.998127103288329","0.00000030309011289561376","0.00005601105286310942099","0.00002868754159953742971","53","200","0.2650000000000000","0.00000000000000000","2","2","0.03773584905660377","0.010000000000000000","0.007462686567164179","0.0692462311557788951","0.1453416149068322560","Keep","WP_GLUCOCORTICOID_RECEPTOR_PATHWAY","WP_GLUCOCORTICOID_RECEPTOR_PATHWAY",FALSE,"CDKN1A/ID1/FOS/JUNB/HBEGF/LDLR/PLD1/MAPK14/MAFF/EGR1/SGK1/ID3/FOSL2/FOSB/HES1/TRIM9/PRKAA1/NFE2L2/BHLHE40/IL6/GADD45B/PRKCA/IL1B/DUSP4/DYNLT3/TENT5A/PIK3R1/DYNLT1/COX7A1/EGR3/YARS2/SKIL/MMP3/SMAD1/RPS6KB1/PPARG/NR4A1/KLF10/SMAD5/MAPK9/LAMA2/PRDM16/HSPA5/GNAS/PDP1/CASP3/CCN2/RUNX1/CD24/IL10/STAT3/PRKD1/KLF4","CDKN1A/ID1/FOS/JUNB/HBEGF/LDLR/PLD1/MAPK14/MAFF/EGR1/SGK1/ID3/FOSL2/FOSB/HES1/TRIM9/PRKAA1/NFE2L2/BHLHE40/IL6/GADD45B/PRKCA/IL1B/DUSP4/DYNLT3/TENT5A/PIK3R1/DYNLT1/COX7A1/EGR3/YARS2/SKIL/MMP3/SMAD1/RPS6KB1/PPARG/NR4A1/KLF10/SMAD5/MAPK9/LAMA2/PRDM16/HSPA5/GNAS/PDP1/CASP3/CCN2/RUNX1/CD24/IL10/STAT3/PRKD1/KLF4"
"GSE50760","ATF3_high_low_DE","Liver_metastasis","CP_WIKIPATHWAYS","6","WP_FANCONI_ANEMIA","WP_FANCONI_ANEMIA","-2.282316567195791","0.00000039445653973153634","0.00006074630711865660086","0.00003111282726185832324","30","47","0.6382978723404256","0.00000000000000000","2","2","0.06666666666666667","0.042553191489361701","0.012738853503184714","0.4024051803885294598","0.1319176319176318668","Keep","WP_1P36_COPY_NUMBER_VARIATION_SYNDROME","WP_1P36_COPY_NUMBER_VARIATION_SYNDROME",FALSE,"FAAP24/FANCG/SMARCA4/RFWD3/FANCD2/FAN1/MAD2L2/RAD50/FAAP100/CENPX/RAD51/BRCA2/FANCB/RAD51C/UBE2T/MCM2/ATR/BRIP1/FANCI/CENPS/BRCA1/MEN1/FAAP20/USP1/XRCC2/UHRF1/SLX4/FANCM/FANCA/DCLRE1B","FAAP24/FANCG/SMARCA4/RFWD3/FANCD2/FAN1/MAD2L2/RAD50/FAAP100/CENPX/RAD51/BRCA2/FANCB/RAD51C/UBE2T/MCM2/ATR/BRIP1/FANCI/CENPS/BRCA1/MEN1/FAAP20/USP1/XRCC2/UHRF1/SLX4/FANCM/FANCA/DCLRE1B"
"GSE50760","ATF3_high_low_DE","Liver_metastasis","CP_WIKIPATHWAYS","8","WP_PHOTODYNAMIC_THERAPYINDUCED_AP1_SURVIVAL_SIGNALING","WP_PHOTODYNAMIC_THERAPYINDUCED_AP1_SURVIVAL_SIGNALING","2.206931126445698","0.00000359856304208027175","0.00041563403136027137971","0.00021287795810537998788","15","51","0.2941176470588235","0.00000000000000000","9","7","0.46666666666666667","0.176470588235294129","0.037190082644628100","0.0014103466397853612","0.0015218322084247851","Keep","WP_OREXIN_RECEPTOR_PATHWAY","WP_OREXIN_RECEPTOR_PATHWAY",TRUE,"CDKN1A/FOS/JUNB/HBEGF/MAPK14/JUN/TRAF6/MCL1/MAP2K3/NFE2L2/BCL2L1/MAP3K5/IL6/TNFRSF1A/MAP2K4","CDKN1A/FOS/JUNB/HBEGF/MAPK14/JUN/TRAF6/MCL1/MAP2K3/NFE2L2/BCL2L1/MAP3K5/IL6/TNFRSF1A/MAP2K4"
"GSE50760","ATF3_high_low_DE","Liver_metastasis","CP_WIKIPATHWAYS","9","WP_VEGFAVEGFR2_SIGNALING","WP_VEGFAVEGFR2_SIGNALING","1.559862796160761","0.00000759907822304421946","0.00078017203089920657104","0.00039958573258596144766","108","431","0.2505800464037123","0.00000000000000000","18","9","0.08333333333333333","0.041763341067285381","0.038793103448275863","0.0174616480684820670","0.0205864345058330706","Keep","WP_PHOTODYNAMIC_THERAPYINDUCED_AP1_SURVIVAL_SIGNALING","WP_PHOTODYNAMIC_THERAPYINDUCED_AP1_SURVIVAL_SIGNALING",TRUE,"HBEGF/SPIRE1/ACKR3/SLC2A14/DHX29/TRAF3IP2/GPC1/PPP3CA/JAG1/MAPK14/JUN/EGR1/AFDN/HDAC9/CSRP1/INPP4B/EZR/CCN1/F3/PRKAA2/FBXW11/CTNND1/SHC1/CTNNA1/CNP/OCLN/MAP2K3/PLAUR/PRKAA1/BCL2L1/MAP3K5/ITGB5/HSPA1A/ATF6/NCK1/PRKCA/LARP7/SCUBE2/YWHAE/MMP10/RCN1/ATP6V1E1/ITGB1/PRDX6/SHB/MAP2K4/EIF2AK3/RCAN2/PIK3R1/TXNDC5/EGR3/NFKBIA/RAB5A/PFN1/FLII/PBXIP1/ROCK1/TBCA/RPS6KB1/BMX/NR4A1/EPHA2/DNAJB4/ADAMTS1/SDCBP/FOXO3/MAPK9/NUMB/CCND1/BCAR1/RHOC/GJA1/FLNB/IER5/DUSP5/SLC25A11/ARF4/GIPC1/ANXA1/RICTOR/MYH11/HERPUD1/PTPRJ/RPL10A/MYO6/CCN2/NCF1/ASCC3/ITGAV/TMSB4X/FYN/ITGB3/STAT3/PRKD1/MMP2/CTNNB1/RAP1B/CRK/CLTC/PTGS2/ICAM1/LDHA/CSRP2/VCL/TRIP4/RCAN1/EIF3F/HTRA1","HBEGF/SPIRE1/ACKR3/SLC2A14/DHX29/TRAF3IP2/GPC1/PPP3CA/JAG1/MAPK14/JUN/EGR1/AFDN/HDAC9/CSRP1/INPP4B/EZR/CCN1/F3/PRKAA2/FBXW11/CTNND1/SHC1/CTNNA1/CNP/OCLN/MAP2K3/PLAUR/PRKAA1/BCL2L1/MAP3K5/ITGB5/HSPA1A/ATF6/NCK1/PRKCA/LARP7/SCUBE2/YWHAE/MMP10/RCN1/ATP6V1E1/ITGB1/PRDX6/SHB/MAP2K4/EIF2AK3/RCAN2/PIK3R1/TXNDC5/EGR3/NFKBIA/RAB5A/PFN1/FLII/PBXIP1/ROCK1/TBCA/RPS6KB1/BMX/NR4A1/EPHA2/DNAJB4/ADAMTS1/SDCBP/FOXO3/MAPK9/NUMB/CCND1/BCAR1/RHOC/GJA1/FLNB/IER5/DUSP5/SLC25A11/ARF4/GIPC1/ANXA1/RICTOR/MYH11/HERPUD1/PTPRJ/RPL10A/MYO6/CCN2/NCF1/ASCC3/ITGAV/TMSB4X/FYN/ITGB3/STAT3/PRKD1/MMP2/CTNNB1/RAP1B/CRK/CLTC/PTGS2/ICAM1/LDHA/CSRP2/VCL/TRIP4/RCAN1/EIF3F/HTRA1"
"GSE50760","ATF3_high_low_DE","Liver_metastasis","CP_WIKIPATHWAYS","10","WP_NONALCOHOLIC_FATTY_LIVER_DISEASE","WP_NONALCOHOLIC_FATTY_LIVER_DISEASE","1.824468638654261","0.00001744009526975693637","0.00161146480292554132759","0.00082535430432097167414","50","155","0.3225806451612903","0.00000000000000000","16","7","0.14000000000000001","0.103225806451612903","0.047197640117994100","0.2216677213212201458","0.0944429633779711869","Keep","WP_OREXIN_RECEPTOR_PATHWAY","WP_OREXIN_RECEPTOR_PATHWAY",FALSE,"COX7A2/NDUFS4/UQCR11/JUN/ADIPOR2/NDUFV3/ADIPOR1/PRKAA2/COX6B2/SMAD7/UQCRC2/SOCS3/PRKAA1/NDUFB7/NDUFC2-KCTD14/MAP3K5/SDHC/IL6/NDUFC2/DDIT3/NDUFB6/NDUFA2/COX5B/TNFRSF1A/IL1B/EIF2AK3/COX6B1/PIK3R1/NDUFA7/COX7A1/NDUFC1/NDUFB10/IL1A/NDUFA1/NDUFA13/COX4I1/NDUFB4/MAPK9/NDUFA11/NDUFV2/CASP3/NDUFS2/INSR/COX7B/NDUFB11/PRKAG1/NDUFB9/NDUFB3/NDUFS6/UQCRB","COX7A2/NDUFS4/UQCR11/JUN/ADIPOR2/NDUFV3/ADIPOR1/PRKAA2/COX6B2/SMAD7/UQCRC2/SOCS3/PRKAA1/NDUFB7/NDUFC2-KCTD14/MAP3K5/SDHC/IL6/NDUFC2/DDIT3/NDUFB6/NDUFA2/COX5B/TNFRSF1A/IL1B/EIF2AK3/COX6B1/PIK3R1/NDUFA7/COX7A1/NDUFC1/NDUFB10/IL1A/NDUFA1/NDUFA13/COX4I1/NDUFB4/MAPK9/NDUFA11/NDUFV2/CASP3/NDUFS2/INSR/COX7B/NDUFB11/PRKAG1/NDUFB9/NDUFB3/NDUFS6/UQCRB"
"GSE50760","ATF3_high_low_DE","Liver_metastasis","CP_WIKIPATHWAYS","13","WP_DNA_REPLICATION","WP_DNA_REPLICATION","-2.037099165037979","0.00003232964589270127006","0.00229789175421969043070","0.00117692601586193135686","24","42","0.5714285714285714","0.00000000000000000","21","14","0.58333333333333337","0.500000000000000000","0.189189189189189200","0.1749433499806541670","0.4163746162791556182","Keep","WP_RETINOBLASTOMA_GENE_IN_CANCER","WP_RETINOBLASTOMA_GENE_IN_CANCER",FALSE,"PRIM1/RPA2/RFC2/POLE2/CDT1/MCM6/PCNA/MCM2/CDK2/ORC6/RFC4/MCM7/DBF4/CDC6/CDC45/POLA2/POLD2/CDC7/ORC1/POLD1/MCM4/MCM5/MCM10/POLE","PRIM1/RPA2/RFC2/POLE2/CDT1/MCM6/PCNA/MCM2/CDK2/ORC6/RFC4/MCM7/DBF4/CDC6/CDC45/POLA2/POLD2/CDC7/ORC1/POLD1/MCM4/MCM5/MCM10/POLE"
