"Dataset","Plot_Category","Analysis_Name","GeneSet_Name","Denester_Rank","Pathway_ID","Description","NES","GSEA_P_Value","GSEA_P_Adjust","GSEA_Q_Value","Core_Gene_Count","Term_Size","Core_Density","Unexpected_Core_Gene_Fraction","Intersection_Size_With_MSP","Core_Genes_In_MSP_Intersection","Fraction_Core_In_MSP_Intersection","Fraction_Term_Overlap_With_MSP","Jaccard_With_MSP","Denester_P_Value","Reciprocal_P_Value","Denester_Status","Versus_Pathway_ID","Versus_Pathway_Name","Is_Reciprocal","Core_Enrichment_Matched","Core_Enrichment_Raw"
"GSE50760","ATF3_high_low_DE","Primary_tumor","GO_BP","1","GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS","GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS","-3.438039689628730","0.00000000009999999999999999","0.00000003460952380952381","0.00000002942268261537077","52","76","0.68421052631578949","0.000000000000000000","0","0","0.000000000000000000","0.000000000000000000","0.000000000000000000","1.0000000000000000000000000000000","0.000000000000000000000000","Keep","itself","",TRUE,"NDUFA11/ANTKMT/NDUFA5/ATP5MF/ATP5F1B/ATP5MG/NDUFB10/ATP5F1C/NDUFB11/ATP5F1E/NDUFC2/NDUFA3/NDUFA9/NDUFS6/ATP5MK/NDUFB8/ATP5F1D/VPS9D1/NDUFS4/NDUFA8/NDUFB1/ATP6V0C/NDUFB5/ATP5ME/NDUFS7/NDUFA10/ATP5MC3/NDUFAB1/MT-ND6/NDUFA13/NDUFB4/NDUFB7/NDUFA6/ATP5PD/ATP5PO/ATP5MJ/NDUFA2/MT-ND5/NDUFB3/NDUFA12/NDUFA1/NDUFS3/ATP5PF/ATP5MC1/MT-ND1/NDUFB2/MT-ND4L/MT-ND3/MT-ND4/MT-ATP6/MT-ATP8/MT-ND2","NDUFA11/ANTKMT/NDUFA5/ATP5MF/ATP5F1B/ATP5MG/NDUFB10/ATP5F1C/NDUFB11/ATP5F1E/NDUFC2/NDUFA3/NDUFA9/NDUFS6/ATP5MK/NDUFB8/ATP5F1D/VPS9D1/NDUFS4/NDUFA8/NDUFB1/ATP6V0C/NDUFB5/ATP5ME/NDUFS7/NDUFA10/ATP5MC3/NDUFAB1/MT-ND6/NDUFA13/NDUFB4/NDUFB7/NDUFA6/ATP5PD/ATP5PO/ATP5MJ/NDUFA2/MT-ND5/NDUFB3/NDUFA12/NDUFA1/NDUFS3/ATP5PF/ATP5MC1/MT-ND1/NDUFB2/MT-ND4L/MT-ND3/MT-ND4/MT-ATP6/MT-ATP8/MT-ND2"
"GSE50760","ATF3_high_low_DE","Primary_tumor","GO_BP","2","GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE","GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE","-3.001520249076854","0.00000000009999999999999999","0.00000003460952380952381","0.00000002942268261537077","35","53","0.66037735849056600","0.000000000000000000","41","31","0.885714285714285676","0.773584905660377409","0.465909090909090884","0.0098827655915477308906647024855","0.112869472784535906928483","Exclude","GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS","GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS",FALSE,"ISCU/DLD/NDUFC1/NDUFA11/NDUFA5/NDUFB10/COQ9/NDUFC2/NDUFA3/NDUFA9/NDUFS6/NDUFB8/NDUFC2-KCTD14/NDUFS4/NDUFA8/NDUFB1/NDUFB5/NDUFS7/NDUFA10/NDUFAB1/MT-ND6/NDUFB4/NDUFB7/NDUFA6/NDUFA2/MT-ND5/NDUFB3/NDUFA1/NDUFS3/MT-ND1/NDUFB2/MT-ND4L/MT-ND3/MT-ND4/MT-ND2","ISCU/DLD/NDUFC1/NDUFA11/NDUFA5/NDUFB10/COQ9/NDUFC2/NDUFA3/NDUFA9/NDUFS6/NDUFB8/NDUFC2-KCTD14/NDUFS4/NDUFA8/NDUFB1/NDUFB5/NDUFS7/NDUFA10/NDUFAB1/MT-ND6/NDUFB4/NDUFB7/NDUFA6/NDUFA2/MT-ND5/NDUFB3/NDUFA1/NDUFS3/MT-ND1/NDUFB2/MT-ND4L/MT-ND3/MT-ND4/MT-ND2"
"GSE50760","ATF3_high_low_DE","Primary_tumor","GO_BP","3","GOBP_ATP_BIOSYNTHETIC_PROCESS","GOBP_ATP_BIOSYNTHETIC_PROCESS","-3.191413387118472","0.00000000009999999999999999","0.00000003460952380952381","0.00000002942268261537077","62","105","0.59047619047619049","0.000000000000000000","76","54","0.870967741935483875","0.723809523809523792","0.723809523809523792","0.0000638088769903843078170474490","0.000000000000000000000000","Keep","GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS","GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS",TRUE,"BCL2L13/SDHA/NDUFC1/PID1/PRKAG2/NDUFA11/ANTKMT/NDUFA5/ATP5MF/ATP5F1B/ATP5MG/NDUFB10/ATP5F1C/LETMD1/NDUFB11/ATP5F1E/NDUFC2/NDUFA3/NDUFA9/TMSB4X/NDUFS6/FAM3A/COX11/ATP5MK/NDUFB8/ATP5F1D/VPS9D1/NDUFS4/NDUFA8/ALDOA/NDUFB1/ATP6V0C/NDUFB5/ATP5ME/NDUFS7/NDUFA10/ATP5MC3/NDUFAB1/MT-ND6/NDUFA13/NDUFB4/NDUFB7/NDUFA6/ATP5PD/ATP5PO/ATP5MJ/NDUFA2/MT-ND5/NDUFB3/NDUFA12/NDUFA1/NDUFS3/ATP5PF/ATP5MC1/MT-ND1/NDUFB2/MT-ND4L/MT-ND3/MT-ND4/MT-ATP6/MT-ATP8/MT-ND2","BCL2L13/SDHA/NDUFC1/PID1/PRKAG2/NDUFA11/ANTKMT/NDUFA5/ATP5MF/ATP5F1B/ATP5MG/NDUFB10/ATP5F1C/LETMD1/NDUFB11/ATP5F1E/NDUFC2/NDUFA3/NDUFA9/TMSB4X/NDUFS6/FAM3A/COX11/ATP5MK/NDUFB8/ATP5F1D/VPS9D1/NDUFS4/NDUFA8/ALDOA/NDUFB1/ATP6V0C/NDUFB5/ATP5ME/NDUFS7/NDUFA10/ATP5MC3/NDUFAB1/MT-ND6/NDUFA13/NDUFB4/NDUFB7/NDUFA6/ATP5PD/ATP5PO/ATP5MJ/NDUFA2/MT-ND5/NDUFB3/NDUFA12/NDUFA1/NDUFS3/ATP5PF/ATP5MC1/MT-ND1/NDUFB2/MT-ND4L/MT-ND3/MT-ND4/MT-ATP6/MT-ATP8/MT-ND2"
"GSE50760","ATF3_high_low_DE","Primary_tumor","GO_BP","4","GOBP_ELECTRON_TRANSPORT_CHAIN","GOBP_ELECTRON_TRANSPORT_CHAIN","-3.191755593020884","0.00000000009999999999999999","0.00000003460952380952381","0.00000002942268261537077","67","126","0.53174603174603174","0.000000000000000000","46","33","0.492537313432835799","0.365079365079365059","0.294871794871794879","0.0012974995794437873576632203054","0.300753154212339834927548","Exclude","GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS","GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS",FALSE,"VPS54/SDHA/NDUFC1/UQCRB/NDUFA11/NDUFA5/SCO2/UQCRFS1/NDUFB10/GHITM/UQCRH/COQ9/WDR93/COX6B1/COX6C/NDUFC2/NDUFA3/NDUFA9/UQCRC2/NDUFS6/POR/CYB561/PPARGC1A/NDUFB8/BID/COX7A2L/NDUFC2-KCTD14/NDUFS4/NDUFA8/NDUFB1/NDUFB5/ETFA/NDUFS7/NDUFA10/NDUFAB1/UQCR10/COX8A/COX7B/COX7A2/MT-ND6/COX7C/NDUFB4/NDUFB7/MT-CO1/COX5B/NDUFA6/NDUFA2/COX5A/MT-ND5/NDUFB3/NDUFA12/COX4I1/NDUFA1/HCCS/NDUFS3/MT-ND1/UQCR11/MT-CYB/NDUFB2/UQCRQ/MT-ND4L/MT-ND3/MT-ND4/MT-ND2/MT-CO2/MT-CO3/COX6A1","VPS54/SDHA/NDUFC1/UQCRB/NDUFA11/NDUFA5/SCO2/UQCRFS1/NDUFB10/GHITM/UQCRH/COQ9/WDR93/COX6B1/COX6C/NDUFC2/NDUFA3/NDUFA9/UQCRC2/NDUFS6/POR/CYB561/PPARGC1A/NDUFB8/BID/COX7A2L/NDUFC2-KCTD14/NDUFS4/NDUFA8/NDUFB1/NDUFB5/ETFA/NDUFS7/NDUFA10/NDUFAB1/UQCR10/COX8A/COX7B/COX7A2/MT-ND6/COX7C/NDUFB4/NDUFB7/MT-CO1/COX5B/NDUFA6/NDUFA2/COX5A/MT-ND5/NDUFB3/NDUFA12/COX4I1/NDUFA1/HCCS/NDUFS3/MT-ND1/UQCR11/MT-CYB/NDUFB2/UQCRQ/MT-ND4L/MT-ND3/MT-ND4/MT-ND2/MT-CO2/MT-CO3/COX6A1"
"GSE50760","ATF3_high_low_DE","Primary_tumor","GO_BP","5","GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT","GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT","-3.373249285765433","0.00000000009999999999999999","0.00000003460952380952381","0.00000002942268261537077","53","101","0.52475247524752477","0.000000000000000000","46","29","0.547169811320754707","0.455445544554455461","0.351145038167938905","0.0401812604595494990422643866168","0.934935661837691500686276","Exclude","GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS","GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS",FALSE,"NDUFB10/GHITM/UQCRH/COQ9/COX6B1/COX6C/NDUFC2/NDUFA3/NDUFA9/UQCRC2/NDUFS6/NDUFB8/BID/COX7A2L/NDUFC2-KCTD14/NDUFS4/NDUFA8/NDUFB1/NDUFB5/NDUFS7/NDUFA10/NDUFAB1/UQCR10/COX8A/COX7B/COX7A2/MT-ND6/COX7C/NDUFB4/NDUFB7/MT-CO1/COX5B/NDUFA6/NDUFA2/COX5A/MT-ND5/NDUFB3/NDUFA12/COX4I1/NDUFA1/NDUFS3/MT-ND1/UQCR11/MT-CYB/NDUFB2/UQCRQ/MT-ND4L/MT-ND3/MT-ND4/MT-ND2/MT-CO2/MT-CO3/COX6A1","NDUFB10/GHITM/UQCRH/COQ9/COX6B1/COX6C/NDUFC2/NDUFA3/NDUFA9/UQCRC2/NDUFS6/NDUFB8/BID/COX7A2L/NDUFC2-KCTD14/NDUFS4/NDUFA8/NDUFB1/NDUFB5/NDUFS7/NDUFA10/NDUFAB1/UQCR10/COX8A/COX7B/COX7A2/MT-ND6/COX7C/NDUFB4/NDUFB7/MT-CO1/COX5B/NDUFA6/NDUFA2/COX5A/MT-ND5/NDUFB3/NDUFA12/COX4I1/NDUFA1/NDUFS3/MT-ND1/UQCR11/MT-CYB/NDUFB2/UQCRQ/MT-ND4L/MT-ND3/MT-ND4/MT-ND2/MT-CO2/MT-CO3/COX6A1"
"GSE50760","ATF3_high_low_DE","Primary_tumor","GO_BP","6","GOBP_DNA_REPLICATION","GOBP_DNA_REPLICATION","2.090344260420970","0.00000000009999999999999999","0.00000003460952380952381","0.00000002942268261537077","164","321","0.51090342679127720","0.000000000000000000","2","2","0.012195121951219513","0.006230529595015576","0.004716981132075472","0.2602414330218068561073607725120","0.346336996336996438827782","Keep","GOBP_ATP_BIOSYNTHETIC_PROCESS","GOBP_ATP_BIOSYNTHETIC_PROCESS",FALSE,"ESCO1/NYNRIN/TYMS/UBE2V2/RPA1/METTL4/TNFAIP1/NFIX/DTD1/NFIA/TTF1/NASP/NUCKS1/AFG2A/LIG1/CENPS/POLD3/PARP1/FAF1/USP1/MMS22L/MEAF6/CHEK1/FAM111A/SMARCA5/VCP/MCM4/ASCC1/CHRAC1/POLN/ZPR1/ORC1/WEE1/SUPT16H/GRWD1/DNA2/PTMS/FANCM/E2F8/POLH/CDC7/SMC3/TWNK/ZRANB3/SPRTN/ORC3/NBN/TERF1/PRIM2/WDHD1/POLE3/MCM3/RFC4/RRM1/NOC3L/ZBTB1/BARD1/MCM6/RECQL4/POLB/CTC1/REV3L/MCMBP/MCM5/DSCC1/PCNA/MCM8/NFIC/OBI1/EHMT2/ASCC3/MCM10/RFC1/POLD1/SET/FBXO5/MRE11/CDK1/TRAIP/WAPL/FAM111B/MCM9/CCNE2/CCNA2/NFRKB/EXD2/DDB1/PRIM1/GINS4/MCM2/TIPIN/PNKP/EXO1/RBBP4/SSRP1/INO80B/XRCC3/MSH2/RBMS1/CARM1/ATRX/EREG/TOP1MT/WDR33/INO80C/RNASEH1/DTL/RFC2/RECQL/CHAF1B/RPA2/MGME1/GINS1/RBBP6/BRCA1/CDK2/TBRG1/RNASEH2A/ACTR8/BRCA2/MAD2L2/MCM7/SETMAR/TONSL/TICRR/RUVBL1/PCLAF/E4F1/RFC3/RAD51/CIZ1/BCL6/TFPT/FEN1/POLA1/RBBP8/BLM/EGFR/SAMHD1/POLA2/FGFR1/JADE3/POLD2/ORC6/TIMELESS/SENP2/SDE2/CUL4B/RUVBL2/AIRIM/DHX9/ELOC/POLL/REV1/ATAD5/RMI1/SIN3A/YY1/CHTF8/E2F7/ACTL6A/DHFR/INO80E/ZBTB38","ESCO1/NYNRIN/TYMS/UBE2V2/RPA1/METTL4/TNFAIP1/NFIX/DTD1/NFIA/TTF1/NASP/NUCKS1/AFG2A/LIG1/CENPS/POLD3/PARP1/FAF1/USP1/MMS22L/MEAF6/CHEK1/FAM111A/SMARCA5/VCP/MCM4/ASCC1/CHRAC1/POLN/ZPR1/ORC1/WEE1/SUPT16H/GRWD1/DNA2/PTMS/FANCM/E2F8/POLH/CDC7/SMC3/TWNK/ZRANB3/SPRTN/ORC3/NBN/TERF1/PRIM2/WDHD1/POLE3/MCM3/RFC4/RRM1/NOC3L/ZBTB1/BARD1/MCM6/RECQL4/POLB/CTC1/REV3L/MCMBP/MCM5/DSCC1/PCNA/MCM8/NFIC/OBI1/EHMT2/ASCC3/MCM10/RFC1/POLD1/SET/FBXO5/MRE11/CDK1/TRAIP/WAPL/FAM111B/MCM9/CCNE2/CCNA2/NFRKB/EXD2/DDB1/PRIM1/GINS4/MCM2/TIPIN/PNKP/EXO1/RBBP4/SSRP1/INO80B/XRCC3/MSH2/RBMS1/CARM1/ATRX/EREG/TOP1MT/WDR33/INO80C/RNASEH1/DTL/RFC2/RECQL/CHAF1B/RPA2/MGME1/GINS1/RBBP6/BRCA1/CDK2/TBRG1/RNASEH2A/ACTR8/BRCA2/MAD2L2/MCM7/SETMAR/TONSL/TICRR/RUVBL1/PCLAF/E4F1/RFC3/RAD51/CIZ1/BCL6/TFPT/FEN1/POLA1/RBBP8/BLM/EGFR/SAMHD1/POLA2/FGFR1/JADE3/POLD2/ORC6/TIMELESS/SENP2/SDE2/CUL4B/RUVBL2/AIRIM/DHX9/ELOC/POLL/REV1/ATAD5/RMI1/SIN3A/YY1/CHTF8/E2F7/ACTL6A/DHFR/INO80E/ZBTB38"
"GSE50760","ATF3_high_low_DE","Primary_tumor","GO_BP","7","GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS","GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS","-2.975234102343386","0.00000000009999999999999999","0.00000003460952380952381","0.00000002942268261537077","64","130","0.49230769230769234","0.000000000000000000","105","60","0.937500000000000000","0.807692307692307709","0.807692307692307709","0.0001684038238155110005396519757","1.000000000000000000000000","Exclude","GOBP_ATP_BIOSYNTHETIC_PROCESS","GOBP_ATP_BIOSYNTHETIC_PROCESS",FALSE,"NDUFC1/NME7/PID1/PRKAG2/NDUFA11/ANTKMT/NDUFA5/ATP5MF/ATP5F1B/ATP5MG/NDUFB10/NME9/ATP5F1C/LETMD1/NDUFB11/ATP5F1E/NDUFC2/NDUFA3/NME2/AK4/NDUFA9/TMSB4X/NDUFS6/FAM3A/COX11/ATP5MK/NDUFB8/ATP5F1D/VPS9D1/NDUFS4/NDUFA8/ALDOA/NDUFB1/ATP6V0C/NDUFB5/ATP5ME/NDUFS7/NDUFA10/ATP5MC3/NDUFAB1/MT-ND6/NDUFA13/NDUFB4/NDUFB7/NDUFA6/ATP5PD/ATP5PO/ATP5MJ/NDUFA2/MT-ND5/NDUFB3/NDUFA12/NDUFA1/NDUFS3/ATP5PF/ATP5MC1/MT-ND1/NDUFB2/MT-ND4L/MT-ND3/MT-ND4/MT-ATP6/MT-ATP8/MT-ND2","NDUFC1/NME7/PID1/PRKAG2/NDUFA11/ANTKMT/NDUFA5/ATP5MF/ATP5F1B/ATP5MG/NDUFB10/NME9/ATP5F1C/LETMD1/NDUFB11/ATP5F1E/NDUFC2/NDUFA3/NME2/AK4/NDUFA9/TMSB4X/NDUFS6/FAM3A/COX11/ATP5MK/NDUFB8/ATP5F1D/VPS9D1/NDUFS4/NDUFA8/ALDOA/NDUFB1/ATP6V0C/NDUFB5/ATP5ME/NDUFS7/NDUFA10/ATP5MC3/NDUFAB1/MT-ND6/NDUFA13/NDUFB4/NDUFB7/NDUFA6/ATP5PD/ATP5PO/ATP5MJ/NDUFA2/MT-ND5/NDUFB3/NDUFA12/NDUFA1/NDUFS3/ATP5PF/ATP5MC1/MT-ND1/NDUFB2/MT-ND4L/MT-ND3/MT-ND4/MT-ATP6/MT-ATP8/MT-ND2"
"GSE50760","ATF3_high_low_DE","Primary_tumor","GO_BP","8","GOBP_OXIDATIVE_PHOSPHORYLATION","GOBP_OXIDATIVE_PHOSPHORYLATION","-3.280157413961255","0.00000000009999999999999999","0.00000003460952380952381","0.00000002942268261537077","73","149","0.48993288590604028","0.000000000000000000","68","46","0.630136986301369828","0.456375838926174504","0.433121019108280270","0.0000263226941945001995256346594","0.789807378994701769769904","Exclude","GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS","GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS",FALSE,"NDUFA11/ANTKMT/NDUFA5/ATP5MF/UQCRFS1/ATP5F1B/ATP5MG/NDUFB10/GHITM/ATP5F1C/UQCRH/COQ9/NDUFB11/COX6B1/ATP5F1E/COX6C/NDUFC2/NDUFA3/AK4/NDUFA9/UQCRC2/NDUFS6/NDUFB8/BID/COX7A2L/NDUFC2-KCTD14/ATP5F1D/ETFRF1/NDUFS4/NDUFA8/NDUFB1/NDUFB5/ATP5ME/NDUFS7/NDUFA10/NDUFAB1/UQCR10/COX8A/COX7B/COX7A2/MT-ND6/NDUFA13/COX7C/NDUFB4/NDUFB7/MT-CO1/COX5B/NDUFA6/ATP5PD/ATP5PO/NDUFA2/COX5A/MT-ND5/NDUFB3/NDUFA12/COX4I1/NDUFA1/NDUFS3/ATP5PF/MT-ND1/UQCR11/MT-CYB/NDUFB2/UQCRQ/MT-ND4L/MT-ND3/MT-ND4/MT-ATP6/MT-ATP8/MT-ND2/MT-CO2/MT-CO3/COX6A1","NDUFA11/ANTKMT/NDUFA5/ATP5MF/UQCRFS1/ATP5F1B/ATP5MG/NDUFB10/GHITM/ATP5F1C/UQCRH/COQ9/NDUFB11/COX6B1/ATP5F1E/COX6C/NDUFC2/NDUFA3/AK4/NDUFA9/UQCRC2/NDUFS6/NDUFB8/BID/COX7A2L/NDUFC2-KCTD14/ATP5F1D/ETFRF1/NDUFS4/NDUFA8/NDUFB1/NDUFB5/ATP5ME/NDUFS7/NDUFA10/NDUFAB1/UQCR10/COX8A/COX7B/COX7A2/MT-ND6/NDUFA13/COX7C/NDUFB4/NDUFB7/MT-CO1/COX5B/NDUFA6/ATP5PD/ATP5PO/NDUFA2/COX5A/MT-ND5/NDUFB3/NDUFA12/COX4I1/NDUFA1/NDUFS3/ATP5PF/MT-ND1/UQCR11/MT-CYB/NDUFB2/UQCRQ/MT-ND4L/MT-ND3/MT-ND4/MT-ATP6/MT-ATP8/MT-ND2/MT-CO2/MT-CO3/COX6A1"
"GSE50760","ATF3_high_low_DE","Primary_tumor","GO_BP","9","GOBP_PROTON_TRANSMEMBRANE_TRANSPORT","GOBP_PROTON_TRANSMEMBRANE_TRANSPORT","-3.429676195273396","0.00000000009999999999999999","0.00000003460952380952381","0.00000002942268261537077","89","193","0.46113989637305697","0.000000000000000000","60","45","0.505617977528089901","0.310880829015544036","0.287081339712918659","0.0000000530118622175427513767031","0.020510450232456713115514","Keep","GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS","GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS",TRUE,"ATP6V1A/PHB2/SLC25A12/NDUFC1/ATP1A1/SLC11A2/SLC9A1/NDUFA5/ATP5MF/ATP6AP2/UQCRFS1/ATP5F1B/ATP1B1/ATP6AP1/ATP5MG/NDUFB10/SLC25A5/SURF1/GHITM/ATP5F1C/UQCRH/ATP6V1D/COX6B1/ATP5F1E/TMEM175/SLC15A2/NDUFC2/NDUFA3/SLC25A3/SLC4A10/NDUFA9/ATP6V0E2/NDUFS6/ATP6V0D2/SLC15A1/SLC9A2/NDUFB8/ATP6V0B/COX7A2L/ATP5F1D/NDUFS4/NDUFA8/SLC36A1/NDUFB1/ATP6V0C/NDUFB5/ATP5ME/NDUFS7/ATP6V0A1/NDUFA10/FXYD3/ATP5MC3/UQCR10/ATP6V0D1/COX8A/ATP6V0E1/COX7B/MT-ND6/NDUFB4/NDUFB7/MT-CO1/COX5B/NDUFA6/ATP5PD/ATP5PO/NDUFA2/COX5A/MT-ND5/NDUFB3/NDUFA12/COX4I1/NDUFA1/NDUFS3/ATP5PF/ATP6V1E1/ATP5MC1/MT-ND1/MT-CYB/NDUFB2/SLC25A18/MT-ND4L/MT-ND3/MT-ND4/MT-ATP6/MT-ATP8/MT-ND2/SLC9A3/MT-CO2/MT-CO3","ATP6V1A/PHB2/SLC25A12/NDUFC1/ATP1A1/SLC11A2/SLC9A1/NDUFA5/ATP5MF/ATP6AP2/UQCRFS1/ATP5F1B/ATP1B1/ATP6AP1/ATP5MG/NDUFB10/SLC25A5/SURF1/GHITM/ATP5F1C/UQCRH/ATP6V1D/COX6B1/ATP5F1E/TMEM175/SLC15A2/NDUFC2/NDUFA3/SLC25A3/SLC4A10/NDUFA9/ATP6V0E2/NDUFS6/ATP6V0D2/SLC15A1/SLC9A2/NDUFB8/ATP6V0B/COX7A2L/ATP5F1D/NDUFS4/NDUFA8/SLC36A1/NDUFB1/ATP6V0C/NDUFB5/ATP5ME/NDUFS7/ATP6V0A1/NDUFA10/FXYD3/ATP5MC3/UQCR10/ATP6V0D1/COX8A/ATP6V0E1/COX7B/MT-ND6/NDUFB4/NDUFB7/MT-CO1/COX5B/NDUFA6/ATP5PD/ATP5PO/NDUFA2/COX5A/MT-ND5/NDUFB3/NDUFA12/COX4I1/NDUFA1/NDUFS3/ATP5PF/ATP6V1E1/ATP5MC1/MT-ND1/MT-CYB/NDUFB2/SLC25A18/MT-ND4L/MT-ND3/MT-ND4/MT-ATP6/MT-ATP8/MT-ND2/SLC9A3/MT-CO2/MT-CO3"
"GSE50760","ATF3_high_low_DE","Primary_tumor","GO_BP","10","GOBP_NUCLEAR_CHROMOSOME_SEGREGATION","GOBP_NUCLEAR_CHROMOSOME_SEGREGATION","2.061074009128950","0.00000000009999999999999999","0.00000003460952380952381","0.00000002942268261537077","140","346","0.40462427745664742","0.007092198581560284","20","11","0.078571428571428570","0.057803468208092484","0.030911901081916538","0.1297374910733142538976636615189","0.448974940844580727716817","Keep","GOBP_DNA_REPLICATION","GOBP_DNA_REPLICATION",FALSE,"PHF10/AKAP8/MAD1L1/DPF2/SMARCC1/GEM/NDC80/MLH1/SPDL1/SIRT1/CENPQ/TOP2B/HECW2/NUMA1/CDK5RAP2/DUSP1/NUP62/DYNC1LI1/STAG3/NCAPD3/SMC4/BUB3/CENPE/ARID1A/PSRC1/PBRM1/ARID1B/SEH1L/SPICE1/RCC1/P3H4/CLASP2/KIF15/SMARCA5/LSM14A/INCENP/TPR/ZW10/KIF23/H3-7/TTL/KIF14/MCMDC2/SUN1/KIF18A/NSMCE2/CEP55/NUSAP1/KIF11/SMC3/LATS1/RHOA/KNSTRN/SPC24/AGO4/MAPK15/NUF2/TERF1/TENT4A/ASPM/SKA1/AURKB/WRAP73/MAP9/CCDC66/DLGAP5/PHF13/SYCE2/AAAS/RAD21/TTK/EML3/SMC2/CENPF/CEP97/KIF2C/TACC3/SGO2/ZWINT/PMF1/KIFC1/EHMT2/CEP192/ZNF207/ZWILCH/RB1/FBXO5/ECT2/BUB1/CCNB1IP1/PRC1/NCAPG/CDK1/WAPL/CCNE2/HASPIN/ATM/DCAF13/APC/PIBF1/CLASP1/DDB1/RACGAP1/TRIP13/ABRAXAS1/C9orf78/PRP4K/SPAG5/AKAP8L/BUB1B/PSMG2/RRS1/XRCC3/MND1/SKA3/SGO1/ANAPC1/KIF4A/FLNA/ABRAXAS2/NCAPD2/NEK6/WASHC5/NCAPG2/BRD7/IK/PRICKLE1/ESPL1/PLK1/CENPA/ACTB/CENPI/CDC20/UHRF1/RCC2/RNF212/MAD2L2/NCAPH/CDCA8/CENPC","PHF10/AKAP8/MAD1L1/DPF2/SMARCC1/GEM/NDC80/MLH1/SPDL1/SIRT1/CENPQ/TOP2B/HECW2/NUMA1/CDK5RAP2/DUSP1/NUP62/DYNC1LI1/STAG3/NCAPD3/SMC4/BUB3/SACK1D/CENPE/ARID1A/PSRC1/PBRM1/ARID1B/SEH1L/SPICE1/RCC1/P3H4/CLASP2/KIF15/SMARCA5/LSM14A/INCENP/TPR/ZW10/KIF23/H3-7/TTL/KIF14/MCMDC2/SUN1/KIF18A/NSMCE2/CEP55/NUSAP1/KIF11/SMC3/LATS1/RHOA/KNSTRN/SPC24/AGO4/MAPK15/NUF2/TERF1/TENT4A/ASPM/SKA1/AURKB/WRAP73/MAP9/CCDC66/DLGAP5/PHF13/SYCE2/AAAS/RAD21/TTK/EML3/SMC2/CENPF/CEP97/KIF2C/TACC3/SGO2/ZWINT/PMF1/KIFC1/EHMT2/CEP192/ZNF207/ZWILCH/RB1/FBXO5/ECT2/BUB1/CCNB1IP1/PRC1/NCAPG/CDK1/WAPL/CCNE2/HASPIN/ATM/DCAF13/APC/PIBF1/CLASP1/DDB1/RACGAP1/TRIP13/ABRAXAS1/C9orf78/PRP4K/SPAG5/AKAP8L/BUB1B/PSMG2/RRS1/XRCC3/MND1/SKA3/SGO1/ANAPC1/KIF4A/FLNA/ABRAXAS2/NCAPD2/NEK6/WASHC5/NCAPG2/BRD7/IK/PRICKLE1/ESPL1/PLK1/CENPA/ACTB/CENPI/CDC20/UHRF1/RCC2/RNF212/MAD2L2/NCAPH/CDCA8/CENPC"
