"Dataset","Plot_Category","Analysis_Name","GeneSet_Name","Denester_Rank","Pathway_ID","Description","NES","GSEA_P_Value","GSEA_P_Adjust","GSEA_Q_Value","Core_Gene_Count","Term_Size","Core_Density","Unexpected_Core_Gene_Fraction","Intersection_Size_With_MSP","Core_Genes_In_MSP_Intersection","Fraction_Core_In_MSP_Intersection","Fraction_Term_Overlap_With_MSP","Jaccard_With_MSP","Denester_P_Value","Reciprocal_P_Value","Denester_Status","Versus_Pathway_ID","Versus_Pathway_Name","Is_Reciprocal","Core_Enrichment_Matched","Core_Enrichment_Raw"
"GSE50760","ATF3_high_low_DE","Primary_tumor","IMMUNESIGDB","8","GSE25088_WT_VS_STAT6_KO_MACROPHAGE_IL4_STIM_DN","GSE25088_WT_VS_STAT6_KO_MACROPHAGE_IL4_STIM_DN","2.186558921929532","0.0000000005884312668302772","0.0000003583546414996388","0.0000002837690579119318","91","199","0.4572864321608040","0.00000000000000000","35","26","0.28571428571428570","0.17587939698492464","0.096153846153846159","0.0001729018381730070919","0.06212478949802992","Exclude","GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP","GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP",FALSE,"FZD6/BMAL2/TYMS/HMGB2/ANOS1/EPB41L2/BAHCC1/HMGN2/FADS1/NASP/MOK/PLK4/NCAPD3/CENPS/CTNNAL1/GPSM2/NREP/KIF20A/PMAIP1/DNMT1/NOP56/STRA6/DAPK1/CDKN3/KIF14/E2F8/TENM4/PRKDC/CEP55/SPHK1/NUSAP1/KIF11/ASPM/ANXA1/RFC4/CDCA4/CKAP5/DLGAP5/GUCY1A1/MCM6/FAM216A/CENPF/CEP85/PCNA/ZWINT/DNAJC9/MELK/PRC1/CNTLN/NCAPG/CFAP70/CR2/S100A13/CDK1/HELLS/MKI67/HJURP/GUCY1B1/RACGAP1/GTF3A/TRIP13/HAUS5/YBX1/EXO1/SPAG5/ASRGL1/BUB1B/KCTD3/CD99/TUBB6/RAD51AP1/KIF4A/CLIC4/HDLBP/DTL/NCAPG2/GINS1/FANCI/ESPL1/RAD54L/CDC20/NCAPH/HMMR/DDB2/OIP5/PCLAF/RFC3/MLLT11/RAD51/CCNB2/PAQR4","FZD6/BMAL2/TYMS/HMGB2/ANOS1/EPB41L2/BAHCC1/HMGN2/FADS1/NASP/MOK/PLK4/NCAPD3/CENPS/CTNNAL1/GPSM2/NREP/KIF20A/PMAIP1/DNMT1/NOP56/STRA6/DAPK1/CDKN3/KIF14/E2F8/TENM4/PRKDC/CEP55/SPHK1/NUSAP1/KIF11/ASPM/ANXA1/RFC4/CDCA4/CKAP5/DLGAP5/GUCY1A1/MCM6/FAM216A/CENPF/CEP85/PCNA/ZWINT/DNAJC9/MELK/PRC1/CNTLN/NCAPG/CFAP70/CR2/S100A13/CDK1/HELLS/MKI67/HJURP/GUCY1B1/RACGAP1/GTF3A/TRIP13/HAUS5/YBX1/EXO1/SPAG5/ASRGL1/BUB1B/KCTD3/CD99/TUBB6/RAD51AP1/KIF4A/CLIC4/HDLBP/DTL/NCAPG2/GINS1/FANCI/ESPL1/RAD54L/CDC20/NCAPH/HMMR/DDB2/OIP5/PCLAF/RFC3/MLLT11/RAD51/CCNB2/PAQR4"
"GSE50760","ATF3_high_low_DE","Primary_tumor","IMMUNESIGDB","16","GSE2405_0H_VS_12H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN","GSE2405_0H_VS_12H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN","2.056221654898206","0.0000000484975968454357397","0.0000147675182394351838","0.0000116939038963334224","78","199","0.3919597989949749","0.00000000000000000","24","16","0.20512820512820512","0.12060301507537688","0.064000000000000001","0.0036099314628942405503","0.37521215862381302","Exclude","GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP","GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP",FALSE,"ARVCF/FADS2/ZC4H2/PDCD2L/LIG1/CENPE/SRR/PIMREG/VASH1/ANKS1A/GTF2H4/RGS12/IMPDH2/BRMS1L/ANKRD50/TSPAN2/BCAT1/WEE1/ATAT1/RTKN2/PHETA2/PTDSS2/ZNF239/KIF20B/CNTROB/KNSTRN/SMIM13/CKAP2L/MCUB/PRIM2/WDHD1/QSOX2/ATP10A/RRM1/MAP9/LRRC8E/BARD1/CCDC18/VANGL2/CLSPN/KIF2C/BSN/SGO2/GNB1L/NUP133/MELK/PRC1/CPA3/ABL1/INMT/TFDP2/TRIM32/INTS1/PRIM1/TRIP13/SHCBP1/CENPP/FANCB/ARHGAP11A/BUB1B/FIRRM/EDARADD/CEP128/PLXDC1/NDE1/FAM72A/TIMM44/TUBE1/AKAP12/TTF2/SHISA6/LMNB2/GLRB/DCLRE1C/OIP5/PDE5A/TPX2/DNMT3B","ARVCF/FADS2/ZC4H2/PDCD2L/LIG1/CENPE/SRR/PIMREG/VASH1/ANKS1A/GTF2H4/RGS12/IMPDH2/BRMS1L/ANKRD50/TSPAN2/BCAT1/WEE1/ATAT1/RTKN2/PHETA2/PTDSS2/ZNF239/KIF20B/CNTROB/KNSTRN/SMIM13/CKAP2L/MCUB/PRIM2/WDHD1/QSOX2/ATP10A/RRM1/MAP9/LRRC8E/BARD1/CCDC18/VANGL2/CLSPN/KIF2C/BSN/SGO2/GNB1L/NUP133/MELK/PRC1/CPA3/ABL1/INMT/TFDP2/TRIM32/INTS1/PRIM1/TRIP13/SHCBP1/CENPP/FANCB/ARHGAP11A/BUB1B/FIRRM/EDARADD/CEP128/PLXDC1/NDE1/FAM72A/TIMM44/TUBE1/AKAP12/TTF2/SHISA6/LMNB2/GLRB/DCLRE1C/OIP5/PDE5A/TPX2/DNMT3B"
"GSE50760","ATF3_high_low_DE","Primary_tumor","IMMUNESIGDB","21","GSE12845_IGD_NEG_BLOOD_VS_PRE_GC_TONSIL_BCELL_DN","GSE12845_IGD_NEG_BLOOD_VS_PRE_GC_TONSIL_BCELL_DN","1.984820824315598","0.0000001305085198644992660","0.0000302779766085638329","0.0000239761172388786450","85","198","0.4292929292929293","0.00000000000000000","15","11","0.12941176470588237","0.07575757575757576","0.039164490861618800","0.0138503963209373279902","0.24459975540872814","Exclude","GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP","GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP",FALSE,"JUNB/TSR1/PFAS/GEM/KANK1/NDC80/IER3/SPDL1/CEP170/ZFP36/SIK1/HMGN2/NASP/TUBB/CD72/ZNF331/SNRPD1/NAB2/HBEGF/SIKE1/TNFAIP3/KIF23/NUDCD3/IPO9/SPARC/RAD54B/MEST/ZNF160/PDCD11/UBQLN4/NEIL3/AURKB/FABP5/LBR/RRM1/RXRB/PKD2/CHD3/SMC2/RGL2/TACC3/NKTR/RPL39L/VGLL4/DNAJC9/YBX3/FBXO5/HNRNPA1/TRAIP/HELLS/RACGAP1/HAUS5/CHI3L2/NUP93/YBX1/MAFB/GNAS/BUB1B/FIRRM/EIF3B/RAD51AP1/MSH6/CSTF3/GRAMD1B/POLR1B/PSPH/GINS1/GJA1/RAD54L/SLC35E1/TFDP1/ACTB/CSF1R/TTF2/BRCA2/BST1/PPP2R1A/XPNPEP1/ELAVL1/TNPO1/SOX4/AIMP2/LHFPL6/PSMD14/MAB21L2","JUNB/TSR1/PFAS/GEM/KANK1/NDC80/IER3/SPDL1/CEP170/ZFP36/SIK1/HMGN2/NASP/TUBB/CD72/ZNF331/SNRPD1/NAB2/HBEGF/SIKE1/TNFAIP3/KIF23/NUDCD3/IPO9/SPARC/RAD54B/MEST/ZNF160/PDCD11/UBQLN4/NEIL3/AURKB/FABP5/LBR/RRM1/RXRB/PKD2/CHD3/SMC2/RGL2/TACC3/NKTR/RPL39L/VGLL4/DNAJC9/YBX3/FBXO5/HNRNPA1/TRAIP/HELLS/RACGAP1/HAUS5/CHI3L2/NUP93/YBX1/MAFB/GNAS/BUB1B/FIRRM/EIF3B/RAD51AP1/MSH6/CSTF3/GRAMD1B/POLR1B/PSPH/GINS1/GJA1/RAD54L/SLC35E1/TFDP1/ACTB/CSF1R/TTF2/BRCA2/BST1/PPP2R1A/XPNPEP1/ELAVL1/TNPO1/SOX4/AIMP2/LHFPL6/PSMD14/MAB21L2"
"GSE50760","ATF3_high_low_DE","Primary_tumor","IMMUNESIGDB","22","GSE36891_POLYIC_TLR3_VS_PAM_TLR2_STIM_PERITONEAL_MACROPHAGE_UP","GSE36891_POLYIC_TLR3_VS_PAM_TLR2_STIM_PERITONEAL_MACROPHAGE_UP","2.046001347071476","0.0000001518171002807535248","0.0000329093236527921884","0.0000260597929760067261","44","153","0.2875816993464052","0.00000000000000000","63","28","0.63636363636363635","0.41176470588235292","0.263598326359832658","0.0003432945230894314807","0.12313215435131995","Exclude","GSE36891_UNSTIM_VS_POLYIC_TLR3_STIM_PERITONEAL_MACROPHAGE_UP","GSE36891_UNSTIM_VS_POLYIC_TLR3_STIM_PERITONEAL_MACROPHAGE_UP",FALSE,"DUSP2/TRIB1/RGS1/NR4A1/EGR1/JUNB/NR4A2/FOS/FOSB/ATF3/NR4A3/GEM/IER3/RBM3/IER2/PTGS2/ZFP36/DUSP1/IL6/TBX3/KDM6B/ANAPC10/EGR2/SERPINE1/PLK3/PMAIP1/HBEGF/IMPACT/TNFAIP3/SEMA4C/MAFF/PELO/LRRC32/RHOB/PRDM11/DUSP4/JUN/LIF/CD93/MEGF8/PLK2/SLC25A25/RGS2/SPRY1","DUSP2/TRIB1/RGS1/NR4A1/EGR1/JUNB/NR4A2/FOS/FOSB/ATF3/NR4A3/GEM/IER3/RBM3/IER2/PTGS2/ZFP36/DUSP1/IL6/TBX3/KDM6B/ANAPC10/EGR2/SERPINE1/PLK3/PMAIP1/HBEGF/IMPACT/TNFAIP3/SEMA4C/MAFF/PELO/LRRC32/RHOB/PRDM11/DUSP4/JUN/LIF/CD93/MEGF8/PLK2/SLC25A25/RGS2/SPRY1"
"GSE50760","ATF3_high_low_DE","Primary_tumor","IMMUNESIGDB","23","GSE37532_WT_VS_PPARG_KO_VISCERAL_ADIPOSE_TISSUE_TREG_UP","GSE37532_WT_VS_PPARG_KO_VISCERAL_ADIPOSE_TISSUE_TREG_UP","1.979453240981249","0.0000001583979748537968742","0.0000329093236527921884","0.0000260597929760067261","91","199","0.4572864321608040","0.00000000000000000","32","21","0.23076923076923078","0.16080402010050251","0.087193460490463212","0.0114702090922635356607","0.37638806927916779","Exclude","GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP","GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP",FALSE,"RNF26/TYMS/CYTH2/CEP76/HMGB2/NDC80/SAE1/STMN1/HMGN2/TCEA1/PLK4/GPR137C/BACH2/CTNNAL1/GPSM2/RPRD2/PAPSS1/NRM/CALM3/ARHGAP19/CDKN3/PHF3/KIF14/KIF18A/ILK/JMJD1C/CDC25C/POLH/NUSAP1/CDC7/NSD2/MME/CKAP2L/HNRNPA2B1/SKA1/RFC4/RRM1/DLGAP5/IQGAP3/TRIM59/KIF2C/TACC3/SGO2/NAP1L4/DEPDC1/WDR19/MLLT10/WDR47/PSIP1/FBXO5/ECT2/MELK/PRC1/CCNF/CCDC150/TRMT5/POC1A/FAM111B/HP1BP3/TRIP13/ARHGAP11A/CDC25B/SPAG5/DEK/CDK19/ZNF367/CKS1B/PRDM10/KIF4A/CLIC4/CBX5/DEPDC1B/CPSF6/FANCI/HNRNPM/PNRC2/ESPL1/RAD54L/CENPI/HDGF/CDCA8/SPIN4/GTSE1/OIP5/PCLAF/TUG1/HAUS8/SEPHS1/TPX2/IFT122/CPAP","RNF26/TYMS/CYTH2/CEP76/HMGB2/NDC80/SAE1/STMN1/HMGN2/TCEA1/PLK4/GPR137C/BACH2/CTNNAL1/GPSM2/RPRD2/PAPSS1/NRM/CALM3/ARHGAP19/CDKN3/PHF3/KIF14/KIF18A/ILK/JMJD1C/CDC25C/POLH/NUSAP1/CDC7/NSD2/MME/CKAP2L/HNRNPA2B1/SKA1/RFC4/RRM1/DLGAP5/IQGAP3/TRIM59/KIF2C/TACC3/SGO2/NAP1L4/DEPDC1/WDR19/MLLT10/WDR47/PSIP1/FBXO5/ECT2/MELK/PRC1/CCNF/CCDC150/TRMT5/POC1A/FAM111B/HP1BP3/TRIP13/ARHGAP11A/CDC25B/SPAG5/DEK/CDK19/ZNF367/CKS1B/PRDM10/KIF4A/CLIC4/CBX5/DEPDC1B/CPSF6/FANCI/HNRNPM/PNRC2/ESPL1/RAD54L/CENPI/HDGF/CDCA8/SPIN4/GTSE1/OIP5/PCLAF/TUG1/HAUS8/SEPHS1/TPX2/IFT122/CPAP"
"GSE50760","ATF3_high_low_DE","Primary_tumor","IMMUNESIGDB","24","GSE7764_IL15_TREATED_VS_CTRL_NK_CELL_24H_UP","GSE7764_IL15_TREATED_VS_CTRL_NK_CELL_24H_UP","1.916494252711345","0.0000001621148948413408648","0.0000329093236527921884","0.0000260597929760067261","78","200","0.3900000000000000","0.00000000000000000","27","15","0.19230769230769232","0.13500000000000001","0.072386058981233251","0.0473517778667352437494","0.81520827578624755","Exclude","GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP","GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP",FALSE,"L3HYPDH/RGS16/GEMIN4/TYMS/HAUS1/SYNCRIP/SAE1/DDX20/PLK4/BLTP3A/TMEM107/GPSM2/PARP2/FAM111A/NFX1/EXOSC2/TARDBP/PATL1/SLC29A1/WEE1/GRWD1/DNA2/E2F8/CDC25C/RPP40/NUSAP1/KIF20B/PPP5C/MTBP/CALU/CKAP2L/NBN/WDR74/IARS1/POLE3/MCM3/FAM234B/THYN1/PRPS1/CENPF/CLSPN/MRM3/PUS3/TMEM201/ATAD2/ZWINT/KIFC1/PCGF6/RAD1/ZWILCH/NCAPG/HELLS/POLR3G/CCNA2/CIT/MPHOSPH10/PLAA/HAUS5/ARHGAP11A/GSTCD/CMTR1/POLR3E/XRCC3/NAT10/CDCA2/NANP/ILF2/PLRG1/DEPDC1B/CRTAP/COPS5/UBFD1/NOP9/BRCA1/ERRFI1/PTGER3/RAD54L/NUBPL","L3HYPDH/RGS16/GEMIN4/TYMS/HAUS1/SYNCRIP/SAE1/DDX20/PLK4/BLTP3A/TMEM107/GPSM2/PARP2/FAM111A/NFX1/EXOSC2/TARDBP/PATL1/SLC29A1/WEE1/GRWD1/DNA2/E2F8/CDC25C/RPP40/NUSAP1/KIF20B/PPP5C/MTBP/CALU/CKAP2L/NBN/WDR74/IARS1/POLE3/MCM3/FAM234B/THYN1/PRPS1/CENPF/CLSPN/MRM3/PUS3/TMEM201/ATAD2/ZWINT/KIFC1/PCGF6/RAD1/ZWILCH/NCAPG/HELLS/POLR3G/CCNA2/CIT/MPHOSPH10/PLAA/HAUS5/ARHGAP11A/GSTCD/CMTR1/POLR3E/XRCC3/NAT10/CDCA2/NANP/ILF2/PLRG1/DEPDC1B/CRTAP/COPS5/UBFD1/NOP9/BRCA1/ERRFI1/PTGER3/RAD54L/NUBPL"
"GSE50760","ATF3_high_low_DE","Primary_tumor","IMMUNESIGDB","26","GSE24026_PD1_LIGATION_VS_CTRL_IN_ACT_TCELL_LINE_DN","GSE24026_PD1_LIGATION_VS_CTRL_IN_ACT_TCELL_LINE_DN","1.963045876309721","0.0000002252432296113301586","0.0000422071159487077114","0.0000334224037948076353","63","200","0.3150000000000000","0.00000000000000000","12","8","0.12698412698412698","0.06000000000000000","0.030927835051546393","0.0107389253706639351688","0.47944779622899392","Exclude","GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP","GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP",FALSE,"MPRIP/MAP3K4/GEMIN4/DCTD/PFAS/RPA1/NPC1/RIN2/TRAF3/PKP4/NCAPD3/INTS15/USP1/TRIM28/ZNF236/CHEK1/KIF20A/IP6K1/BTN2A1/SIN3B/TRIM27/SUN1/ZZZ3/AMPD2/TDP1/KIF11/TNFRSF10C/ASPM/IARS1/EPS15L1/MCM6/TTK/PRMT5/SMC2/OSBP/KIF2C/PABPC4/ZNF207/RFC1/POLD1/INVS/BUB1/PRC1/GARS1/GPHN/RBM8A/PRMT1/MCM2/NUP93/AHNAK2/MTO1/RPS13/PMVK/FIRRM/EIF3B/PRDM10/ACVR1/CSTF3/AKR1C2/NRF1/SLCO3A1/TMEM45A/TRMT1","MPRIP/MAP3K4/GEMIN4/DCTD/PFAS/RPA1/NPC1/RIN2/TRAF3/PKP4/NCAPD3/INTS15/USP1/TRIM28/ZNF236/CHEK1/KIF20A/IP6K1/BTN2A1/SIN3B/TRIM27/SUN1/ZZZ3/AMPD2/TDP1/KIF11/TNFRSF10C/ASPM/IARS1/EPS15L1/MCM6/TTK/PRMT5/SMC2/OSBP/KIF2C/PABPC4/ZNF207/RFC1/POLD1/INVS/BUB1/PRC1/GARS1/GPHN/RBM8A/PRMT1/MCM2/NUP93/AHNAK2/MTO1/RPS13/PMVK/FIRRM/EIF3B/PRDM10/ACVR1/CSTF3/AKR1C2/NRF1/SLCO3A1/TMEM45A/TRMT1"
"GSE50760","ATF3_high_low_DE","Primary_tumor","IMMUNESIGDB","28","GSE21546_ELK1_KO_VS_SAP1A_KO_AND_ELK1_KO_DP_THYMOCYTES_DN","GSE21546_ELK1_KO_VS_SAP1A_KO_AND_ELK1_KO_DP_THYMOCYTES_DN","1.966757137410358","0.0000003939450017439996231","0.0000685464303034559165","0.0000542796260961983100","88","197","0.4467005076142132","0.00000000000000000","17","13","0.14772727272727273","0.08629441624365482","0.044736842105263158","0.0058783021988469529723","0.14269348487020789","Exclude","GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP","GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP",FALSE,"TJAP1/EPB41L2/TTF1/NUCKS1/FOXRED2/ZNF426/PSRC1/GNL2/ESF1/SMCR8/PHF19/NOP56/PATL1/SLC29A1/DIS3L/PMS1/UTP14A/NUSAP1/GGA2/MALSU1/CTPS1/ASPM/SKA1/AURKB/RFC4/RRM1/CDCA4/RECQL4/PRPF4/NOM1/MRM3/TRIM59/TMEM109/MCM5/PRPF3/DSCC1/SGO2/MCM8/COQ10A/QKI/RPRD1A/MCM10/DNAJC9/INVS/CCNF/CCDC150/OGFOD1/NRP1/SNW1/PPAN/MCM2/RSL1D1/SPAG5/RBM33/OLFM1/GNL3/EIF3B/ANAPC1/KIF4A/UBE3D/NCAPD2/NEMP1/FUS/NCAPG2/NDE1/DDN/ITGB3BP/MGME1/EBF3/TIMM50/HNRNPM/BRCA1/ANGPTL2/HMBS/CABLES1/CDC20/TCF19/DUS3L/TICRR/RUVBL1/ANP32B/ELAVL1/HAUS8/FEN1/CPAP/NUP88/BLM/SAV1","TJAP1/EPB41L2/TTF1/NUCKS1/FOXRED2/ZNF426/PSRC1/GNL2/ESF1/SMCR8/PHF19/NOP56/PATL1/SLC29A1/DIS3L/PMS1/UTP14A/NUSAP1/GGA2/MALSU1/CTPS1/ASPM/SKA1/AURKB/RFC4/RRM1/CDCA4/RECQL4/PRPF4/NOM1/MRM3/TRIM59/TMEM109/MCM5/PRPF3/DSCC1/SGO2/MCM8/COQ10A/QKI/RPRD1A/MCM10/DNAJC9/INVS/CCNF/CCDC150/OGFOD1/NRP1/SNW1/PPAN/MCM2/RSL1D1/SPAG5/RBM33/OLFM1/GNL3/EIF3B/ANAPC1/KIF4A/UBE3D/NCAPD2/NEMP1/FUS/NCAPG2/NDE1/DDN/ITGB3BP/MGME1/EBF3/TIMM50/HNRNPM/BRCA1/ANGPTL2/HMBS/CABLES1/CDC20/TCF19/DUS3L/TICRR/RUVBL1/ANP32B/ELAVL1/HAUS8/FEN1/CPAP/NUP88/BLM/SAV1"
"GSE50760","ATF3_high_low_DE","Primary_tumor","IMMUNESIGDB","33","GSE24634_TEFF_VS_TCONV_DAY10_IN_CULTURE_UP","GSE24634_TEFF_VS_TCONV_DAY10_IN_CULTURE_UP","1.914488930755032","0.0000009250837702370225164","0.0001365760038968113284","0.0001081499706463647274","75","200","0.3750000000000000","0.00000000000000000","36","22","0.29333333333333333","0.17999999999999999","0.098901098901098897","0.0013519564290818469540","0.59891312978862532","Exclude","GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP","GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP",FALSE,"FZD6/DLG5/HNRNPUL1/HMGB2/ADAM19/STMN1/TPM4/CEP57/SMC4/CDC73/BUB3/POLD3/METTL8/GPSM2/MDC1/PIMREG/CHEK1/EGFL6/NAB1/COCH/POGLUT2/ELAC2/KIF23/TPGS2/ARHGAP19/CDKN3/DNA2/E2F8/F5/GPR183/SMC3/AASDHPPT/CTPS1/WDHD1/TNC/SLC25A32/AURKB/DLGAP5/DUSP4/RBM4/SMC2/CENPF/PCNA/ZWINT/KIFC1/VGLL4/MCM10/ECT2/MRE11/CCNF/HELLS/TNFRSF8/CCNA2/THBS4/TXNDC15/GFPT2/SHCBP1/CDC14B/SPAG5/VRK1/BUB1B/MYL6B/SYT11/EWSR1/DPP4/CBX5/DTL/NR2F1/DCLRE1A/COPZ2/DUSP5/BRCA1/SUPT20H/ESPL1/PSMD5","FZD6/DLG5/HNRNPUL1/HMGB2/ADAM19/STMN1/TPM4/CEP57/SMC4/CDC73/BUB3/POLD3/METTL8/GPSM2/MDC1/PIMREG/CHEK1/EGFL6/NAB1/COCH/POGLUT2/ELAC2/KIF23/TPGS2/ARHGAP19/CDKN3/DNA2/E2F8/F5/GPR183/SMC3/AASDHPPT/CTPS1/WDHD1/TNC/SLC25A32/AURKB/DLGAP5/DUSP4/RBM4/SMC2/CENPF/PCNA/ZWINT/KIFC1/VGLL4/MCM10/ECT2/MRE11/CCNF/HELLS/TNFRSF8/CCNA2/THBS4/TXNDC15/GFPT2/SHCBP1/CDC14B/SPAG5/VRK1/BUB1B/MYL6B/SYT11/EWSR1/DPP4/CBX5/DTL/NR2F1/DCLRE1A/COPZ2/DUSP5/BRCA1/SUPT20H/ESPL1/PSMD5"
"GSE50760","ATF3_high_low_DE","Primary_tumor","IMMUNESIGDB","34","GSE24634_TEFF_VS_TCONV_DAY7_IN_CULTURE_UP","GSE24634_TEFF_VS_TCONV_DAY7_IN_CULTURE_UP","1.857529267236827","0.0000010285080218470405283","0.0001455196211114911920","0.0001152321220612702952","90","200","0.4500000000000000","0.00000000000000000","46","31","0.34444444444444444","0.23000000000000001","0.129943502824858753","0.0004561085280019675512","0.22373456957189403","Exclude","GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP","GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP",FALSE,"TRIB1/EGR1/HNRNPUL1/CDR2/CCR8/HMGB2/NDC80/STMN1/TPM4/PLK4/FAF1/CENPE/KIF20A/SNRPD1/KIF15/MCM4/TPGS2/ARHGAP19/CDC25C/CEP55/NUSAP1/TDP1/KIF11/FANCG/DCPS/BBS7/CTPS1/NEIL3/ASPM/PIEZO1/RFC4/CKAP5/DLGAP5/DUSP4/MCM6/FUT8/CENPF/STAU2/KIF2C/TACC3/PCNA/ZWINT/MELK/PRC1/NCAPG/ZBTB24/CDK1/HELLS/CCNA2/CCR3/ICOS/HJURP/PRIM1/RACGAP1/TRIP13/MCM2/INPP5B/PNKP/TSPAN5/RAD51AP1/KIF4A/SYT11/DTL/GRAMD1B/FIBP/DCLRE1A/FANCI/ESPL1/RAD54L/TFDP1/PLK1/CENPA/SEPTIN6/CDC20/GMPS/NCAPH/MCM7/CDCA8/HMMR/NEDD4/LMNB2/HACD1/OIP5/RFC3/RAD51/CCNB2/TPX2/FEN1/RBBP8/BLM","TRIB1/EGR1/HNRNPUL1/CDR2/CCR8/HMGB2/NDC80/STMN1/TPM4/PLK4/FAF1/CENPE/KIF20A/SNRPD1/KIF15/MCM4/TPGS2/ARHGAP19/CDC25C/CEP55/NUSAP1/TDP1/KIF11/FANCG/DCPS/BBS7/CTPS1/NEIL3/ASPM/PIEZO1/RFC4/CKAP5/DLGAP5/DUSP4/MCM6/FUT8/CENPF/STAU2/KIF2C/TACC3/PCNA/ZWINT/MELK/PRC1/NCAPG/ZBTB24/CDK1/HELLS/CCNA2/CCR3/ICOS/HJURP/PRIM1/RACGAP1/TRIP13/MCM2/INPP5B/PNKP/TSPAN5/RAD51AP1/KIF4A/SYT11/DTL/GRAMD1B/FIBP/DCLRE1A/FANCI/ESPL1/RAD54L/TFDP1/PLK1/CENPA/SEPTIN6/CDC20/GMPS/NCAPH/MCM7/CDCA8/HMMR/NEDD4/LMNB2/HACD1/OIP5/RFC3/RAD51/CCNB2/TPX2/FEN1/RBBP8/BLM"
