"Dataset","Plot_Category","Analysis_Name","GeneSet_Name","Denester_Rank","Pathway_ID","Description","NES","GSEA_P_Value","GSEA_P_Adjust","GSEA_Q_Value","Core_Gene_Count","Term_Size","Core_Density","Unexpected_Core_Gene_Fraction","Intersection_Size_With_MSP","Core_Genes_In_MSP_Intersection","Fraction_Core_In_MSP_Intersection","Fraction_Term_Overlap_With_MSP","Jaccard_With_MSP","Denester_P_Value","Reciprocal_P_Value","Denester_Status","Versus_Pathway_ID","Versus_Pathway_Name","Is_Reciprocal","Core_Enrichment_Matched","Core_Enrichment_Raw"
"GSE50760","ATF3_high_low_DE","Primary_tumor","TFT_GTRD","1","PSMB5_TARGET_GENES","PSMB5_TARGET_GENES","2.013383586199429","0.00000001000486047027442","0.000003011463001552599","0.000001746571019973433","89","311","0.28617363344051450","0.00000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.000000000000000000","0.00000000000000000","Keep","itself","",TRUE,"PPP1R15A/CCN2/CCN1/JUNB/ATF3/MCL1/THBS1/IER3/BRD2/STMN1/ZFP36/LMNA/DUSP1/RPL10A/COL1A1/SERPINE1/SPTAN1/EEF1A1/KBTBD2/PMAIP1/RCC1/FAM53C/IMPDH2/SRSF3/RPS20/RPL28/CD44/RPL12/ADAMTS4/SLC2A3/ANLN/CDC25C/KHDC4/TWIST1/NXF1/RHOB/RPS28/RND3/RBMX/DKK1/HNRNPA2B1/FSCN1/STC2/TUBA1A/TUBB3/EIF4A2/SNHG32/H2AC20/SETD5/SLC38A2/PLK2/LRSAM1/S100A13/CALR/MED29/RPL13A/CLASP1/SRSF7/H2AZ1/CDC25B/ZBTB4/DALRD3/S100A1/UBE2S/FLNA/DNAJA1/HSP90AB1/RPS9/POLR3D/PABPC1/CYB561A3/EEF2/FUS/RABGGTB/TUBA1B/PTMA/NPM1/MRPL49/RPS2/H2BC21/BTG2/ACTB/CBX3/RPL3/PAF1/ADAMTS1/TMSB10/RPS27/H2BC4","PPP1R15A/CCN2/CCN1/JUNB/ATF3/MCL1/THBS1/IER3/BRD2/STMN1/ZFP36/LMNA/DUSP1/RPL10A/COL1A1/SERPINE1/SPTAN1/EEF1A1/KBTBD2/PMAIP1/RCC1/FAM53C/IMPDH2/SRSF3/RPS20/RPL28/CD44/RPL12/ADAMTS4/SLC2A3/ANLN/CDC25C/KHDC4/TWIST1/NXF1/RHOB/RPS28/RND3/RBMX/DKK1/HNRNPA2B1/FSCN1/STC2/TUBA1A/TUBB3/EIF4A2/SNHG32/H2AC20/SETD5/SLC38A2/PLK2/LRSAM1/S100A13/CALR/MED29/RPL13A/CLASP1/SRSF7/H2AZ1/CDC25B/ZBTB4/DALRD3/S100A1/UBE2S/FLNA/DNAJA1/HSP90AB1/RPS9/POLR3D/PABPC1/CYB561A3/EEF2/FUS/RABGGTB/TUBA1B/PTMA/NPM1/MRPL49/RPS2/H2BC21/BTG2/ACTB/CBX3/RPL3/PAF1/ADAMTS1/TMSB10/RPS27/H2BC4"
"GSE50760","ATF3_high_low_DE","Primary_tumor","TFT_GTRD","2","RARB_TARGET_GENES","RARB_TARGET_GENES","-1.735393850895105","0.00000037525725190199588","0.000056476216411250370","0.000032754751710641282","3","7","0.42857142857142855","0.00000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.000000000000000000","0.00000000000000000","Keep","itself","",TRUE,"MT-ND4L/MT-ND3/MT-ND4","MT-ND4L/MT-ND3/MT-ND4"
"GSE50760","ATF3_high_low_DE","Primary_tumor","TFT_GTRD","3","CASP3_TARGET_GENES","CASP3_TARGET_GENES","-1.878930169833447","0.00000222079943026387642","0.000222820209503142249","0.000129229985685347924","4","15","0.26666666666666666","0.00000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.000000000000000000","0.00000000000000000","Keep","itself","",TRUE,"MT-CO1/MT-ND5/MT-CYB/MT-ND2","MT-CO1/MT-ND5/MT-CYB/MT-ND2"
"GSE50760","ATF3_high_low_DE","Primary_tumor","TFT_GTRD","4","NPM1_TARGET_GENES","NPM1_TARGET_GENES","1.587666184210290","0.00008207106525786957737","0.006175847660654685406","0.003581832664824056121","114","364","0.31318681318681318","0.00000000000000000","23","10","0.08771929824561403","0.063186813186813184","0.035276073619631899","0.143450737769881348","0.08401829707659220","Keep","PSMB5_TARGET_GENES","PSMB5_TARGET_GENES",FALSE,"RAI1/KLHL21/HNRNPUL1/ERCC1/INTS4/ZNF251/NEK4/CYB5D1/MAP3K7/SF3A3/COPA/DHX30/SMC4/THOC1/WDR70/USP22/PRPF8/ZSCAN12/TLN1/RPL10A/MDC1/POLR3C/ZNF202/RNF115/CSPP1/ZNF35/TNPO2/RPS11/ZNF23/ZNF250/JRK/ZNF445/TUBGCP5/RPS20/KDM1A/RPL12/FNTA/MED22/RBM25/NCBP3/ILK/ZZZ3/SEPTIN7/ZNF48/NOP14/ANKRD46/FCHSD2/NOM1/NLE1/YLPM1/PPIL4/COA1/RPS19/TMEM18/CREB3/NUP214/NOL9/RAD1/BNIP3L/DUSP12/IDH3B/LRSAM1/BANP/RPS3A/FUBP1/HIF1AN/PCM1/EFCAB7/PCNP/CLASP1/PUF60/CCDC90B/TIPIN/BYSL/EIF3G/YBX1/CDC25B/HOXB6/SSRP1/SKA3/ZNF367/CAMSAP2/POLR3D/PRKAB2/TRIM46/HDLBP/EEF2/ITGB3BP/CENPB/AGAP3/COPS5/MAPK14/GTPBP3/SRRM3/AKAP11/ACTB/UPF3A/RPL18/ATP9B/CLEC11A/ARHGEF1/IFT80/SPHK2/ARL14EP/ZNF398/ADGRE5/RPS8/MYCBP2/HGSNAT/KDM3B/GFUS/RO60/RPL10/HSF2BP","RAI1/KLHL21/HNRNPUL1/ERCC1/INTS4/ZNF251/NEK4/CYB5D1/MAP3K7/SF3A3/COPA/DHX30/SMC4/THOC1/WDR70/USP22/PRPF8/ZSCAN12/TLN1/RPL10A/MDC1/POLR3C/ZNF202/RNF115/CSPP1/ZNF35/TNPO2/RPS11/ZNF23/ZNF250/JRK/ZNF445/TUBGCP5/RPS20/KDM1A/RPL12/FNTA/MED22/RBM25/NCBP3/ILK/ZZZ3/SEPTIN7/ZNF48/NOP14/ANKRD46/FCHSD2/NOM1/NLE1/YLPM1/PPIL4/COA1/RPS19/TMEM18/CREB3/NUP214/NOL9/RAD1/BNIP3L/DUSP12/IDH3B/LRSAM1/BANP/RPS3A/FUBP1/HIF1AN/PCM1/EFCAB7/PCNP/CLASP1/PUF60/CCDC90B/TIPIN/BYSL/EIF3G/YBX1/CDC25B/HOXB6/SSRP1/SKA3/ZNF367/CAMSAP2/POLR3D/PRKAB2/TRIM46/HDLBP/EEF2/ITGB3BP/CENPB/AGAP3/COPS5/MAPK14/GTPBP3/SRRM3/AKAP11/ACTB/UPF3A/RPL18/ATP9B/CLEC11A/ARHGEF1/IFT80/SPHK2/ARL14EP/ZNF398/ADGRE5/RPS8/MYCBP2/HGSNAT/KDM3B/GFUS/RO60/RPL10/HSF2BP"
"GSE50760","ATF3_high_low_DE","Primary_tumor","TFT_GTRD","5","TFAM_TARGET_GENES","TFAM_TARGET_GENES","-1.963938830460858","0.00022964192595102800288","0.013824443942251886386","0.008017821618374845749","4","54","0.07407407407407407","0.00000000000000000","11","3","0.75000000000000000","0.203703703703703692","0.189655172413793094","0.023478186630239917","0.72527472527472514","Exclude","CASP3_TARGET_GENES","CASP3_TARGET_GENES",FALSE,"MT-ND6/MT-ND5/MT-CYB/MT-ND2","MT-ND6/MT-ND5/MT-CYB/MT-ND2"
"GSE50760","ATF3_high_low_DE","Primary_tumor","TFT_GTRD","6","SRPK1_TARGET_GENES","SRPK1_TARGET_GENES","1.526008047990026","0.00034083622083048114009","0.017098617078329138297","0.009916757753701687869","106","404","0.26237623762376239","0.00000000000000000","51","19","0.17924528301886791","0.126237623762376239","0.071129707112970716","0.043604847790477380","0.20397905422107843","Exclude","NPM1_TARGET_GENES","NPM1_TARGET_GENES",FALSE,"QRICH1/H6PD/FZD6/ZNF286A/DCTD/MAD1L1/METTL16/WDR27/CDC5L/WDR6/WWOX/CSDE1/SPDL1/ZNF614/EDRF1/MOK/HERPUD2/RPL10A/MMS22L/RAB33B/COL6A3/SUPT5H/RPS11/SLC35B4/TARDBP/IGF1R/TUBGCP5/SRSF10/SMARCA5/RPL12/THAP1/GRWD1/ZZZ3/FTO/SPRTN/RPS28/UHRF2/NOP14/CCDC77/NRBF2/ASPH/SUGP1/IKZF5/COPB1/RBM15/CEP97/NKTR/ZMYM3/RPS19/EIF4A2/TMEM18/SF1/NOL9/SNX5/MRE11/NCAPG/LRSAM1/BANP/HECW1/ZFP91-CNTF/XPC/PUF60/TIPIN/CDC25B/LTV1/TRAPPC2/ANKFY1/MAGEF1/UBR3/DSE/CDK13/SKA3/MSH2/MATR3/API5/NANP/WDR73/MAK16/SAXO1/SIPA1L1/DARS1/ASXL1/ATAD3A/NCAPG2/CENPB/RPGRIP1L/ZFP91/MGME1/MAPK14/RPS2/SAR1A/RICTOR/PSMD5/DBR1/AKAP11/LUC7L2/UPF3A/BTBD10/CDC20/TMEM79/DNTTIP2/RBM26/SSR1/SEC22C/C6orf120/RPS6","QRICH1/H6PD/FZD6/ZNF286A/DCTD/MAD1L1/METTL16/WDR27/CDC5L/WDR6/WWOX/CSDE1/SPDL1/ZNF614/EDRF1/MOK/HERPUD2/RPL10A/MMS22L/RAB33B/COL6A3/SUPT5H/RPS11/SLC35B4/TARDBP/IGF1R/TUBGCP5/SRSF10/SMARCA5/RPL12/THAP1/GRWD1/ZZZ3/FTO/SPRTN/RPS28/UHRF2/NOP14/CCDC77/NRBF2/ASPH/SUGP1/IKZF5/COPB1/RBM15/CEP97/NKTR/ZMYM3/RPS19/EIF4A2/TMEM18/SF1/NOL9/SNX5/MRE11/NCAPG/LRSAM1/BANP/HECW1/ZFP91-CNTF/XPC/PUF60/TIPIN/CDC25B/LTV1/TRAPPC2/ANKFY1/MAGEF1/UBR3/DSE/CDK13/SKA3/MSH2/MATR3/API5/NANP/WDR73/MAK16/SAXO1/SIPA1L1/DARS1/ASXL1/ATAD3A/NCAPG2/CENPB/RPGRIP1L/ZFP91/MGME1/MAPK14/RPS2/SAR1A/RICTOR/PSMD5/DBR1/AKAP11/LUC7L2/UPF3A/BTBD10/CDC20/TMEM79/DNTTIP2/RBM26/SSR1/SEC22C/C6orf120/RPS6"
"GSE50760","ATF3_high_low_DE","Primary_tumor","TFT_GTRD","7","ZZZ3_TARGET_GENES","ZZZ3_TARGET_GENES","1.584594400405853","0.00063946525904628212338","0.026617374806738751392","0.015437392204803043749","88","319","0.27586206896551724","0.01123595505617977","17","7","0.07954545454545454","0.053291536050156740","0.027732463295269169","0.155986284452967666","0.18152969182028461","Keep","PSMB5_TARGET_GENES","PSMB5_TARGET_GENES",FALSE,"SRSF11/TGS1/IRS1/SMARCC1/NUP188/RPL7/SMC4/RPL10A/KIAA0586/DDX39B/NREP/USP47/ESF1/EEF1A1/WDR76/RBM5/YEATS2/RPS20/CCAR1/RPL8/DNA2/ISLR2/PUM1/TYK2/MTBP/RIBC1/H2BC11/MCM3/PDZD2/STK3/VPS52/FGF7/NDUFAF6/PRPF4/DPYSL2/ZMYM3/TMEM18/UBE2M/SETD5/RPL11/RPL15/RPS3A/SMAD4/EFCAB7/CSTF2T/DEGS1/RCBTB2/ZNF317/RPL5/RPS3/SVIL/FANCB/TXNIP/TOX4/RBBP4/EIF4G3/DNAAF10/RPS18/ATAD3A/RPS10-NUDT3/ITGB3BP/NR2F1/AIFM2/FANCI/RPL35A/RPS2/ARHGAP1/NKIRAS1/VTI1A/KMT5B/PCOLCE/RPS10/TMEM79/ARHGEF1/WDR77/RPL3/PDHX/C10orf143/XPO5/BASP1/ICMT/SNRPB/ZNF398/ZNF425/SNX16/E2F3/RPL36/H2BC4","SRSF11/TGS1/IRS1/SMARCC1/NUP188/RPL7/SMC4/RPL10A/KIAA0586/DDX39B/NREP/USP47/ESF1/EEF1A1/WDR76/RBM5/YEATS2/RPS20/CCAR1/RPL8/DNA2/ISLR2/DRC9/PUM1/TYK2/MTBP/RIBC1/H2BC11/MCM3/PDZD2/STK3/VPS52/FGF7/NDUFAF6/PRPF4/DPYSL2/ZMYM3/TMEM18/UBE2M/SETD5/RPL11/RPL15/RPS3A/SMAD4/EFCAB7/CSTF2T/DEGS1/RCBTB2/ZNF317/RPL5/RPS3/SVIL/FANCB/TXNIP/TOX4/RBBP4/EIF4G3/DNAAF10/RPS18/ATAD3A/RPS10-NUDT3/ITGB3BP/NR2F1/AIFM2/FANCI/RPL35A/RPS2/ARHGAP1/NKIRAS1/VTI1A/KMT5B/PCOLCE/RPS10/TMEM79/ARHGEF1/WDR77/RPL3/PDHX/C10orf143/XPO5/BASP1/ICMT/SNRPB/ZNF398/ZNF425/SNX16/E2F3/RPL36/H2BC4"
"GSE50760","ATF3_high_low_DE","Primary_tumor","TFT_GTRD","8","CSHL1_TARGET_GENES","CSHL1_TARGET_GENES","1.568204359815727","0.00070743853306946835342","0.026617374806738751392","0.015437392204803043749","76","253","0.30039525691699603","0.00000000000000000","7","3","0.03947368421052631","0.027667984189723320","0.012567324955116697","0.352915400535716905","0.32075770267927228","Keep","PSMB5_TARGET_GENES","PSMB5_TARGET_GENES",FALSE,"PPP1R15A/CCN2/ANO8/METTL3/CFAP97/ENY2/SF3B2/FADS1/PLEKHG2/ISYNA1/FAP/OSGEP/DDX39B/TRIM5/PARP2/ZNF567/OPA3/PLAU/GTF2H4/TNPO2/APEX1/ELP4/ARHGEF2/POLR1F/CDK8/KRT17/MFAP2/HES4/ZNF256/SPHK1/FCF1/DCPS/RND3/WDR74/SUSD1/TMEM109/BORCS7-ASMT/IFT88/NUDCD1/NOP53/DHX33/ZNF274/TAF3/DCTN1/NCAPD2/DARS1/VPS53/SNX25/TIPARP/ADGRL2/CCDC107/STRN4/SLC39A13/GTPBP3/GGPS1/WDR11/DBR1/RPL23A/H2AC25/IMMP1L/GSTA4/RASIP1/OXR1/SPRY4/PMS2/AIMP2/TMX3/PPIH/PCF11/POLA1/EGFR/BMP1/FOXP4/RPS27A/TIAM1/GNAI2","PPP1R15A/CCN2/ANO8/METTL3/CFAP97/ENY2/SF3B2/FADS1/PLEKHG2/ISYNA1/FAP/OSGEP/DDX39B/TRIM5/PARP2/ZNF567/OPA3/PLAU/GTF2H4/TNPO2/APEX1/ELP4/ARHGEF2/POLR1F/CDK8/KRT17/MFAP2/HES4/ZNF256/SPHK1/FCF1/DCPS/RND3/WDR74/SUSD1/TMEM109/BORCS7-ASMT/IFT88/NUDCD1/NOP53/DHX33/ZNF274/TAF3/DCTN1/NCAPD2/DARS1/VPS53/SNX25/TIPARP/ADGRL2/CCDC107/STRN4/SLC39A13/GTPBP3/GGPS1/WDR11/DBR1/RPL23A/H2AC25/IMMP1L/GSTA4/RASIP1/OXR1/SPRY4/PMS2/AIMP2/TMX3/PPIH/PCF11/POLA1/EGFR/BMP1/FOXP4/RPS27A/TIAM1/GNAI2"
"GSE50760","ATF3_high_low_DE","Primary_tumor","TFT_GTRD","9","HMCES_TARGET_GENES","HMCES_TARGET_GENES","-2.053762838051863","0.00090037571126443843080","0.030112565454510659135","0.017464512807491266305","6","22","0.27272727272727271","0.00000000000000000","5","3","0.50000000000000000","0.227272727272727265","0.208333333333333343","0.100478468899521514","0.28571428571428575","Keep","RARB_TARGET_GENES","RARB_TARGET_GENES",FALSE,"MT-ND6/MT-CO1/MT-CYB/MT-ND4L/MT-ND3/MT-ND4","MT-ND6/MT-CO1/MT-CYB/MT-ND4L/MT-ND3/MT-ND4"
"GSE50760","ATF3_high_low_DE","Primary_tumor","TFT_GTRD","10","SOX11_TARGET_GENES","SOX11_TARGET_GENES","1.786852934367690","0.00158032421237460870590","0.044672329384346752545","0.025908801090095325698","20","47","0.42553191489361702","0.00000000000000000","2","2","0.10000000000000001","0.042553191489361701","0.006711409395973154","0.175763182238667853","0.08940335027291550","Keep","CSHL1_TARGET_GENES","CSHL1_TARGET_GENES",FALSE,"CHD2/KDM2A/TTF1/OSGEP/PBRM1/APEX1/THOC5/ZNF146/ACTMAP/RBMX/ZNF397/GNL3/GTF2IRD1/SFPQ/ZNF565/MCM7/CEP41/ZNF43/SETMAR/CAPRIN1","CHD2/KDM2A/TTF1/OSGEP/PBRM1/APEX1/THOC5/ZNF146/ACTMAP/RBMX/ZNF397/GNL3/GTF2IRD1/SFPQ/ZNF565/MCM7/CEP41/ZNF43/SETMAR/CAPRIN1"
