"Dataset","Plot_Category","Analysis_Name","GeneSet_Name","Denester_Rank","Pathway_ID","Description","NES","GSEA_P_Value","GSEA_P_Adjust","GSEA_Q_Value","Core_Gene_Count","Term_Size","Core_Density","Unexpected_Core_Gene_Fraction","Intersection_Size_With_MSP","Core_Genes_In_MSP_Intersection","Fraction_Core_In_MSP_Intersection","Fraction_Term_Overlap_With_MSP","Jaccard_With_MSP","Denester_P_Value","Reciprocal_P_Value","Denester_Status","Versus_Pathway_ID","Versus_Pathway_Name","Is_Reciprocal","Core_Enrichment_Matched","Core_Enrichment_Raw"
"GSE50760","Main_DE","Liver_metastasis_vs_normal","CP_REACTOME","1","REACTOME_CD22_MEDIATED_BCR_REGULATION","REACTOME_CD22_MEDIATED_BCR_REGULATION","-3.087719077894262","0.00000000009999999999999999","0.000000003787500000000000","0.000000002638276389684515","55","61","0.9016393442622951","0.00000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.00000000000000000000000000000000000","0.00000000000000000000","Keep","itself","",TRUE,"IGLV3-1/IGHV2-70/IGLV3-21/IGHV1-69/IGHV2-5/IGKV1D-33/IGHV1-46/IGKV1-33/IGKV1D-16/IGHV3-13/IGHV3-11/IGLV3-25/IGLV3-19/IGKV1D-12/IGHV4-39/IGHV4-34/IGHV1-2/IGHV3-23/IGKV3D-20/IGHV3-30/IGKV3-15/IGHV3-53/IGKV1-5/IGKV1D-39/IGKV4-1/IGLV1-47/IGKV2D-28/IGKV1-39/IGLV1-44/IGKV1-17/IGKV5-2/IGHV3-33/CD79B/IGKV2-28/IGLV1-40/IGKV1-12/IGKV1-16/IGKV3-20/IGHM/IGHV3-48/IGLV1-51/IGHV3-7/IGKV3-11/IGHV4-59/IGLV7-43/IGLV2-14/IGLV2-8/CD22/IGLC2/IGKV2D-30/IGLC3/IGLV2-23/IGKV2-30/IGLV2-11/CD79A","IGLV3-1/IGHV2-70/IGLV3-21/IGHV1-69/IGHV2-5/IGKV1D-33/IGHV1-46/IGKV1-33/IGKV1D-16/IGHV3-13/IGHV3-11/IGLV3-25/IGLV3-19/IGKV1D-12/IGHV4-39/IGHV4-34/IGHV1-2/IGHV3-23/IGKV3D-20/IGHV3-30/IGKV3-15/IGHV3-53/IGKV1-5/IGKV1D-39/IGKV4-1/IGLV1-47/IGKV2D-28/IGKV1-39/IGLV1-44/IGKV1-17/IGKV5-2/IGHV3-33/CD79B/IGKV2-28/IGLV1-40/IGKV1-12/IGKV1-16/IGKV3-20/IGHM/IGHV3-48/IGLV1-51/IGHV3-7/IGKV3-11/IGHV4-59/IGLV7-43/IGLV2-14/IGLV2-8/CD22/IGLC2/IGKV2D-30/IGLC3/IGLV2-23/IGKV2-30/IGLV2-11/CD79A"
"GSE50760","Main_DE","Liver_metastasis_vs_normal","CP_REACTOME","2","REACTOME_FCGR_ACTIVATION","REACTOME_FCGR_ACTIVATION","-2.691250378505311","0.00000000009999999999999999","0.000000003787500000000000","0.000000002638276389684515","54","69","0.7826086956521739","0.00000000000000000","55","52","0.96296296296296291","0.797101449275362306","0.733333333333333282","0.00000000424823565208053880368352443","0.00985686327324379781","Keep","REACTOME_CD22_MEDIATED_BCR_REGULATION","REACTOME_CD22_MEDIATED_BCR_REGULATION",TRUE,"IGLV3-27/CD3G/CD247/IGLV3-1/IGHV2-70/IGLV3-21/IGHV1-69/IGHV2-5/IGKV1D-33/IGHV1-46/IGKV1-33/IGKV1D-16/IGHV3-13/IGHV3-11/IGLV3-25/IGLV3-19/IGKV1D-12/IGHV4-39/IGHV4-34/IGHV1-2/IGHV3-23/IGKV3D-20/IGHV3-30/IGKV3-15/IGHV3-53/IGKV1-5/IGKV1D-39/IGKV4-1/IGLV1-47/IGKV2D-28/IGKV1-39/IGLV1-44/IGKV1-17/IGKV5-2/IGHV3-33/IGKV2-28/IGLV1-40/IGKV1-12/IGKV1-16/IGKV3-20/IGHV3-48/IGLV1-51/IGHV3-7/IGKV3-11/IGHV4-59/IGLV7-43/IGLV2-14/IGLV2-8/IGLC2/IGKV2D-30/IGLC3/IGLV2-23/IGKV2-30/IGLV2-11","IGLV3-27/CD3G/CD247/IGLV3-1/IGHV2-70/IGLV3-21/IGHV1-69/IGHV2-5/IGKV1D-33/IGHV1-46/IGKV1-33/IGKV1D-16/IGHV3-13/IGHV3-11/IGLV3-25/IGLV3-19/IGKV1D-12/IGHV4-39/IGHV4-34/IGHV1-2/IGHV3-23/IGKV3D-20/IGHV3-30/IGKV3-15/IGHV3-53/IGKV1-5/IGKV1D-39/IGKV4-1/IGLV1-47/IGKV2D-28/IGKV1-39/IGLV1-44/IGKV1-17/IGKV5-2/IGHV3-33/IGKV2-28/IGLV1-40/IGKV1-12/IGKV1-16/IGKV3-20/IGHV3-48/IGLV1-51/IGHV3-7/IGKV3-11/IGHV4-59/IGLV7-43/IGLV2-14/IGLV2-8/IGLC2/IGKV2D-30/IGLC3/IGLV2-23/IGKV2-30/IGLV2-11"
"GSE50760","Main_DE","Liver_metastasis_vs_normal","CP_REACTOME","3","REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION","REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION","-2.902384261251174","0.00000000009999999999999999","0.000000003787500000000000","0.000000002638276389684515","55","71","0.7746478873239436","0.00000000000000000","55","52","0.94545454545454544","0.774647887323943629","0.714285714285714302","0.00000000464480812210157571069641069","0.00985686327324379781","Keep","REACTOME_CD22_MEDIATED_BCR_REGULATION","REACTOME_CD22_MEDIATED_BCR_REGULATION",TRUE,"GAB2/IGLV3-27/IGLV3-1/IGHV2-70/IGLV3-21/IGHV1-69/IGHV2-5/IGKV1D-33/IGHV1-46/IGKV1-33/IGKV1D-16/IGHV3-13/SOS1/IGHV3-11/IGLV3-25/IGLV3-19/IGKV1D-12/IGHV4-39/IGHV4-34/IGHV1-2/IGHV3-23/IGKV3D-20/IGHV3-30/IGKV3-15/IGHV3-53/IGKV1-5/IGKV1D-39/IGKV4-1/IGLV1-47/IGKV2D-28/IGKV1-39/IGLV1-44/IGKV1-17/IGKV5-2/IGHV3-33/IGKV2-28/IGLV1-40/IGKV1-12/IGKV1-16/IGKV3-20/IGHV3-48/IGLV1-51/IGHV3-7/IGKV3-11/IGHV4-59/IGLV7-43/IGLV2-14/IGLV2-8/IGLC2/IGKV2D-30/IGLC3/IGLV2-23/IGKV2-30/IGLV2-11/MS4A2","GAB2/IGLV3-27/IGLV3-1/IGHV2-70/IGLV3-21/IGHV1-69/IGHV2-5/IGKV1D-33/IGHV1-46/IGKV1-33/IGKV1D-16/IGHV3-13/SOS1/IGHV3-11/IGLV3-25/IGLV3-19/IGKV1D-12/IGHV4-39/IGHV4-34/IGHV1-2/IGHV3-23/IGKV3D-20/IGHV3-30/IGKV3-15/IGHV3-53/IGKV1-5/IGKV1D-39/IGKV4-1/IGLV1-47/IGKV2D-28/IGKV1-39/IGLV1-44/IGKV1-17/IGKV5-2/IGHV3-33/IGKV2-28/IGLV1-40/IGKV1-12/IGKV1-16/IGKV3-20/IGHV3-48/IGLV1-51/IGHV3-7/IGKV3-11/IGHV4-59/IGLV7-43/IGLV2-14/IGLV2-8/IGLC2/IGKV2D-30/IGLC3/IGLV2-23/IGKV2-30/IGLV2-11/MS4A2"
"GSE50760","Main_DE","Liver_metastasis_vs_normal","CP_REACTOME","4","REACTOME_SNRNP_ASSEMBLY","REACTOME_SNRNP_ASSEMBLY","2.715274085859430","0.00000000009999999999999999","0.000000003787500000000000","0.000000002638276389684515","41","54","0.7592592592592593","0.00000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.00000000000000000000000000000000000","0.00000000000000000000","Keep","itself","",TRUE,"NUP107/RAE1/NUP58/GEMIN5/NUP210/NUP153/NUP205/CLNS1A/NUP160/TGS1/SNRPE/WDR77/NUP188/NUP155/NUP35/NUP43/SNRPG/NUP93/SNRPF/NUP98/SMN1/NCBP2/SNRPD2/NUP37/NUP62/GEMIN6/NUP133/POM121C/SNRPD1/POM121/PRMT5/NUP42/DDX20/NUP85/SNRPB/TPR/NUP88/GEMIN4/NUP54/GEMIN8/SEH1L","NUP107/RAE1/NUP58/GEMIN5/NUP210/NUP153/NUP205/CLNS1A/NUP160/TGS1/SNRPE/WDR77/NUP188/NUP155/NUP35/NUP43/SNRPG/NUP93/SNRPF/NUP98/SMN1/NCBP2/SNRPD2/NUP37/NUP62/GEMIN6/NUP133/POM121C/SNRPD1/POM121/PRMT5/NUP42/DDX20/NUP85/SNRPB/TPR/NUP88/GEMIN4/NUP54/GEMIN8/SEH1L"
"GSE50760","Main_DE","Liver_metastasis_vs_normal","CP_REACTOME","6","REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS","REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS","-2.742718411713191","0.00000000009999999999999999","0.000000003787500000000000","0.000000002638276389684515","61","82","0.7439024390243902","0.00000000000000000","54","52","0.85245901639344257","0.658536585365853688","0.606741573033707904","0.00000000054841440657519150965350735","0.00092256923555595423","Keep","REACTOME_CD22_MEDIATED_BCR_REGULATION","REACTOME_CD22_MEDIATED_BCR_REGULATION",TRUE,"IGLV3-27/CD3G/CD247/IGLV3-1/IGHV2-70/IGLV3-21/AHCYL1/IGHV1-69/IGHV2-5/ITPR1/IGKV1D-33/PLCG2/IGHV1-46/IGKV1-33/PRKCE/PLA2G6/IGKV1D-16/IGHV3-13/IGHV3-11/IGLV3-25/IGLV3-19/IGKV1D-12/PRKCD/IGHV4-39/IGHV4-34/IGHV1-2/IGHV3-23/IGKV3D-20/IGHV3-30/IGKV3-15/IGHV3-53/IGKV1-5/IGKV1D-39/IGKV4-1/IGLV1-47/IGKV2D-28/IGKV1-39/IGLV1-44/IGKV1-17/IGKV5-2/IGHV3-33/IGKV2-28/IGLV1-40/IGKV1-12/IGKV1-16/PLD1/IGKV3-20/IGHV3-48/IGLV1-51/IGHV3-7/IGKV3-11/IGHV4-59/IGLV7-43/IGLV2-14/IGLV2-8/IGLC2/IGKV2D-30/IGLC3/IGLV2-23/IGKV2-30/IGLV2-11","IGLV3-27/CD3G/CD247/IGLV3-1/IGHV2-70/IGLV3-21/AHCYL1/IGHV1-69/IGHV2-5/ITPR1/IGKV1D-33/PLCG2/IGHV1-46/IGKV1-33/PRKCE/PLA2G6/IGKV1D-16/IGHV3-13/IGHV3-11/IGLV3-25/IGLV3-19/IGKV1D-12/PRKCD/IGHV4-39/IGHV4-34/IGHV1-2/IGHV3-23/IGKV3D-20/IGHV3-30/IGKV3-15/IGHV3-53/IGKV1-5/IGKV1D-39/IGKV4-1/IGLV1-47/IGKV2D-28/IGKV1-39/IGLV1-44/IGKV1-17/IGKV5-2/IGHV3-33/IGKV2-28/IGLV1-40/IGKV1-12/IGKV1-16/PLD1/IGKV3-20/IGHV3-48/IGLV1-51/IGHV3-7/IGKV3-11/IGHV4-59/IGLV7-43/IGLV2-14/IGLV2-8/IGLC2/IGKV2D-30/IGLC3/IGLV2-23/IGKV2-30/IGLV2-11"
"GSE50760","Main_DE","Liver_metastasis_vs_normal","CP_REACTOME","7","REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION","REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION","-2.822741368115781","0.00000000009999999999999999","0.000000003787500000000000","0.000000002638276389684515","63","87","0.7241379310344828","0.00000000000000000","55","52","0.82539682539682535","0.632183908045977017","0.591397849462365621","0.00000000203230815735810595215218749","0.00985686327324379781","Keep","REACTOME_CD22_MEDIATED_BCR_REGULATION","REACTOME_CD22_MEDIATED_BCR_REGULATION",TRUE,"IGLV3-27/PAK1/MAP2K4/FOS/IGLV3-1/IGHV2-70/IGLV3-21/IGHV1-69/IGHV2-5/IGKV1D-33/PLCG2/MAPK1/IGHV1-46/IGKV1-33/IGKV1D-16/GRAP2/IGHV3-13/SOS1/IGHV3-11/IGLV3-25/IGLV3-19/IGKV1D-12/IGHV4-39/IGHV4-34/IGHV1-2/IGHV3-23/IGKV3D-20/IGHV3-30/IGKV3-15/IGHV3-53/IGKV1-5/IGKV1D-39/IGKV4-1/IGLV1-47/IGKV2D-28/IGKV1-39/IGLV1-44/IGKV1-17/IGKV5-2/IGHV3-33/IGKV2-28/IGLV1-40/IGKV1-12/IGKV1-16/IGKV3-20/IGHV3-48/IGLV1-51/IGHV3-7/IGKV3-11/IGHV4-59/MAPK10/IGLV7-43/IGLV2-14/IGLV2-8/IGLC2/MAPK3/IGKV2D-30/IGLC3/IGLV2-23/IGKV2-30/IGLV2-11/KRAS/MS4A2","IGLV3-27/PAK1/MAP2K4/FOS/IGLV3-1/IGHV2-70/IGLV3-21/IGHV1-69/IGHV2-5/IGKV1D-33/PLCG2/MAPK1/IGHV1-46/IGKV1-33/IGKV1D-16/GRAP2/IGHV3-13/SOS1/IGHV3-11/IGLV3-25/IGLV3-19/IGKV1D-12/IGHV4-39/IGHV4-34/IGHV1-2/IGHV3-23/IGKV3D-20/IGHV3-30/IGKV3-15/IGHV3-53/IGKV1-5/IGKV1D-39/IGKV4-1/IGLV1-47/IGKV2D-28/IGKV1-39/IGLV1-44/IGKV1-17/IGKV5-2/IGHV3-33/IGKV2-28/IGLV1-40/IGKV1-12/IGKV1-16/IGKV3-20/IGHV3-48/IGLV1-51/IGHV3-7/IGKV3-11/IGHV4-59/MAPK10/IGLV7-43/IGLV2-14/IGLV2-8/IGLC2/MAPK3/IGKV2D-30/IGLC3/IGLV2-23/IGKV2-30/IGLV2-11/KRAS/MS4A2"
"GSE50760","Main_DE","Liver_metastasis_vs_normal","CP_REACTOME","8","REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL","REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL","2.876417321269022","0.00000000009999999999999999","0.000000003787500000000000","0.000000002638276389684515","43","60","0.7166666666666667","0.00000000000000000","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.00000000000000000000000000000000000","0.00000000000000000000","Keep","itself","",TRUE,"UTP4/PNO1/NOP58/RCL1/UTP14A/WDR43/WDR75/DCAF13/DKC1/WDR3/UTP25/HEATR1/NOL6/NAT10/RRP9/NHP2/UTP20/DDX47/TRMT112/NOP2/MPHOSPH10/DIMT1/NOP14/UTP18/WDR46/UTP15/RPS7/DHX37/PDCD11/BMS1/DDX52/KRR1/NOP56/NOC4L/UTP6/GAR1/WDR36/IMP4/UTP11/BUD23/FBL/NOL11/RPS2","UTP4/PNO1/NOP58/RCL1/UTP14A/WDR43/WDR75/DCAF13/DKC1/WDR3/UTP25/HEATR1/NOL6/NAT10/RRP9/NHP2/UTP20/DDX47/TRMT112/NOP2/MPHOSPH10/DIMT1/NOP14/UTP18/WDR46/UTP15/RPS7/DHX37/PDCD11/BMS1/DDX52/KRR1/NOP56/NOC4L/UTP6/GAR1/WDR36/IMP4/UTP11/BUD23/FBL/NOL11/RPS2"
"GSE50760","Main_DE","Liver_metastasis_vs_normal","CP_REACTOME","10","REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION","REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION","2.602639153803042","0.00000000009999999999999999","0.000000003787500000000000","0.000000002638276389684515","97","137","0.7080291970802920","0.00000000000000000","30","27","0.27835051546391754","0.218978102189781032","0.186335403726708065","0.00578254514394112469066744353085596","0.00824069640739887727","Keep","REACTOME_SNRNP_ASSEMBLY","REACTOME_SNRNP_ASSEMBLY",TRUE,"IPO5/NUP107/RAE1/POLR2D/NUP58/GTF2F2/RPL22L1/NUP210/NUP153/NUP205/NUP160/NUP188/NUP155/NUP35/RPL26L1/NUP43/NUP93/NUP98/HSP90AA1/RPS7/RPL39/POLR2K/RPS21/NUP37/NUP62/RPL35/NUP133/POM121C/RPL24/RPL36A/POM121/NUP42/RPL7/RPL30/NUP85/RPL31/RPL35A/RPS15A/RPS18/RPS10/RPL37/POLR2C/RPS2/RPL38/RPL8/RPL27/TPR/RPL14/RPL12/NUP88/RPL7A/POLR2G/NUP54/PARP1/POLR2E/RPL27A/RPL23/RPL36/RPL13/RPS20/RPS27A/SEH1L/RPL6/RPS19/RPL10/RPL37A/RPS13/RPS4X/RPL21/RPL32/RPS25/RPS12/RPL4/UBA52/POLR2F/AAAS/RANBP2/RPS5/RPS16/RPS15/RPL23A/RPL19/RPL29/RPL10A/RPLP0/RPS3/RPS24/RPLP2/NDC1/POLR2I/POLR2B/RPS27/RPL28/RPS6/RPS14/RPL11/RPL18","IPO5/NUP107/RAE1/POLR2D/NUP58/GTF2F2/RPL22L1/NUP210/NUP153/NUP205/NUP160/NUP188/NUP155/NUP35/RPL26L1/NUP43/NUP93/NUP98/HSP90AA1/RPS7/RPL39/POLR2K/RPS21/NUP37/NUP62/RPL35/NUP133/POM121C/RPL24/RPL36A/POM121/NUP42/RPL7/RPL30/NUP85/RPL31/RPL35A/RPS15A/RPS18/RPS10/RPL37/POLR2C/RPS2/RPL38/RPL8/RPL27/TPR/RPL14/RPL12/NUP88/RPL7A/POLR2G/NUP54/PARP1/POLR2E/RPL27A/RPL23/RPL36/RPL13/RPS20/RPS27A/SEH1L/RPL6/RPS19/RPL10/RPL37A/RPS13/RPS4X/RPL21/RPL32/RPS25/RPS12/RPL4/UBA52/POLR2F/AAAS/RANBP2/RPS5/RPS16/RPS15/RPL23A/RPL19/RPL29/RPL10A/RPLP0/RPS3/RPS24/RPLP2/NDC1/POLR2I/POLR2B/RPS27/RPL28/RPS6/RPS14/RPL11/RPL18"
"GSE50760","Main_DE","Liver_metastasis_vs_normal","CP_REACTOME","11","REACTOME_INFLUENZA_INFECTION","REACTOME_INFLUENZA_INFECTION","2.690696272814169","0.00000000009999999999999999","0.000000003787500000000000","0.000000002638276389684515","110","159","0.6918238993710691","0.00000000000000000","30","27","0.24545454545454545","0.188679245283018882","0.163934426229508184","0.00369872325422589348989377278087431","0.00824069640739887727","Keep","REACTOME_SNRNP_ASSEMBLY","REACTOME_SNRNP_ASSEMBLY",TRUE,"IPO5/NUP107/RAN/RAE1/POLR2D/NUP58/GTF2F2/RPL22L1/NUP210/XPO1/KPNA3/NUP153/NUP205/NUP160/CANX/NUP188/NUP155/NUP35/RPL26L1/NUP43/NUP93/NUP98/HSP90AA1/RPS7/KPNA2/RPL39/POLR2K/KPNB1/CALR/RPS21/NUP37/NUP62/RPL35/NUP133/POM121C/RPL24/RPL36A/POM121/NUP42/RPL7/RPL30/NUP85/RPL31/RPL35A/RPS15A/RPS18/EIF2AK2/RPS10/RPL37/POLR2C/RPS2/CPSF4/RPL38/RPL8/RPL27/TPR/RPL14/RPL12/NUP88/RPL7A/MLKL/POLR2G/NUP54/KPNA1/PARP1/POLR2E/RPL27A/RPL23/RPL36/RPL13/RPS20/RPS27A/SEH1L/RPL6/RPS19/RPL10/RPL37A/RPS13/RPS4X/RPL21/RPL32/RPS25/RPS12/RPL4/UBA52/KPNA4/POLR2F/AAAS/RANBP2/RPS5/RPS16/RPS15/RPL23A/RPL19/GBP1/RPL29/RPL10A/RPLP0/RPS3/RPS24/RPLP2/NDC1/POLR2I/POLR2B/RPS27/RPL28/RPS6/RPS14/RPL11/RPL18","IPO5/NUP107/RAN/RAE1/POLR2D/NUP58/GTF2F2/RPL22L1/NUP210/XPO1/KPNA3/NUP153/NUP205/NUP160/CANX/NUP188/NUP155/NUP35/RPL26L1/NUP43/NUP93/NUP98/HSP90AA1/RPS7/KPNA2/RPL39/POLR2K/KPNB1/CALR/RPS21/NUP37/NUP62/RPL35/NUP133/POM121C/RPL24/RPL36A/POM121/NUP42/RPL7/RPL30/NUP85/RPL31/RPL35A/RPS15A/RPS18/EIF2AK2/RPS10/RPL37/POLR2C/RPS2/CPSF4/RPL38/RPL8/RPL27/TPR/RPL14/RPL12/NUP88/RPL7A/MLKL/POLR2G/NUP54/KPNA1/PARP1/POLR2E/RPL27A/RPL23/RPL36/RPL13/RPS20/RPS27A/SEH1L/RPL6/RPS19/RPL10/RPL37A/RPS13/RPS4X/RPL21/RPL32/RPS25/RPS12/RPL4/UBA52/KPNA4/POLR2F/AAAS/RANBP2/RPS5/RPS16/RPS15/RPL23A/RPL19/GBP1/RPL29/RPL10A/RPLP0/RPS3/RPS24/RPLP2/NDC1/POLR2I/POLR2B/RPS27/RPL28/RPS6/RPS14/RPL11/RPL18"
"GSE50760","Main_DE","Liver_metastasis_vs_normal","CP_REACTOME","13","REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE","REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE","2.602610599743707","0.00000000009999999999999999","0.000000003787500000000000","0.000000002638276389684515","54","79","0.6835443037974683","0.00000000000000000","2","2","0.03703703703703703","0.025316455696202531","0.009345794392523364","0.46445959104186973487315981401479803","0.49978531558608851881","Keep","REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION","REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION",FALSE,"CDK2/PSMA7/PSMA1/ADRM1/CDC6/ORC6/PSMA2/PSMD14/MCM6/UBE2C/MCM2/PSMC2/MCM3/PSMD12/UBE2S/PSMB7/ANAPC10/CDT1/ANAPC7/ANAPC1/PSMD7/PSMD6/PSMB5/MCM4/CDC16/PSMA3/SKP2/ORC3/MCM7/SEM1/PSMD13/CUL1/MCM5/PSMB4/PSMA5/MCM8/CCNA2/CCNE2/ORC5/CCNE1/PSMB2/PSMD1/ORC1/ANAPC11/PSMB3/CDC27/RPS27A/UBA52/PSMC3/PSMC6/ORC2/PSMD11/CDC23/PSMC4","CDK2/PSMA7/PSMA1/ADRM1/CDC6/ORC6/PSMA2/PSMD14/MCM6/UBE2C/MCM2/PSMC2/MCM3/PSMD12/UBE2S/PSMB7/ANAPC10/CDT1/ANAPC7/ANAPC1/PSMD7/PSMD6/PSMB5/MCM4/CDC16/PSMA3/SKP2/ORC3/MCM7/SEM1/PSMD13/CUL1/MCM5/PSMB4/PSMA5/MCM8/CCNA2/CCNE2/ORC5/CCNE1/PSMB2/PSMD1/ORC1/ANAPC11/PSMB3/CDC27/RPS27A/UBA52/PSMC3/PSMC6/ORC2/PSMD11/CDC23/PSMC4"
