"Dataset","Plot_Category","Analysis_Name","GeneSet_Name","Denester_Rank","Pathway_ID","Description","NES","GSEA_P_Value","GSEA_P_Adjust","GSEA_Q_Value","Core_Gene_Count","Term_Size","Core_Density","Unexpected_Core_Gene_Fraction","Intersection_Size_With_MSP","Core_Genes_In_MSP_Intersection","Fraction_Core_In_MSP_Intersection","Fraction_Term_Overlap_With_MSP","Jaccard_With_MSP","Denester_P_Value","Reciprocal_P_Value","Denester_Status","Versus_Pathway_ID","Versus_Pathway_Name","Is_Reciprocal","Core_Enrichment_Matched","Core_Enrichment_Raw"
"GSE50760","Main_DE","Liver_metastasis_vs_primary","CP_WIKIPATHWAYS","1","WP_FATTY_ACID_OMEGAOXIDATION","WP_FATTY_ACID_OMEGAOXIDATION","2.360274539215780","0.00000000009999999999999999","0.000000005435294117647059","0.000000005071027701263747","13","15","0.8666666666666667","0","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.0000000000000000000000","0.0000000000000000000","Keep","itself","",TRUE,"CYP2E1/CYP4A11/ADH4/CYP2A6/CYP3A4/CYP1A2/CYP2D6/ADH1A/CYP1A1/ADH6/ADH1B/ALDH1A1/ALDH2","CYP2E1/CYP4A11/ADH4/CYP2A6/CYP3A4/CYP1A2/CYP2D6/ADH1A/CYP1A1/ADH6/ADH1B/ALDH1A1/ALDH2"
"GSE50760","Main_DE","Liver_metastasis_vs_primary","CP_WIKIPATHWAYS","2","WP_TAMOXIFEN_METABOLISM","WP_TAMOXIFEN_METABOLISM","2.455983356851958","0.00000000009999999999999999","0.000000005435294117647059","0.000000005071027701263747","15","21","0.7142857142857143","0","6","6","0.40000000000000002","0.285714285714285698","0.200000000000000011","0.0922342621259029660230","0.3428571428571428603","Keep","WP_FATTY_ACID_OMEGAOXIDATION","WP_FATTY_ACID_OMEGAOXIDATION",FALSE,"CYP2E1/CYP2C8/FMO3/CYP2A6/CYP3A4/CYP2C9/SULT2A1/CYP1A2/CYP2D6/CYP1A1/UGT2B7/UGT1A4/CYP2C19/SULT1E1/CYP1B1","CYP2E1/CYP2C8/FMO3/CYP2A6/CYP3A4/CYP2C9/SULT2A1/CYP1A2/CYP2D6/CYP1A1/UGT2B7/UGT1A4/CYP2C19/SULT1E1/CYP1B1"
"GSE50760","Main_DE","Liver_metastasis_vs_primary","CP_WIKIPATHWAYS","3","WP_DENGUE2_INTERACTIONS_WITH_COMPLEMENT_AND_COAGULATION_CASCADES","WP_DENGUE2_INTERACTIONS_WITH_COMPLEMENT_AND_COAGULATION_CASCADES","2.699324600198866","0.00000000009999999999999999","0.000000005435294117647059","0.000000005071027701263747","39","59","0.6610169491525424","0","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.0000000000000000000000","0.0000000000000000000","Keep","itself","",TRUE,"SERPIND1/FGB/C9/CPB2/SERPINC1/PLG/F9/APOA2/F2/C6/KNG1/MASP2/SERPINF2/PROC/C8G/SERPINA5/F13B/F12/KLKB1/F7/F5/SERPINA1/F10/CFI/C4B/CFB/CFH/SERPINE1/SERPING1/C3/PROS1/TFPI/C2/CLU/C5AR1/MASP1/C3AR1/C1QB/C7","SERPIND1/FGB/C9/CPB2/SERPINC1/PLG/F9/APOA2/F2/C6/KNG1/MASP2/SERPINF2/PROC/C8G/SERPINA5/F13B/F12/KLKB1/F7/F5/SERPINA1/F10/CFI/C4B/CFB/CFH/SERPINE1/SERPING1/C3/PROS1/TFPI/C2/CLU/C5AR1/MASP1/C3AR1/C1QB/C7"
"GSE50760","Main_DE","Liver_metastasis_vs_primary","CP_WIKIPATHWAYS","4","WP_COMPLEMENT_AND_COAGULATION_CASCADES","WP_COMPLEMENT_AND_COAGULATION_CASCADES","2.686920320358669","0.00000000009999999999999999","0.000000005435294117647059","0.000000005071027701263747","38","58","0.6551724137931034","0","0","0","0.00000000000000000","0.000000000000000000","0.000000000000000000","1.0000000000000000000000","0.0000000000000000000","Keep","itself","",TRUE,"SERPIND1/FGB/C9/CPB2/SERPINC1/PLG/F9/F2/C6/KNG1/MASP2/SERPINF2/PROC/C8G/SERPINA5/F13B/F12/KLKB1/F7/F5/SERPINA1/F10/CFI/C4B/CFB/CFH/SERPINE1/SERPING1/C3/PROS1/TFPI/C2/CLU/C5AR1/MASP1/C3AR1/C1QB/C7","SERPIND1/FGB/C9/CPB2/SERPINC1/PLG/F9/F2/C6/KNG1/MASP2/SERPINF2/PROC/C8G/SERPINA5/F13B/F12/KLKB1/F7/F5/SERPINA1/F10/CFI/C4B/CFB/CFH/SERPINE1/SERPING1/C3/PROS1/TFPI/C2/CLU/C5AR1/MASP1/C3AR1/C1QB/C7"
"GSE50760","Main_DE","Liver_metastasis_vs_primary","CP_WIKIPATHWAYS","6","WP_STATIN_INHIBITION_OF_CHOLESTEROL_PRODUCTION","WP_STATIN_INHIBITION_OF_CHOLESTEROL_PRODUCTION","2.551553202035965","0.00000000009999999999999999","0.000000005435294117647059","0.000000005071027701263747","17","31","0.5483870967741935","0","1","1","0.05882352941176471","0.032258064516129031","0.011235955056179775","0.5483870967741935054107","0.6610169491525423879","Keep","WP_DENGUE2_INTERACTIONS_WITH_COMPLEMENT_AND_COAGULATION_CASCADES","WP_DENGUE2_INTERACTIONS_WITH_COMPLEMENT_AND_COAGULATION_CASCADES",FALSE,"APOC3/APOA1/APOB/APOA2/APOC2/APOA5/APOA4/LIPC/APOC1/ABCG5/ABCG8/APOE/MTTP/CYP7A1/CETP/LCAT/SCARB1","APOC3/APOA1/APOB/APOA2/APOC2/APOA5/APOA4/LIPC/APOC1/ABCG5/ABCG8/APOE/MTTP/CYP7A1/CETP/LCAT/SCARB1"
"GSE50760","Main_DE","Liver_metastasis_vs_primary","CP_WIKIPATHWAYS","7","WP_FOLATE_METABOLISM","WP_FOLATE_METABOLISM","2.653251286856107","0.00000000009999999999999999","0.000000005435294117647059","0.000000005071027701263747","37","69","0.5362318840579711","0","6","5","0.13513513513513514","0.086956521739130432","0.049180327868852458","0.1357510108321270669851","0.3279758425871809879","Keep","WP_DENGUE2_INTERACTIONS_WITH_COMPLEMENT_AND_COAGULATION_CASCADES","WP_DENGUE2_INTERACTIONS_WITH_COMPLEMENT_AND_COAGULATION_CASCADES",FALSE,"FGB/APOA1/FGA/FGG/CRP/MAT1A/SAA4/PLG/APOB/SERPINA3/ALB/F2/SAA2/SAA1/F7/CBS/SHMT1/SCARB1/SERPINE1/MTHFS/GPX3/SHMT2/CTH/MTHFD1/GPX1/FOLR1/SOD1/CCL2/SLC19A1/GPX4/CAT/ABCA1/SOD2/HBB/HBA1/AHCY/SLC46A1","FGB/APOA1/FGA/FGG/CRP/MAT1A/SAA4/PLG/APOB/SERPINA3/ALB/F2/SAA2/SAA1/F7/CBS/SHMT1/SCARB1/SERPINE1/MTHFS/GPX3/SHMT2/CTH/MTHFD1/GPX1/FOLR1/SOD1/CCL2/SLC19A1/GPX4/CAT/ABCA1/SOD2/HBB/HBA1/AHCY/SLC46A1"
"GSE50760","Main_DE","Liver_metastasis_vs_primary","CP_WIKIPATHWAYS","9","WP_METABOLIC_EPILEPTIC_DISORDERS","WP_METABOLIC_EPILEPTIC_DISORDERS","2.537680161739583","0.00000000009999999999999999","0.000000005435294117647059","0.000000005071027701263747","47","91","0.5164835164835165","0","4","4","0.08510638297872340","0.043956043956043959","0.025641025641025640","0.0667366341523644990286","0.0763966727626688713","Keep","WP_FOLATE_METABOLISM","WP_FOLATE_METABOLISM",FALSE,"ARG1/SLC2A2/G6PC1/GAMT/GATM/CPS1/CDO1/PKLR/ALDOB/CBS/SLC7A2/PC/SHMT1/ENO3/OTC/FBP1/HK3/GLS2/PCK1/AADAT/SHMT2/SFXN1/CTH/GOT2/GLDC/GLUD1/GOT1/ECHS1/LDHA/PHGDH/ALDOC/ACAT1/PSAT1/MPC1/DHTKD1/AASS/MOCS1/SLC25A15/SLC2A5/HLCS/GPHN/ENO1/GCDH/SLC2A3/PGK1/SLC2A1/MPC2","ARG1/SLC2A2/G6PC1/GAMT/GATM/CPS1/CDO1/PKLR/ALDOB/CBS/SLC7A2/PC/SHMT1/ENO3/OTC/FBP1/HK3/GLS2/PCK1/AADAT/SHMT2/SFXN1/CTH/GOT2/GLDC/GLUD1/GOT1/ECHS1/LDHA/PHGDH/ALDOC/ACAT1/PSAT1/MPC1/DHTKD1/AASS/MOCS1/SLC25A15/SLC2A5/HLCS/GPHN/ENO1/GCDH/SLC2A3/PGK1/SLC2A1/MPC2"
"GSE50760","Main_DE","Liver_metastasis_vs_primary","CP_WIKIPATHWAYS","11","WP_CHOLESTEROL_METABOLISM","WP_CHOLESTEROL_METABOLISM","2.598602866766039","0.00000000009999999999999999","0.000000005435294117647059","0.000000005071027701263747","34","72","0.4722222222222222","0","26","18","0.52941176470588236","0.361111111111111105","0.337662337662337664","0.0049125938672953993816","0.0000000000000000000","Keep","WP_STATIN_INHIBITION_OF_CHOLESTEROL_PRODUCTION","WP_STATIN_INHIBITION_OF_CHOLESTEROL_PRODUCTION",TRUE,"APOC3/APOA1/APOH/ANGPTL8/APOB/APOA2/APOC2/ANGPTL3/LPA/NPC1L1/APOA4/LIPC/APOC1/ABCG5/ABCG8/ABCB11/APOE/MTTP/CYP7A1/CETP/LCAT/CYP27A1/SCARB1/LIPA/MSMO1/DHCR24/CIDEB/MVK/SC5D/TM7SF2/ACAT2/ABCA1/HMGCS1/LRP1","APOC3/APOA1/APOH/ANGPTL8/APOB/APOA2/APOC2/ANGPTL3/LPA/NPC1L1/APOA4/LIPC/APOC1/ABCG5/ABCG8/ABCB11/APOE/MTTP/CYP7A1/CETP/LCAT/CYP27A1/SCARB1/LIPA/MSMO1/DHCR24/CIDEB/MVK/SC5D/TM7SF2/ACAT2/ABCA1/HMGCS1/LRP1"
"GSE50760","Main_DE","Liver_metastasis_vs_primary","CP_WIKIPATHWAYS","14","WP_COMPLEMENT_SYSTEM_IN_NEURONAL_DEVELOPMENT_AND_PLASTICITY","WP_COMPLEMENT_SYSTEM_IN_NEURONAL_DEVELOPMENT_AND_PLASTICITY","2.454426241684889","0.00000000009999999999999999","0.000000005435294117647059","0.000000005071027701263747","43","106","0.4056603773584906","0","27","22","0.51162790697674421","0.254716981132075471","0.195652173913043487","0.0000006798493917582768","0.0207723260063717372","Keep","WP_DENGUE2_INTERACTIONS_WITH_COMPLEMENT_AND_COAGULATION_CASCADES","WP_DENGUE2_INTERACTIONS_WITH_COMPLEMENT_AND_COAGULATION_CASCADES",TRUE,"COLEC10/C9/C8B/COLEC11/VTN/C8A/FCN2/C6/MBL2/MASP2/C4BPA/FCN3/C8G/C5/C4BPB/CFI/C4B/C4A/CFB/CFH/SERPING1/C3/PROS1/CFP/ITGAX/C5AR2/C2/CLU/C5AR1/MASP1/ITGB2/ITGAM/C3AR1/C1QB/MERTK/C7/C1QA/C1QC/C1R/CX3CR1/FCN1/C1S/ATP11C","COLEC10/C9/C8B/COLEC11/VTN/C8A/FCN2/C6/MBL2/MASP2/C4BPA/FCN3/C8G/C5/C4BPB/CFI/C4B/C4A/CFB/CFH/SERPING1/C3/PROS1/CFP/ITGAX/C5AR2/C2/CLU/C5AR1/MASP1/ITGB2/ITGAM/C3AR1/C1QB/MERTK/C7/C1QA/C1QC/C1R/CX3CR1/FCN1/C1S/ATP11C"
"GSE50760","Main_DE","Liver_metastasis_vs_primary","CP_WIKIPATHWAYS","18","WP_NUCLEAR_RECEPTORS_IN_LIPID_METABOLISM_AND_TOXICITY","WP_NUCLEAR_RECEPTORS_IN_LIPID_METABOLISM_AND_TOXICITY","2.480568607072557","0.00000000011719451413776439","0.000000006015985059071906","0.000000005612801483160408","18","35","0.5142857142857142","0","4","4","0.22222222222222221","0.114285714285714282","0.086956521739130432","0.0584415584415584332678","0.5238095238095237249","Keep","WP_FATTY_ACID_OMEGAOXIDATION","WP_FATTY_ACID_OMEGAOXIDATION",FALSE,"CYP2E1/CYP4A11/CYP8B1/CYP3A4/CYP2C9/CYP1A2/ABCG5/ABCB4/ABCB11/ABCC2/CYP7A1/NR1I3/NR1H4/NR1H3/CYP26A1/CYP2B6/RARB/ABCA1","CYP2E1/CYP4A11/CYP8B1/CYP3A4/CYP2C9/CYP1A2/ABCG5/ABCB4/ABCB11/ABCC2/CYP7A1/NR1I3/NR1H4/NR1H3/CYP26A1/CYP2B6/RARB/ABCA1"
