Pathway ID	Name	pvalue	DEG number	DEG Density	Intersecton size	DEGs in Intersection	Result	Reciprocal pvalue	Filtered	Versus	Versus Name	Is Reciprocal	Top Genes
ESC_V6.5_UP_EARLY.V1_DN	ESC_V6.5_UP_EARLY.V1_DN	1.00e-10	96	0.5926	0	0	1	0	keep	itself		True	JUNB,CPE,SOCS3,EMP1,CCN1,BHLHE40,HBEGF,S100A6,ZFP36L1,TNFRSF12A,INHBB,BCL3,HTRA1,ANXA3,KLK10,TGFB1I1,SERPINE1,C3orf70,APP,S100A4
STK33_UP	STK33_UP	2.62e-10	104	0.3636	0	0	1	0	keep	itself		True	CDKN1A,ZFP36,PPP1R15A,JUNB,ADM,TRIB1,MAFF,MMP1,FOS,DUSP1,RGS2,EMP1,CSRNP1,JUN,OTUD1,IL1B,SULF2,EGR3,SGK1,BTG2
AKT_UP_MTOR_DN.V1_UP	AKT_UP_MTOR_DN.V1_UP	9.91e-10	82	0.4607	0	0	1	0	keep	itself		True	ATF3,JUNB,CPE,DUSP1,SPRR2A,ALDOC,MPZL2,SYT8,A4GALT,HBEGF,SUSD4,TMCC3,CXCL5,NFIL3,GDPD2,TNFRSF12A,CDKN2B,TGIF1,PLSCR1,ADORA2B
BMI1_DN.V1_UP	BMI1_DN.V1_UP	1.33e-09	78	0.5306	0	0	1	0	keep	itself		True	ACKR3,GPRC5A,MICA,MFGE8,EPHA2,HBEGF,VLDLR,ADGRE5,CCL20,COL13A1,TIMP3,JAG1,ANXA3,TNFSF9,FJX1,MFAP5,KCNC4,TCIM,KRT17,CCN3
P53_DN.V1_UP	P53_DN.V1_UP	1.53e-09	93	0.4794	0	0	1	0	keep	itself		True	ADM,CPE,MAFF,MMP1,CCN1,ZNF165,COL13A1,SDC4,VASP,TGFBI,SOX9,EDIL3,SCG2,INHBB,KRT19,ITGB4,TPBG,KLK10,SERPINB5,MISP
EGFR_UP.V1_UP	EGFR_UP.V1_UP	4.13e-08	81	0.4219	0	0	1	0	keep	itself		True	ATF3,JUNB,ADM,MMP1,SOCS2,CCN1,MPZL2,IL4R,HBEGF,NFIL3,DUSP4,KCNS3,BCL3,RGS16,PHLDA1,PMAIP1,TNFRSF11B,EGLN3,TCIM,AKAP12
KRAS.BREAST_UP.V1_UP	KRAS.BREAST_UP.V1_UP	5.39e-08	56	0.4	0	0	1	0	keep	itself		True	PPP1R15A,NFE2,CTNNA2,KCNK15,IL1B,CEACAM1,ADGRD2,CRCT1,AKAP12,GPR37L1,CALB1,KLK6,MMP9,STC1,SCEL,ALPP,CLSTN2,TNFAIP3,HAS2,DNAJA4
BMI1_DN_MEL18_DN.V1_UP	BMI1_DN_MEL18_DN.V1_UP	6.31e-08	75	0.5172	84	49	0.0444	0.0947	exclude	BMI1_DN.V1_UP	BMI1_DN.V1_UP	False	ATF3,ADM,MICA,PLAUR,HBEGF,VLDLR,ADGRE5,COL13A1,IL1A,TIMP3,JAG1,ANXA3,TNFSF9,FJX1,PIM1,TCIM,ARL4A,FOSL1,CRISPLD2,ZC3H12A
MEK_UP.V1_UP	MEK_UP.V1_UP	6.64e-08	80	0.4103	0	0	1	0	keep	itself		True	ADM,L1CAM,EPHA2,MPZL2,IL4R,S100A6,DUSP4,ST3GAL4,VASP,TGFBI,NEDD9,BCL3,GDF15,TNFRSF11B,EGLN3,ITGB4,TGFB1I1,AGAP1,CEMIP,FOSL1
TGFB_UP.V1_UP	TGFB_UP.V1_UP	8.39e-08	74	0.3915	0	0	1	0	keep	itself		True	ATF3,JUNB,TRIB1,GADD45B,RGCC,JUN,MPZL2,SGK1,SMOX,BHLHE40,DACT1,LRP12,ZFP36L1,WNT4,CDKN2B,RHOB,ID3,MISP,AKAP12,PFKFB3
ERBB2_UP.V1_UP	ERBB2_UP.V1_UP	9.30e-08	81	0.4263	95	46	0.0711	0.0286	keep	MEK_UP.V1_UP	MEK_UP.V1_UP	True	PNRC1,BNIP3L,ALDOC,MPZL2,S100A6,DUSP4,VASP,SOX9,ACHE,BCL3,GDF15,TNFRSF11B,EGLN3,ITGB4,CEMIP,FGFR4,SAT1,GABBR2,MVD,CXCR4
AKT_UP.V1_UP	AKT_UP.V1_UP	1.21e-07	81	0.4793	109	54	0.3432	0.1552	keep	AKT_UP_MTOR_DN.V1_UP	AKT_UP_MTOR_DN.V1_UP	False	ATF3,PREP,SPRR2A,LDLR,ALDOC,MPZL2,SYT8,SPRR1A,PDGFD,TMCC3,NFIL3,GDPD2,TNFRSF12A,CDKN2B,UNC5B,SLC6A14,PLSCR1,FDFT1,ADORA2B,MSMO1
STK33_NOMO_UP	STK33_NOMO_UP	1.46e-07	146	0.5034	186	101	0.0464	3.75e-21	keep	STK33_UP	STK33_UP	True	ZFP36,PPP1R15A,JUNB,MAFF,MMP1,FOS,DUSP1,RGS2,EMP1,CSRNP1,JUN,OTUD1,IER3,IL1B,EGR3,SGK1,BTG2,CCL20,FAM234B,SDC4
KRAS.600.LUNG.BREAST_UP.V1_UP	KRAS.600.LUNG.BREAST_UP.V1_UP	3.36e-07	88	0.3143	84	34	0.0239	0.515	exclude	KRAS.BREAST_UP.V1_UP	KRAS.BREAST_UP.V1_UP	False	PPP1R15A,CTNNA2,TMEM158,DCBLD2,KCNK15,MMP1,DDIT3,IL1B,PLAUR,HBEGF,CCL20,MIA,CXCL5,PTPRR,KCNC1,MMP20,CRCT1,AKAP12,CLDN5,CALB1
KRAS.600_UP.V1_UP	KRAS.600_UP.V1_UP	3.49e-07	86	0.3082	0	0	1	0	keep	itself		True	CTNNA2,TMEM158,DCBLD2,MMP1,EMP1,NME5,ASIC4,HBEGF,CXCL5,DUSP4,SOX9,ADCYAP1R1,KCNC1,CHRNA3,CEACAM1,CALB1,MMP17,ITGBL1,ANO1,CXCR4
MEL18_DN.V1_UP	MEL18_DN.V1_UP	3.55e-07	66	0.4681	89	47	0.0448	0.5964	exclude	BMI1_DN.V1_UP	BMI1_DN.V1_UP	False	ADM,MICA,EPHA2,PLAUR,HBEGF,VLDLR,ADGRE5,COL13A1,JAG1,TNFSF9,FJX1,FOSL1,CRISPLD2,ZC3H12A,DDIT4,SPP1,ERO1A,GREM1,HS3ST3A1,HAS2
IL15_UP.V1_UP	IL15_UP.V1_UP	1.09e-06	77	0.4074	0	0	1	0	keep	itself		True	JUNB,TMEM158,TRIB1,GADD45B,MAFF,FOS,RGCC,KRT13,SOCS2,EGR3,OSM,DUSP4,EGR2,TNFRSF12A,INHBB,IL1A,RGS16,RHOB,KCNJ9,PIM1
BCAT_BILD_ET_AL_UP	BCAT_BILD_ET_AL_UP	1.66e-06	36	0.8	0	0	1	0	keep	itself		True	ICAM5,IGSF8,FOXQ1,TCF3,MYADM,CASP4,ACTN4,DTX2,WIPI1,ST6GALNAC2,AXIN2,CTSD,BMP4,TMEM63B,MYL9,CD151,TAGLN,STXBP2,CNOT3,SCAMP4
RELA_DN.V1_UP	RELA_DN.V1_UP	2.52e-06	59	0.396	0	0	1	0	keep	itself		True	ATF3,ZFP36,PPP1R15A,JUNB,GADD45B,FOSB,FOS,JUN,ATP8A2,IL1B,EGR3,ZNF165,ZFP36L1,CDKN2B,KCNC4,SLC6A14,FOSL1,CDK5R2,KLF10,CCL2
KRAS.LUNG.BREAST_UP.V1_UP	KRAS.LUNG.BREAST_UP.V1_UP	3.16e-06	52	0.3714	78	32	0.1868	0.0165	keep	KRAS.600_UP.V1_UP	KRAS.600_UP.V1_UP	True	CTNNA2,KCNK15,MMP1,HBEGF,CCL20,CXCL5,PTPRR,KCNC1,CRCT1,CALB1,FNDC8,HOXD11,MMP9,FAM174B,STC1,SEMA3B,CCDC181,CLSTN2,TNFAIP3,HAS2
PDGF_ERK_DN.V1_DN	PDGF_ERK_DN.V1_DN	3.99e-06	80	0.5369	0	0	1	0	keep	itself		True	JUNB,PNRC1,ADM,DNAJB1,TRIB1,MAFF,DUSP1,JUN,CEBPB,KRT13,BTG1,ISL1,SMOX,NFIL3,ZFP36L2,RHOB,TGIF1,IRAK1BP1,ZSCAN9,KLF10
LEF1_UP.V1_UP	LEF1_UP.V1_UP	4.09e-06	68	0.3505	0	0	1	0	keep	itself		True	TMEM158,S100A2,EMP1,RGCC,L1CAM,KRT13,EGR3,CAVIN3,PRKAA2,MIA,SLC2A3,EGR2,ADGRG2,EDAR,FJX1,FLNC,SERPINE1,ARID3B,AKAP12,PRPH
STK33_SKM_UP	STK33_SKM_UP	7.96e-06	96	0.3453	176	67	0.0664	0.2644	keep	STK33_UP	STK33_UP	False	CDKN1A,ZFP36,JUNB,ADM,TRIB1,FOS,DUSP1,RGS2,RGCC,IL1B,SULF2,SGK1,BTG2,HBEGF,BBS12,HINT3,MXD1,MIDN,IL1A,BCL3
