Pathway ID	Name	pvalue	DEG number	DEG Density	Intersecton size	DEGs in Intersection	Result	Reciprocal pvalue	Filtered	Versus	Versus Name	Is Reciprocal	Top Genes
BIOCARTA_NO2IL12_PATHWAY	BIOCARTA_NO2IL12_PATHWAY	1.25e-06	15	1	0	0	1	0	keep	itself		True	JAK2,TYK2,NOS2,CCR5,IL12RB2,CD4,STAT4,CD2,CD247,CD3D,CD3E,IL12RB1,IFNG,CXCR3,CD3G
BIOCARTA_RHODOPSIN_PATHWAY	BIOCARTA_RHODOPSIN_PATHWAY	6.90e-04	6	0.5455	0	0	1	0	keep	itself		True	GRK1,SAG,SLC25A22,PDE6B,RHO,RCVRN
BIOCARTA_IL1R_PATHWAY	BIOCARTA_IL1R_PATHWAY	0.0016	16	0.5161	0	0	1	0	keep	itself		True	IL6,JUN,IL1B,IL1A,IL1RN,TGFB1,TAB1,IRAK3,MAP3K7,TRAF6,IRAK2,MAP2K3,RELA,IRAK1,MAPK14,MYD88
BIOCARTA_FOSB_PATHWAY	BIOCARTA_FOSB_PATHWAY	0.0019	3	0.6	0	0	1	0	keep	itself		True	FOSB,JUND,GRIA2
BIOCARTA_TOLL_PATHWAY	BIOCARTA_TOLL_PATHWAY	0.0023	13	0.52	16	8	0.7519	0.7067	keep	BIOCARTA_IL1R_PATHWAY	BIOCARTA_IL1R_PATHWAY	False	FOS,JUN,IKBKG,TAB1,ELK1,MAP3K7,TRAF6,MAP2K3,PGLYRP1,RELA,MAPK14,MYD88,MAP2K4
BIOCARTA_RARRXR_PATHWAY	BIOCARTA_RARRXR_PATHWAY	0.0025	3	0.4286	0	0	1	0	keep	itself		True	RARA,NCOR2,TBP
BIOCARTA_LECTIN_PATHWAY	BIOCARTA_LECTIN_PATHWAY	0.0033	7	0.5385	0	0	1	0	keep	itself		True	MASP1,C5,MASP2,C9,C6,MBL2,C8A
BIOCARTA_TCAPOPTOSIS_PATHWAY	BIOCARTA_TCAPOPTOSIS_PATHWAY	0.0036	9	1	0	0	1	0	keep	itself		True	FAS,CCR5,CD4,CD247,CD3D,CD3E,CD28,FASLG,CD3G
BIOCARTA_DSP_PATHWAY	BIOCARTA_DSP_PATHWAY	0.0063	7	0.7778	0	0	1	0	keep	itself		True	DUSP1,DUSP4,DUSP6,MAPK3,DUSP2,DUSP8,MAPK14
BIOCARTA_IFNG_PATHWAY	BIOCARTA_IFNG_PATHWAY	0.0073	2	0.3333	0	0	1	0	keep	itself		True	IFNGR1,IFNGR2
BIOCARTA_EXTRINSIC_PATHWAY	BIOCARTA_EXTRINSIC_PATHWAY	0.0094	9	0.6923	0	0	1	0	keep	itself		True	F5,FGA,FGG,FGB,PROS1,PROC,SERPINC1,F2,F7
BIOCARTA_COMP_PATHWAY	BIOCARTA_COMP_PATHWAY	0.0094	19	0.95	0	0	1	0	keep	itself		True	C1QA,C7,CFD,C1QB,C1QC,C2,CFB,C4B,C1R,C4A,C1S,C3,MASP1,C5,MASP2,C9,C6,MBL2,C8A
