Heatmap_Rank,term_id,term_name,p_value,term_size,intersection_size,intersection,Input_Order,Pathway_Gene_Source,Pathway_Gene_Count,Filtered,Versus,Versus Name,Result,Reciprocal pvalue,DEGs in Intersection,Is Reciprocal,GSEA_Rank,Neg_Log10_P,Pathway_Label_Clean,Pathway_Label,Heatmap_Cluster_Rank
1,BIOCARTA_NO2IL12_PATHWAY,BIOCARTA_NO2IL12_PATHWAY,1.2528702211e-06,15,15,"JAK2,TYK2,NOS2,CCR5,IL12RB2,CD4,STAT4,CD2,CD247,CD3D,CD3E,IL12RB1,IFNG,CXCR3,CD3G",0,GMT,15,keep,itself,,1.0,0.0,0,True,1,5.902093913187164,NO2IL12 PATHWAY,NO2IL12 PATHWAY,1
2,BIOCARTA_TCAPOPTOSIS_PATHWAY,BIOCARTA_TCAPOPTOSIS_PATHWAY,0.0035810154574878,9,9,"FAS,CCR5,CD4,CD247,CD3D,CD3E,CD28,FASLG,CD3G",2,GMT,9,keep,itself,,1.0,0.0,0,True,8,2.4459938043477263,TCAPOPTOSIS PATHWAY,TCAPOPTOSIS PATHWAY,2
3,BIOCARTA_RHODOPSIN_PATHWAY,BIOCARTA_RHODOPSIN_PATHWAY,0.0006898413506217,9,6,"GRK1,SAG,SLC25A22,PDE6B,RHO,RCVRN",1,GMT,11,keep,itself,,1.0,0.0,0,True,2,3.1612507766131843,RHODOPSIN PATHWAY,RHODOPSIN PATHWAY,3
4,BIOCARTA_IL1R_PATHWAY,BIOCARTA_IL1R_PATHWAY,0.0016066168945127,29,16,"IL6,JUN,IL1B,IL1A,IL1RN,TGFB1,TAB1,IRAK3,MAP3K7,TRAF6,IRAK2,MAP2K3,RELA,IRAK1,MAPK14,MYD88",7,GMT,31,keep,itself,,1.0,0.0,0,True,3,2.7940876704890947,IL1R PATHWAY,IL1R PATHWAY,4
5,BIOCARTA_NFKB_PATHWAY,BIOCARTA_NFKB_PATHWAY,0.0124430515932714,20,12,"IL1A,TNFRSF1A,TNFAIP3,IKBKG,TAB1,TRADD,MAP3K7,TRAF6,RELA,MYD88,FADD,NFKBIA",18,GMT,21,keep,BIOCARTA_TOLL_PATHWAY,BIOCARTA_TOLL_PATHWAY,0.623,0.4179,7,False,14,1.905073098134327,NFKB PATHWAY,NFKB PATHWAY,5
6,BIOCARTA_TOLL_PATHWAY,BIOCARTA_TOLL_PATHWAY,0.0022776063847405,24,13,"FOS,JUN,IKBKG,TAB1,ELK1,MAP3K7,TRAF6,MAP2K3,PGLYRP1,RELA,MAPK14,MYD88,MAP2K4",10,GMT,25,keep,BIOCARTA_IL1R_PATHWAY,BIOCARTA_IL1R_PATHWAY,0.7519,0.7067,8,False,5,2.6425213284156848,TOLL PATHWAY,TOLL PATHWAY,6
7,BIOCARTA_FOSB_PATHWAY,BIOCARTA_FOSB_PATHWAY,0.0019437864808151,5,3,"FOSB,JUND,GRIA2",5,GMT,5,keep,itself,,1.0,0.0,0,True,4,2.71135144275165,FOSB PATHWAY,FOSB PATHWAY,7
8,BIOCARTA_RARRXR_PATHWAY,BIOCARTA_RARRXR_PATHWAY,0.0025089155922391,7,3,"RARA,NCOR2,TBP",9,GMT,7,keep,itself,,1.0,0.0,0,True,6,2.600513949463159,RARRXR PATHWAY,RARRXR PATHWAY,8
9,BIOCARTA_LECTIN_PATHWAY,BIOCARTA_LECTIN_PATHWAY,0.0033273138614925,12,7,"MASP1,C5,MASP2,C9,C6,MBL2,C8A",3,GMT,13,keep,itself,,1.0,0.0,0,True,7,2.477906230725655,LECTIN PATHWAY,LECTIN PATHWAY,9
10,BIOCARTA_COMP_PATHWAY,BIOCARTA_COMP_PATHWAY,0.0094119964187625,19,19,"C1QA,C7,CFD,C1QB,C1QC,C2,CFB,C4B,C1R,C4A,C1S,C3,MASP1,C5,MASP2,C9,C6,MBL2,C8A",11,GMT,20,keep,itself,,1.0,0.0,0,True,12,2.026318246743783,COMP PATHWAY,COMP PATHWAY,10
11,BIOCARTA_DSP_PATHWAY,BIOCARTA_DSP_PATHWAY,0.0062912045214927,9,7,"DUSP1,DUSP4,DUSP6,MAPK3,DUSP2,DUSP8,MAPK14",8,GMT,9,keep,itself,,1.0,0.0,0,True,9,2.201266196056144,DSP PATHWAY,DSP PATHWAY,11
12,BIOCARTA_CCR5_PATHWAY,BIOCARTA_CCR5_PATHWAY,0.0154026809232423,17,9,"FOS,JUN,PRKCA,CCL2,CXCR4,CCL4,MAPK14,CALM2,PTK2B",17,GMT,17,keep,itself,,1.0,0.0,0,True,17,1.8124036811870894,CCR5 PATHWAY,CCR5 PATHWAY,12
13,BIOCARTA_ARENRF2_PATHWAY,BIOCARTA_ARENRF2_PATHWAY,0.046535677352637,20,5,"MAFF,FOS,JUN,MAFK,PRKCA",24,GMT,20,keep,BIOCARTA_CCR5_PATHWAY,BIOCARTA_CCR5_PATHWAY,0.1313,0.7534,3,False,25,1.3322139603076582,ARENRF2 PATHWAY,ARENRF2 PATHWAY,13
14,BIOCARTA_IFNG_PATHWAY,BIOCARTA_IFNG_PATHWAY,0.007334813062817,6,2,"IFNGR1,IFNGR2",12,GMT,6,keep,itself,,1.0,0.0,0,True,10,2.134610950235367,IFNG PATHWAY,IFNG PATHWAY,14
15,BIOCARTA_NKT_PATHWAY,BIOCARTA_NKT_PATHWAY,0.0118860416282046,26,6,"IFNGR1,IFNGR2,CCL3,IL4R,CXCR4,TGFB1",19,GMT,26,keep,BIOCARTA_IFNG_PATHWAY,BIOCARTA_IFNG_PATHWAY,0.1231,0.2,2,False,13,1.9249627530557758,NKT PATHWAY,NKT PATHWAY,15
16,BIOCARTA_EXTRINSIC_PATHWAY,BIOCARTA_EXTRINSIC_PATHWAY,0.0094060680969459,13,9,"F5,FGA,FGG,FGB,PROS1,PROC,SERPINC1,F2,F7",4,GMT,13,keep,itself,,1.0,0.0,0,True,11,2.0265918814244297,EXTRINSIC PATHWAY,EXTRINSIC PATHWAY,16
17,BIOCARTA_LYM_PATHWAY,BIOCARTA_LYM_PATHWAY,0.013408855687226,13,8,"IL1A,ICAM2,CXCL8,ICAM1,ITGB1,ITGB2,CD34,MADCAM1",14,GMT,14,keep,itself,,1.0,0.0,0,True,15,1.872608283291458,LYM PATHWAY,LYM PATHWAY,17
18,BIOCARTA_GRANULOCYTES_PATHWAY,BIOCARTA_GRANULOCYTES_PATHWAY,0.0237414677814492,15,7,"IL1A,ICAM2,CXCL8,ITGAM,ICAM1,CSF3,ITGB2",13,GMT,15,keep,BIOCARTA_LYM_PATHWAY,BIOCARTA_LYM_PATHWAY,0.2145,0.5291,5,False,19,1.6244924349315988,GRANULOCYTES PATHWAY,GRANULOCYTES PATHWAY,18
19,BIOCARTA_LDL_PATHWAY,BIOCARTA_LDL_PATHWAY,0.0148545972364411,6,3,"LDLR,IL6,CCL2",15,GMT,6,keep,itself,,1.0,0.0,0,True,16,1.828139119044596,LDL PATHWAY,LDL PATHWAY,19
20,BIOCARTA_MSP_PATHWAY,BIOCARTA_MSP_PATHWAY,0.0355450236966824,6,4,"IL1B,CCL2,MST1R,CSF1",21,GMT,6,keep,BIOCARTA_LDL_PATHWAY,BIOCARTA_LDL_PATHWAY,0.4,0.2,2,False,23,1.4492211919059934,MSP PATHWAY,MSP PATHWAY,20
21,BIOCARTA_SET_PATHWAY,BIOCARTA_SET_PATHWAY,0.0198723756034547,10,10,"HMGB2,ANP32A,DFFA,SET,DFFB,APEX1,CREBBP,GZMA,PRF1,GZMB",6,GMT,10,keep,itself,,1.0,0.0,0,True,18,1.7017502129202722,SET PATHWAY,SET PATHWAY,21
22,BIOCARTA_RECK_PATHWAY,BIOCARTA_RECK_PATHWAY,0.0248097003025493,9,7,"TIMP3,MMP9,RECK,MMP2,MMP14,TIMP2,TIMP1",16,GMT,9,keep,itself,,1.0,0.0,0,True,20,1.6053784819081705,RECK PATHWAY,RECK PATHWAY,22
23,BIOCARTA_IL6_PATHWAY,BIOCARTA_IL6_PATHWAY,0.031055900621118,21,8,"FOS,IL6,JUN,CEBPB,SRF,ELK1,MAPK3,GRB2",22,GMT,21,keep,itself,,1.0,0.0,0,True,22,1.507855871695831,IL6 PATHWAY,IL6 PATHWAY,23
24,BIOCARTA_MITR_PATHWAY,BIOCARTA_MITR_PATHWAY,0.0292646848178078,4,2,"YWHAH,HDAC9",20,GMT,5,keep,itself,,1.0,0.0,0,True,21,1.5336561488989884,MITR PATHWAY,MITR PATHWAY,24
25,BIOCARTA_RHO_PATHWAY,BIOCARTA_RHO_PATHWAY,0.036231884057971,21,14,"ARHGAP6,ARHGEF1,GSN,ARHGAP1,VCL,RHOA,OPHN1,PIP5K1A,PFN1,ARHGEF11,ROCK1,ARHGEF5,LIMK1,ARHGAP5",23,GMT,21,keep,itself,,1.0,0.0,0,True,24,1.440909082065218,RHO PATHWAY,RHO PATHWAY,25
