Data_Type,Dataset_ID,Plot_Category,Analysis_Name,GeneSet_Name,GSEA_Result_File,Pathway ID,Name,pvalue,DEG number,DEG Density,Intersecton size,DEGs in Intersection,Result,Reciprocal pvalue,Filtered,Versus,Versus Name,Is Reciprocal,Top Genes
ngs,GSE50760,ATF3_correlation,Liver_metastasis,IMMUNESIGDB,results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/GSEA/IMMUNESIGDB/gsea_result.csv,GSE9988_LOW_LPS_VS_CTRL_TREATED_MONOCYTE_UP,GSE9988_LOW_LPS_VS_CTRL_TREATED_MONOCYTE_UP,1e-10,121,0.6142,0,0,1.0,0.0,keep,itself,,True,"PPP1R15A,ADM,GADD45B,MAFF,C11orf96,SOCS3,DUSP1,IL6,CSRNP1,RHCG,RGCC,JUN,OTUD1,IER3,IL1B,HAS1,EGR3,TRIP10,BTG2,PLAUR"
ngs,GSE50760,ATF3_correlation,Liver_metastasis,IMMUNESIGDB,results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/GSEA/IMMUNESIGDB/gsea_result.csv,GSE42088_UNINF_VS_LEISHMANIA_INF_DC_2H_DN,GSE42088_UNINF_VS_LEISHMANIA_INF_DC_2H_DN,1e-10,129,0.645,0,0,1.0,0.0,keep,itself,,True,"ZFP36,JUNB,KRT10,FOSB,FOS,DUSP1,DDIT3,IER2,CHMP1B,NOD2,TLE4,RPL10A,JUND,KLF2,RPS28,YPEL5,C15orf39,RARA,RPL21,NR4A1"
ngs,GSE50760,ATF3_correlation,Liver_metastasis,IMMUNESIGDB,results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/GSEA/IMMUNESIGDB/gsea_result.csv,GSE9988_LPS_VS_CTRL_TREATED_MONOCYTE_UP,GSE9988_LPS_VS_CTRL_TREATED_MONOCYTE_UP,1e-10,111,0.5635,158,96,0.0099,0.7127,exclude,GSE9988_LOW_LPS_VS_CTRL_TREATED_MONOCYTE_UP,GSE9988_LOW_LPS_VS_CTRL_TREATED_MONOCYTE_UP,False,"CDKN1A,PPP1R15A,ADM,GADD45B,MAFF,C11orf96,SOCS3,DUSP1,IL6,CSRNP1,RHCG,RGCC,IER3,IL1B,BTG2,PLAUR,OSR2,HES1,IL1A,FOXO3"
ngs,GSE50760,ATF3_correlation,Liver_metastasis,IMMUNESIGDB,results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/GSEA/IMMUNESIGDB/gsea_result.csv,GSE9988_LOW_LPS_VS_VEHICLE_TREATED_MONOCYTE_UP,GSE9988_LOW_LPS_VS_VEHICLE_TREATED_MONOCYTE_UP,1e-10,110,0.5612,152,90,0.0743,0.912,keep,GSE9988_LOW_LPS_VS_CTRL_TREATED_MONOCYTE_UP,GSE9988_LOW_LPS_VS_CTRL_TREATED_MONOCYTE_UP,False,"PPP1R15A,ADM,GPRC5A,GADD45B,MAFF,C11orf96,SOCS3,DUSP1,CSRNP1,JUN,OTUD1,IER3,IL1B,PLAUR,OSM,CCL20,CXCL5,SDC4,IL1A,IL20"
ngs,GSE50760,ATF3_correlation,Liver_metastasis,IMMUNESIGDB,results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/GSEA/IMMUNESIGDB/gsea_result.csv,GSE42021_CD24HI_TREG_VS_CD24HI_TCONV_THYMUS_DN,GSE42021_CD24HI_TREG_VS_CD24HI_TCONV_THYMUS_DN,1e-10,112,0.56,0,0,1.0,0.0,keep,itself,,True,"CDKN1A,PPP1R15A,JUNB,ID1,GADD45B,SOCS3,FOS,DUSP1,IER2,IER3,SERPINB2,SOCS2,IL1B,SGK1,BTG2,BHLHE40,PLAUR,IL4R,ZFP36L1,HOXD8"
ngs,GSE50760,ATF3_correlation,Liver_metastasis,IMMUNESIGDB,results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/GSEA/IMMUNESIGDB/gsea_result.csv,GSE42088_UNINF_VS_LEISHMANIA_INF_DC_4H_DN,GSE42088_UNINF_VS_LEISHMANIA_INF_DC_4H_DN,1e-10,109,0.5477,85,56,0.0049,0.4209,exclude,GSE42088_UNINF_VS_LEISHMANIA_INF_DC_2H_DN,GSE42088_UNINF_VS_LEISHMANIA_INF_DC_2H_DN,False,"PPP1R15A,FOSB,DUSP1,RNF2,CHMP1B,BTG1,BTG2,TIPARP,JUND,OSM,KLF2,YPEL5,RPL34,RARA,MAP1LC3B,PMAIP1,AKIRIN1,RPL21,KRT17,NR4A1"
ngs,GSE50760,ATF3_correlation,Liver_metastasis,IMMUNESIGDB,results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/GSEA/IMMUNESIGDB/gsea_result.csv,GSE27434_WT_VS_DNMT1_KO_TREG_DN,GSE27434_WT_VS_DNMT1_KO_TREG_DN,1e-10,109,0.545,129,77,0.033,0.1025,exclude,GSE42021_CD24HI_TREG_VS_CD24HI_TCONV_THYMUS_DN,GSE42021_CD24HI_TREG_VS_CD24HI_TCONV_THYMUS_DN,False,"CDKN1A,ZFP36,PPP1R15A,JUNB,ID1,CPE,GADD45B,SERTAD1,SOCS3,FOS,DUSP1,IER2,SERPINB2,SOCS2,IL1B,SGK1,BTG2,BHLHE40,PPP3CA,PLAUR"
ngs,GSE50760,ATF3_correlation,Liver_metastasis,IMMUNESIGDB,results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/GSEA/IMMUNESIGDB/gsea_result.csv,GSE29617_CTRL_VS_DAY7_TIV_FLU_VACCINE_PBMC_2008_UP,GSE29617_CTRL_VS_DAY7_TIV_FLU_VACCINE_PBMC_2008_UP,1e-10,99,0.5051,0,0,1.0,0.0,keep,itself,,True,"ATF3,CDKN1A,JUNB,SOCS3,FOSB,FOS,DUSP1,FOSL2,RGS2,CSRNP1,OTUD1,CHMP1B,SERPINB2,EGR3,SGK1,BTG2,TIPARP,HBEGF,OSM,CCL20"
ngs,GSE50760,ATF3_correlation,Liver_metastasis,IMMUNESIGDB,results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/GSEA/IMMUNESIGDB/gsea_result.csv,GSE42021_TREG_PLN_VS_CD24HI_TREG_THYMUS_UP,GSE42021_TREG_PLN_VS_CD24HI_TREG_THYMUS_UP,1e-10,104,0.52,132,79,0.0016,0.0844,exclude,GSE42021_CD24HI_TREG_VS_CD24HI_TCONV_THYMUS_DN,GSE42021_CD24HI_TREG_VS_CD24HI_TCONV_THYMUS_DN,False,"CDKN1A,PPP1R15A,JUNB,ID1,CPE,GADD45B,SOCS3,FOS,DUSP1,IER2,CEBPB,IER3,IL1B,DPP6,SGK1,BTG2,BHLHE40,PPP3CA,PLAUR,ZFP36L1"
ngs,GSE50760,ATF3_correlation,Liver_metastasis,IMMUNESIGDB,results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/GSEA/IMMUNESIGDB/gsea_result.csv,GSE19401_NAIVE_VS_IMMUNIZED_MOUSE_PLN_FOLLICULAR_DC_UP,GSE19401_NAIVE_VS_IMMUNIZED_MOUSE_PLN_FOLLICULAR_DC_UP,1e-10,95,0.4774,0,0,1.0,0.0,keep,itself,,True,"ATF3,CDKN1A,ZFP36,PPP1R15A,JUNB,KRT10,DNAJB1,DUSP1,EMP1,SERPINB2,IL1B,CCL3,BTG2,TIPARP,EZR,RPL10A,LIMK2,SLC2A3,DUSP4,TGFBI"
