Heatmap_Rank,term_id,term_name,p_value,term_size,intersection_size,intersection,Input_Order,Pathway_Gene_Source,Pathway_Gene_Count,Filtered,Versus,Versus Name,Result,Reciprocal pvalue,DEGs in Intersection,Is Reciprocal,GSEA_Rank,Neg_Log10_P,Pathway_Label_Clean,Pathway_Label,Heatmap_Cluster_Rank
1,GSE36891_POLYIC_TLR3_VS_PAM_TLR2_STIM_PERITONEAL_MACROPHAGE_UP,GSE36891_POLYIC_TLR3_VS_PAM_TLR2_STIM_PERITONEAL_MACROPHAGE_UP,1e-10,148,70,"ATF3,ZFP36,JUNB,TRIB1,MAFF,FOSB,FOS,DUSP1,IL6,FOSL2,IER2,RGS2,JUN,CEBPB,IER3,SGK1,BTG2,BHLHE40,HBEGF,SPRY1,NFIL3,DUSP4,SDC4,EGR2,IL1A,RHOB,SPRY4,PHLDA1,GDF15,PMAIP1,SERPINE1,RGS1,AKAP12,PLK3,NR4A1,GEM,CCL2,MMP3,PLEKHB1,COQ10B,ITPKC,ADM2,CCL7,TNFAIP3,CABYR,EGR1,EDN1,CXCL1,FBXL19,LIF,KLF4,PTGS2,NR4A2,PLK2,H3-3B,ADAMTS1,KCNE4,PEG10,FGF23,MEGF8,PTGER4,SOX13,SYNDIG1L,PRDM1,CEBPD,DUSP6,DUSP5,HSPH1,NR4A3,PELO",0,GMT,153,keep,itself,,1.0,0.0,0,True,1,10.0,GSE36891 POLYIC TLR3 VS PAM TLR2 STIM PERITONEAL MACROPHAGE UP,"GSE36891 POLYIC TLR3 VS PAM TLR2 STIM
PERITONEAL MACROPHAGE UP",1
2,GSE36891_UNSTIM_VS_POLYIC_TLR3_STIM_PERITONEAL_MACROPHAGE_UP,GSE36891_UNSTIM_VS_POLYIC_TLR3_STIM_PERITONEAL_MACROPHAGE_UP,1e-10,143,64,"ATF3,ZFP36,PPP1R15A,MAFF,FOSB,FOS,IL6,FOSL2,IER2,CEBPB,IER3,EGR3,BTG2,TMCC3,SPRY1,NFIL3,DUSP4,SDC4,EGR2,KRT6A,PHLDA1,PMAIP1,SERPINE1,AKAP12,PLK3,NR4A1,FOXD1,CCL2,MUCL1,COQ10B,CCL7,TNFAIP3,TNFRSF19,EGR1,EDN1,CEACAM3,CXCL1,LIF,PTGS2,NR4A2,RASD1,PLK2,ADAMTS1,KCNE4,PEG10,FGF23,HEPH,PLA2G2A,BSDC1,CEBPD,HTR2A,TOB2,DUSP5,NR4A3,PELO,HOMER1,S100A14,DNAJB4,ODC1,HSPA1A,SOWAHC,PAK4,DUSP8,GPR132",2,GMT,149,keep,GSE36891_POLYIC_TLR3_VS_PAM_TLR2_STIM_PERITONEAL_MACROPHAGE_UP,GSE36891_POLYIC_TLR3_VS_PAM_TLR2_STIM_PERITONEAL_MACROPHAGE_UP,5.25e-07,1.28e-05,42,True,3,10.0,GSE36891 UNSTIM VS POLYIC TLR3 STIM PERITONEAL MACROPHAGE UP,"GSE36891 UNSTIM VS POLYIC TLR3 STIM
PERITONEAL MACROPHAGE UP",2
3,GSE37605_TREG_VS_TCONV_NOD_FOXP3_FUSION_GFP_UP,GSE37605_TREG_VS_TCONV_NOD_FOXP3_FUSION_GFP_UP,1e-10,135,55,"ATF3,ZFP36,PPP1R15A,JUNB,ADM,TRIB1,MAFF,FOSB,FOS,DUSP1,FOSL2,IER2,JUN,CEBPB,IER3,EGR3,SGK1,BTG2,HBEGF,NOD2,SPRY1,EGR2,IL1A,PHLDA1,ID3,TGFB1I1,SERPINE1,GTPBP2,RGS1,AKAP12,NR4A1,ADORA2B,CCL2,SEPTIN12,CCL7,EGR1,EDN1,RND3,GABRD,PTGS2,SMAD7,NR4A2,PLK2,ADAMTS1,KCNE4,LMCD1,PEG10,PPM1E,CEBPD,DUSP6,SNRNP35,DUSP5,NR4A3,PELO,NPAS2",4,GMT,150,keep,GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_UP,GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_UP,2.32e-10,1.02e-05,37,True,5,10.0,GSE37605 TREG VS TCONV NOD FOXP3 FUSION GFP UP,"GSE37605 TREG VS TCONV NOD FOXP3 FUSION GFP
UP",3
4,GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_UP,GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_UP,1e-10,183,84,"ATF3,ZFP36,PPP1R15A,JUNB,ID1,ACKR3,ADM,MAFF,FOSB,FOS,DUSP1,FOSL2,CSRNP1,JUN,CEBPB,IER3,TPM1,SGK1,BTG2,PLAUR,HBEGF,CCL24,FKBP9,TMCC3,ITGB5,SPRY1,ANGPT2,SDC4,EGR2,MUC13,IL1A,BAMBI,CH25H,SPRY4,ID3,TGFB1I1,SERPINE1,AKAP12,PLK3,NR4A1,SLC24A3,PJA1,JDP2,GEM,CCL2,LRP5,FZD7,EID3,PVR,PLD1,EGR1,EDN1,HOXA5,RND3,JUP,TM4SF1,PTGS2,CCN2,VPS37B,NR4A2,PLK2,ADAMTS1,GSTA4,KCNE4,LATS2,HS3ST1,RASGEF1B,CEBPD,PPT2,DUSP6,SIK1,NAV3,DUSP5,NR4A3,TNS1,HOMER1,CREM,TRIM25,CD151,ASCC1,ETS2,PRSS3,F11R,SNX7",1,GMT,185,keep,GSE36891_POLYIC_TLR3_VS_PAM_TLR2_STIM_PERITONEAL_MACROPHAGE_UP,GSE36891_POLYIC_TLR3_VS_PAM_TLR2_STIM_PERITONEAL_MACROPHAGE_UP,2.04e-05,1.22e-05,36,True,2,10.0,GSE37605 FOXP3 FUSION GFP VS IRES GFP TREG C57BL6 UP,"GSE37605 FOXP3 FUSION GFP VS IRES GFP TREG
C57BL6 UP",4
5,GSE37605_C57BL6_VS_NOD_FOXP3_FUSION_GFP_TREG_DN,GSE37605_C57BL6_VS_NOD_FOXP3_FUSION_GFP_TREG_DN,3.5156488e-09,188,117,"ATF3,ZFP36,JUNB,ACKR3,MAFF,FOSB,FOS,DUSP1,IL6,FOSL2,IER2,JUN,CEBPB,IER3,TPM1,CCL3,BTG2,BHLHE40,PLAUR,CCL24,TMCC3,ITGB5,SPRY1,NFIL3,ANGPT2,SDC4,ZFP36L1,IL1A,CH25H,SPRY4,ID3,SERPINE1,ATP6V1E1,AKAP12,PLK3,NR4A1,JDP2,CCL2,PLXNB2,LRP5,TNFAIP3,PVR,CIBAR1,EDN1,GTF2H5,GPR4,KLF4,TM4SF1,PTGS2,RPL3,GNAZ,VPS37B,MGAT5,PLK2,H3-3B,ADAMTS1,KCNE4,GTPBP1,PTGER4,CEBPD,PPT2,DUSP6,DUSP5,NR4A3,F11R,VMA12,CDIN1,CSNK1E,IL10,RAB34,RAB43,CD9,KDM6B,GAB2,CD300E,EEF1AKMT1,ISY1,MAPKAPK3,COPS8,C3AR1,TANGO2,RAD54B,ADAMTSL2,GDE1,PRDX6,SELENOS,MRPL18,FAM98B,SCARB1,UBA2,GTF2B,TRAPPC1,MRPL48,ABHD12,CLPTM1,TSEN15,RNF19B,NAGK,MED28,LILRB4,MMP13,PLEKHM2,LANCL1,DOCK7,SEC24D,NFKBIZ,PER1,MYC,HNRNPLL,EHD1,MYB,AVEN,MYO10,SNX24,DLL1,CD300C,ACO2",27,GMT,191,keep,GSE36891_POLYIC_TLR3_VS_PAM_TLR2_STIM_PERITONEAL_MACROPHAGE_UP,GSE36891_POLYIC_TLR3_VS_PAM_TLR2_STIM_PERITONEAL_MACROPHAGE_UP,0.0016,1.17e-09,43,True,31,8.453994515805343,GSE37605 C57BL6 VS NOD FOXP3 FUSION GFP TREG DN,"GSE37605 C57BL6 VS NOD FOXP3 FUSION GFP TREG
DN",5
6,GSE14769_UNSTIM_VS_40MIN_LPS_BMDM_DN,GSE14769_UNSTIM_VS_40MIN_LPS_BMDM_DN,1e-10,199,94,"ATF3,ZFP36,PPP1R15A,JUNB,PNRC1,GADD45B,MAFF,SOCS3,FOS,DUSP1,IER2,CSRNP1,JUN,CEBPB,IER3,SGK1,BTG2,TIPARP,TLE4,MCL1,OSM,DUSP4,SDC4,ZFP36L1,EGR2,CDKN2B,PHLDA1,GDF15,TNFSF9,TGIF1,RELB,PELI1,PIM1,ID3,RGS1,RAB20,PLSCR1,CCL2,ZNF516,ZC3H12A,SYCE3,LHCGR,CCL7,KLF6,TNFAIP3,TOB1,EGR1,ACSL3,SQSTM1,MEX3C,NFKBIB,VEGFA,RND3,HLA-G,UBC,FILIP1L,PTGS2,PLK2,GPR84,CXCL3,IFRD1,PTGER4,TAF7,RASGEF1B,PDE4B,MED21,SKIL,DUSP5,CCL4,HSPA1B,CCDC71L,TLK2,DNAJB4,RPS8,ODC1,MALT1,CDH11,CD69,FKBPL,HSPA1A,DUSP2,EXT1,CSNK1E,SOWAHC,IL10,TLR2,MARCKSL1,KDM6B,ID2,CLEC4E,TRIM13,CXCL2,SPATS2,BCL9",12,GMT,200,keep,itself,,1.0,0.0,0,True,13,10.0,GSE14769 UNSTIM VS 40MIN LPS BMDM DN,GSE14769 UNSTIM VS 40MIN LPS BMDM DN,6
7,GSE14769_UNSTIM_VS_60MIN_LPS_BMDM_DN,GSE14769_UNSTIM_VS_60MIN_LPS_BMDM_DN,6.111182e-10,200,88,"ATF3,PNRC1,GADD45B,FOS,DUSP1,FOSL2,IER2,CSRNP1,JUN,OTUD1,CEBPB,IER3,IL1B,SGK1,BTG2,PLAUR,TIPARP,TLE4,MCL1,OSM,DUSP4,ZFP36L1,EGR2,MXD1,CDKN2B,PHLDA1,GDF15,TNFSF9,TGIF1,RELB,PIM1,ID3,RAB20,PLSCR1,GEM,ZC3H12A,ITPKC,CCL7,KLF6,GJA1,TOB1,ACSL3,SQSTM1,MEX3C,NFKBIB,CXCL1,HLA-G,PTGS2,MTMR12,VIM,PLK2,FABP4,GPR84,FRMD6,KLF7,IFRD1,BCL2A1,TAF7,F3,RASGEF1B,RNASE10,ICAM1,SKIL,DUSP5,BICRA,ARHGEF2,CCL4,HSPA1B,CCDC71L,DNAJB4,ODC1,MALT1,CD69,HSPA1A,SRGN,DUSP2,SOWAHC,IL10,WDR47,TLR2,SPRYD7,MARCKSL1,KDM6B,BCL10,ID2,CLEC4E,TRIM13,P2RY2",25,GMT,200,keep,GSE14769_UNSTIM_VS_40MIN_LPS_BMDM_DN,GSE14769_UNSTIM_VS_40MIN_LPS_BMDM_DN,4.29e-06,0.000244,63,True,24,9.21387478215831,GSE14769 UNSTIM VS 60MIN LPS BMDM DN,GSE14769 UNSTIM VS 60MIN LPS BMDM DN,7
8,GSE14769_UNSTIM_VS_80MIN_LPS_BMDM_DN,GSE14769_UNSTIM_VS_80MIN_LPS_BMDM_DN,1.83866817e-08,197,127,"ATF3,PNRC1,GADD45B,MAFF,C11orf96,FOS,DUSP1,FOSL2,IER2,RNF2,CSRNP1,CEBPB,CCN1,IL1B,BTG1,CALB2,BTG2,PLAUR,TIPARP,HBEGF,TLE4,MCL1,OSM,NFIL3,DUSP4,EGR2,CH25H,PHLDA1,GDF15,SPRED1,TNFSF9,TGIF1,ID3,SERPINE1,RGS1,RAB20,PLSCR1,PIM3,IL1RN,COQ10B,ZC3H12A,KLF6,GJA1,DUSP14,SQSTM1,CXCL1,FILIP1L,RORB,IL23A,TMEM171,ADAMTS1,FABP4,GPR84,FRMD6,KLF7,NAMPT,BCL2A1,PTGER4,RASGEF1B,MYEF2,MED21,ICAM1,DUSP5,CCL4,HSPA1B,CCDC71L,ABTB2,MALT1,CD69,HSPA1A,SRGN,ZNF622,IL10,TLR2,DUSP8,TMEM185A,SPRYD7,KDM6B,BCL10,ID2,CLEC4E,TRIM13,ETF1,TMEM108,ETV3,STX11,NDEL1,HERPUD1,RAB12,MAP3K8,NFKBID,CAV1,GPBP1,VPS37C,PDGFB,SOD2,GTF2B,ABL2,CDC42EP2,DIO2,CFLAR,ITGAV,ZRSR2,WSB1,RNF19B,IER5,HELZ2,NOCT,MMP13,SLC38A2,MYC,TREX1,HNRNPLL,FBXO30,CCNL1,SBDS,NFKBIE,EHD1,OSGIN2,IFNB1,DNAJA2,RIPK2,SRFBP1,TNFSF14,BMP2,SLAIN2,USP16",35,GMT,199,keep,GSE14769_UNSTIM_VS_40MIN_LPS_BMDM_DN,GSE14769_UNSTIM_VS_40MIN_LPS_BMDM_DN,0.0985,1.64e-08,61,True,36,7.735496642127505,GSE14769 UNSTIM VS 80MIN LPS BMDM DN,GSE14769 UNSTIM VS 80MIN LPS BMDM DN,8
9,GSE26343_UNSTIM_VS_LPS_STIM_NFAT5_KO_MACROPHAGE_DN,GSE26343_UNSTIM_VS_LPS_STIM_NFAT5_KO_MACROPHAGE_DN,1.55910806e-08,198,118,"CDKN1A,ZFP36,JUNB,PNRC1,DCBLD2,GADD45B,MAFF,SOCS3,DUSP1,IL6,IER2,CSRNP1,CEBPB,IER3,EGR3,BTG2,MCL1,OSM,ZFP36L1,VASP,IL1A,BCL3,GDF15,TNFSF9,TGIF1,RELB,PIM1,UBXN2A,UBE2E3,RAB20,NR4A1,ADORA2B,CASP4,IL1RN,ZNF516,TNIP1,SAMD4B,TAMALIN,CXCL1,RALGDS,NR4A2,SLC35D3,PLK2,SLC5A3,GPR84,PSTPIP2,IFRD1,BCL2A1,PTGER4,RNF19A,PRDM1,KIAA0040,ICAM1,SKIL,DUSP5,DCUN1D5,NCK1,NR4A3,LAMC2,TIFA,ETS2,RBM7,FGR,CD69,DUSP2,SOWAHC,RBM22,TLR2,ITGA5,UBE2F,GPR132,MARCKSL1,KDM6B,EBAG9,ADAM17,DPF2,RELA,SMS,CXCL2,SAA1,ERBB2,UBE2A,CASS4,NFE2L2,KPNA3,DYRK2,CX3CR1,SMU1,HERPUD1,MAP3K8,TAGAP,GLIPR1,PDGFB,EIF6,DTX4,SOD2,NAB1,IL4I1,CFLAR,SLC11A2,HIVEP3,SLC2A6,UAP1,PTGIR,PHLDB1,SERPINB9,HCK,RRAD,PTPN12,PIK3R5,NFKBIZ,FBRS,NLRP3,NFKBIE,NFKB2,IFNAR1,LCA5L,EHD1",41,GMT,200,keep,itself,,1.0,0.0,0,True,35,7.8071237833131795,GSE26343 UNSTIM VS LPS STIM NFAT5 KO MACROPHAGE DN,"GSE26343 UNSTIM VS LPS STIM NFAT5 KO
MACROPHAGE DN",9
10,GSE45365_NK_CELL_VS_CD11B_DC_DN,GSE45365_NK_CELL_VS_CD11B_DC_DN,1.405751e-10,199,126,"ZFP36,JUNB,GPRC5A,ZFAND2A,MAFF,FOS,DUSP1,IL6,FOSL2,TWIST2,KRT16,CSRNP1,CEBPB,IER3,IL1B,HAS1,BTG2,TIPARP,HBEGF,OSM,SPRY1,SLC2A3,NFIL3,SDC4,CYTH3,VASP,INHBB,CH25H,PHLDA1,PIM1,CLIC4,SERPINE1,RAB20,SLC6A14,PLSCR1,FOSL1,JDP2,IL1RN,MMP9,TGFB1,PRSS27,TNFAIP3,TNIP1,TREM1,S1PR3,EGR1,TUBB6,CXCL1,PTPN2,LIF,TM4SF1,PADI4,SLC3A2,BYSL,PPP1R15B,S100A9,ARHGEF10L,PDE4B,ADAMTS4,ICAM1,GPSM3,FLNA,DUSP5,RNF122,PPP4C,CSF3,CCL4,CHSY1,ETS2,ADAM8,RAB31,S100A8,CFL1,EFHD2,RRP15,ITGB2,TMEM185A,PGLYRP1,SLC20A1,MARCKSL1,KDM6B,BCL10,CLEC4E,PPP1R18,CYTIP,ISY1,CXCL2,PTX3,SAA1,CHST11,GAR1,OSMR,CYTH4,SIRPB1,NSMCE1,IST1,STX11,RUVBL2,CALHM6,RNF149,NFKBID,TIMP1,HAS3,FTSJ3,NFKBIA,CSF3R,SMIM3,PILRA,CD44,TLE3,RNF19B,IER5,RND1,FPR2,UAP1,NOCT,MSN,SPI1,MYO1G,NOP58,CEMIP2,PTPN12,NFKBIZ,ADAMTS9,NIP7,MEFV",22,GMT,199,keep,itself,,1.0,0.0,0,True,21,9.852091598877191,GSE45365 NK CELL VS CD11B DC DN,GSE45365 NK CELL VS CD11B DC DN,10
