Heatmap_Rank,term_id,term_name,p_value,term_size,intersection_size,intersection,Input_Order,Pathway_Gene_Source,Pathway_Gene_Count,Filtered,Versus,Versus Name,Result,Reciprocal pvalue,DEGs in Intersection,Is Reciprocal,GSEA_Rank,Neg_Log10_P,Pathway_Label_Clean,Pathway_Label,Heatmap_Cluster_Rank
1,GOMF_PEPTIDE_ANTIGEN_BINDING,GOMF_PEPTIDE_ANTIGEN_BINDING,1e-10,43,32,"HLA-DQB1,HLA-DRB1,TRAV12-3,HLA-DQA1,TRAV8-4,TRAV12-1,HLA-A,TRAV29DV5,B2M,TAP1,HLA-C,TRGV9,TRBV12-3,TRBV28,HLA-F,HLA-DMB,TRAV12-2,HLA-DRA,HLA-B,TAPBP,CLEC4M,TRGV3,TRAV19,TRAV23DV6,HLA-G,HLA-DOB,HLA-DPA1,SLC7A5,DHCR24,HLA-E,CD209,FCGRT",0,GMT,47,keep,itself,,1.0,0.0,0.0,True,1,10.0,PEPTIDE ANTIGEN BINDING,PEPTIDE ANTIGEN BINDING,1
2,GOMF_ANTIGEN_BINDING,GOMF_ANTIGEN_BINDING,1e-10,166,85,"IGKV2D-28,HLA-DQB1,KLRC2,IGHV4-28,HLA-DRB1,KLRD1,TRAV12-3,HLA-DQA1,TRAV8-4,TRAV12-1,IGHV1-3,IGHV3-33,HLA-A,IGKV5-2,IGHV3-7,IGHV3-72,IGKV2-30,TRAV29DV5,IGHV3-16,KLRC1,IGHV3-30,LAG3,B2M,TAP1,HLA-C,IGHV3-74,TRGV9,IGHG2,IGHV3-64D,IGHG3,TRBV12-3,IGHV1-45,IGHV3-23,SLAMF1,IGKV3-20,IGLV2-8,IGHV4-4,IGKC,IGHV3-35,IGHV3-73,TRBV28,IGHV5-10-1,IGHD,HLA-F,IGKV3-15,IGHV4-34,HLA-DMB,IGKV1-17,TRAV12-2,HLA-DRA,IGHV7-4-1,ITGA4,IGKV1D-12,IGHV1-18,IGHA2,HLA-B,TAPBP,CLEC4M,IGLV3-1,TRGV3,IGKV1D-33,IGHA1,TRAV19,PLG,IGHV2-70,IGHV3-66,IGHV2-70D,FCN2,JCHAIN,LCK,IGLV3-27,IGHV3-15,IGLV2-14,IGHV3-53,TRAV23DV6,IGKV1-16,IGLV2-23,HLA-G,HLA-DOB,IGHV2-26,IGLC2,LILRA1,HLA-DPA1,IGHV4-59,SLC7A5",1,GMT,172,keep,GOMF_PEPTIDE_ANTIGEN_BINDING,GOMF_PEPTIDE_ANTIGEN_BINDING,0.0716,1.0,28.0,False,2,10.0,ANTIGEN BINDING,ANTIGEN BINDING,2
3,GOMF_MHC_CLASS_II_RECEPTOR_ACTIVITY,GOMF_MHC_CLASS_II_RECEPTOR_ACTIVITY,8.45220487765e-05,11,7,"HLA-DQB1,HLA-DQA1,CD3E,TRAC,CD3G,CD3D,CD247",6,GMT,13,keep,itself,,1.0,0.0,0.0,True,30,4.073029984388954,MHC CLASS II RECEPTOR ACTIVITY,MHC CLASS II RECEPTOR ACTIVITY,3
4,GOMF_GATED_CHANNEL_ACTIVITY,GOMF_GATED_CHANNEL_ACTIVITY,7.340638e-10,314,116,"CCDC51,KCNQ3,GABRA3,CACNG6,KCNA4,GRIA3,TRPV1,CHRNA5,KCNB2,GLRA2,ANO7,KCNE4,CHRNG,TMC3,CHRNA4,NMUR2,TSPOAP1,GRID2,KCNA6,KCND1,KCNMA1,TMC6,KCNJ12,RYR3,SLC1A5,KCNQ2,KCNG2,KCNE3,TMEM109,CHRNA10,CLCN5,CHRNA7,TTYH1,KCNJ11,ITPR2,GRIK3,KCNH8,KCNK17,KCNH6,TPCN2,SCNN1B,MCOLN3,CHRNA3,SCN10A,GRID1,KCNJ18,SCN7A,KCNJ5,CACNA1S,CHRFAM7A,SCN2B,CACNA2D1,TMEM43,CACNB3,P2RX3,GRIA1,KCNMB4,ANO4,ASIC3,GRIA4,CACNA1D,RYR2,BEST4,NCS1,KCNK3,ANO6,KCNN2,KCNH2,KCNA5,CACNG5,PIEZO1,KCNH3,TMEM63A,CACNA1E,KCNT1,GABRG2,SCNN1G,KCNC1,GABRB1,CACNG4,CHRNB1,CACNA1B,CLCN6,GRIA2,ANO5,ASIC4,LRRC55,KCNQ4,KCNMB1,ASIC5,KCNIP2,CACNA2D2,GABRA4,KCNF1,GABRA1,KCNN4,CACNA1H,GRIK2,CACNA1A,KCNK15,HCN1,AQP1,KCNC4,CLCNKB,ANO3,HCN4,GRIK5,GABRB3,PIEZO2,ABCC8,KCNB1,P2RX6,CLCNKA,SCNN1D,SNAP25,CNGB1",84,GMT,322,keep,itself,,1.0,0.0,0.0,True,3,9.134266192422059,GATED CHANNEL ACTIVITY,GATED CHANNEL ACTIVITY,4
5,GOMF_LIGAND_GATED_CHANNEL_ACTIVITY,GOMF_LIGAND_GATED_CHANNEL_ACTIVITY,1.0079482669e-06,185,82,"KCNH7,RYR1,GRIN2A,KCNT2,KCNK2,ABCC9,GRIN1,ANO1,P2RX1,HTR3B,PKD2,ANXA6,CCT8L2,CHRNA2,TRPM4,CCDC51,GABRA3,GRIA3,TRPV1,CHRNA5,GLRA2,ANO7,CHRNG,CHRNA4,NMUR2,GRID2,KCNMA1,KCNJ12,RYR3,SLC1A5,CHRNA10,CHRNA7,TTYH1,KCNJ11,ITPR2,GRIK3,KCNH6,TPCN2,SCNN1B,MCOLN3,CHRNA3,GRID1,KCNJ18,KCNJ5,CHRFAM7A,P2RX3,GRIA1,KCNMB4,ANO4,ASIC3,GRIA4,RYR2,BEST4,ANO6,KCNN2,KCNH2,KCNH3,TMEM63A,KCNT1,GABRG2,SCNN1G,GABRB1,CHRNB1,GRIA2,ANO5,ASIC4,KCNMB1,ASIC5,GABRA4,GABRA1,KCNN4,GRIK2,HCN1,AQP1,ANO3,HCN4,GRIK5,GABRB3,ABCC8,P2RX6,SCNN1D,CNGB1",94,GMT,190,keep,GOMF_SODIUM_CHANNEL_ACTIVITY,GOMF_SODIUM_CHANNEL_ACTIVITY,0.1911,0.2987,17.0,False,10,5.996561757549643,LIGAND GATED CHANNEL ACTIVITY,LIGAND GATED CHANNEL ACTIVITY,5
6,GOMF_LIGAND_GATED_MONOATOMIC_CATION_CHANNEL_ACTIVITY,GOMF_LIGAND_GATED_MONOATOMIC_CATION_CHANNEL_ACTIVITY,1.65715611309e-05,135,62,"KCNH7,RYR1,GRIN2A,KCNT2,ABCC9,GRIN1,ANO1,P2RX1,HTR3B,PKD2,CCT8L2,CHRNA2,TRPM4,CCDC51,GRIA3,TRPV1,CHRNA5,CHRNG,CHRNA4,KCNMA1,KCNJ12,RYR3,CHRNA10,CHRNA7,KCNJ11,ITPR2,GRIK3,KCNH6,TPCN2,SCNN1B,MCOLN3,CHRNA3,KCNJ18,KCNJ5,CHRFAM7A,P2RX3,GRIA1,KCNMB4,ASIC3,RYR2,ANO6,KCNN2,KCNH2,KCNH3,TMEM63A,KCNT1,SCNN1G,CHRNB1,GRIA2,ASIC4,KCNMB1,ASIC5,KCNN4,GRIK2,HCN1,AQP1,HCN4,GRIK5,ABCC8,P2RX6,SCNN1D,CNGB1",102,GMT,138,keep,GOMF_SODIUM_CHANNEL_ACTIVITY,GOMF_SODIUM_CHANNEL_ACTIVITY,0.2505,0.2987,17.0,False,17,4.780636576758744,LIGAND GATED MONOATOMIC CATION CHANNEL ACTIVITY,"LIGAND GATED MONOATOMIC CATION CHANNEL
ACTIVITY",6
7,GOMF_LIGAND_GATED_SODIUM_CHANNEL_ACTIVITY,GOMF_LIGAND_GATED_SODIUM_CHANNEL_ACTIVITY,7.33954941979e-05,18,10,"GRIK3,TPCN2,SCNN1B,ASIC3,SCNN1G,ASIC4,ASIC5,GRIK2,GRIK5,SCNN1D",28,GMT,18,keep,itself,,1.0,0.0,0.0,True,28,4.13433060091572,LIGAND GATED SODIUM CHANNEL ACTIVITY,LIGAND GATED SODIUM CHANNEL ACTIVITY,7
8,GOMF_POSTSYNAPTIC_NEUROTRANSMITTER_RECEPTOR_ACTIVITY,GOMF_POSTSYNAPTIC_NEUROTRANSMITTER_RECEPTOR_ACTIVITY,1.70607269972e-05,68,30,"GABRA3,GRIA3,DRD1,CHRNA5,GRM5,GLRA2,CHRNG,CHRNA4,GRID2,GRM1,CHRM2,CHRNA10,CHRNA7,GRIK3,CHRNA3,GRID1,CHRFAM7A,GRIA1,GRIA4,CHRM1,GABRG2,GABRB1,CHRNB1,GRIA2,GABBR1,GABRA4,GABRA1,GRIK2,GRIK5,GABRB3",53,GMT,70,keep,GOMF_GATED_CHANNEL_ACTIVITY,GOMF_GATED_CHANNEL_ACTIVITY,0.52,0.1282,24.0,False,19,4.768002466477686,POSTSYNAPTIC NEUROTRANSMITTER RECEPTOR ACTIVITY,"POSTSYNAPTIC NEUROTRANSMITTER RECEPTOR
ACTIVITY",8
9,GOMF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY_INVOLVED_IN_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL,GOMF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY_INVOLVED_IN_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL,5.45120518807e-05,55,26,"CHRNA2,GABRA3,GRIA3,CHRNA5,GLRA2,CHRNG,CHRNA4,GRID2,CHRNA10,CHRNA7,GRIK3,CHRNA3,GRID1,CHRFAM7A,GRIA1,GRIA4,GABRG2,GABRB1,CHRNB1,GRIA2,GABBR1,GABRA4,GABRA1,GRIK2,GRIK5,GABRB3",46,GMT,57,keep,GOMF_LIGAND_GATED_MONOATOMIC_CATION_CHANNEL_ACTIVITY,GOMF_LIGAND_GATED_MONOATOMIC_CATION_CHANNEL_ACTIVITY,0.7882,0.6839,15.0,False,24,4.2635074704453535,NEUROTRANSMITTER RECEPTOR ACTIVITY INVOLVED IN REGULATION OF POSTSYNAPTIC MEMBRANE POTENTIAL,"NEUROTRANSMITTER RECEPTOR ACTIVITY INVOLVED
IN REGULATION OF POSTSYNAPTIC MEMBRANE
POTENTIAL",9
10,GOMF_MONOATOMIC_CATION_CHANNEL_ACTIVITY,GOMF_MONOATOMIC_CATION_CHANNEL_ACTIVITY,2.3175554e-09,332,145,"CACNG7,SCN9A,SCN4B,CACNA2D3,ATP5F1D,KCNH7,CACNB1,RYR1,GRIN2A,KCNT2,KCNK2,ABCC9,HCN3,GRIN1,ANO1,P2RX1,HTR3B,PKD2,OPRM1,CCT8L2,CACNA1C,KCNQ1,CALHM5,ATP5ME,CHRNA2,TRPM4,OTOP3,CCDC51,KCNQ3,CACNG6,GPM6A,KCNA4,GRIA3,KCNIP1,NOX5,TRPV1,CHRNA5,KCNB2,SLC24A1,KCNE4,NALCN,CHRNG,CHRNA4,CALHM2,TSPOAP1,KCNA6,KCND1,SLC24A3,KCNMA1,KCNJ12,RYR3,KCNQ2,KCNG2,FAIM2,KCNE3,TMEM109,CHRNA10,OTOP2,CHRNA7,PKDREJ,KCNJ11,ITPR2,GRIK3,KCNH8,ORAI3,KCNK17,KCNH6,TRPC6,SCN8A,TPCN2,SCNN1B,STING1,MCOLN3,CHRNA3,SCN10A,KCNJ18,SCN7A,KCNJ5,CACNA1S,CHRFAM7A,SCN2B,CACNA2D1,TMEM43,CACNB3,P2RX3,GRIA1,SCN2A,KCNMB4,ASIC3,CACNA1D,RYR2,SCN11A,NCS1,KCNK3,ANO6,KCNN2,KCNH2,KCNA5,CACNG5,UNC80,TRPM3,PIEZO1,TRPC4,KCNH3,TMEM63A,CACNA1E,KCNT1,SCNN1G,KCNC1,SCN3B,CACNG4,CHRNB1,CACNA1B,GRIA2,ASIC4,LRRC55,KCNQ4,ORAI1,KCNMB1,ASIC5,PKD1,KCNIP2,CACNA2D2,SCN5A,KCNF1,KCNN4,CACNA1H,GRIK2,CACNA1A,KCNK15,SCN4A,HCN1,AQP1,KCNC4,HCN4,GRIK5,PIEZO2,TMEM38A,ABCC8,KCNB1,P2RX6,SCNN1D,SNAP25,CNGB1,KCNIP3",107,GMT,340,keep,GOMF_GATED_CHANNEL_ACTIVITY,GOMF_GATED_CHANNEL_ACTIVITY,0.1036,4.78e-12,113.0,True,4,8.63496987546751,MONOATOMIC CATION CHANNEL ACTIVITY,MONOATOMIC CATION CHANNEL ACTIVITY,10
