Heatmap_Rank,term_id,term_name,p_value,term_size,intersection_size,intersection,Input_Order,Pathway_Gene_Source,Pathway_Gene_Count,Filtered,Versus,Versus Name,Result,Reciprocal pvalue,DEGs in Intersection,Is Reciprocal,GSEA_Rank,Neg_Log10_P,Pathway_Label_Clean,Pathway_Label,Heatmap_Cluster_Rank
1,STK33_UP,STK33_UP,2.69132862e-08,277,135,"PPP1R15A,ZFP36,EGR1,JUNB,DUSP1,FOS,KLF6,MSS51,RAB12,RGS1,JUN,CSRNP1,C5AR1,CYTH2,CD101,CC2D1B,SGK1,ACVR1,EGR3,THBD,MAFF,HBEGF,NUAK1,MFAP3,RIT1,RHOB,ANXA1,STX12,TRIB1,MAFB,WDR19,DUSP5,RND3,TRIM23,COL6A3,HAVCR2,MTMR9,THAP1,GNPDA2,HECW2,RASGRP3,GPR135,CMTM3,RNF19A,OSTM1,GPR137C,SEPTIN10,TFPI,RGS2,CRK,TYROBP,SAMD8,CDC37L1,GNG11,EGR2,BTN2A1,NKIRAS1,BBS12,ITGB8,SLC38A6,LRRC25,WDR20,FAM20C,DOCK4,TDO2,GPR137B,UNKL,CLEC2B,CYBRD1,BTG2,SLC12A6,ARID5B,GLIPR1,ANKRD40,AKTIP,COQ10B,BCL3,AUH,DYNC2LI1,OLR1,DNAAF4,IL6ST,BCL6,KLHL28,PANX1,RNF121,SQSTM1,UNK,SOS1,PLAU,ZMYND11,ZEB2,ZFP36L1,ICAM1,IRF9,ATXN1,NRP1,VSIR,DAAM1,DAPK1,PELI1,ABHD2,TLR1,TNF,NCF2,CREBRF,OTUD1,RIN2,HBP1,NLRC4,GASK1B,EMP1,ATG14,BTBD7,IFI16,GPR65,TGIF1,SOCS6,PRTFDC1,GJA1,MORN2,RNF19B,ASPH,FCHO2,UPP1,ZNF222,MILR1,MIDN,LIMK1,VSIG4,TFEC,HINT3,BMF,ANKRD12,CACUL1",1,GMT,286,keep,itself,,1.0,0.0,0,True,1,7.570033270226164,STK33 UP,STK33 UP,1
2,STK33_NOMO_UP,STK33_NOMO_UP,4.827848494e-07,283,172,"PPP1R15A,ZFP36,JUNB,DUSP1,FOS,KLF6,RAB12,JUN,CSRNP1,C5AR1,CC2D1B,SGK1,ACVR1,EGR3,THBD,MAFF,NUAK1,RIT1,RHOB,GNA12,STX12,EFNB2,PTGFRN,WDR19,DUSP5,RND3,TRIM23,COL6A3,HAVCR2,MTMR9,THAP1,GNPDA2,HECW2,RASGRP3,KIFBP,RNF19A,C3AR1,OSTM1,SEPTIN10,RGS2,CRK,MAP3K8,CDC37L1,GNG11,EGR2,NKIRAS1,BBS12,LRRC25,WDR20,SIGLEC9,DOCK4,CTTNBP2NL,CD300C,TDO2,GPR137B,CLEC2B,BTG2,TUBB2A,SLC12A6,ARID5B,KIFC3,GLIPR1,AKTIP,TBCEL,COQ10B,BCL3,AUH,ADGRE2,OLR1,DNAAF4,IL6ST,BCL6,KLHL28,PANX1,SQSTM1,UNK,SOS1,PLAU,KCTD3,ZMYND11,ZEB2,IER3,ZFP36L1,FAM234B,ICAM1,WHAMM,NRP1,CAPRIN2,DAPK1,PELI1,FAM114A1,IL1R1,ARL4C,LDAF1,ABHD2,TLR1,CXCL6,SGPL1,DAB2,CREBRF,IRS1,DOLK,FBXL13,A2M,OTUD1,RIN2,HBP1,GASK1B,EMP1,ATG14,SLC24A3,BTBD7,IFI16,PTBP2,TGIF1,ARNT2,KDELR3,GJA1,MORN2,ASPH,FCHO2,RETREG2,UPP1,TNFAIP6,ZNF222,MIDN,LIMK1,C1QC,TFEC,CREBL2,HINT3,ANKRD12,TM6SF1,CACUL1,STK17B,KITLG,SPRED1,LACC1,SYNJ1,ZCCHC14,CPEB4,ZIC2,NR1D2,H2BC4,CLEC7A,P2RY14,DNAAF9,ULK2,ST3GAL1,RAB8B,GPNMB,ELK4,STAM2,NRAS,FNDC3A,IL10RA,CLVS1,YES1,FBXO32,RNASEL,CGRRF1,CAMK2D,ACP5,TMEM255A,NPEPPS,WBP2,TNFSF15,MAP4K3,GCNT2,PPP1R3B,MANBAL,UBE2W",2,GMT,290,keep,STK33_UP,STK33_UP,0.2136,3.2e-11,114,True,3,6.316246367251614,STK33 NOMO UP,STK33 NOMO UP,2
3,HINATA_NFKB_IMMU_INF,HINATA_NFKB_IMMU_INF,0.034957627118644,15,8,"NFKBIA,NFKB1,RELA,OLR1,ICAM1,IL6,CD83,CXCL6",3,GMT,15,keep,itself,,1.0,0.0,0,True,30,1.4564580544201824,HINATA NFKB IMMU INF,HINATA NFKB IMMU INF,3
4,STK33_SKM_UP,STK33_SKM_UP,3.24229886e-08,266,142,"ZFP36,EGR1,JUNB,DUSP1,FOS,KLF6,MSS51,RCBTB2,DNAJB4,RGS1,PLK2,NFKBIA,C5AR1,ERMAP,CD101,SGK1,THBD,HBEGF,SH2B3,FAM131A,GCNA,TK2,GPR183,MFAP3,RIT1,RHOB,ANXA1,ZNF407,STX12,FGR,TRIB1,MAFB,WDR19,DUSP5,RND3,TRIM23,THAP1,RGCC,HECW2,RASGRP3,GPR135,CMTM3,RNF19A,GPR137C,CEP19,PTPRM,CD86,TFPI,RGS2,TMEM107,ERRFI1,CRK,CTSK,TYROBP,SAMD8,CDC37L1,GNG11,BBS12,ITGB8,SLC38A6,TBC1D8,FAM20C,ZNF432,LPXN,GPR137B,UNKL,CYBRD1,BTG2,SLC12A6,ARID5B,CALHM2,GLIPR1,PLXNB2,TMTC3,EVI5,BCL3,DYNC2LI1,OLR1,DNAAF4,H3C11,IL15,KLHL28,EMP3,FCHSD1,PALLD,SQSTM1,UNK,PLAU,TNFRSF21,IRF9,VSIR,DAAM1,OSBPL11,RAB7B,ARHGAP42,TLR1,TNF,NCF2,GPR132,LGALS1,CREBRF,SERAC1,NINJ2,NLRC4,RESF1,BTBD7,IFI16,GPR65,CYTH4,CYBB,CDKN1C,TGFB1I1,TMOD2,PRTFDC1,MORN2,RNF19B,ASPH,FCHO2,UPP1,MILR1,MIDN,CDK2AP1,VSIG4,CD58,MNS1,TFEC,HINT3,BMF,ATRX,RNF141,MYEF2,KITLG,BCL2A1,SYNJ2BP,RTN1,ZCCHC14,CPEB4,DYNLT5,CPEB2,H2BC4,P2RY14,ZNF254",0,GMT,278,keep,STK33_UP,STK33_UP,0.6361,0.0932,89,False,2,7.489146956400888,STK33 SKM UP,STK33 SKM UP,4
5,HOXA9_DN.V1_UP,HOXA9_DN.V1_UP,0.0005850063712531,190,105,"FOS,BST1,RCBTB2,PLK2,CLK4,FYN,VASH1,THBD,HDAC4,GPR183,MYOF,ARHGEF3,ZMAT3,STX12,VCAN,FBXL5,XPC,ACYP2,COL6A3,KMT5B,RPS6KC1,CRY1,ZCCHC2,CRISPLD2,GADD45A,PTPRE,KIFBP,OSTM1,SERPINB8,CD86,SAMHD1,CD84,TYROBP,GNS,RNF11,FCER1G,THEMIS2,MAP4K4,ADAM9,PECAM1,AKIRIN1,GPR137B,CTSL,ST3GAL6,GLIPR1,COQ10B,GAS7,TYMP,IFFO1,NAGK,FRAT1,RABAC1,SLC39A6,MS4A3,ATXN1,MCUB,PHTF2,ARL4C,LYSET,NCF2,TSPOAP1,IFI16,MNDA,MS4A6A,PIK3R3,TRIM22,ADA2,FNDC3B,MS4A4A,CDK2AP1,SCHIP1,TFEC,THBS4,ICAM3,SNX10,ZFYVE16,NGRN,MARCHF2,CARD9,USP15,TSEN34,IFI30,ANKRA2,CDK8,JAK2,IL13RA1,SHTN1,BLTP3B,FRY,FAM98A,FCER2,RCBTB1,SCPEP1,ROGDI,DICER1,AGTPBP1,FNDC3A,IL10RA,ASCC3,PLAA,IER5,FDXR,TNFRSF10B,BAX,CSPG4",11,GMT,192,keep,itself,,1.0,0.0,0,True,7,3.2328394040289368,HOXA9 DN.V1 UP,HOXA9 DN.V1 UP,5
6,RPS14_DN.V1_UP,RPS14_DN.V1_UP,0.0022290318484712,186,95,"CD69,BST1,RCBTB2,PLK2,LST1,EGR3,SLC31A2,NYNRIN,GPR183,NR4A3,ARHGEF3,RHOB,ZMAT3,JAG1,MPL,SFXN3,RASGRP3,PTPRE,SH3BP5,C3AR1,RAB31,SEPTIN10,TYROBP,TAC3,LY86,LPXN,GPR137B,PTPRG,CLEC2B,ST3GAL6,AIF1,CD300A,HESX1,ITGAM,BCL6,CD14,PLAU,ITGAX,MYO1F,VWF,ITGB2,ADAMTS6,CCL2,SMAD3,HCK,PILRA,ALCAM,DCN,ARL4C,SH2D2A,BIRC3,SLAMF8,NCF2,RGL1,RIN2,IGFBP7,EMP1,IFI16,ARHGAP25,MNDA,MDFIC,MS4A6A,IL1RAP,ATP8B4,SPTLC3,PDE4D,GJA1,TRIM22,ACKR4,ADA2,TFEC,TM6SF1,ICAM3,TNFRSF10C,SASH3,SIRPA,BCL2A1,GNB5,CLEC7A,P2RY14,AZU1,F13A1,F5,GPNMB,FRY,ANXA6,CALB1,CRIM1,HLA-DMB,ADA,SPP1,CR1,COLEC12,CLEC5A,MX2",16,GMT,191,keep,itself,,1.0,0.0,0,True,14,2.651883726263376,RPS14 DN.V1 UP,RPS14 DN.V1 UP,6
7,TBK1.DF_UP,TBK1.DF_UP,6.2227529625e-06,283,172,"ATF3,AOPEP,TNFAIP1,AGO3,TRAM2,DUSP14,CSGALNACT2,ITGAV,ACVR1,TMEM50A,HBEGF,SWAP70,ARIH2,TBC1D13,EXTL2,TUBA1A,RIT1,GALNT10,KLF11,STX12,VCAN,RGS3,LRP12,MICA,VAMP3,NFKB1,TFE3,BBS1,PHF10,DUSP5,MINDY2,ATPAF2,CAMK2G,CREM,MRTFB,GARRE1,INPP5F,MAST4,ABR,OSTM1,RNF38,NF2,DIPK1A,CORO1A,SACS,GNG11,DEGS1,NFIL3,PXDN,SLC38A6,LAPTM4A,RAB29,LIPT1,PKNOX1,RHOBTB1,LPXN,CYBRD1,TUBB2A,FZD6,NRBF2,GTF2H1,NKAPD1,SNX11,IQCK,EMP3,CCDC6,TIMP4,EOGT,SLC39A6,PLAU,SERTAD2,PIK3CD,NME3,TRAK2,CD83,RB1,DAAM1,DUSP3,FERMT2,MCUB,TLCD3A,GPR107,PELI1,ADAM8,IL1R1,PHTF2,SAP30BP,DNAJC17,TNFAIP3,ATP10D,ARAF,LANCL1,SLC2A3,IGF1R,FAT2,TPST1,DAB2,RIN2,UXS1,ANKMY2,RRAS,MAP3K2,NFKBIE,DDAH2,SCO2,DMTF1,SLC2A10,UBA3,ITPK1,SLC38A12,CRIP2,SNAP23,SPOCK1,WWTR1,TMEM184B,TRAPPC2,RNGTT,SCHIP1,FEZ1,SNX10,ZFYVE16,CHIC2,GPHN,SIRPA,ADGRE5,PPP3CC,TMEM45A,STAM,SH3TC1,PLAUR,CDK8,LSP1,TTC33,DPY19L1,GOLGA8A,PXDC1,ANXA6,AP5Z1,GTF2E1,RGS20,ADCY9,SNCA,CRABP2,MYBL1,RAB21,RUNX1,NFYA,TNFRSF10B,TNS3,TNFAIP8,CGRRF1,DNAJB6,STEAP1,G0S2,PNP,ENDOG,NGFR,RABGEF1,HSPA2,TBPL1,GRINA,NT5C2,TP53BP2,PTK7,MRPL58,MCAT,ENDOD1,ACYP1,MTCL1,PRP4K,STEAP1B,LSM6",6,GMT,287,keep,itself,,1.0,0.0,0,True,4,5.206017439759968,TBK1.DF UP,TBK1.DF UP,7
8,BCAT_BILD_ET_AL_DN,BCAT_BILD_ET_AL_DN,0.0168957537210961,45,35,"ARHGAP29,RAP1A,NBPF10,ISCU,ZNF281,CLK1,SHC1,ZNF236,OSBPL10,PRPF38B,STARD13,ATP9B,SMURF2,ARHGEF18,GRID1,IRAK2,TNFAIP3,ATP10D,EFR3A,PUM1,IL1RAP,ARPC2,COPB1,ASH1L,CTBP2,SRSF1,SMAD5,IER5,ZSWIM6,PLAGL1,TAF1D,ANKRD28,PRKDC,RASAL2,TUG1",4,GMT,46,keep,itself,,1.0,0.0,0,True,24,1.7722224295409608,BCAT BILD ET AL DN,BCAT BILD ET AL DN,8
9,GCNP_SHH_UP_EARLY.V1_UP,GCNP_SHH_UP_EARLY.V1_UP,0.0190518337030098,169,103,"CLCN6,KIF1B,STAT5A,TINF2,SHC1,RGCC,ADAMTS1,CSF1,ANKRD13C,NEK9,FTSJ3,ICAM5,CD276,BCKDHA,TOP2B,TBP,GTF2H1,PRMT9,MLLT10,JMJD8,SLC23A2,FNBP4,LARP7,LUC7L3,FOSL1,SNAPC2,SRSF10,FAM220A,NCAM2,PHTF2,TIA1,TYMS,FNTB,RBBP6,NAP1L1,SEC62,OVGP1,FOXK1,MTA1,UPF3B,LATS1,LOXL2,MCM5,DCAF1,GGPS1,KIAA2013,OXSM,SLC35E1,ZZZ3,MATR3,OXNAD1,MSH6,RYK,PLCG2,MAPK14,CDC23,RRM1,PARG,STYX,ARHGEF1,CD2BP2,PDS5B,TNPO1,DCPS,CNOT2,MRPL9,MAN1A1,NVL,SPDL1,CCNJ,MCM6,SDC3,HMGCL,MPDZ,NABP1,AFF4,ELOVL2,LUC7L2,RIMKLB,CHEK1,ANLN,VHL,SRSF1,ADCY6,STRN3,SLC27A1,FIP1L1,RPL39L,SMC2,CR2,SEH1L,DNAJC3,RUNX1T1,TMEM250,PPP1CB,RC3H2,MRPL50,TRAIP,ATL2,INTS7,ZNF708,GNL3,FEN1",29,GMT,173,keep,itself,,1.0,0.0,0,True,25,1.7200632179530357,GCNP SHH UP EARLY.V1 UP,GCNP SHH UP EARLY.V1 UP,9
10,TGFB_UP.V1_UP,TGFB_UP.V1_UP,0.0001404632594844,186,104,"ATF3,JUNB,CCN2,MRTFA,DLC1,KDM6B,JUN,NDST1,SPSB1,SGK1,KLF10,CSNK1E,HRH1,RHOB,LRP12,TRIB1,MAFB,CSF1R,CHST3,TLE3,SSBP3,RGCC,NCOR2,TBX3,CDK17,ELK3,MAP3K4,BMPR2,MATN1,TMEM268,ID3,CLCF1,RGS12,CARF,JMJD1C,SNAI1,POLR1G,IL1RL1,CD163,THPO,BCOR,PDGFB,SMURF2,RRAD,KANK1,NTF3,GADD45B,FGF1,COL16A1,ZFP36L1,PIK3CD,LTBP2,RUSC2,YIPF5,PMP22,FERMT2,CAPRIN2,LIF,SPHK1,CHST11,KHDC1,PPARD,CYTH1,PLEKHA1,FZR1,JMJD6,IRS1,ZNF654,RGS11,MAS1,PVRIG,PHLDB1,MYBPC2,SOCS6,FAT4,RNF19B,PFKFB3,SCHIP1,MMD,MTRF1,LMCD1,AKAP12,SEC14L2,UBL3,HLX,FLT4,DACT1,DPY19L1,ZCCHC14,TBC1D2B,KLF7,PXDC1,TFEB,SMAD6,UTP25,PRG2,BRDT,RAPGEF2,ANK1,PPP1R13L,CCDC93,ADAM22,TNFAIP8,BHLHE40",8,GMT,189,keep,itself,,1.0,0.0,0,True,5,3.8524372578927903,TGFB UP.V1 UP,TGFB UP.V1 UP,10
