term_id	term_name	p_value	term_size	intersection_size	intersection
GOCC_IGG_IMMUNOGLOBULIN_COMPLEX	GOCC_IGG_IMMUNOGLOBULIN_COMPLEX	5.3120664e-09	12	12	IGHG4,IGHG2,IGHG1,IGLL1,IGHG3,IGHA1,IGLC3,IGLC2,IGLC7,IGLL5,IGKC,IGLC1
GOCC_IGA_IMMUNOGLOBULIN_COMPLEX	GOCC_IGA_IMMUNOGLOBULIN_COMPLEX	1e-10	9	9	JCHAIN,IGHA1,PIGR,IGHA2,IGLC3,IGKV3-20,IGLC7,IGKC,IGLC1
GOCC_IGA_IMMUNOGLOBULIN_COMPLEX_CIRCULATING	GOCC_IGA_IMMUNOGLOBULIN_COMPLEX_CIRCULATING	4.0596986804e-06	5	5	JCHAIN,IGHA1,PIGR,IGHA2,IGKV3-20
GOCC_IGE_IMMUNOGLOBULIN_COMPLEX	GOCC_IGE_IMMUNOGLOBULIN_COMPLEX	0.0010463040081629	5	4	IGLC3,IGLC7,IGKC,IGLC1
GOCC_IGM_IMMUNOGLOBULIN_COMPLEX	GOCC_IGM_IMMUNOGLOBULIN_COMPLEX	0.0022340314625281	9	6	JCHAIN,IGLC3,IGKV3-20,IGLC7,IGKC,IGLC1
GOCC_TRANSCRIPTION_FACTOR_AP_1_COMPLEX	GOCC_TRANSCRIPTION_FACTOR_AP_1_COMPLEX	6.22045738473e-05	6	5	JUNB,FOS,JUN,FOSL2,JUND
GOCC_IMMUNOGLOBULIN_COMPLEX_CIRCULATING	GOCC_IMMUNOGLOBULIN_COMPLEX_CIRCULATING	0.0033750590359004	12	11	IGHE,IGHG4,IGHG2,IGHG1,IGHM,IGHG3,JCHAIN,IGHA1,PIGR,IGHA2,IGKV3-20
GOCC_HAPTOGLOBIN_HEMOGLOBIN_COMPLEX	GOCC_HAPTOGLOBIN_HEMOGLOBIN_COMPLEX	0.0031701729049984	9	9	HBZ,HP,HBA1,HBA2,HBQ1,HBB,HBG2,HBD,HBG1
GOCC_SODIUM_POTASSIUM_EXCHANGING_ATPASE_COMPLEX	GOCC_SODIUM_POTASSIUM_EXCHANGING_ATPASE_COMPLEX	0.0017921628009486	16	16	ATP4B,ATP1A4,FXYD5,FXYD6,ATP1A2,FXYD4,FXYD7,ATP1A3,ATP1B2,FXYD2,ATP1A1,ATP1B3,ATP1B1,FXYD1,ATP1B4,FXYD3
GOCC_MULTI_PASS_TRANSLOCON_COMPLEX	GOCC_MULTI_PASS_TRANSLOCON_COMPLEX	0.0045706688613844	9	9	WDR83OS,TMCO1,NOMO2,TMEM147,NCLN,NOMO3,NOMO1,CCDC47,RAB5IF
GOCC_ACTIVIN_RECEPTOR_COMPLEX	GOCC_ACTIVIN_RECEPTOR_COMPLEX	0.0004018794333808	7	4	ACVR1,ACVR2A,TGFBR2,TGFBR1
GOCC_PODOSOME	GOCC_PODOSOME	0.0001720656339085	39	30	ARAP1,VCL,FLII,ERC1,PLEC,TPM4,AFAP1L1,AMOTL2,SH3PXD2A,CTTN,SH3PXD2B,VCAM1,LPXN,SH3GL1,PALLD,ADAM8,TJP1,PHLDB2,SVIL,PTPN12,RHOU,KIF9,FSCN1,WDR1,DBNL,ASAP1,HNRNPK,FERMT3,FLNA,TNS3
GOCC_CILIARY_TRANSITION_ZONE	GOCC_CILIARY_TRANSITION_ZONE	2.1981462416e-06	82	48	TMEM80,BBS9,CCDC66,CPLANE2,B9D1,CC2D2B,WDR19,IFT20,PCM1,IFT140,LCA5,TOPORS,NPHP4,TRAF3IP1,TMEM107,EHD1,B9D2,EHD3,RPGR,DYNC2LI1,FAM161A,CPLANE1,TCTN2,IFT122,TMEM17,CC2D2A,SMAD3,ARL13B,TTC8,TTBK2,SPTBN5,SEPTIN2,ARL3,TMEM231,TMEM237,TCTN3,CEP131,UNC119B,BBS4,SPATA7,CFAP53,KIF17,AHI1,TMEM67,NPHP1,TCTN1,BBS2,CFAP36
GOCC_MKS_COMPLEX	GOCC_MKS_COMPLEX	0.0030946541502655	15	12	B9D1,TMEM107,B9D2,TCTN2,TMEM17,CC2D2A,TMEM231,TMEM237,TCTN3,AHI1,TMEM67,TCTN1
GOCC_CHAPERONIN_CONTAINING_T_COMPLEX	GOCC_CHAPERONIN_CONTAINING_T_COMPLEX	0.0119831876643357	9	9	CCT3,CCT6A,CCT7,TCP1,CCT2,CCT4,CCT6B,CCT5,CCT8
GOCC_ENDOPLASMIC_RETICULUM_ENDOSOME_MEMBRANE_CONTACT_SITE	GOCC_ENDOPLASMIC_RETICULUM_ENDOSOME_MEMBRANE_CONTACT_SITE	0.001902883001365	6	6	OSBPL9,STARD3,OSBPL10,STARD3NL,TMCC1,MOSPD2
GOCC_PHOSPHATIDYLINOSITOL_3_KINASE_COMPLEX_CLASS_III	GOCC_PHOSPHATIDYLINOSITOL_3_KINASE_COMPLEX_CLASS_III	0.0034767076820077	10	8	UVRAG,ULK1,PIK3C3,NRBF2,ATG13,RB1CC1,ATG14,PIK3R4
