Pathway,PGM3 TARGET GENES,PSMB5 TARGET GENES,GTF2E2 TARGET GENES,NPM1 TARGET GENES,ZNF830 TARGET GENES,ZZZ3 TARGET GENES,CDC5L TARGET GENES,MCM3 TARGET GENES,ZNF584 TARGET GENES,PRMT5 TARGET GENES,TAFAZZIN TARGET GENES,ZNF623 TARGET GENES,ZNF101 TARGET GENES,ZNF558 TARGET GENES,ZNF547 TARGET GENES,ZSCAN5C TARGET GENES,TSHZ1 TARGET GENES,ZNF524 TARGET GENES,ALKBH3 TARGET GENES,ZNF331 TARGET GENES,CASP3 TARGET GENES,HAND1 TARGET GENES,ZNF33A TARGET GENES,RARB TARGET GENES,FOXR2 TARGET GENES,ZNF354B TARGET GENES,ZNF704 TARGET GENES,ZNF585B TARGET GENES,ZNF223 TARGET GENES,ARID3B TARGET GENES,SRPK1 TARGET GENES,ZNF236 TARGET GENES,MYBL1 TARGET GENES,ZNF581 TARGET GENES,ZFP3 TARGET GENES,ZMYM2 TARGET GENES,FOXQ1 TARGET GENES,EBNA1BP2 TARGET GENES,TASOR TARGET GENES,TERF1 TARGET GENES
PGM3 TARGET GENES,1.0,0.0708955223880597,0.08208955223880597,0.041044776119402986,0.041044776119402986,0.06343283582089553,0.033582089552238806,0.018656716417910446,0.029850746268656716,0.007462686567164179,0.05223880597014925,0.04477611940298507,0.041044776119402986,0.022388059701492536,0.06343283582089553,0.0037313432835820895,0.022388059701492536,0.06343283582089553,0.029850746268656716,0.029850746268656716,0.0,0.03731343283582089,0.011194029850746268,0.0,0.011194029850746268,0.022388059701492536,0.0037313432835820895,0.0037313432835820895,0.033582089552238806,0.011194029850746268,0.03731343283582089,0.014925373134328358,0.048507462686567165,0.04477611940298507,0.029850746268656716,0.033582089552238806,0.0,0.029850746268656716,0.018656716417910446,0.014925373134328358
PSMB5 TARGET GENES,0.06109324758842444,1.0,0.3054662379421222,0.07395498392282958,0.028938906752411574,0.05466237942122187,0.03536977491961415,0.012861736334405145,0.03215434083601286,0.02572347266881029,0.02572347266881029,0.022508038585209004,0.03858520900321544,0.03536977491961415,0.02572347266881029,0.00964630225080386,0.01929260450160772,0.03536977491961415,0.06430868167202572,0.022508038585209004,0.0,0.03215434083601286,0.01607717041800643,0.0,0.012861736334405145,0.0,0.006430868167202572,0.003215434083601286,0.00964630225080386,0.006430868167202572,0.04180064308681672,0.05144694533762058,0.07717041800643087,0.07395498392282958,0.02572347266881029,0.012861736334405145,0.003215434083601286,0.03215434083601286,0.07717041800643087,0.00964630225080386
GTF2E2 TARGET GENES,0.05275779376498801,0.2278177458033573,1.0,0.06954436450839328,0.02158273381294964,0.045563549160671464,0.17026378896882494,0.016786570743405275,0.026378896882494004,0.026378896882494004,0.02158273381294964,0.02158273381294964,0.04316546762589928,0.04316546762589928,0.02158273381294964,0.02158273381294964,0.023980815347721823,0.03597122302158273,0.13908872901678657,0.047961630695443645,0.0,0.03117505995203837,0.023980815347721823,0.0,0.02158273381294964,0.023980815347721823,0.007194244604316547,0.004796163069544364,0.023980815347721823,0.002398081534772182,0.047961630695443645,0.050359712230215826,0.0671462829736211,0.047961630695443645,0.016786570743405275,0.011990407673860911,0.007194244604316547,0.023980815347721823,0.047961630695443645,0.014388489208633094
NPM1 TARGET GENES,0.03021978021978022,0.06318681318681318,0.07967032967032966,1.0,0.20604395604395603,0.07692307692307693,0.03296703296703297,0.02197802197802198,0.024725274725274724,0.0027472527472527475,0.019230769230769232,0.04395604395604396,0.06043956043956044,0.03296703296703297,0.03021978021978022,0.005494505494505495,0.024725274725274724,0.0521978021978022,0.07417582417582418,0.027472527472527472,0.0,0.027472527472527472,0.024725274725274724,0.0,0.03296703296703297,0.01098901098901099,0.005494505494505495,0.0027472527472527475,0.008241758241758242,0.005494505494505495,0.1401098901098901,0.04395604395604396,0.04945054945054945,0.03296703296703297,0.03021978021978022,0.005494505494505495,0.0,0.019230769230769232,0.02197802197802198,0.013736263736263736
ZNF830 TARGET GENES,0.03806228373702422,0.031141868512110725,0.031141868512110725,0.25951557093425603,1.0,0.08304498269896193,0.02768166089965398,0.01384083044982699,0.01730103806228374,0.0034602076124567475,0.01730103806228374,0.05190311418685121,0.05536332179930796,0.04844290657439446,0.01730103806228374,0.010380622837370242,0.020761245674740483,0.04152249134948097,0.0726643598615917,0.01730103806228374,0.0,0.031141868512110725,0.03460207612456748,0.0,0.04844290657439446,0.01384083044982699,0.0034602076124567475,0.010380622837370242,0.01384083044982699,0.010380622837370242,0.03460207612456748,0.020761245674740483,0.03460207612456748,0.04498269896193772,0.03806228373702422,0.01384083044982699,0.01384083044982699,0.01730103806228374,0.0,0.006920415224913495
ZZZ3 TARGET GENES,0.05329153605015674,0.05329153605015674,0.05956112852664577,0.0877742946708464,0.07523510971786834,1.0,0.050156739811912224,0.018808777429467086,0.009404388714733543,0.009404388714733543,0.025078369905956112,0.050156739811912224,0.06583072100313479,0.06583072100313479,0.02821316614420063,0.006269592476489028,0.050156739811912224,0.047021943573667714,0.07836990595611286,0.0438871473354232,0.0,0.012539184952978056,0.02821316614420063,0.0,0.04075235109717868,0.01567398119122257,0.003134796238244514,0.003134796238244514,0.0219435736677116,0.009404388714733543,0.05642633228840126,0.012539184952978056,0.034482758620689655,0.07210031347962383,0.034482758620689655,0.03134796238244514,0.0,0.018808777429467086,0.012539184952978056,0.01567398119122257
CDC5L TARGET GENES,0.026470588235294117,0.03235294117647059,0.2088235294117647,0.03529411764705882,0.023529411764705882,0.047058823529411764,1.0,0.10588235294117647,0.01764705882352941,0.029411764705882353,0.026470588235294117,0.04411764705882353,0.058823529411764705,0.06470588235294118,0.011764705882352941,0.011764705882352941,0.04411764705882353,0.05,0.04411764705882353,0.03235294117647059,0.0,0.0058823529411764705,0.026470588235294117,0.0,0.01764705882352941,0.023529411764705882,0.0058823529411764705,0.008823529411764706,0.01764705882352941,0.0058823529411764705,0.023529411764705882,0.03823529411764706,0.06764705882352941,0.058823529411764705,0.06470588235294118,0.0058823529411764705,0.0029411764705882353,0.020588235294117647,0.014705882352941176,0.01764705882352941
MCM3 TARGET GENES,0.022222222222222223,0.017777777777777778,0.03111111111111111,0.035555555555555556,0.017777777777777778,0.02666666666666667,0.16,1.0,0.12,0.0044444444444444444,0.04,0.05333333333333334,0.11555555555555555,0.04888888888888889,0.013333333333333334,0.0044444444444444444,0.022222222222222223,0.04,0.03111111111111111,0.035555555555555556,0.0,0.02666666666666667,0.008888888888888889,0.0,0.04,0.022222222222222223,0.0,0.0044444444444444444,0.013333333333333334,0.0044444444444444444,0.022222222222222223,0.017777777777777778,0.04,0.022222222222222223,0.035555555555555556,0.0,0.0,0.02666666666666667,0.035555555555555556,0.022222222222222223
ZNF584 TARGET GENES,0.020942408376963352,0.02617801047120419,0.028795811518324606,0.02356020942408377,0.013089005235602094,0.007853403141361256,0.015706806282722512,0.07068062827225131,1.0,0.010471204188481676,0.031413612565445025,0.02617801047120419,0.015706806282722512,0.015706806282722512,0.02617801047120419,0.005235602094240838,0.015706806282722512,0.02356020942408377,0.010471204188481676,0.01832460732984293,0.0,0.03926701570680628,0.02617801047120419,0.0,0.020942408376963352,0.04712041884816754,0.005235602094240838,0.007853403141361256,0.031413612565445025,0.002617801047120419,0.013089005235602094,0.028795811518324606,0.007853403141361256,0.013089005235602094,0.02356020942408377,0.015706806282722512,0.002617801047120419,0.013089005235602094,0.010471204188481676,0.015706806282722512
PRMT5 TARGET GENES,0.01904761904761905,0.0761904761904762,0.10476190476190476,0.009523809523809525,0.009523809523809525,0.02857142857142857,0.09523809523809523,0.009523809523809525,0.0380952380952381,1.0,0.12380952380952381,0.009523809523809525,0.009523809523809525,0.06666666666666667,0.0380952380952381,0.009523809523809525,0.06666666666666667,0.01904761904761905,0.009523809523809525,0.0380952380952381,0.0,0.0380952380952381,0.0380952380952381,0.0,0.01904761904761905,0.009523809523809525,0.0,0.009523809523809525,0.01904761904761905,0.02857142857142857,0.02857142857142857,0.0,0.02857142857142857,0.01904761904761905,0.02857142857142857,0.009523809523809525,0.0,0.01904761904761905,0.0380952380952381,0.0
