Data_Type,Dataset_ID,Plot_Category,Analysis_Name,GeneSet_Name,GSEA_Result_File,Pathway ID,Name,pvalue,DEG number,DEG Density,Intersecton size,DEGs in Intersection,Result,Reciprocal pvalue,Filtered,Versus,Versus Name,Is Reciprocal,Top Genes
ngs,GSE50760,ATF3_correlation,Primary_tumor,hallmark,results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/GSEA/hallmark/gsea_result.csv,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,1e-10,101,0.505,0,0,1,0,keep,itself,,True,"ATF3,PPP1R15A,ZFP36,EGR1,CCN1,JUNB,DUSP1,FOSB,FOS,NR4A2,NR4A1,KLF6,CD69,MCL1,DNAJB4,KDM6B,PLK2,JUN,NFKBIA,IER2"
ngs,GSE50760,ATF3_correlation,Primary_tumor,hallmark,results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/GSEA/hallmark/gsea_result.csv,HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_DN,1.73e-06,93,0.6458,0,0,1,0,keep,itself,,True,"CCN1,DUSP1,DLC1,PRDM2,PIAS3,FYN,BDNF,PDLIM5,NOTCH2,ACVR2A,PEX14,NFKB1,ZMIZ1,RND3,SPOP,PTEN,SDC2,PTPRM,TFPI,TGFBR2"
ngs,GSE50760,ATF3_correlation,Primary_tumor,hallmark,results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/GSEA/hallmark/gsea_result.csv,HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,6.71e-06,98,0.49,0,0,1,0,keep,itself,,True,"ATF3,PPP1R15A,ZFP36,CCN1,DUSP1,FOS,KLF6,CCN2,NDST2,JUN,ETS1,WSB1,NDST1,BNIP3L,FOSL2,MAFF,SAP30,PHKG1,MYH9,IDS"
ngs,GSE50760,ATF3_correlation,Primary_tumor,hallmark,results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/GSEA/hallmark/gsea_result.csv,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TGF_BETA_SIGNALING,9.21e-06,37,0.6852,0,0,1,0,keep,itself,,True,"PPP1R15A,JUNB,SKI,ACVR1,KLF10,SMAD1,CDK9,NCOR2,RHOA,APC,BMPR2,RAB31,FKBP1A,TGFBR1,ID3,THBS1,ENG,SMURF2,ARID4B,LTBP2"
ngs,GSE50760,ATF3_correlation,Primary_tumor,hallmark,results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/GSEA/hallmark/gsea_result.csv,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,9.98e-06,108,0.54,0,0,1,0,keep,itself,,True,"CCN1,CCN2,JUN,BDNF,CD59,ITGAV,NOTCH2,SERPINH1,TIMP3,FBN1,FSTL1,RHOB,VIM,VCAN,BASP1,VEGFC,P3H1,PLOD1,TPM4,BMP1"
ngs,GSE50760,ATF3_correlation,Primary_tumor,hallmark,results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/GSEA/hallmark/gsea_result.csv,HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,0.000176,96,0.4824,0,0,1,0,keep,itself,,True,"MYO9B,ARHGEF2,PLEKHG2,CAPZB,VCL,ARHGAP29,WASF2,TAOK2,CYTH2,CNTROB,PDLIM5,TUBGCP6,KLC1,TSC1,NOTCH2,WASF1,NUMA1,MARK4,MYH9,ABL1"
ngs,GSE50760,ATF3_correlation,Primary_tumor,hallmark,results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/GSEA/hallmark/gsea_result.csv,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,0.000953,73,0.365,0,0,1,0,keep,itself,,True,"KLF6,CD69,PTGIR,RGS1,NFKBIA,AHR,C5AR1,HBEGF,SLC31A2,PDE4B,HRH1,KIF1B,GPR183,RGS16,OSMR,MSR1,ACVR2A,NFKB1,GNAI3,HIF1A"
ngs,GSE50760,ATF3_correlation,Primary_tumor,hallmark,results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/GSEA/hallmark/gsea_result.csv,HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,0.0011,86,0.43,0,0,1,0,keep,itself,,True,"PARD6G,VCL,TAOK2,GNAI2,PFN1,TSC1,THBS3,ACTB,FBN1,MYH9,DHX16,PKD1,VCAN,AKT2,ADAM15,BMP1,PARVA,ADAM23,SHC1,PTEN"
ngs,GSE50760,ATF3_correlation,Primary_tumor,hallmark,results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/GSEA/hallmark/gsea_result.csv,HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,0.0078,104,0.6933,0,0,1,0,keep,itself,,True,"NPR2,POLR2A,ELOA,TAF12,AGO4,TAF1C,PDE4B,POLR3GL,TK2,TAF10,POLL,XPC,ERCC1,POLH,RNMT,POLD3,DGCR8,DDB2,NME4,GPX4"
ngs,GSE50760,ATF3_correlation,Primary_tumor,hallmark,results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/GSEA/hallmark/gsea_result.csv,HALLMARK_ANGIOGENESIS,HALLMARK_ANGIOGENESIS,0.0101,29,0.8056,0,0,1,0,keep,itself,,True,"ITGAV,THBD,FSTL1,VCAN,JAG1,LRPAP1,S100A4,POSTN,OLR1,FGFR1,LUM,TNFRSF21,COL5A2,NRP1,COL3A1,CXCL6,LPL,JAG2,KCNJ8,CCND2"
