Heatmap_Rank,term_id,term_name,p_value,term_size,intersection_size,intersection,Input_Order,Pathway_Gene_Source,Pathway_Gene_Count,Filtered,Versus,Versus Name,Result,Reciprocal pvalue,DEGs in Intersection,Is Reciprocal,GSEA_Rank,Neg_Log10_P,Pathway_Label_Clean,Pathway_Label,Heatmap_Cluster_Rank
1,WP_1P36_COPY_NUMBER_VARIATION_SYNDROME,WP_1P36_COPY_NUMBER_VARIATION_SYNDROME,1e-10,93,41,"C1orf159,RER1,SDF4,TRAF5,TNFRSF18,TRAF2,ESR1,INTS11,AURKAIP1,MCM2,MORN1,BTLA,UBE2J2,FNDC10,TAS1R3,PANK4,FAAP20,MIB2,MRPL20,SCNN1D,PEX10,TMEM52,ATAD3C,NADK,CDK11A,KLHL17,CDK11B,SLC35E2B,DVL1,SSU72,SKI,B3GALT6,PRKCZ,SAMD11,NOC2L,ATAD3B,ATAD3A,PUSL1,TNFRSF14,ACAP3,CCNL2",0,GMT,112,keep,itself,,1.0,0.0,0,True,1,10.0,1P36 COPY NUMBER VARIATION SYNDROME,1P36 COPY NUMBER VARIATION SYNDROME,1
2,WP_PRIMARY_FOCAL_SEGMENTAL_GLOMERULOSCLEROSIS_FSGS,WP_PRIMARY_FOCAL_SEGMENTAL_GLOMERULOSCLEROSIS_FSGS,0.0004901895136853,64,24,"CDKN1A,IRF6,JAG1,ILK,MYO1E,FAT1,PLAUR,NCK1,KRT8,LRP5,ITGB1,COL4A5,DAG1,PARVA,CDKN1C,UTRN,TLR4,CD151,ITGAV,FYN,ITGB3,CTNNB1,VCL,ACTN4",53,GMT,72,keep,itself,,1.0,0.0,0,True,29,3.3096359835721527,PRIMARY FOCAL SEGMENTAL GLOMERULOSCLEROSIS FSGS,"PRIMARY FOCAL SEGMENTAL GLOMERULOSCLEROSIS
FSGS",2
3,WP_RETINOBLASTOMA_GENE_IN_CANCER,WP_RETINOBLASTOMA_GENE_IN_CANCER,3.84025859e-08,87,56,"RPA3,RAF1,BARD1,TYMS,FANCG,DHFR,RFC3,HMGB1,TTK,PRIM1,RPA2,H2AZ1,CCNA2,SMC1A,SKP2,CCND3,TFDP2,POLE2,CCNE1,HMGB2,CDT1,MCM6,SMC2,TOP2A,PCNA,KIF4A,CDK4,CDC25A,CCDC6,CDK2,RBBP4,RFC4,RRM2,MCM7,ANLN,MYC,SUV39H1,CCNB2,DNMT1,TFDP1,CDK1,CDC45,SMC3,CDC25B,E2F2,CCNE2,CDC7,FAF1,PRKDC,ORC1,STMN1,DCK,MCM4,E2F1,HLTF,POLE",3,GMT,90,keep,itself,,1.0,0.0,0,True,2,7.41563953072911,RETINOBLASTOMA GENE IN CANCER,RETINOBLASTOMA GENE IN CANCER,3
4,WP_DNA_REPLICATION,WP_DNA_REPLICATION,3.23296458927e-05,41,24,"PRIM1,RPA2,RFC2,POLE2,CDT1,MCM6,PCNA,MCM2,CDK2,ORC6,RFC4,MCM7,DBF4,CDC6,CDC45,POLA2,POLD2,CDC7,ORC1,POLD1,MCM4,MCM5,MCM10,POLE",10,GMT,42,keep,WP_RETINOBLASTOMA_GENE_IN_CANCER,WP_RETINOBLASTOMA_GENE_IN_CANCER,0.1749,0.4164,14,False,13,4.490399052199103,DNA REPLICATION,DNA REPLICATION,4
5,WP_DNA_MISMATCH_REPAIR,WP_DNA_MISMATCH_REPAIR,0.000332903514657,23,15,"RPA3,RFC3,RPA2,RFC2,POLE2,POLE3,PCNA,LIG1,PMS2,MSH2,RFC4,EXO1,POLD2,POLD1,POLE",18,GMT,23,keep,WP_DNA_REPLICATION,WP_DNA_REPLICATION,0.5961,0.2743,10,False,24,3.47768161971842,DNA MISMATCH REPAIR,DNA MISMATCH REPAIR,5
6,WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK,WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK,2.89167693612e-05,119,53,"FAAP24,ERCC2,GTF2H4,DCLRE1C,FANCG,RFC3,HMGB1,ERCC6,ERCC5,FANCD2,RPA2,CUL4A,POLL,FAN1,RAD50,RFC2,FAAP100,MBD4,CENPX,RAD51,POLE2,BRCA2,FANCB,POLE3,POLI,NEIL3,PCNA,RAD51C,ATR,BRIP1,LIG1,FANCI,PMS2,MSH2,POLB,POLM,RFC4,CENPS,BRCA1,PNKP,FEN1,EXO1,USP1,POLD2,OGG1,MGMT,PRKDC,PARP2,APEX1,POLD1,FANCM,FANCA,POLE",24,GMT,120,exclude,WP_FANCONI_ANEMIA,WP_FANCONI_ANEMIA,0.013,0.6561,19,False,11,4.538850228907819,DNA REPAIR PATHWAYS FULL NETWORK,DNA REPAIR PATHWAYS FULL NETWORK,6
7,WP_BASE_EXCISION_REPAIR,WP_BASE_EXCISION_REPAIR,8.85262376239e-05,31,16,"POLL,MBD4,POLE2,POLE3,NEIL3,PCNA,LIG1,POLB,PNKP,FEN1,POLD2,OGG1,PARP2,APEX1,POLD1,POLE",9,GMT,31,keep,itself,,1.0,0.0,0,True,14,4.052927992957614,BASE EXCISION REPAIR,BASE EXCISION REPAIR,7
8,WP_GLUCOCORTICOID_RECEPTOR_PATHWAY,WP_GLUCOCORTICOID_RECEPTOR_PATHWAY,9.64785602e-08,65,27,"ACKR3,SPRY1,EDN2,CCL20,RGS2,JUN,CDC42EP3,MFGE8,PLK2,FGFBP1,AMIGO2,BHLHE40,BIRC2,GADD45B,MGAM,ALOX5AP,TNFAIP3,NAV3,LRRC8A,CDKN1C,TSC22D3,DNAJC15,SCNN1A,SLC26A2,ADGRF4,PTGS2,CPEB4",1,GMT,70,keep,itself,,1.0,0.0,0,True,3,7.015569186359198,GLUCOCORTICOID RECEPTOR PATHWAY,GLUCOCORTICOID RECEPTOR PATHWAY,8
9,WP_GASTRIC_CANCER_NETWORK_1,WP_GASTRIC_CANCER_NETWORK_1,0.0001182597361902,26,16,"LIN9,ECT2,RUVBL1,RNF216,TOP2A,UBE2C,NUP107,NOTCH1,KIF15,CENPF,TPX2,AURKA,E2F7,KIF20B,MCM4,MYBL2",8,GMT,28,keep,itself,,1.0,0.0,0,True,16,3.9271630941452016,GASTRIC CANCER NETWORK 1,GASTRIC CANCER NETWORK 1,9
10,WP_METAPATHWAY_BIOTRANSFORMATION_PHASE_I_AND_II,WP_METAPATHWAY_BIOTRANSFORMATION_PHASE_I_AND_II,1.032880468e-07,146,68,"CYP7B1,CYP3A7,GSTT2,CYP2D6,CYP4F12,CYP2J2,NDST2,NAA40,FMO3,NAT10,GSTM4,CYP2S1,CHST13,HS2ST1,CYP4F22,CYP8B1,EPHX2,EPHX1,GSTP1,CYP2E1,NAA20,GAL3ST4,SULT2A1,NAT8,KCNAB3,GSTZ1,HS3ST2,NAT9,CYP2B6,AKR1B1,HS6ST2,AKR1C2,AKR1C4,CYP3A4,AKR1C1,CYP2C9,CHST9,AKR7A2,CYP4F3,CYP2C19,UGT2B4,HS6ST1,CYP26A1,CYP1A2,GSTO2,CYP2A6,GSTA1,CYP2A7,SULT1E1,CYP2C8,FMO2,SULT1C2,NAA50,GLYAT,CYP1A1,AKR1D1,AKR7A3,UGT2B7,GLYATL1,GAL3ST2,CYP7A1,BAAT,UGT2B15,CYP4F2,UGT2B17,GSTA2,KCNAB2,CYP4X1",7,GMT,183,keep,itself,,1.0,0.0,0,True,4,6.9859499351035215,METAPATHWAY BIOTRANSFORMATION PHASE I AND II,METAPATHWAY BIOTRANSFORMATION PHASE I AND II,10
