Data_Type,Dataset_ID,Plot_Category,Analysis_Name,GeneSet_Name,GSEA_Result_File,Pathway ID,Name,pvalue,DEG number,DEG Density,Intersecton size,DEGs in Intersection,Result,Reciprocal pvalue,Filtered,Versus,Versus Name,Is Reciprocal,Top Genes
ngs,GSE50760,ATF3_high_low_DE,Liver_metastasis,HPO,results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/ATF3_high_low_DE/GSEA/HPO/gsea_result.csv,HP_SLOPING_FOREHEAD,HP_SLOPING_FOREHEAD,1.56e-06,65,0.3351,0,0,1.0,0.0,keep,itself,,True,"TSEN2,CASK,MAD2L2,FAAP100,POMT1,RAD51,BUB3,SARS1,TSEN54,SEPSECS,TRAPPC14,WDR73,RPGRIP1,BRCA2,PTH1R,NCAPD2,CEP135,FANCB,OSGEP,NFIX"
ngs,GSE50760,ATF3_high_low_DE,Liver_metastasis,HPO,results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/ATF3_high_low_DE/GSEA/HPO/gsea_result.csv,HP_HYPOPLASIA_OF_TEETH,HP_HYPOPLASIA_OF_TEETH,4.47e-06,55,0.4297,0,0,1.0,0.0,keep,itself,,True,"EDAR,IRF6,TARS1,TGFA,DLX3,MMP1,WNT10A,SUMO1,FOSL2,LAMA3,CSTB,GTF2H5,DNAJC21,RNF113A,ERCC8,NECTIN4,FBXO28,OFD1,DDX59,FGFR1"
ngs,GSE50760,ATF3_high_low_DE,Liver_metastasis,HPO,results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/ATF3_high_low_DE/GSEA/HPO/gsea_result.csv,HP_ABNORMALITY_OF_CHROMOSOME_STABILITY,HP_ABNORMALITY_OF_CHROMOSOME_STABILITY,7.12e-06,30,0.5263,26,16,0.1668,0.0016,keep,HP_SLOPING_FOREHEAD,HP_SLOPING_FOREHEAD,True,"RFWD3,FANCD2,SUFU,MAD2L2,RAD50,CDCA7,FAAP100,RAD51,TOP3A,BRCA2,FANCB,TRAF7,RAD51C,UBE2T,BRIP1,FANCI,TERT,BRCA1,NF2,DNMT3B"
ngs,GSE50760,ATF3_high_low_DE,Liver_metastasis,HPO,results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/ATF3_high_low_DE/GSEA/HPO/gsea_result.csv,HP_HEMIPLEGIA_HEMIPARESIS,HP_HEMIPLEGIA_HEMIPARESIS,7.75e-06,82,0.3402,0,0,1.0,0.0,keep,itself,,True,"CFHR1,COL4A1,SLC1A3,ATP1A3,WDR4,DOCK6,ADSL,RNASEH2A,ADA2,AFG2B,GUCY1A1,SUFU,IQCB1,TPP2,MMP23B,STAT4,HESX1,PLA2G6,MT-CO3,GUCY2D"
ngs,GSE50760,ATF3_high_low_DE,Liver_metastasis,HPO,results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/ATF3_high_low_DE/GSEA/HPO/gsea_result.csv,HP_REDUCED_CONTRAST_SENSITIVITY,HP_REDUCED_CONTRAST_SENSITIVITY,1.56e-05,14,0.8235,0,0,1.0,0.0,keep,itself,,True,"MT-CO3,MT-ND2,MT-ATP6,MT-CO1,ADGRV1,MT-ND6,MT-CYB,MT-ND4L,MT-ND1,MT-ND4,MT-ND5,WHRN,MYO7A,PDZD7"
ngs,GSE50760,ATF3_high_low_DE,Liver_metastasis,HPO,results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/ATF3_high_low_DE/GSEA/HPO/gsea_result.csv,HP_CAFE_AU_LAIT_SPOT,HP_CAFE_AU_LAIT_SPOT,1.99e-05,60,0.4615,30,21,0.0026,0.0058,keep,HP_ABNORMALITY_OF_CHROMOSOME_STABILITY,HP_ABNORMALITY_OF_CHROMOSOME_STABILITY,True,"SET,CAPRIN1,KLLN,RAF1,TMC6,PDE11A,FANCG,SKIC3,RFWD3,H4C5,FANCD2,IRF1,HEPACAM,USF3,RFX7,MAD2L2,SLF2,TOMM7,FAAP100,RAD51"
ngs,GSE50760,ATF3_high_low_DE,Liver_metastasis,HPO,results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/ATF3_high_low_DE/GSEA/HPO/gsea_result.csv,HP_ENAMEL_HYPOPLASIA,HP_ENAMEL_HYPOPLASIA,5.12e-05,43,0.4019,0,0,1.0,0.0,keep,itself,,True,"IRF6,TARS1,TGFA,DLX3,MMP1,WNT10A,SUMO1,FOSL2,LAMA3,GTF2H5,DNAJC21,RNF113A,ERCC8,NECTIN4,FBXO28,OFD1,DDX59,FGFR1,COG6,LAMB3"
ngs,GSE50760,ATF3_high_low_DE,Liver_metastasis,HPO,results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/ATF3_high_low_DE/GSEA/HPO/gsea_result.csv,HP_RETICULOCYTOSIS,HP_RETICULOCYTOSIS,5.77e-05,20,0.4082,0,0,1.0,0.0,keep,itself,,True,"PIEZO1,CASK,NHLRC2,ANK1,BCL11A,AMN,GPI,MTTP,GALE,PFKM,UROS,ABCG8,HK1,FASLG,ADAMTS13,CLCN7,EPB41,CDAN1,PKLR,ABCB6"
ngs,GSE50760,ATF3_high_low_DE,Liver_metastasis,HPO,results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/ATF3_high_low_DE/GSEA/HPO/gsea_result.csv,HP_ABNORMAL_RETICULOCYTE_MORPHOLOGY,HP_ABNORMAL_RETICULOCYTE_MORPHOLOGY,7.7e-05,30,0.3488,49,20,0.1355,1.0,keep,HP_RETICULOCYTOSIS,HP_RETICULOCYTOSIS,False,"ADA2,FANCD2,RPS24,PIEZO1,CASK,NHLRC2,ANK1,RPS20,BCL11A,AMN,GPI,MYSM1,MTTP,GALE,PFKM,RPL5,TERT,RPL11,UROS,ABCG8"
ngs,GSE50760,ATF3_high_low_DE,Liver_metastasis,HPO,results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/ATF3_high_low_DE/GSEA/HPO/gsea_result.csv,HP_ABNORMAL_CIRCULATING_CITRULLINE_CONCENTRATION,HP_ABNORMAL_CIRCULATING_CITRULLINE_CONCENTRATION,9.72e-05,15,0.6,0,0,1.0,0.0,keep,itself,,True,"SLC25A15,SLC25A13,AASS,PCK1,CPS1,MT-ND2,MT-ATP6,MT-ND6,NAGS,CA5A,MT-ND1,MT-ND4,MT-ND5,OTC,MRM2"
