term_id	term_name	p_value	term_size	intersection_size	intersection
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	7.6911343e-09	20	13	UGT1A3,UGT1A7,UGT1A6,UGT1A4,UGT1A5,UGT1A9,UGT1A1,UGT1A8,UGT1A10,ALDH7A1,UGT2A3,UGT2B7,UGDH
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1.32638e-10	74	40	FOS,JUN,CD72,SYK,CHP2,PPP3CA,CR2,CHP1,CD19,CARD11,BCL10,INPP5D,GSK3B,RAC1,NRAS,PIK3CB,SOS2,CD22,RAC2,IFITM1,NFKBIA,DAPP1,VAV1,LYN,CD79B,NFATC3,CD79A,PTPN6,PIK3R5,BLNK,PLCG2,PIK3CG,BTK,MAPK3,VAV3,PPP3R1,PRKCB,PIK3CD,PIK3AP1,MALT1
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	8.512915e-10	61	40	HLA-DRB1,HLA-DQA1,CD8A,KLRD1,CD8B,HLA-DQB1,B2M,PSME1,KLRC4,KLRC2,IFI30,HSP90AA1,TAP1,CD74,HLA-DMB,CD4,HLA-DOB,HLA-DRA,NFYA,HLA-C,HSPA8,TAPBP,HLA-G,HLA-A,HLA-DOA,HSPA1L,HLA-B,HSPA1B,HSP90AB1,HSPA1A,LTA,HLA-DMA,CTSS,TAP2,CIITA,KLRC1,PSME3,LGMN,HLA-DPB1,HLA-DPA1
KEGG_RETINOL_METABOLISM	KEGG_RETINOL_METABOLISM	1.32485045e-08	41	22	UGT1A3,UGT1A7,UGT1A6,UGT1A4,UGT1A5,UGT1A9,UGT1A1,BCO1,UGT1A8,ADH4,UGT1A10,ADH1C,CYP2C8,CYP2B6,CYP2C9,UGT2A3,ADH6,RETSAT,UGT2B7,CYP2C19,DHRS9,CYP2C18
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	1e-10	100	45	FOS,JUN,CD8A,CD3E,ICOS,CHP2,CD8B,PPP3CA,CHP1,PDPK1,CARD11,CD3D,CD3G,PRKCQ,BCL10,PDCD1,GSK3B,NRAS,PIK3CB,ITK,LCK,MAPK13,SOS2,CTLA4,CD247,PAK1,NFKBIA,RASGRP1,PTPRC,VAV1,CD4,NFATC3,CBL,ZAP70,GRAP2,PTPN6,PIK3R5,PIK3CG,CDC42,LCP2,MAPK3,IL10,CD28,VAV3,PPP3R1
KEGG_PRIMARY_IMMUNODEFICIENCY	KEGG_PRIMARY_IMMUNODEFICIENCY	1.674030316e-07	31	24	CD8A,CD3E,ICOS,CD8B,CD19,CD3D,DCLRE1C,LCK,TNFRSF13C,IL7R,PTPRC,TAP1,JAK3,ADA,CD4,ZAP70,CD79A,UNG,BLNK,BTK,TAP2,TNFRSF13B,CIITA,CD40LG
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	6.38877669e-07	22	13	UGT1A3,UGT1A7,UGT1A6,UGT1A4,UGT1A5,UGT1A9,UGT1A1,UGT1A8,UGT1A10,CRYL1,UGT2A3,UGT2B7,UGDH
KEGG_LEISHMANIA_INFECTION	KEGG_LEISHMANIA_INFECTION	8.63588173e-08	65	37	FOS,JUN,HLA-DRB1,HLA-DQA1,PTGS2,FCGR3A,NCF4,HLA-DQB1,NCF1,IFNGR2,MAPK13,NFKBIA,MYD88,TLR4,CR1,HLA-DMB,HLA-DOB,PTPN6,HLA-DRA,STAT1,FCGR2A,MAPK3,IL10,HLA-DOA,IFNGR1,IL1B,ITGA4,PRKCB,HLA-DMA,ITGB2,FCGR1A,CYBA,TAB2,HLA-DPB1,HLA-DPA1,FCGR3B,IRAK4
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	2.3274659e-09	102	65	FCGR3A,SYK,CHP2,KLRK1,KLRD1,PPP3CA,CHP1,PTK2B,CD48,KLRC2,RAC1,NRAS,PIK3CB,SH2D1A,LCK,IFNGR2,SOS2,RAC2,CD247,PAK1,ITGAL,NCR3,VAV1,NFATC3,ZAP70,TNFRSF10B,PTPN6,HLA-C,PIK3R5,PLCG2,FASLG,PIK3CG,HLA-G,HLA-A,LCP2,MAPK3,CD244,HLA-B,VAV3,PPP3R1,IFNGR1,ULBP3,PRKCB,PIK3CD,IFNAR2,ITGB2,IFNAR1,NFATC2,FCER1G,GRB2,KLRC1,HCST,TNFRSF10C,BID,FCGR3B,KRAS,ICAM1,TYROBP,KIR2DL4,LAT,TNFRSF10A,MICB,MAP2K2,SOS1,GZMB
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	1.28917251e-08	84	49	HLA-DRB1,HLA-DQA1,FCGR3A,H2AC11,H2AC6,H3-3B,HLA-DQB1,H2BC5,H2AC13,C2,H3C10,H3-5,H2BC9,H2BC12,HLA-DMB,MACROH2A1,HLA-DOB,H2AC19,HLA-DRA,H2AC20,CD86,H3-3A,C1QC,H4C8,FCGR2A,C1QB,IL10,HLA-DOA,CD28,H2AC8,H2BC8,H2AC18,H4C12,C1QA,H2AC25,HLA-DMA,H4C5,FCGR1A,CD40LG,H2BC4,H2AX,H2BC21,SNRPB,HLA-DPB1,HLA-DPA1,FCGR3B,CD80,C6,C8G
KEGG_FATTY_ACID_METABOLISM	KEGG_FATTY_ACID_METABOLISM	1.8610561926e-06	38	18	ACAA2,ACOX1,ADH4,ADH1C,HADH,HADHA,ACADM,ALDH7A1,CPT1A,ACSL6,ACAT1,EHHADH,ADH6,ACAT2,ACSL5,ECHS1,CPT2,ACADS
