term_id	term_name	p_value	term_size	intersection_size	intersection
KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING	KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING	5.58601676867e-05	23	13	CCNE2,CDC6,MCM5,MTBP,CCNE1,CDC45,CCNA2,ORC6,CDT1,MCM4,ORC1,MCM2,DBF4
KEGG_MEDICUS_REFERENCE_CENPE_INTERACTION_WITH_NDC80_COMPLEX	KEGG_MEDICUS_REFERENCE_CENPE_INTERACTION_WITH_NDC80_COMPLEX	0.0001143459240388	12	11	PPP1CC,NUF2,PPP1CA,SPC25,NDC80,CENPE,SPC24,AURKA,KNSTRN,AURKB,SPAG5
KEGG_MEDICUS_REFERENCE_DEPHOSPHORYLATION_OF_KINETOCHORE	KEGG_MEDICUS_REFERENCE_DEPHOSPHORYLATION_OF_KINETOCHORE	0.0001143459240388	12	10	PPP1CC,NUF2,PPP1CA,SKA3,SPC25,NDC80,SPC24,TTK,AURKB,SKA1
KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION	KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION	7.42022358895e-05	30	17	RFC4,PCNA,PRIM1,GINS1,MCM5,RFC3,RPA3,POLA1,CDC45,POLE4,GINS2,RFC2,MCM4,GINS4,PRIM2,MCM2,POLA2
KEGG_MEDICUS_REFERENCE_CA2_CAM_VGCC_RYR_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_CA2_CAM_VGCC_RYR_SIGNALING_PATHWAY	0.0005570420147168	10	7	CACNA1C,CALM2,CACNA1E,RYR3,CACNA1A,RYR2,CACNA1B
KEGG_MEDICUS_REFERENCE_BETA_OXIDATION	KEGG_MEDICUS_REFERENCE_BETA_OXIDATION	0.0004997683572391	10	7	ACAA2,HADH,HADHA,ACADM,ACAT1,ECHS1,ACADS
KEGG_MEDICUS_REFERENCE_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_II_MOLECULES	KEGG_MEDICUS_REFERENCE_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_II_MOLECULES	0.0003156547344041	12	11	HLA-DRB1,HLA-DQA1,HLA-DQB1,CD74,HLA-DMB,HLA-DOB,HLA-DRA,HLA-DOA,HLA-DMA,HLA-DPB1,HLA-DPA1
KEGG_MEDICUS_REFERENCE_TCR_PLCG_ITPR_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_TCR_PLCG_ITPR_SIGNALING_PATHWAY	0.0012496700559509	19	12	CD3E,CD3D,CD3G,LCK,CD247,VAV1,CD4,ZAP70,GRAP2,PLCG2,LCP2,VAV3
KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_PTP	KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_PTP	0.0008467398770533	18	9	DUSP1,DUSP8,DUSP16,DUSP5,DUSP10,DUSP6,DUSP2,PTPN7,DUSP4
KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_NFY_MEDIATED_TRANSCRIPTION	KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_NFY_MEDIATED_TRANSCRIPTION	0.0006441293557094	12	10	HLA-DRB1,HLA-DQA1,HLA-DQB1,HLA-DMB,HLA-DOB,HLA-DRA,HLA-DOA,HLA-DMA,HLA-DPB1,HLA-DPA1
