term_id	term_name	p_value	term_size	intersection_size	intersection
GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	1e-10	213	130	HLA-DRB1,EZR,FOSL2,CD8A,CD3E,CD72,TRAC,SYK,ZNF683,GATA3,CD8B,SKAP1,PTPRJ,TRBC2,CD19,HLA-DQB1,THEMIS2,UBASH3A,CARD11,SPPL3,BLK,IGHD,CD3D,CD3G,CLEC2D,CD2AP,IGHG2,FCMR,BCL10,INPP5D,PDCD1,TRBC1,PDE4B,SLA2,CD160,ELF1,PRKCH,PLCL2,FCHO1,SH2D1A,ITK,LCK,IGHG3,LAPTM5,CD22,CTLA4,MS4A1,THEMIS,IGKC,CD247,NFKBIA,TRGC2,BANK1,SLC39A10,CD226,PTPRC,PTPN22,CD38,BTN3A3,LPXN,NFKBIZ,HHLA2,LYN,BTN3A2,CD79B,CD5,ADA,CD4,RFTN1,CBL,NFAM1,ZAP70,FYB1,FCRL3,CD79A,ITPRIPL1,TRAT1,PTPN6,LAT2,LGALS3,FOXP3,LAG3,DENND1B,BLNK,PLCG2,CD86,STAP1,CD300A,SH2B2,BTK,IGHA2,HLA-A,PVRIG,LCP2,CD28,LAX1,CLEC2B,KLHL6,VAV3,IGHA1,PRKCB,NFKBID,LIME1,PRKD2,IGHM,PIK3CD,RC3H1,BTN2A2,ICOSLG,MALT1,MNDA,TESPA1,IGHG1,CEACAM1,PAWR,IGLC3,ZC3H12A,NFATC2,PSEN1,BTN3A1,GRB2,IGHG4,LIPA,GBP1,IGLC1,NCKAP1L,HLA-DPB1,UBE2N,RC3H2,RIPK2
GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY	GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1e-10	75	53	CD72,SYK,CD19,BLK,IGHD,IGHG2,FCMR,PRKCH,PLCL2,ITK,LCK,IGHG3,CD22,CTLA4,MS4A1,IGKC,NFKBIA,BANK1,SLC39A10,PTPRC,PTPN22,CD38,LPXN,NFKBIZ,LYN,CD79B,CD5,RFTN1,NFAM1,FCRL3,CD79A,PTPN6,LAT2,BLNK,PLCG2,STAP1,CD300A,SH2B2,BTK,IGHA2,KLHL6,VAV3,IGHA1,PRKCB,LIME1,IGHM,PIK3CD,MNDA,IGHG1,IGLC3,NFATC2,GRB2,IGHG4
GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY	GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY	1e-10	332	192	SMAD7,HLA-DRB1,FCGR3A,CD8A,CYRIB,IGHV1-3,KLRK1,GATA3,KDM5D,KLRD1,SLAMF6,CD2,IGHV4-28,CR2,CD19,IGHV7-4-1,IGHV3-7,B2M,HMCES,FCER2,IGHD,IGHV3-74,CORO1A,GZMM,IGHV3-33,IGHG2,KLRC4,FCMR,IGHV3-16,BCL10,LGALS9,KLRC2,INPP5D,PDCD1,IGHV3-35,IL9R,IGHV3-30,SLA2,CD160,RNF19B,PIK3CB,FZD5,SH2D1A,C2,IGHG3,IL2RB,SASH3,SPN,CCR6,IGKC,HMGB1,SLAMF1,IL21R,IL7R,IGHV3-23,RASGRP1,MYD88,CD226,PTPRC,BTN3A3,IGHV3-72,WAS,CEBPG,EXO1,NFKBIZ,NCR3,CR1,CD74,IGHV4-4,IL12RB1,IGHV3-73,VAV1,C4BPA,CD46,SERPINB9,BATF,BTN3A2,IGHV1-18,RFTN1,IGHV4-34,PTPN6,UNG,SHLD1,HLA-DRA,PAXIP1,FOXP3,LAG3,DENND1B,HSPD1,HLA-C,IGHV2-70,NLRP3,CARD9,UNC13D,C1QC,BTK,IGHA2,FCGR2A,LIG4,CD96,AP1G1,HLA-G,C1QB,HLA-A,MAPK3,IL10,PRKCD,NKG7,TBX21,CD28,IGHV4-61,IGHV4-59,KLRB1,HLA-B,IGHV3-49,MYO1G,VAMP7,IGHA1,IL18R1,LTA,HPRT1,IL1B,EBAG9,HFE,TRAF3IP2,ULBP3,BTLA,C1QA,SLAMF7,IGHV3-53,LILRB1,SWAP70,TLR8,MALT1,PCYT1A,CALHM6,IGHG1,IL18RAP,TAP2,HAVCR2,CD7,FCGR1A,CEACAM1,IGHV3-64D,IRF7,IGLC3,XCL1,AZGP1,IGHV3-11,FCER1G,GRB2,IGHG4,KLRC1,CD40LG,IGHV2-70D,CD27,IGLL5,TRPM4,HCST,IL27RA,AHR,IGHV3-15,IGLC1,ARID5A,IL23A,IGHV1-69,CLNK,NCKAP1L,FCGR3B,CTSC,IGHV4-39,CD1C,IGHV1-69D,LILRB4,IGHV5-51,CD80,IGHV3-48,C6,IGHV2-26,CLC,IGHV5-10-1,PRDX1,IGLC2,C8G,CSF2RB,IGHV7-81,ICAM1,IGHV3-21,TYROBP,KIR2DL4,FOXJ1,IGHV3-13
GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY	GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY	1e-10	361	189	HLA-DRB1,EZR,FOSL2,OAS1,FCGR3A,CD8A,CD3E,CD24,F2RL1,CD72,TRAC,SYK,ZNF683,PELI1,KLRK1,GATA3,KLRD1,CD8B,SKAP1,PTPRJ,CR2,TRBC2,CD19,HLA-DQB1,THEMIS2,UBASH3A,CARD11,SPPL3,BLK,FCER2,IGHD,CD3D,TNFAIP3,CD3G,PRKCQ,CLEC2D,APPL2,CD2AP,IGHG2,KLRC4,FCMR,BCL10,LGALS9,KLRC2,INPP5D,LTF,PDCD1,TRBC1,PDE4B,PLSCR1,TICAM1,SLA2,CD160,ELF1,PRKCH,PLCL2,TRAF3,FCHO1,SH2D1A,ITK,LCK,NR4A3,IGHG3,LAPTM5,CD22,CTLA4,MS4A1,THEMIS,IGKC,CD247,PAK1,NR1H3,NFKBIA,TRGC2,BANK1,HMGB1,SLC39A10,MYD88,CD226,PTPRC,PTPN22,CD38,WDFY1,NMI,BTN3A3,LPXN,LILRA4,C5AR1,TLR4,NFKBIZ,NCR3,CR1,HHLA2,VAV1,LYN,BTN3A2,CD79B,CD5,ADA,CD4,RFTN1,CBL,NFAM1,ZAP70,FYB1,FCRL3,CD79A,ITPRIPL1,TRAT1,PTPN6,LAT2,FPR3,LGALS3,FOXP3,LAG3,TLR1,DENND1B,BLNK,PLCG2,CD86,STAP1,CD300A,SH2B2,BTK,IGHA2,FCGR2A,HLA-G,HLA-A,PVRIG,LCP2,PRKCD,CD28,LAX1,CLEC2B,KLHL6,VAV3,MYO1G,IGHA1,PRKCB,BTLA,NFKBID,LIME1,PRKD2,PAK2,IGHM,PIK3CD,PIK3AP1,LILRB1,RC3H1,BTN2A2,LAIR1,ICOSLG,LBP,MALT1,MNDA,TESPA1,IGHG1,FCGR1A,CEACAM1,PAWR,CYBA,IGLC3,ZC3H12A,NFATC2,PSEN1,BTN3A1,FCER1G,GRB2,IGHG4,KLRC1,LIPA,FPR1,SCIMP,GBP1,C3AR1,S100A14,PIGR,IGLC1,HCK,CLEC7A,LILRA1,NCKAP1L,HLA-DPB1,UBE2N,TLR6,RC3H2,LY96,FCGR3B,RIPK2
GOBP_LEUKOCYTE_MEDIATED_IMMUNITY	GOBP_LEUKOCYTE_MEDIATED_IMMUNITY	1e-10	426	232	SMAD7,HLA-DRB1,FCGR3A,CD8A,F2RL1,CYRIB,IGHV1-3,SYK,KLRK1,GATA3,KDM5D,KLRD1,SLAMF6,CD2,IGHV4-28,CR2,CD19,PDPK1,IGHV7-4-1,IGHV3-7,B2M,HMCES,FCER2,IGHD,IGHV3-74,CORO1A,GZMM,IGHV3-33,IGHG2,NCF1,KLRC4,FCMR,IGHV3-16,BCL10,LGALS9,KLRC2,INPP5D,PDCD1,IGHV3-35,IL9R,IGHV3-30,TICAM1,MAVS,SLA2,CD160,RNF19B,PIK3CB,FZD5,SH2D1A,C2,NR4A3,IGHG3,IL2RB,SASH3,CCL3,RAC2,SPN,CCR6,IGKC,RIGI,ADORA2B,HMGB1,SLAMF1,IL21R,IL7R,IGHV3-23,RASGRP1,MYD88,CD226,PTPRC,BTN3A3,IGHV3-72,WAS,CEBPG,EXO1,TLR4,NFKBIZ,NCR3,CR1,CD74,IGHV4-4,IL12RB1,IGHV3-73,VAV1,JAK3,PTGDS,C4BPA,LYN,CD46,SERPINB9,BATF,BTN3A2,IGHV1-18,RFTN1,CBL,IGHV4-34,VAMP8,PTPN6,LAT2,UNG,SHLD1,HLA-DRA,PAXIP1,FOXP3,LAG3,DENND1B,HSPD1,HLA-C,PLCG2,IGHV2-70,NLRP3,STAP1,CARD9,PIK3CG,CD300A,NLRP6,UNC13D,C1QC,BTK,IGHA2,FCGR2A,LIG4,CD96,AP1G1,HLA-G,C1QB,HLA-A,MILR1,TREM1,MAPK3,IL10,PRKCD,NKG7,TBX21,CD28,DNASE1L3,IGHV4-61,STXBP2,IGHV4-59,KLRB1,HLA-B,IGHV3-49,SNAP23,MYO1G,VAMP7,IGHA1,GPR15LG,IL18R1,SNX4,LTA,HPRT1,IL1B,TLR3,EBAG9,HFE,TRAF3IP2,ULBP3,BTLA,SPI1,C1QA,SLAMF7,SNX6,IGHV3-53,PIK3CD,LILRB1,CD84,VAMP3,ADORA3,SWAP70,TLR8,MALT1,PCYT1A,CALHM6,IL6R,IGHG1,IL18RAP,TAP2,ITGB2,HAVCR2,CD7,FCGR1A,CEACAM1,IGHV3-64D,IRF7,IGLC3,XCL1,KMT2E,AZGP1,GNAI1,IGHV3-11,FCER1G,GRB2,BST2,IGHG4,KLRC1,CD40LG,IGHV2-70D,CD27,SCIMP,IGLL5,TLR9,TRPM4,HCST,IL27RA,AHR,IGHV3-15,IGLC1,CLEC7A,ARID5A,IL23A,IGHV1-69,CLNK,NCKAP1L,FCGR3B,CTSC,IGHV4-39,CD1C,IGHV1-69D,STXBP3,LILRB4,IRAK4,IGHV5-51,CD80,IGHV3-48,C6,IGHV2-26,CLC,IGHV5-10-1,PRDX1,IGLC2,C8G,CSF2RB
GOBP_T_CELL_RECEPTOR_SIGNALING_PATHWAY	GOBP_T_CELL_RECEPTOR_SIGNALING_PATHWAY	1e-10	154	81	HLA-DRB1,EZR,FOSL2,CD8A,CD3E,TRAC,ZNF683,GATA3,CD8B,SKAP1,PTPRJ,TRBC2,HLA-DQB1,THEMIS2,UBASH3A,CARD11,SPPL3,CD3D,CD3G,CLEC2D,CD2AP,BCL10,INPP5D,PDCD1,TRBC1,PDE4B,SLA2,CD160,ELF1,FCHO1,SH2D1A,ITK,LCK,LAPTM5,CTLA4,THEMIS,CD247,TRGC2,CD226,PTPRC,PTPN22,BTN3A3,NFKBIZ,HHLA2,BTN3A2,ADA,CD4,RFTN1,CBL,ZAP70,FYB1,ITPRIPL1,TRAT1,PTPN6,LGALS3,FOXP3,LAG3,DENND1B,PLCG2,CD86,CD300A,BTK,HLA-A,PVRIG,LCP2,CD28,CLEC2B,NFKBID,LIME1,PRKD2,PIK3CD,RC3H1,BTN2A2,ICOSLG,MALT1,TESPA1,CEACAM1,PAWR,ZC3H12A,PSEN1,BTN3A1
GOBP_SYNAPTIC_VESICLE_MEMBRANE_ORGANIZATION	GOBP_SYNAPTIC_VESICLE_MEMBRANE_ORGANIZATION	7.582042e-09	33	16	RAB3A,DOC2B,SYT8,GRIK5,STX2,STXBP1,SYNGR1,SYT11,SYP,CPLX2,SYT2,SYT4,SYT1,SNAP25,SYT5,AP3B2
GOBP_LYMPHOCYTE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	GOBP_LYMPHOCYTE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	1e-10	211	107	SMAD7,HLA-DRB1,PTGER4,FCGR3A,JUNB,F2RL1,ICOS,CD69,ZNF683,GATA3,SOCS3,SLAMF6,CD19,PCK1,ST3GAL1,HMCES,CORO1A,PTK2B,LGALS9,PSMA6,KLRC2,CDH17,CD160,PLCL2,LCP1,GPR183,SEMA6D,SPN,CCR6,LGALS8,HMGB1,ITGAL,LY9,PTPRC,APBB1IP,EXO1,TLR4,NFKBIZ,CR1,CD74,IL12RB1,JAK3,CD46,BATF,PSMB9,PSMB8,HLA-DMB,ADA,POU2AF1,GPR65,UNG,SHLD1,HLA-DRA,PAXIP1,LGALS3,FOXP3,HSPD1,PLCG2,CD86,SEMA4A,NLRP3,CDR2,UNC13D,LIG4,AP1G1,STAT4,IL10,NKG7,TBX21,CD28,IRF8,CD244,VAMP7,IL18R1,CCL19,CD180,PSMB10,NFKBID,SPI1,GAPT,RELB,LILRB1,ATP7A,RC3H1,SWAP70,ICOSLG,PSMA2,MALT1,PCYT1A,IL6R,IL18RAP,LEF1,HAVCR2,CEACAM1,ZC3H12A,PSEN1,FCER1G,ZBTB7B,CD40LG,IL27RA,PHF14,IL23A,NCKAP1L,PSMA5,RC3H2,RIPK2,CD1C
GOBP_B_CELL_MEDIATED_IMMUNITY	GOBP_B_CELL_MEDIATED_IMMUNITY	1e-10	177	105	FCGR3A,IGHV1-3,IGHV4-28,CR2,CD19,IGHV7-4-1,IGHV3-7,HMCES,FCER2,IGHD,IGHV3-74,IGHV3-33,IGHG2,FCMR,IGHV3-16,BCL10,INPP5D,IGHV3-35,IL9R,IGHV3-30,SLA2,C2,IGHG3,IL2RB,CCR6,IGKC,IL21R,IGHV3-23,MYD88,CD226,PTPRC,IGHV3-72,EXO1,NFKBIZ,CR1,CD74,IGHV4-4,IGHV3-73,C4BPA,CD46,BATF,IGHV1-18,IGHV4-34,PTPN6,UNG,SHLD1,PAXIP1,FOXP3,HSPD1,IGHV2-70,CARD9,C1QC,BTK,IGHA2,FCGR2A,LIG4,HLA-G,C1QB,IL10,PRKCD,TBX21,CD28,IGHV4-61,IGHV4-59,IGHV3-49,IGHA1,LTA,TRAF3IP2,C1QA,IGHV3-53,SWAP70,TLR8,PCYT1A,IGHG1,FCGR1A,IGHV3-64D,IRF7,IGLC3,XCL1,IGHV3-11,FCER1G,IGHG4,CD40LG,IGHV2-70D,CD27,IGLL5,IL27RA,IGHV3-15,IGLC1,IGHV1-69,FCGR3B,IGHV4-39,IGHV1-69D,IGHV5-51,IGHV3-48,C6,IGHV2-26,IGHV5-10-1,IGLC2,C8G,CSF2RB,IGHV7-81,IGHV3-21,FOXJ1,IGHV3-13
GOBP_ALPHA_BETA_T_CELL_ACTIVATION	GOBP_ALPHA_BETA_T_CELL_ACTIVATION	1e-10	202	97	SMAD7,HLA-DRB1,FOSL2,PTGER4,JUNB,CD3E,MYC,TRAC,ICOS,CD69,SYK,ZNF683,GATA3,PLA2G2D,SOCS3,SLAMF6,TRBC2,ELF4,BCL11B,CD3D,CD3G,PRKCQ,CLEC2D,LGALS9,PSMA6,TRBC1,LGALS9C,CD160,ITK,RUNX3,LCK,SHH,SASH3,EBI3,GPR183,SPN,CD247,HMGB1,LY9,PTPRC,PRDM1,RASAL3,NFKBIZ,NCR3,DOCK2,CBFB,RUNX1,IL12RB1,GPR18,HSPH1,JAK3,BATF,PSMB9,PSMB8,ADA,ZAP70,GPR65,CD83,TNFSF8,SH3RF1,WDFY4,HLA-DRA,LGALS3,FOXP3,CD86,SEMA4A,NLRP3,CDR2,CD300A,HLA-A,STAT4,IL10,NKG7,TBX21,CD28,CLEC2B,ARG2,IL18R1,CCL19,ITCH,HFE,PSMB10,NFKBID,ABCC1,RELB,LILRB1,ATP7A,RC3H1,ICOSLG,PSMA2,MALT1,IL6R,IL18RAP,LEF1,ZC3H12A,XCL1,LGALS9B
