Data_Type,Dataset_ID,Plot_Category,Analysis_Name,GeneSet_Name,GSEA_Result_File,Pathway ID,Name,pvalue,DEG number,DEG Density,Intersecton size,DEGs in Intersection,Result,Reciprocal pvalue,Filtered,Versus,Versus Name,Is Reciprocal,Top Genes
ngs,GSE50760,ATF3_high_low_DE,Normal_colon,GO_BP,results/ngs/GSE50760/tables/ATF3_function/Normal_colon/ATF3_high_low_DE/GSEA/GO_BP/gsea_result.csv,GOBP_FLAVONE_METABOLIC_PROCESS,GOBP_FLAVONE_METABOLIC_PROCESS,1e-10,9,0.9,0,0,1.0,0.0,keep,itself,,True,"UGT1A3,UGT1A7,UGT1A6,UGT1A4,UGT1A5,UGT1A9,UGT1A1,UGT1A8,UGT1A10"
ngs,GSE50760,ATF3_high_low_DE,Normal_colon,GO_BP,results/ngs/GSE50760/tables/ATF3_function/Normal_colon/ATF3_high_low_DE/GSEA/GO_BP/gsea_result.csv,GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY,GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY,1e-10,53,0.6709,0,0,1.0,0.0,keep,itself,,True,"CD72,SYK,CD19,BLK,IGHD,IGHG2,FCMR,PRKCH,PLCL2,ITK,LCK,IGHG3,CD22,CTLA4,MS4A1,IGKC,NFKBIA,BANK1,SLC39A10,PTPRC"
ngs,GSE50760,ATF3_high_low_DE,Normal_colon,GO_BP,results/ngs/GSE50760/tables/ATF3_function/Normal_colon/ATF3_high_low_DE/GSEA/GO_BP/gsea_result.csv,GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,1e-10,130,0.5752,79,55,0.005,0.0,keep,GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY,GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY,True,"HLA-DRB1,EZR,FOSL2,CD8A,CD3E,CD72,TRAC,SYK,ZNF683,GATA3,CD8B,SKAP1,PTPRJ,TRBC2,CD19,HLA-DQB1,THEMIS2,UBASH3A,CARD11,SPPL3"
ngs,GSE50760,ATF3_high_low_DE,Normal_colon,GO_BP,results/ngs/GSE50760/tables/ATF3_function/Normal_colon/ATF3_high_low_DE/GSEA/GO_BP/gsea_result.csv,GOBP_B_CELL_PROLIFERATION,GOBP_B_CELL_PROLIFERATION,1e-10,54,0.54,0,0,1.0,0.0,keep,itself,,True,"FOSL2,IRS2,CDKN1A,PELI1,CR2,CD19,CARD11,IKZF3,INPP5D,TICAM1,PLCL2,SASH3,EBI3,CD22,CTLA4,GPR183,TNFRSF13C,MS4A1,IL7R,SLC39A10"
ngs,GSE50760,ATF3_high_low_DE,Normal_colon,GO_BP,results/ngs/GSE50760/tables/ATF3_function/Normal_colon/ATF3_high_low_DE/GSEA/GO_BP/gsea_result.csv,GOBP_B_CELL_MEDIATED_IMMUNITY,GOBP_B_CELL_MEDIATED_IMMUNITY,1e-10,105,0.5276,0,0,1.0,0.0,keep,itself,,True,"FCGR3A,IGHV1-3,IGHV4-28,CR2,CD19,IGHV7-4-1,IGHV3-7,HMCES,FCER2,IGHD,IGHV3-74,IGHV3-33,IGHG2,FCMR,IGHV3-16,BCL10,INPP5D,IGHV3-35,IL9R,IGHV3-30"
ngs,GSE50760,ATF3_high_low_DE,Normal_colon,GO_BP,results/ngs/GSE50760/tables/ATF3_function/Normal_colon/ATF3_high_low_DE/GSEA/GO_BP/gsea_result.csv,GOBP_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,GOBP_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,1e-10,47,0.5529,0,0,1.0,0.0,keep,itself,,True,"EZR,CD72,PTPRJ,CD19,UBASH3A,CARD11,FCMR,BCL10,PDCD1,SLA2,CD160,ELF1,PRKCH,PLCL2,SH2D1A,LCK,LAPTM5,CD22,CTLA4,SLC39A10"
ngs,GSE50760,ATF3_high_low_DE,Normal_colon,GO_BP,results/ngs/GSE50760/tables/ATF3_function/Normal_colon/ATF3_high_low_DE/GSEA/GO_BP/gsea_result.csv,GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY,GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY,1e-10,192,0.5066,199,105,0.2241,1.0,keep,GOBP_B_CELL_MEDIATED_IMMUNITY,GOBP_B_CELL_MEDIATED_IMMUNITY,False,"SMAD7,HLA-DRB1,FCGR3A,CD8A,CYRIB,IGHV1-3,KLRK1,GATA3,KDM5D,KLRD1,SLAMF6,CD2,IGHV4-28,CR2,CD19,IGHV7-4-1,IGHV3-7,B2M,HMCES,FCER2"
ngs,GSE50760,ATF3_high_low_DE,Normal_colon,GO_BP,results/ngs/GSE50760/tables/ATF3_function/Normal_colon/ATF3_high_low_DE/GSEA/GO_BP/gsea_result.csv,GOBP_TYPE_II_INTERFERON_PRODUCTION,GOBP_TYPE_II_INTERFERON_PRODUCTION,1e-10,68,0.4892,0,0,1.0,0.0,keep,itself,,True,"HLA-DRB1,CD3E,F2RL1,CYRIB,ZNF683,KLRK1,GATA3,SLAMF6,CD2,LGALS9,PSMA6,PDE4B,LGALS9C,CD160,FZD5,LAPTM5,SASH3,EBI3,IL20RA,HMGB1"
ngs,GSE50760,ATF3_high_low_DE,Normal_colon,GO_BP,results/ngs/GSE50760/tables/ATF3_function/Normal_colon/ATF3_high_low_DE/GSEA/GO_BP/gsea_result.csv,GOBP_T_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,GOBP_T_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,1e-10,69,0.4481,0,0,1.0,0.0,keep,itself,,True,"SMAD7,HLA-DRB1,PTGER4,JUNB,F2RL1,ICOS,CD69,GATA3,SOCS3,SLAMF6,PCK1,LGALS9,PSMA6,LCP1,GPR183,SEMA6D,SPN,HMGB1,ITGAL,LY9"
ngs,GSE50760,ATF3_high_low_DE,Normal_colon,GO_BP,results/ngs/GSE50760/tables/ATF3_function/Normal_colon/ATF3_high_low_DE/GSEA/GO_BP/gsea_result.csv,GOBP_LEUKOCYTE_MEDIATED_IMMUNITY,GOBP_LEUKOCYTE_MEDIATED_IMMUNITY,1e-10,232,0.4793,60,40,0.0014,0.000233,keep,GOBP_TYPE_II_INTERFERON_PRODUCTION,GOBP_TYPE_II_INTERFERON_PRODUCTION,True,"SMAD7,HLA-DRB1,FCGR3A,CD8A,F2RL1,CYRIB,IGHV1-3,SYK,KLRK1,GATA3,KDM5D,KLRD1,SLAMF6,CD2,IGHV4-28,CR2,CD19,PDPK1,IGHV7-4-1,IGHV3-7"
