Data_Type,Dataset_ID,Plot_Category,Analysis_Name,GeneSet_Name,GSEA_Result_File,Pathway ID,Name,pvalue,DEG number,DEG Density,Intersecton size,DEGs in Intersection,Result,Reciprocal pvalue,Filtered,Versus,Versus Name,Is Reciprocal,Top Genes
ngs,GSE50760,ATF3_high_low_DE,Normal_colon,IMMUNESIGDB,results/ngs/GSE50760/tables/ATF3_function/Normal_colon/ATF3_high_low_DE/GSEA/IMMUNESIGDB/gsea_result.csv,GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_2H_UP,GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_2H_UP,1e-10,123,0.6758,0,0,1.0,0.0,keep,itself,,True,"EGR2,EHD4,SEMA4D,NCF1,EIF3C,DZIP3,CDC14A,PDCD1,PLXDC2,PRIM1,CPT1A,PRR11,PRR5L,RRM2,TCEAL9,OCIAD2,TRIM25,CKAP2,RAD51,CCL3"
ngs,GSE50760,ATF3_high_low_DE,Normal_colon,IMMUNESIGDB,results/ngs/GSE50760/tables/ATF3_function/Normal_colon/ATF3_high_low_DE/GSEA/IMMUNESIGDB/gsea_result.csv,GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP,GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP,1e-10,129,0.645,0,0,1.0,0.0,keep,itself,,True,"HMGB3,NINJ2,EZR,CDKN1A,MYBL2,DHFR,PCNA,PRELID3B,PRIM1,PRR11,SHCBP1,RRM2,CKAP2,RAD51,TPX2,CTLA4,CDC6,CENPM,MTFR2,E2F7"
ngs,GSE50760,ATF3_high_low_DE,Normal_colon,IMMUNESIGDB,results/ngs/GSE50760/tables/ATF3_function/Normal_colon/ATF3_high_low_DE/GSEA/IMMUNESIGDB/gsea_result.csv,GSE15750_DAY6_VS_DAY10_EFF_CD8_TCELL_UP,GSE15750_DAY6_VS_DAY10_EFF_CD8_TCELL_UP,1e-10,125,0.625,93,72,3.72e-05,0.000286,keep,GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP,GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP,True,"MYBL2,DCUN1D1,DHFR,DIAPH3,TAX1BP3,PCLAF,ALDH7A1,PRR11,SHCBP1,RRM2,CKAP2,RAD51,ESPL1,MYBL1,NEURL1B,TPX2,CDC6,CENPM,HASPIN,E2F7"
ngs,GSE50760,ATF3_high_low_DE,Normal_colon,IMMUNESIGDB,results/ngs/GSE50760/tables/ATF3_function/Normal_colon/ATF3_high_low_DE/GSEA/IMMUNESIGDB/gsea_result.csv,GSE40274_CTRL_VS_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_UP,GSE40274_CTRL_VS_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_UP,1e-10,102,0.5795,0,0,1.0,0.0,keep,itself,,True,"FOSL2,DUSP16,DUSP5,E2F2,TBC1D31,ATP1B1,TMEM170A,CASP7,CNNM2,ERN1,IKZF3,CCL4,SHCBP1,GOLIM4,MYBL1,CCL3,TPX2,AK3,PRDM1,NUF2"
ngs,GSE50760,ATF3_high_low_DE,Normal_colon,IMMUNESIGDB,results/ngs/GSE50760/tables/ATF3_function/Normal_colon/ATF3_high_low_DE/GSEA/IMMUNESIGDB/gsea_result.csv,GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_12H_UP,GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_12H_UP,1e-10,108,0.5775,84,67,2.36e-08,8.79e-05,keep,GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP,GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP,True,"HMGB3,EIF3C,PRIM1,CPT1A,PRR11,SHCBP1,RRM2,CKAP2,RAD51,MYBL1,TPX2,IFITM1,CDC6,CORO2A,ANXA4,ANAPC5,PPP2R1B,GINS1,MCM5,RAD51AP1"
ngs,GSE50760,ATF3_high_low_DE,Normal_colon,IMMUNESIGDB,results/ngs/GSE50760/tables/ATF3_function/Normal_colon/ATF3_high_low_DE/GSEA/IMMUNESIGDB/gsea_result.csv,GSE24634_TEFF_VS_TCONV_DAY7_IN_CULTURE_UP,GSE24634_TEFF_VS_TCONV_DAY7_IN_CULTURE_UP,1e-10,118,0.59,0,0,1.0,0.0,keep,itself,,True,"TRIB1,EGR1,HMGB3,EZR,CXCR3,ICOS,GATA3,CD2,RFC4,IL32,PPP1R16B,PCNA,CLEC2D,SMC6,PRIM1,RRM2,RAD51,ESPL1,IL2RB,TPX2"
ngs,GSE50760,ATF3_high_low_DE,Normal_colon,IMMUNESIGDB,results/ngs/GSE50760/tables/ATF3_function/Normal_colon/ATF3_high_low_DE/GSEA/IMMUNESIGDB/gsea_result.csv,GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_UP,GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_UP,1e-10,119,0.595,0,0,1.0,0.0,keep,itself,,True,"EGR1,NR4A1,HMGB3,WEE1,CA2,EMP1,DHFR,NDRG1,PERP,DUSP2,PCLAF,PDCD1,PRIM1,DCK,RRM2,RAD51,TUBA1C,CDC6,ANXA4,RAD51AP1"
ngs,GSE50760,ATF3_high_low_DE,Normal_colon,IMMUNESIGDB,results/ngs/GSE50760/tables/ATF3_function/Normal_colon/ATF3_high_low_DE/GSEA/IMMUNESIGDB/gsea_result.csv,GSE14415_NATURAL_TREG_VS_TCONV_DN,GSE14415_NATURAL_TREG_VS_TCONV_DN,1e-10,101,0.5611,67,58,6.09e-11,2.23e-07,keep,GSE15750_DAY6_VS_DAY10_EFF_CD8_TCELL_UP,GSE15750_DAY6_VS_DAY10_EFF_CD8_TCELL_UP,True,"HCLS1,AGFG2,PRR11,RRM2,CKAP2,RAD51,GPR55,MYBL1,DISP2,TPX2,SPN,CORO2A,CENPM,ANXA4,BLM,GINS1,MCM5,CKS1B,ARF6,LSP1"
ngs,GSE50760,ATF3_high_low_DE,Normal_colon,IMMUNESIGDB,results/ngs/GSE50760/tables/ATF3_function/Normal_colon/ATF3_high_low_DE/GSEA/IMMUNESIGDB/gsea_result.csv,GSE21546_WT_VS_SAP1A_KO_DP_THYMOCYTES_UP,GSE21546_WT_VS_SAP1A_KO_DP_THYMOCYTES_UP,1e-10,106,0.5381,0,0,1.0,0.0,keep,itself,,True,"CSRNP1,OAS1,IFI27,EHD4,THEMIS2,UBASH3A,ADRA2A,B2M,CASP7,PSME1,PSMG2,PLSCR1,TRANK1,CHRAC1,OAS3,PARP12,TRIM25,IFITM1,BCL2L13,OAS2"
ngs,GSE50760,ATF3_high_low_DE,Normal_colon,IMMUNESIGDB,results/ngs/GSE50760/tables/ATF3_function/Normal_colon/ATF3_high_low_DE/GSEA/IMMUNESIGDB/gsea_result.csv,GSE39110_DAY3_VS_DAY6_POST_IMMUNIZATION_CD8_TCELL_DN,GSE39110_DAY3_VS_DAY6_POST_IMMUNIZATION_CD8_TCELL_DN,1e-10,111,0.555,69,63,8.08e-15,1.34e-09,keep,GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP,GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP,True,"PPP1R14C,EGR2,CDKN1A,ATMIN,EHD4,MYBL2,DHFR,NDRG1,PRELID3B,H2BC5,PERP,IKZF3,PCLAF,PLXDC2,ALDH7A1,PRR11,SHCBP1,XIAP,CKAP2,NEURL1B"
