Pathway,GSE29618 BCELL VS PDC UP,GSE29618 BCELL VS PDC DAY7 FLU VACCINE UP,GSE29618 BCELL VS MONOCYTE UP,GSE29618 BCELL VS MDC UP,"GSE29618 BCELL VS MONOCYTE DAY7 FLU VACCINE
UP",GSE29618 BCELL VS MDC DAY7 FLU VACCINE UP,GSE10325 LUPUS CD4 TCELL VS LUPUS BCELL DN,"GSE7218 UNSTIM VS ANTIGEN STIM THROUGH IGG
BCELL DN","GSE7218 IGM VS IGG SIGNAL THGOUGH ANTIGEN
BCELL DN","GSE19888 ADENOSINE A3R INH PRETREAT AND ACT
BY A3R VS TCELL MEMBRANES ACT MAST CELL UP",GSE22886 CTRL VS LPS 24H DC DN,GSE7219 WT VS NIK NFKB2 KO DC UP,"GSE36476 CTRL VS TSST ACT 40H MEMORY CD4
TCELL YOUNG UP",GSE22886 DAY0 VS DAY7 MONOCYTE IN CULTURE UP,"GSE32533 MIR17 KO VS MIR17 OVEREXPRESS ACT
CD4 TCELL UP","GSE36891 POLYIC TLR3 VS PAM TLR2 STIM
PERITONEAL MACROPHAGE UP","GSE37605 TREG VS TCONV NOD FOXP3 FUSION GFP
UP","GSE37605 FOXP3 FUSION GFP VS IRES GFP TREG
C57BL6 UP",GSE23925 LIGHT ZONE VS NAIVE BCELL UP,GSE14769 UNSTIM VS 40MIN LPS BMDM DN,GSE14769 UNSTIM VS 60MIN LPS BMDM DN,GSE14769 UNSTIM VS 80MIN LPS BMDM DN,"GSE26343 UNSTIM VS LPS STIM NFAT5 KO
MACROPHAGE DN","GSE46606 UNSTIM VS CD40L IL2 IL5 1DAY
STIMULATED IRF4HIGH SORTED BCELL DN",GSE9988 LOW LPS VS CTRL TREATED MONOCYTE UP,GSE9988 LPS VS CTRL TREATED MONOCYTE UP,GSE9988 LPS VS VEHICLE TREATED MONOCYTE UP,"GSE9988 LOW LPS VS VEHICLE TREATED MONOCYTE
UP",GSE2706 UNSTIM VS 2H LPS AND R848 DC DN,GSE2706 UNSTIM VS 2H R848 DC DN,"GSE29617 CTRL VS DAY7 TIV FLU VACCINE PBMC
2008 UP","GSE9006 TYPE 1 DIABETES AT DX VS 4MONTH POST
DX PBMC UP",GSE15750 DAY6 VS DAY10 EFF CD8 TCELL UP,"GSE15750 DAY6 VS DAY10 TRAF6KO EFF CD8 TCELL
UP",GSE13547 CTRL VS ANTI IGM STIM BCELL 12H UP,GSE13547 CTRL VS ANTI IGM STIM BCELL 2H UP,GOLDRATH NAIVE VS EFF CD8 TCELL DN,GSE24634 TEFF VS TCONV DAY7 IN CULTURE UP,"GSE21063 WT VS NFATC1 KO 8H ANTI IGM STIM
BCELL UP",GSE32901 NAIVE VS TH17 NEG CD4 TCELL UP
GSE29618 BCELL VS PDC UP,1.0,0.6377551020408163,0.44387755102040816,0.47959183673469385,0.3826530612244898,0.413265306122449,0.24489795918367346,0.025510204081632654,0.025510204081632654,0.02040816326530612,0.061224489795918366,0.05102040816326531,0.10204081632653061,0.09693877551020408,0.04081632653061224,0.04591836734693878,0.04081632653061224,0.030612244897959183,0.04591836734693878,0.0663265306122449,0.07142857142857142,0.05612244897959184,0.05612244897959184,0.05612244897959184,0.07653061224489796,0.07142857142857142,0.07653061224489796,0.07653061224489796,0.05612244897959184,0.030612244897959183,0.05102040816326531,0.07142857142857142,0.00510204081632653,0.015306122448979591,0.01020408163265306,0.02040816326530612,0.04081632653061224,0.03571428571428571,0.0,0.08163265306122448
GSE29618 BCELL VS PDC DAY7 FLU VACCINE UP,0.6443298969072165,1.0,0.4072164948453608,0.4587628865979381,0.5,0.5154639175257731,0.24742268041237114,0.020618556701030927,0.02577319587628866,0.015463917525773196,0.05154639175257732,0.05670103092783505,0.09278350515463918,0.07731958762886598,0.041237113402061855,0.02577319587628866,0.020618556701030927,0.020618556701030927,0.02577319587628866,0.04639175257731959,0.04639175257731959,0.03608247422680412,0.04639175257731959,0.041237113402061855,0.05154639175257732,0.05154639175257732,0.05154639175257732,0.05154639175257732,0.03608247422680412,0.03608247422680412,0.02577319587628866,0.03608247422680412,0.005154639175257732,0.020618556701030927,0.015463917525773196,0.020618556701030927,0.030927835051546393,0.03608247422680412,0.005154639175257732,0.08762886597938144
GSE29618 BCELL VS MONOCYTE UP,0.4461538461538462,0.40512820512820513,1.0,0.6,0.6564102564102564,0.5435897435897435,0.2923076923076923,0.020512820512820513,0.02564102564102564,0.010256410256410256,0.06666666666666667,0.010256410256410256,0.046153846153846156,0.005128205128205128,0.02564102564102564,0.005128205128205128,0.010256410256410256,0.005128205128205128,0.020512820512820513,0.020512820512820513,0.020512820512820513,0.020512820512820513,0.010256410256410256,0.02564102564102564,0.015384615384615385,0.020512820512820513,0.020512820512820513,0.020512820512820513,0.035897435897435895,0.015384615384615385,0.010256410256410256,0.005128205128205128,0.005128205128205128,0.010256410256410256,0.005128205128205128,0.020512820512820513,0.02564102564102564,0.046153846153846156,0.0,0.08717948717948718
GSE29618 BCELL VS MDC UP,0.4845360824742268,0.4587628865979381,0.6030927835051546,1.0,0.5515463917525774,0.6288659793814433,0.27319587628865977,0.030927835051546393,0.020618556701030927,0.015463917525773196,0.05154639175257732,0.02577319587628866,0.08762886597938144,0.061855670103092786,0.030927835051546393,0.010309278350515464,0.015463917525773196,0.015463917525773196,0.02577319587628866,0.041237113402061855,0.03608247422680412,0.02577319587628866,0.010309278350515464,0.02577319587628866,0.041237113402061855,0.041237113402061855,0.041237113402061855,0.041237113402061855,0.05154639175257732,0.020618556701030927,0.0,0.015463917525773196,0.005154639175257732,0.015463917525773196,0.010309278350515464,0.020618556701030927,0.02577319587628866,0.041237113402061855,0.0,0.07731958762886598
"GSE29618 BCELL VS MONOCYTE DAY7 FLU VACCINE
UP",0.3826530612244898,0.49489795918367346,0.6530612244897959,0.5459183673469388,1.0,0.6479591836734694,0.32142857142857145,0.02040816326530612,0.015306122448979591,0.015306122448979591,0.03571428571428571,0.01020408163265306,0.04081632653061224,0.02040816326530612,0.025510204081632654,0.00510204081632653,0.01020408163265306,0.00510204081632653,0.015306122448979591,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.01020408163265306,0.01020408163265306,0.02040816326530612,0.02040816326530612,0.025510204081632654,0.025510204081632654,0.025510204081632654,0.015306122448979591,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.01020408163265306,0.00510204081632653,0.02040816326530612,0.02040816326530612,0.04081632653061224,0.0,0.09183673469387756
GSE29618 BCELL VS MDC DAY7 FLU VACCINE UP,0.41968911917098445,0.5181347150259067,0.5492227979274611,0.6321243523316062,0.6580310880829016,1.0,0.29015544041450775,0.02072538860103627,0.02072538860103627,0.0051813471502590676,0.03626943005181347,0.025906735751295335,0.06735751295336788,0.03626943005181347,0.02072538860103627,0.010362694300518135,0.010362694300518135,0.010362694300518135,0.02072538860103627,0.03626943005181347,0.04145077720207254,0.031088082901554404,0.02072538860103627,0.02072538860103627,0.03626943005181347,0.03626943005181347,0.04145077720207254,0.04145077720207254,0.031088082901554404,0.015544041450777202,0.010362694300518135,0.010362694300518135,0.015544041450777202,0.010362694300518135,0.010362694300518135,0.015544041450777202,0.025906735751295335,0.046632124352331605,0.0051813471502590676,0.09326424870466321
GSE10325 LUPUS CD4 TCELL VS LUPUS BCELL DN,0.24489795918367346,0.24489795918367346,0.29081632653061223,0.27040816326530615,0.32142857142857145,0.2857142857142857,1.0,0.015306122448979591,0.00510204081632653,0.05102040816326531,0.030612244897959183,0.025510204081632654,0.01020408163265306,0.04081632653061224,0.05612244897959184,0.0,0.00510204081632653,0.015306122448979591,0.02040816326530612,0.01020408163265306,0.01020408163265306,0.00510204081632653,0.04591836734693878,0.01020408163265306,0.01020408163265306,0.015306122448979591,0.01020408163265306,0.01020408163265306,0.02040816326530612,0.03571428571428571,0.00510204081632653,0.030612244897959183,0.0,0.0,0.00510204081632653,0.015306122448979591,0.04591836734693878,0.015306122448979591,0.015306122448979591,0.11734693877551021
"GSE7218 UNSTIM VS ANTIGEN STIM THROUGH IGG
BCELL DN",0.029585798816568046,0.023668639053254437,0.023668639053254437,0.03550295857988166,0.023668639053254437,0.023668639053254437,0.01775147928994083,1.0,0.42011834319526625,0.07100591715976332,0.07100591715976332,0.1301775147928994,0.04142011834319527,0.029585798816568046,0.03550295857988166,0.04142011834319527,0.029585798816568046,0.047337278106508875,0.07100591715976332,0.07692307692307693,0.07692307692307693,0.08875739644970414,0.07100591715976332,0.0650887573964497,0.07100591715976332,0.07100591715976332,0.07100591715976332,0.07692307692307693,0.10650887573964497,0.08284023668639054,0.029585798816568046,0.029585798816568046,0.005917159763313609,0.005917159763313609,0.03550295857988166,0.0650887573964497,0.03550295857988166,0.04142011834319527,0.04142011834319527,0.047337278106508875
"GSE7218 IGM VS IGG SIGNAL THGOUGH ANTIGEN
BCELL DN",0.029411764705882353,0.029411764705882353,0.029411764705882353,0.023529411764705882,0.01764705882352941,0.023529411764705882,0.0058823529411764705,0.4176470588235294,1.0,0.22941176470588234,0.14705882352941177,0.10588235294117647,0.011764705882352941,0.0058823529411764705,0.047058823529411764,0.029411764705882353,0.01764705882352941,0.03529411764705882,0.041176470588235294,0.058823529411764705,0.058823529411764705,0.06470588235294118,0.052941176470588235,0.047058823529411764,0.052941176470588235,0.041176470588235294,0.052941176470588235,0.052941176470588235,0.11764705882352941,0.08235294117647059,0.047058823529411764,0.03529411764705882,0.0,0.0058823529411764705,0.01764705882352941,0.07647058823529412,0.029411764705882353,0.03529411764705882,0.011764705882352941,0.023529411764705882
"GSE19888 ADENOSINE A3R INH PRETREAT AND ACT
BY A3R VS TCELL MEMBRANES ACT MAST CELL UP",0.02,0.015,0.01,0.015,0.015,0.005,0.05,0.06,0.195,1.0,0.215,0.1,0.015,0.065,0.06,0.01,0.01,0.02,0.005,0.05,0.045,0.055,0.065,0.02,0.02,0.02,0.03,0.03,0.135,0.085,0.03,0.015,0.005,0.0,0.0,0.095,0.04,0.0,0.0,0.03
