Heatmap_Rank,term_id,term_name,p_value,term_size,intersection_size,intersection,Input_Order,Pathway_Gene_Source,Pathway_Gene_Count,Filtered,Versus,Versus Name,Result,Reciprocal pvalue,DEGs in Intersection,Is Reciprocal,GSEA_Rank,Neg_Log10_P,Pathway_Label_Clean,Pathway_Label,Heatmap_Cluster_Rank
1,BIOCARTA_TNFR2_PATHWAY,BIOCARTA_TNFR2_PATHWAY,0.00172700437999,16,10,"TRAF3,NFKBIA,DUSP1,TNFAIP3,NFKB1,TRAF2,IKBKB,RELA,TNFRSF1B,ELP1",0,GMT,17,keep,itself,,1.0,0.0,0,True,1,2.762706560983163,TNFR2 PATHWAY,TNFR2 PATHWAY,1
2,BIOCARTA_CD40_PATHWAY,BIOCARTA_CD40_PATHWAY,0.0278378437988324,14,7,"TRAF3,NFKBIA,DUSP1,TNFAIP3,NFKB1,IKBKB,RELA",21,GMT,15,keep,BIOCARTA_NTHI_PATHWAY,BIOCARTA_NTHI_PATHWAY,0.1002,0.3132,5,False,28,1.555364406365133,CD40 PATHWAY,CD40 PATHWAY,2
3,BIOCARTA_NTHI_PATHWAY,BIOCARTA_NTHI_PATHWAY,0.0069558500966533,22,13,"TGFBR1,NFKBIA,MAP3K7,DUSP1,TGFBR2,NFKB1,IKBKB,SMAD4,RELA,MAPK14,CREBBP,TNF,CXCL8",17,GMT,23,keep,itself,,1.0,0.0,0,True,10,2.1576497859128247,NTHI PATHWAY,NTHI PATHWAY,3
4,BIOCARTA_IL1R_PATHWAY,BIOCARTA_IL1R_PATHWAY,0.0093877534652858,28,15,"TGFB2,NFKBIA,MAP3K7,IL6,IRAK2,JUN,NFKB1,IKBKB,RELA,IRAK3,MAPK14,IL1RAP,TGFB3,MAPK8,TNF",9,GMT,31,exclude,BIOCARTA_41BB_PATHWAY,BIOCARTA_41BB_PATHWAY,0.0437,0.1674,7,False,11,2.027438324066185,IL1R PATHWAY,IL1R PATHWAY,4
5,BIOCARTA_41BB_PATHWAY,BIOCARTA_41BB_PATHWAY,0.0054678231537741,15,11,"NFKBIA,TNFSF9,JUN,NFKB1,TRAF2,IKBKB,RELA,MAPK14,MAPK8,ATF2,MAP4K5",5,GMT,18,keep,itself,,1.0,0.0,0,True,6,2.2621855402969855,41BB PATHWAY,41BB PATHWAY,5
6,BIOCARTA_VIP_PATHWAY,BIOCARTA_VIP_PATHWAY,0.0120100043198437,25,10,"NFKBIA,PPP3CB,PRKAR1B,EGR2,CALM3,EGR3,NFKB1,RELA,NFATC1,MYC",23,GMT,26,keep,itself,,1.0,0.0,0,True,12,1.9204568363869403,VIP PATHWAY,VIP PATHWAY,6
7,BIOCARTA_GCR_PATHWAY,BIOCARTA_GCR_PATHWAY,0.0155785106493062,16,8,"CALM3,PIK3CA,ANXA1,NFKB1,CORIN,NOS3,GNAS,RELA",13,GMT,17,keep,itself,,1.0,0.0,0,True,18,1.8074740644879557,GCR PATHWAY,GCR PATHWAY,7
8,BIOCARTA_UCALPAIN_PATHWAY,BIOCARTA_UCALPAIN_PATHWAY,0.0027686902228773,10,5,"TLN1,SPTAN1,ACTN1,RHOA,ITGB3",1,GMT,14,keep,itself,,1.0,0.0,0,True,2,2.5577256329221676,UCALPAIN PATHWAY,UCALPAIN PATHWAY,8
9,BIOCARTA_NKCELLS_PATHWAY,BIOCARTA_NKCELLS_PATHWAY,0.014869779453115,19,13,"PAK1,KLRD1,HLA-A,IL18,VAV1,KLRC1,KLRC3,LAT,PIK3R1,PTPN6,PTK2B,B2M,MAPK3",7,GMT,20,keep,itself,,1.0,0.0,0,True,14,1.8276954728368533,NKCELLS PATHWAY,NKCELLS PATHWAY,9
10,BIOCARTA_ARF_PATHWAY,BIOCARTA_ARF_PATHWAY,0.0210747666063385,17,10,"PIK3CA,TWIST1,POLR1C,CDKN2A,RB1,ABL1,POLR1D,MYC,POLR1B,POLR1A",19,GMT,17,keep,itself,,1.0,0.0,0,True,23,1.676237226294706,ARF PATHWAY,ARF PATHWAY,10
11,BIOCARTA_NUCLEARRS_PATHWAY,BIOCARTA_NUCLEARRS_PATHWAY,0.0029868221988205,26,9,"ABCD3,ABCB4,ABCC3,CYP3A4,NR1I2,VDR,ABCB11,PPARG,ABCG1",2,GMT,34,keep,itself,,1.0,0.0,0,True,3,2.5247906295449933,NUCLEARRS PATHWAY,NUCLEARRS PATHWAY,11
12,BIOCARTA_TH1TH2_PATHWAY,BIOCARTA_TH1TH2_PATHWAY,0.0292591345662051,17,12,"IL12RB2,IL12RB1,IL18,IL4R,IL18R1,IFNGR1,CD40LG,HLA-DRB1,IL12A,CD40,NR1I2,IFNGR2",30,GMT,23,keep,itself,,1.0,0.0,0,True,31,1.5337385236884955,TH1TH2 PATHWAY,TH1TH2 PATHWAY,12
13,BIOCARTA_CDC25_PATHWAY,BIOCARTA_CDC25_PATHWAY,0.0040884028184703,8,6,"CHEK1,WEE1,CDC25C,CDK1,ATM,CDC25B",6,GMT,9,keep,itself,,1.0,0.0,0,True,4,2.3884463209897033,CDC25 PATHWAY,CDC25 PATHWAY,13
14,BIOCARTA_RB_PATHWAY,BIOCARTA_RB_PATHWAY,0.0151920369485542,12,8,"CHEK1,WEE1,CDC25C,RB1,CDK1,ATM,CDC25B,CDK2",15,GMT,13,keep,BIOCARTA_CDC25_PATHWAY,BIOCARTA_CDC25_PATHWAY,0.5105,1.0,6,False,16,1.8183839920221125,RB PATHWAY,RB PATHWAY,14
15,BIOCARTA_PLK3_PATHWAY,BIOCARTA_PLK3_PATHWAY,0.0259505531646127,8,4,"PLK3,CHEK1,CDC25C,ATM",25,GMT,8,keep,BIOCARTA_CDC25_PATHWAY,BIOCARTA_CDC25_PATHWAY,0.2429,0.5952,3,False,25,1.585853380251808,PLK3 PATHWAY,PLK3 PATHWAY,15
16,BIOCARTA_ATM_PATHWAY,BIOCARTA_ATM_PATHWAY,0.0062738473432068,20,14,"NFKBIA,CHEK1,NBN,JUN,NFKB1,MRE11,ABL1,ATM,TP73,RELA,BRCA1,MAPK8,RAD51,RBBP8",14,GMT,20,keep,itself,,1.0,0.0,0,True,7,2.2024660528696245,ATM PATHWAY,ATM PATHWAY,16
17,BIOCARTA_RACC_PATHWAY,BIOCARTA_RACC_PATHWAY,0.0047181929235481,10,9,"ADCY1,TRPV4,GUCY1A1,GUCY1B1,NOS3,GNAS,GUCY1A2,KCNQ4,TRPC4",4,GMT,15,keep,itself,,1.0,0.0,0,True,5,2.32622430509532,RACC PATHWAY,RACC PATHWAY,17
18,BIOCARTA_MALATEX_PATHWAY,BIOCARTA_MALATEX_PATHWAY,0.0068188338426462,8,4,"PC,SLC25A1,PDHA1,MDH1",3,GMT,8,keep,itself,,1.0,0.0,0,True,8,2.166289892060289,MALATEX PATHWAY,MALATEX PATHWAY,18
