Pathway ID	Name	pvalue	DEG number	DEG Density	Intersecton size	DEGs in Intersection	Result	Reciprocal pvalue	Filtered	Versus	Versus Name	Is Reciprocal	Top Genes
KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_IV	KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_IV	1.00e-10	14	0.7368	0	0	1	0	keep	itself		True	COX6B1,COX6C,COX7A2L,COX8A,COX7B,COX7A2,COX7C,MT-CO1,COX5B,COX5A,COX4I1,MT-CO2,MT-CO3,COX6A1
KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I	KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I	1.00e-10	32	0.7273	0	0	1	0	keep	itself		True	NDUFA11,NDUFA5,NDUFB10,NDUFB11,NDUFC2,NDUFA3,NDUFA9,NDUFS6,NDUFB8,NDUFS4,NDUFA8,NDUFB1,NDUFB5,NDUFS7,NDUFA10,NDUFAB1,MT-ND6,NDUFA13,NDUFB4,NDUFB7
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I	1.00e-10	32	0.7111	44	32	0.2889	1	keep	KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I	KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I	False	NDUFA11,NDUFA5,NDUFB10,NDUFB11,NDUFC2,NDUFA3,NDUFA9,NDUFS6,NDUFB8,NDUFS4,NDUFA8,NDUFB1,NDUFB5,NDUFS7,NDUFA10,NDUFAB1,MT-ND6,NDUFA13,NDUFB4,NDUFB7
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PINK1_TO_ELECTRON_TRANSFER_IN_COMPLEX_I	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PINK1_TO_ELECTRON_TRANSFER_IN_COMPLEX_I	1.00e-10	32	0.7111	44	32	0.2889	1	keep	KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I	KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I	False	NDUFA11,NDUFA5,NDUFB10,NDUFB11,NDUFC2,NDUFA3,NDUFA9,NDUFS6,NDUFB8,NDUFS4,NDUFA8,NDUFB1,NDUFB5,NDUFS7,NDUFA10,NDUFAB1,MT-ND6,NDUFA13,NDUFB4,NDUFB7
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_TDP43_TO_ELECTRON_TRANSFER_IN_COMPLEX_I	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_TDP43_TO_ELECTRON_TRANSFER_IN_COMPLEX_I	1.00e-10	32	0.7111	44	32	0.2889	1	keep	KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I	KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I	False	NDUFA11,NDUFA5,NDUFB10,NDUFB11,NDUFC2,NDUFA3,NDUFA9,NDUFS6,NDUFB8,NDUFS4,NDUFA8,NDUFB1,NDUFB5,NDUFS7,NDUFA10,NDUFAB1,MT-ND6,NDUFA13,NDUFB4,NDUFB7
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I	1.00e-10	35	0.6863	44	33	0.025	0	keep	KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I	KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I	True	APP,NDUFC1,NDUFA11,NDUFA5,NDUFB10,CAPN2,NDUFB11,NDUFC2,NDUFA3,NDUFA9,NDUFS6,NDUFB8,NDUFS4,NDUFA8,NDUFB1,NDUFB5,NDUFS7,NDUFA10,NDUFAB1,MT-ND6
KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS	KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS	1.00e-10	37	0.5968	26	19	0.0578	0.6069	keep	KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I	KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I	False	SDHA,UQCRB,COA5,NDUFA11,UQCRFS1,NDUFB10,NDUFB11,COX6B1,ATP5F1E,NDUFC2,NDUFA9,UQCRC2,NDUFS6,COX11,NDUFB8,ATP5F1D,NDUFS4,NDUFA8,NDUFS7,NDUFA10
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV	1.24e-09	14	0.7	19	14	0.3	1	keep	KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_IV	KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_IV	False	COX6B1,COX6C,COX7A2L,COX8A,COX7B,COX7A2,COX7C,MT-CO1,COX5B,COX5A,COX4I1,MT-CO2,MT-CO3,COX6A1
KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV	KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV	1.64e-09	14	0.6667	19	14	0.1	1	keep	KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_IV	KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_IV	False	COX6B1,COX6C,COX7A2L,COX8A,COX7B,COX7A2,COX7C,MT-CO1,COX5B,COX5A,COX4I1,MT-CO2,MT-CO3,COX6A1
KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION	KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION	2.57e-08	50	0.6173	0	0	1	0	keep	itself		True	RPS4Y1,RPL7,RPL10A,RPS5,RPS11,RPS20,RPL28,RPL12,RPL31,RPS25,RPL8,RPL18A,RPS28,RPS19,RPL11,RPL14,RPL15,RPS3A,RPL13A,RPL5
KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_SRF_MEDIATED_TRANSCRIPTION	KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_SRF_MEDIATED_TRANSCRIPTION	3.64e-05	5	1	0	0	1	0	keep	itself		True	EGR1,FOS,FOSL1,EGR2,SRF
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_ELECTRON_TRANSFER_IN_COMPLEX_III	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_ELECTRON_TRANSFER_IN_COMPLEX_III	2.13e-04	8	0.6667	0	0	1	0	keep	itself		True	UQCRB,UQCRFS1,UQCRH,UQCRC2,UQCR10,UQCR11,MT-CYB,UQCRQ
KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION	KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION	2.96e-04	22	0.7333	0	0	1	0	keep	itself		True	RPA1,MCM4,PRIM2,WDHD1,POLE3,MCM3,RFC4,MCM6,MCM5,PCNA,MCM10,RFC1,PRIM1,GINS4,MCM2,RFC2,RPA2,GINS1,MCM7,RFC3
KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_III	KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_III	3.05e-04	8	0.7273	0	0	1	0	keep	itself		True	UQCRB,UQCRFS1,UQCRH,UQCRC2,UQCR10,UQCR11,MT-CYB,UQCRQ
KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPE_E2_TO_NOD_NFKB_SIGNALING_PATHWAY	KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPE_E2_TO_NOD_NFKB_SIGNALING_PATHWAY	4.18e-04	6	0.6667	0	0	1	0	keep	itself		True	NFKBIA,RIPK2,NOD1,NFKB1,IKBKB,RELA
KEGG_MEDICUS_REFERENCE_CA2_PYK2_RAS_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_CA2_PYK2_RAS_ERK_SIGNALING_PATHWAY	6.59e-04	8	0.5333	0	0	1	0	keep	itself		True	MAPK1,ARAF,KRAS,SRC,MAP2K2,PTK2B,GRB2,MAPK3
KEGG_MEDICUS_PATHOGEN_KSHV_K15_TO_TNF_NFKB_SIGNALING_PATHWAY	KEGG_MEDICUS_PATHOGEN_KSHV_K15_TO_TNF_NFKB_SIGNALING_PATHWAY	7.74e-04	6	0.75	0	0	1	0	keep	itself		True	NFKBIA,MAP3K7,NFKB1,TRAF2,IKBKB,RELA
KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING	KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING	8.17e-04	14	0.5833	0	0	1	0	keep	itself		True	MCM4,ORC1,CDC7,MTBP,ORC3,MCM3,MCM6,MCM5,CCNE2,CCNA2,MCM2,CDK2,MCM7,TICRR
KEGG_MEDICUS_REFERENCE_BASE_EXCISION_AND_STRAND_CLEAVAGE_BY_BIFUNCTIONAL_GLYCOSYLASE	KEGG_MEDICUS_REFERENCE_BASE_EXCISION_AND_STRAND_CLEAVAGE_BY_BIFUNCTIONAL_GLYCOSYLASE	9.40e-04	6	0.6667	0	0	1	0	keep	itself		True	PARP1,PARP2,APEX1,POLB,PARG,XRCC1
KEGG_MEDICUS_REFERENCE_CROSSTALK_BETWEEN_EXTRINSIC_AND_INTRINSIC_APOPTOTIC_PATHWAYS	KEGG_MEDICUS_REFERENCE_CROSSTALK_BETWEEN_EXTRINSIC_AND_INTRINSIC_APOPTOTIC_PATHWAYS	9.73e-04	7	0.4667	0	0	1	0	keep	itself		True	APAF1,FASLG,BAK1,BID,CASP7,TNFSF10,CASP10
KEGG_MEDICUS_REFERENCE_RIG_I_NFKB_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_RIG_I_NFKB_SIGNALING_PATHWAY	0.001	5	0.2273	6	4	0.0093	0.7619	exclude	KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPE_E2_TO_NOD_NFKB_SIGNALING_PATHWAY	KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPE_E2_TO_NOD_NFKB_SIGNALING_PATHWAY	False	NFKBIA,MAVS,NFKB1,IKBKB,RELA
KEGG_MEDICUS_REFERENCE_NOD_NFKB_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_NOD_NFKB_SIGNALING_PATHWAY	0.0013	6	0.6667	8	6	0.3333	0.3333	keep	KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPE_E2_TO_NOD_NFKB_SIGNALING_PATHWAY	KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPE_E2_TO_NOD_NFKB_SIGNALING_PATHWAY	False	NFKBIA,RIPK2,NOD1,NFKB1,IKBKB,RELA
KEGG_MEDICUS_REFERENCE_BASE_EXCISION_AND_STRAND_CLEAVAGE_BY_NEIL_GLYCOSYLASE	KEGG_MEDICUS_REFERENCE_BASE_EXCISION_AND_STRAND_CLEAVAGE_BY_NEIL_GLYCOSYLASE	0.0013	7	0.7778	4	4	0.2778	0.119	keep	KEGG_MEDICUS_REFERENCE_BASE_EXCISION_AND_STRAND_CLEAVAGE_BY_BIFUNCTIONAL_GLYCOSYLASE	KEGG_MEDICUS_REFERENCE_BASE_EXCISION_AND_STRAND_CLEAVAGE_BY_BIFUNCTIONAL_GLYCOSYLASE	False	PARP1,PARP2,TDP1,NEIL3,POLB,PNKP,XRCC1
KEGG_MEDICUS_REFERENCE_ISOLEUCINE_DEGRADATION	KEGG_MEDICUS_REFERENCE_ISOLEUCINE_DEGRADATION	0.0015	7	0.7	0	0	1	0	keep	itself		True	ACADSB,ECHS1,HSD17B10,HADHB,HADHA,ACAA2,ACADS
KEGG_MEDICUS_REFERENCE_KINETOCHORE_MICROTUBULE_ATTACHMENT	KEGG_MEDICUS_REFERENCE_KINETOCHORE_MICROTUBULE_ATTACHMENT	0.0017	8	0.4	0	0	1	0	keep	itself		True	TUBB,CENPE,TUBA1A,CENPF,TUBB3,BUB1B,TUBB6,TUBA1B
KEGG_MEDICUS_REFERENCE_BREAK_INDUCED_REPLICATION	KEGG_MEDICUS_REFERENCE_BREAK_INDUCED_REPLICATION	0.0019	8	1	0	0	1	0	keep	itself		True	POLD3,PIF1,MCM4,MCM3,MCM6,MCM5,MCM2,MCM7
KEGG_MEDICUS_PATHOGEN_KSHV_VFLIP_TO_TNF_NFKB_SIGNALING_PATHWAY	KEGG_MEDICUS_PATHOGEN_KSHV_VFLIP_TO_TNF_NFKB_SIGNALING_PATHWAY	0.0022	5	0.7143	0	0	1	0	keep	itself		True	NFKBIA,NFKB1,TRAF2,IKBKB,RELA
KEGG_MEDICUS_PATHOGEN_HBV_HBX_TO_RAS_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_PATHOGEN_HBV_HBX_TO_RAS_ERK_SIGNALING_PATHWAY	0.0023	7	0.4667	14	7	0.5333	1	keep	KEGG_MEDICUS_REFERENCE_CA2_PYK2_RAS_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_CA2_PYK2_RAS_ERK_SIGNALING_PATHWAY	False	MAPK1,ARAF,KRAS,SRC,MAP2K2,GRB2,MAPK3
KEGG_MEDICUS_REFERENCE_NUCLEAR_EXPORT_OF_MRNA	KEGG_MEDICUS_REFERENCE_NUCLEAR_EXPORT_OF_MRNA	0.0027	23	0.7667	0	0	1	0	keep	itself		True	NUP62,NUP188,SEH1L,SRSF3,NUP160,NXF1,NUP133,NUP214,NXT1,SRSF7,NUP93,NUP35,NUP58,NUP205,NDC1,NUP88,NUP54,GLE1,NUP155,RANBP2
KEGG_MEDICUS_REFERENCE_LEWIS_X_ANTIGEN_BIOSYNTHESIS	KEGG_MEDICUS_REFERENCE_LEWIS_X_ANTIGEN_BIOSYNTHESIS	0.0027	3	0.6	0	0	1	0	keep	itself		True	FUT6,FUT3,FUT5
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_RETROGRADE_AXONAL_TRANSPORT	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_RETROGRADE_AXONAL_TRANSPORT	0.0035	13	0.2889	17	5	0.605	1	keep	KEGG_MEDICUS_REFERENCE_KINETOCHORE_MICROTUBULE_ATTACHMENT	KEGG_MEDICUS_REFERENCE_KINETOCHORE_MICROTUBULE_ATTACHMENT	False	DNAH10,TUBB,DNAH11,DNAL1,TUBA1A,DNAH2,TUBB3,DNAH7,DNAH1,DCTN1,TUBB6,HAP1,TUBA1B
KEGG_MEDICUS_REFERENCE_BETA_OXIDATION	KEGG_MEDICUS_REFERENCE_BETA_OXIDATION	0.0038	6	0.5455	8	6	0.0606	0.5333	keep	KEGG_MEDICUS_REFERENCE_ISOLEUCINE_DEGRADATION	KEGG_MEDICUS_REFERENCE_ISOLEUCINE_DEGRADATION	False	ACADSB,ECHS1,HADHB,HADHA,ACAA2,ACADS
KEGG_MEDICUS_REFERENCE_FE_TF_TRANSPORT	KEGG_MEDICUS_REFERENCE_FE_TF_TRANSPORT	0.0045	4	0.5714	0	0	1	0	keep	itself		True	SLC11A2,TF,SLC39A14,CP
KEGG_MEDICUS_REFERENCE_AHR_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_AHR_SIGNALING_PATHWAY	0.0046	3	0.375	0	0	1	0	keep	itself		True	PTGS2,IL6,AHR
KEGG_MEDICUS_REFERENCE_CITRATE_CYCLE_SECOND_CARBON_OXIDATION_2	KEGG_MEDICUS_REFERENCE_CITRATE_CYCLE_SECOND_CARBON_OXIDATION_2	0.0048	8	0.8	0	0	1	0	keep	itself		True	SDHB,SUCLG2,SDHD,SDHA,FH,MDH2,MDH1,SUCLG1
KEGG_MEDICUS_PATHOGEN_HPV_E5_TO_EGFR_RAS_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_PATHOGEN_HPV_E5_TO_EGFR_RAS_ERK_SIGNALING_PATHWAY	0.0052	7	0.4667	13	6	0.8	1	keep	KEGG_MEDICUS_REFERENCE_CA2_PYK2_RAS_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_CA2_PYK2_RAS_ERK_SIGNALING_PATHWAY	False	MAPK1,ARAF,KRAS,MAP2K2,ATP6V0C,GRB2,MAPK3
KEGG_MEDICUS_REFERENCE_RECRUITMENT_AND_FORMATION_OF_THE_MCC	KEGG_MEDICUS_REFERENCE_RECRUITMENT_AND_FORMATION_OF_THE_MCC	0.0062	10	1	0	0	1	0	keep	itself		True	MAD1L1,NDC80,BUB3,AURKB,TTK,BUB1,BUB1B,CDC20,MAD2L1,KNL1
KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_FGFR3_TO_RAS_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_FGFR3_TO_RAS_ERK_SIGNALING_PATHWAY	0.0065	7	0.4375	13	6	0.6	1	keep	KEGG_MEDICUS_REFERENCE_CA2_PYK2_RAS_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_CA2_PYK2_RAS_ERK_SIGNALING_PATHWAY	False	MAPK1,ARAF,KRAS,MAP2K2,GRB2,FGFR3,MAPK3
KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_OUTER_KINETOCHORE	KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_OUTER_KINETOCHORE	0.0065	9	0.4737	0	0	1	0	keep	itself		True	NDC80,CENPS,INCENP,SPC24,NUF2,AURKB,CENPW,ZWINT,PMF1
KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_LC3_II_FORMATION	KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_LC3_II_FORMATION	0.0066	8	0.6154	0	0	1	0	keep	itself		True	ATG5,ATG7,ATG4B,ATG3,MAP1LC3B2,MAP1LC3B,ATG4A,ATG4D
KEGG_MEDICUS_REFERENCE_KITLG_KIT_RAS_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_KITLG_KIT_RAS_ERK_SIGNALING_PATHWAY	0.0066	8	0.5333	13	8	0.2	0.2	keep	KEGG_MEDICUS_REFERENCE_CA2_PYK2_RAS_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_CA2_PYK2_RAS_ERK_SIGNALING_PATHWAY	False	SOS2,RAF1,MAPK1,ARAF,KRAS,MAP2K2,GRB2,MAPK3
KEGG_MEDICUS_REFERENCE_CORE_NER_REACTION	KEGG_MEDICUS_REFERENCE_CORE_NER_REACTION	0.0071	11	0.3793	0	0	1	0	keep	itself		True	ERCC1,RPA1,LIG1,POLD3,ERCC3,GTF2H4,POLH,GTF2H1,POLE3,PCNA,POLD1
KEGG_MEDICUS_REFERENCE_P4_PR_RAS_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_P4_PR_RAS_ERK_SIGNALING_PATHWAY	0.0075	7	0.4375	14	7	0.3	1	keep	KEGG_MEDICUS_REFERENCE_CA2_PYK2_RAS_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_CA2_PYK2_RAS_ERK_SIGNALING_PATHWAY	False	MAPK1,ARAF,KRAS,SRC,MAP2K2,GRB2,MAPK3
KEGG_MEDICUS_ENV_FACTOR_PHIP_TO_DNA_ADDUCTS	KEGG_MEDICUS_ENV_FACTOR_PHIP_TO_DNA_ADDUCTS	0.0077	3	0.6	0	0	1	0	keep	itself		True	SULT1A2,SULT1A3,SULT1A4
KEGG_MEDICUS_REFERENCE_MISMATCH_REPAIR	KEGG_MEDICUS_REFERENCE_MISMATCH_REPAIR	0.008	17	0.6538	13	7	0.9516	0.1137	keep	KEGG_MEDICUS_REFERENCE_CORE_NER_REACTION	KEGG_MEDICUS_REFERENCE_CORE_NER_REACTION	False	RPA1,MLH1,LIG1,POLD3,PMS1,POLE3,RFC4,PCNA,RFC1,POLD1,EXO1,MSH2,MSH6,RFC2,RPA2,PMS2,RFC3
KEGG_MEDICUS_PATHOGEN_KSHV_VFLIP_TO_NFKB_SIGNALING_PATHWAY	KEGG_MEDICUS_PATHOGEN_KSHV_VFLIP_TO_NFKB_SIGNALING_PATHWAY	0.0081	4	0.6667	0	0	1	0	keep	itself		True	NFKBIA,NFKB1,IKBKB,RELA
KEGG_MEDICUS_REFERENCE_GLUCONEOGENESIS	KEGG_MEDICUS_REFERENCE_GLUCONEOGENESIS	0.0084	4	0.8	0	0	1	0	keep	itself		True	PCK2,MDH2,PC,MDH1
KEGG_MEDICUS_REFERENCE_CDC25_CELL_CYCLE_G2_M	KEGG_MEDICUS_REFERENCE_CDC25_CELL_CYCLE_G2_M	0.0086	7	0.7	0	0	1	0	keep	itself		True	CHEK1,CDC25C,CDK1,ATM,CDC25B,CCNB2,CCNB1
KEGG_MEDICUS_REFERENCE_TGFA_EGFR_RAS_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_TGFA_EGFR_RAS_ERK_SIGNALING_PATHWAY	0.0088	7	0.4667	13	6	0.8	1	keep	KEGG_MEDICUS_REFERENCE_CA2_PYK2_RAS_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_CA2_PYK2_RAS_ERK_SIGNALING_PATHWAY	False	TGFA,MAPK1,ARAF,KRAS,MAP2K2,GRB2,MAPK3
KEGG_MEDICUS_REFERENCE_EGF_ERBB2_RAS_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_EGF_ERBB2_RAS_ERK_SIGNALING_PATHWAY	0.009	7	0.4375	13	6	0.6	1	keep	KEGG_MEDICUS_REFERENCE_CA2_PYK2_RAS_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_CA2_PYK2_RAS_ERK_SIGNALING_PATHWAY	False	MAPK1,ERBB2,ARAF,KRAS,MAP2K2,GRB2,MAPK3
KEGG_MEDICUS_REFERENCE_RETROGRADE_AXONAL_TRANSPORT	KEGG_MEDICUS_REFERENCE_RETROGRADE_AXONAL_TRANSPORT	0.0092	12	0.2791	17	5	0.5628	1	keep	KEGG_MEDICUS_REFERENCE_KINETOCHORE_MICROTUBULE_ATTACHMENT	KEGG_MEDICUS_REFERENCE_KINETOCHORE_MICROTUBULE_ATTACHMENT	False	DNAH10,TUBB,DNAH11,DNAL1,TUBA1A,DNAH2,TUBB3,DNAH7,DNAH1,DCTN1,TUBB6,TUBA1B
KEGG_MEDICUS_PATHOGEN_HIV_VPR_TO_CDC25_CELL_CYCLE_G2M	KEGG_MEDICUS_PATHOGEN_HIV_VPR_TO_CDC25_CELL_CYCLE_G2M	0.0093	8	0.7273	7	5	0.7879	0.7083	keep	KEGG_MEDICUS_REFERENCE_CDC25_CELL_CYCLE_G2_M	KEGG_MEDICUS_REFERENCE_CDC25_CELL_CYCLE_G2_M	False	CHEK1,CDC25C,DCAF1,CDK1,DDB1,CCNB2,CCNB1,CUL4B
KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION	KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION	0.0094	14	0.5185	6	6	0.0101	1	exclude	KEGG_MEDICUS_REFERENCE_BREAK_INDUCED_REPLICATION	KEGG_MEDICUS_REFERENCE_BREAK_INDUCED_REPLICATION	False	MCM4,ORC1,MTBP,ORC3,POLE3,MCM3,MCM6,RECQL4,MCM5,GINS4,MCM2,GINS1,MCM7,TICRR
KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION	KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION	0.0094	22	0.6667	17	11	0.73	0.6981	keep	KEGG_MEDICUS_REFERENCE_MISMATCH_REPAIR	KEGG_MEDICUS_REFERENCE_MISMATCH_REPAIR	False	RPA1,POLD3,RAD51D,POLH,RAD54B,POLE3,RFC4,BARD1,PCNA,RFC1,POLD1,XRCC3,RFC2,RPA2,BRCA1,RAD54L,BRCA2,XRCC2,RFC3,RAD51
KEGG_MEDICUS_REFERENCE_TLR7_8_9_IRF5_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_TLR7_8_9_IRF5_SIGNALING_PATHWAY	0.0097	2	0.0909	0	0	1	0	keep	itself		True	IRF5,IRAK4
