Heatmap_Rank,term_id,term_name,p_value,term_size,intersection_size,intersection,Input_Order,Pathway_Gene_Source,Pathway_Gene_Count,Filtered,Versus,Versus Name,Result,Reciprocal pvalue,DEGs in Intersection,Is Reciprocal,GSEA_Rank,Neg_Log10_P,Pathway_Label_Clean,Pathway_Label,Heatmap_Cluster_Rank
1,GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,1e-10,74,52,"NDUFA11,ANTKMT,NDUFA5,ATP5MF,ATP5F1B,ATP5MG,NDUFB10,ATP5F1C,NDUFB11,ATP5F1E,NDUFC2,NDUFA3,NDUFA9,NDUFS6,ATP5MK,NDUFB8,ATP5F1D,VPS9D1,NDUFS4,NDUFA8,NDUFB1,ATP6V0C,NDUFB5,ATP5ME,NDUFS7,NDUFA10,ATP5MC3,NDUFAB1,MT-ND6,NDUFA13,NDUFB4,NDUFB7,NDUFA6,ATP5PD,ATP5PO,ATP5MJ,NDUFA2,MT-ND5,NDUFB3,NDUFA12,NDUFA1,NDUFS3,ATP5PF,ATP5MC1,MT-ND1,NDUFB2,MT-ND4L,MT-ND3,MT-ND4,MT-ATP6,MT-ATP8,MT-ND2",0,GMT,76,keep,itself,,1.0,0.0,0.0,True,1,10.0,PROTON MOTIVE FORCE DRIVEN ATP SYNTHESIS,PROTON MOTIVE FORCE DRIVEN ATP SYNTHESIS,1
2,GOBP_ATP_BIOSYNTHETIC_PROCESS,GOBP_ATP_BIOSYNTHETIC_PROCESS,1e-10,99,62,"BCL2L13,SDHA,NDUFC1,PID1,PRKAG2,NDUFA11,ANTKMT,NDUFA5,ATP5MF,ATP5F1B,ATP5MG,NDUFB10,ATP5F1C,LETMD1,NDUFB11,ATP5F1E,NDUFC2,NDUFA3,NDUFA9,TMSB4X,NDUFS6,FAM3A,COX11,ATP5MK,NDUFB8,ATP5F1D,VPS9D1,NDUFS4,NDUFA8,ALDOA,NDUFB1,ATP6V0C,NDUFB5,ATP5ME,NDUFS7,NDUFA10,ATP5MC3,NDUFAB1,MT-ND6,NDUFA13,NDUFB4,NDUFB7,NDUFA6,ATP5PD,ATP5PO,ATP5MJ,NDUFA2,MT-ND5,NDUFB3,NDUFA12,NDUFA1,NDUFS3,ATP5PF,ATP5MC1,MT-ND1,NDUFB2,MT-ND4L,MT-ND3,MT-ND4,MT-ATP6,MT-ATP8,MT-ND2",5,GMT,105,keep,GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,6.38e-05,0.0,54.0,True,6,10.0,ATP BIOSYNTHETIC PROCESS,ATP BIOSYNTHETIC PROCESS,2
3,GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS,GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS,1e-10,123,64,"NDUFC1,NME7,PID1,PRKAG2,NDUFA11,ANTKMT,NDUFA5,ATP5MF,ATP5F1B,ATP5MG,NDUFB10,NME9,ATP5F1C,LETMD1,NDUFB11,ATP5F1E,NDUFC2,NDUFA3,NME2,AK4,NDUFA9,TMSB4X,NDUFS6,FAM3A,COX11,ATP5MK,NDUFB8,ATP5F1D,VPS9D1,NDUFS4,NDUFA8,ALDOA,NDUFB1,ATP6V0C,NDUFB5,ATP5ME,NDUFS7,NDUFA10,ATP5MC3,NDUFAB1,MT-ND6,NDUFA13,NDUFB4,NDUFB7,NDUFA6,ATP5PD,ATP5PO,ATP5MJ,NDUFA2,MT-ND5,NDUFB3,NDUFA12,NDUFA1,NDUFS3,ATP5PF,ATP5MC1,MT-ND1,NDUFB2,MT-ND4L,MT-ND3,MT-ND4,MT-ATP6,MT-ATP8,MT-ND2",7,GMT,130,exclude,GOBP_ATP_BIOSYNTHETIC_PROCESS,GOBP_ATP_BIOSYNTHETIC_PROCESS,0.000168,1.0,60.0,False,8,10.0,NUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS,NUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS,3
4,GOBP_NUCLEOTIDE_BIOSYNTHETIC_PROCESS,GOBP_NUCLEOTIDE_BIOSYNTHETIC_PROCESS,1e-10,205,85,"PAPSS2,LIPA,UPP1,DCK,NAMPT,QPRT,ATP5IF1,NADK,NMRK1,DHODH,BCL2L13,SDHA,NDUFC1,NME7,PID1,PRKAG2,NDUFA11,ANTKMT,NDUFA5,NMNAT1,ATP5MF,NAPRT,ATP5F1B,ATP5MG,NDUFB10,ADCY9,IDO1,NME9,ATP5F1C,LETMD1,NDUFB11,ATP5F1E,NDUFC2,NDUFA3,NME2,AK4,NDUFA9,TMSB4X,NDUFS6,FAM3A,COX11,ATP5MK,GUCY2C,NDUFB8,NADSYN1,ATP5F1D,VPS9D1,NDUFS4,NDUFA8,ALDOA,CMPK1,NDUFB1,ATP6V0C,NDUFB5,ATP5ME,NDUFS7,NDUFA10,ATP5MC3,NDUFAB1,MT-ND6,NDUFA13,NDUFB4,NDUFB7,NDUFA6,ATP5PD,ATP5PO,ATP5MJ,NDUFA2,MT-ND5,NDUFB3,NDUFA12,PRPSAP1,NDUFA1,NDUFS3,ATP5PF,ATP5MC1,RFK,MT-ND1,NDUFB2,MT-ND4L,MT-ND3,MT-ND4,MT-ATP6,MT-ATP8,MT-ND2",16,GMT,231,exclude,GOBP_PURINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS,GOBP_PURINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS,0.0012,0.0724,81.0,False,14,10.0,NUCLEOTIDE BIOSYNTHETIC PROCESS,NUCLEOTIDE BIOSYNTHETIC PROCESS,4
5,GOBP_NUCLEOSIDE_PHOSPHATE_BIOSYNTHETIC_PROCESS,GOBP_NUCLEOSIDE_PHOSPHATE_BIOSYNTHETIC_PROCESS,1e-10,297,119,"AMDHD2,NDUFV1,PGK1,KYNU,NME3,UGDH,GFPT1,PANK3,PAPSS2,LIPA,UPP1,DCK,NAMPT,QPRT,ATP5IF1,NADK,DLD,GMDS,NMRK1,ELOVL1,DHODH,BCL2L13,PPCDC,SDHA,PCCA,SIRT4,NDUFC1,NME7,PID1,PRKAG2,GNE,NDUFA11,ANTKMT,NDUFA5,NMNAT1,ATP5MF,NAPRT,ATP5F1B,ATP5MG,NANS,NDUFB10,ADCY9,PDK3,IDO1,NME9,ATP5F1C,COASY,MPC2,LETMD1,NDUFB11,ATP5F1E,ACSL5,MLYCD,NDUFC2,NDUFA3,NME2,AK4,NDUFA9,TMSB4X,NDUFS6,FAM3A,COX11,PDK2,ATP5MK,TPK1,ACSBG1,PPCS,GUCY2C,SLC27A2,NDUFB8,NADSYN1,ATP5F1D,VPS9D1,NDUFS4,NDUFA8,ALDOA,DIP2A,CMPK1,ACSF3,NDUFB1,ATP6V0C,NDUFB5,ATP5ME,NDUFS7,FCSK,ACSL3,NDUFA10,ATP5MC3,NDUFAB1,PDHA1,MT-ND6,NDUFA13,NDUFB4,NDUFB7,ACSS2,HACD2,NDUFA6,ATP5PD,ATP5PO,ATP5MJ,NDUFA2,MT-ND5,NDUFB3,NDUFA12,PRPSAP1,CMAS,NDUFA1,NDUFS3,ATP5PF,ATP5MC1,RFK,MT-ND1,NDUFB2,MT-ND4L,MT-ND3,MT-ND4,MT-ATP6,MT-ATP8,MT-ND2",21,GMT,327,keep,GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,3.17e-14,0.0,56.0,True,16,10.0,NUCLEOSIDE PHOSPHATE BIOSYNTHETIC PROCESS,NUCLEOSIDE PHOSPHATE BIOSYNTHETIC PROCESS,5
6,GOBP_PURINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS,GOBP_PURINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS,1e-10,243,103,"PANK3,PAPSS2,LIPA,DCK,NAMPT,QPRT,ATP5IF1,NADK,DLD,NMRK1,ELOVL1,BCL2L13,PPCDC,SDHA,PCCA,SIRT4,NDUFC1,NME7,PID1,PRKAG2,NDUFA11,ANTKMT,NDUFA5,NMNAT1,ATP5MF,NAPRT,ATP5F1B,ATP5MG,NDUFB10,ADCY9,PDK3,IDO1,NME9,ATP5F1C,COASY,MPC2,LETMD1,NDUFB11,ATP5F1E,ACSL5,MLYCD,NDUFC2,NDUFA3,NME2,AK4,NDUFA9,TMSB4X,NDUFS6,FAM3A,COX11,PDK2,ATP5MK,TPK1,ACSBG1,PPCS,GUCY2C,SLC27A2,NDUFB8,NADSYN1,ATP5F1D,VPS9D1,NDUFS4,NDUFA8,ALDOA,DIP2A,ACSF3,NDUFB1,ATP6V0C,NDUFB5,ATP5ME,NDUFS7,ACSL3,NDUFA10,ATP5MC3,NDUFAB1,PDHA1,MT-ND6,NDUFA13,NDUFB4,NDUFB7,ACSS2,HACD2,NDUFA6,ATP5PD,ATP5PO,ATP5MJ,NDUFA2,MT-ND5,NDUFB3,NDUFA12,PRPSAP1,NDUFA1,NDUFS3,ATP5PF,ATP5MC1,MT-ND1,NDUFB2,MT-ND4L,MT-ND3,MT-ND4,MT-ATP6,MT-ATP8,MT-ND2",12,GMT,272,keep,GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,4.55e-13,0.0,55.0,True,12,10.0,PURINE CONTAINING COMPOUND BIOSYNTHETIC PROCESS,"PURINE CONTAINING COMPOUND BIOSYNTHETIC
PROCESS",6
7,GOBP_RIBOSE_PHOSPHATE_BIOSYNTHETIC_PROCESS,GOBP_RIBOSE_PHOSPHATE_BIOSYNTHETIC_PROCESS,1e-10,167,72,"DHODH,BCL2L13,SDHA,NDUFC1,NME7,PID1,PRKAG2,NDUFA11,ANTKMT,NDUFA5,ATP5MF,ATP5F1B,ATP5MG,NDUFB10,ADCY9,NME9,ATP5F1C,LETMD1,NDUFB11,ATP5F1E,NDUFC2,NDUFA3,NME2,AK4,NDUFA9,TMSB4X,NDUFS6,FAM3A,COX11,ATP5MK,GUCY2C,NDUFB8,ATP5F1D,VPS9D1,NDUFS4,NDUFA8,ALDOA,CMPK1,NDUFB1,ATP6V0C,NDUFB5,ATP5ME,NDUFS7,NDUFA10,ATP5MC3,NDUFAB1,MT-ND6,NDUFA13,NDUFB4,NDUFB7,NDUFA6,ATP5PD,ATP5PO,ATP5MJ,NDUFA2,MT-ND5,NDUFB3,NDUFA12,PRPSAP1,NDUFA1,NDUFS3,ATP5PF,ATP5MC1,RFK,MT-ND1,NDUFB2,MT-ND4L,MT-ND3,MT-ND4,MT-ATP6,MT-ATP8,MT-ND2",9,GMT,185,exclude,GOBP_ATP_BIOSYNTHETIC_PROCESS,GOBP_ATP_BIOSYNTHETIC_PROCESS,3.43e-11,1.0,62.0,False,10,10.0,RIBOSE PHOSPHATE BIOSYNTHETIC PROCESS,RIBOSE PHOSPHATE BIOSYNTHETIC PROCESS,7
8,GOBP_RIBOSE_PHOSPHATE_METABOLIC_PROCESS,GOBP_RIBOSE_PHOSPHATE_METABOLIC_PROCESS,1e-10,351,122,"MFSD8,PAPSS2,LIPA,UPP1,ENPP1,DCK,CBFA2T3,DHTKD1,RPTOR,ATP5IF1,NADK,TPI1,DHODH,BCL2L13,SDHA,CARD11,APP,ATP6V1A,ENTPD4,NDUFC1,NME7,PID1,EIF6,HKDC1,ABHD14B,ABCC6,PRKAG2,NDUFA11,ANTKMT,INSR,NDUFA5,GTPBP1,NUDT18,FOXK2,FIS1,NMNAT1,BPNT1,ATP5MF,ATP5F1B,ATP1B1,ATP5MG,NDUFB10,ADCY9,TIGAR,NME9,ATP5F1C,SULT1A2,LETMD1,NDUFB11,TSPO,ATP5F1E,NDUFC2,NDUFA3,XDH,NME2,AK4,NDUFA9,TMSB4X,SULT1A3,NDUFS6,FAM3A,SULT1A4,COX11,ATP5MK,GUCY2C,NUDT14,NDUFB8,ATP5F1D,VPS9D1,OGDHL,NDUFS4,NDUFA8,ALDOA,CMPK1,PFKFB2,PFKL,NDUFB1,ATP6V0C,NDUFB5,ATP5ME,NDUFS7,ENTPD5,NDUFA10,ATP5MC3,NDUFAB1,NT5C,HK2,MT-ND6,NDUFA13,NDUFB4,HINT1,NDUFB7,NDUFA6,ATP5PD,ATP5PO,SULT1B1,ATP5MJ,NDUFA2,MT-ND5,NDUFB3,NDUFA12,PRPSAP1,PKLR,NDUFA1,SIRT6,FABP1,NDUFS3,PDE8A,ATP5PF,ATP5MC1,RFK,MT-ND1,NUDT4,NUDT4B,NDUFB2,MT-ND4L,MT-ND3,MT-ND4,MT-ATP6,MT-ATP8,MT-ND2,ENPP3",28,GMT,389,keep,GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,1.33e-16,0.0,55.0,True,17,10.0,RIBOSE PHOSPHATE METABOLIC PROCESS,RIBOSE PHOSPHATE METABOLIC PROCESS,8
9,GOBP_ATP_METABOLIC_PROCESS,GOBP_ATP_METABOLIC_PROCESS,1e-10,218,91,"LIPA,ENPP1,CBFA2T3,DHTKD1,RPTOR,ATP5IF1,NADK,TPI1,BCL2L13,SDHA,APP,ATP6V1A,NDUFC1,PID1,EIF6,HKDC1,ABCC6,PRKAG2,NDUFA11,ANTKMT,INSR,NDUFA5,FOXK2,FIS1,NMNAT1,ATP5MF,ATP5F1B,ATP1B1,ATP5MG,NDUFB10,TIGAR,ATP5F1C,LETMD1,NDUFB11,TSPO,ATP5F1E,NDUFC2,NDUFA3,AK4,NDUFA9,TMSB4X,NDUFS6,FAM3A,COX11,ATP5MK,NDUFB8,ATP5F1D,VPS9D1,OGDHL,NDUFS4,NDUFA8,ALDOA,PFKFB2,PFKL,NDUFB1,ATP6V0C,NDUFB5,ATP5ME,NDUFS7,NDUFA10,ATP5MC3,NDUFAB1,HK2,MT-ND6,NDUFA13,NDUFB4,NDUFB7,NDUFA6,ATP5PD,ATP5PO,ATP5MJ,NDUFA2,MT-ND5,NDUFB3,NDUFA12,PKLR,NDUFA1,SIRT6,FABP1,NDUFS3,ATP5PF,ATP5MC1,MT-ND1,NDUFB2,MT-ND4L,MT-ND3,MT-ND4,MT-ATP6,MT-ATP8,MT-ND2,ENPP3",11,GMT,237,keep,GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,1.88e-13,0.0,55.0,True,11,10.0,ATP METABOLIC PROCESS,ATP METABOLIC PROCESS,9
10,GOBP_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS,GOBP_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS,1e-10,266,99,"LIPA,ENPP1,CBFA2T3,DHTKD1,RPTOR,ENTPD2,ATP5IF1,NADK,TPI1,BCL2L13,SDHA,APP,ATP6V1A,ENTPD4,NDUFC1,NME7,PID1,EIF6,HKDC1,ABCC6,PRKAG2,NDUFA11,ANTKMT,INSR,NDUFA5,GTPBP1,FOXK2,FIS1,NMNAT1,ATP5MF,ATP5F1B,ATP1B1,ATP5MG,NDUFB10,NUDT16,TIGAR,NME9,ATP5F1C,LETMD1,NDUFB11,TSPO,ATP5F1E,NDUFC2,NDUFA3,NME2,AK4,NDUFA9,TMSB4X,NDUFS6,FAM3A,COX11,ATP5MK,NDUFB8,ATP5F1D,VPS9D1,OGDHL,NDUFS4,NDUFA8,ALDOA,PFKFB2,PFKL,NDUFB1,ATP6V0C,NDUFB5,ATP5ME,NDUFS7,DCTPP1,NDUFA10,ATP5MC3,NDUFAB1,HK2,MT-ND6,NDUFA13,NDUFB4,NDUFB7,NDUFA6,ATP5PD,ATP5PO,ATP5MJ,NDUFA2,MT-ND5,NDUFB3,NDUFA12,PKLR,NDUFA1,SIRT6,FABP1,NDUFS3,ATP5PF,ATP5MC1,MT-ND1,NDUFB2,MT-ND4L,MT-ND3,MT-ND4,MT-ATP6,MT-ATP8,MT-ND2,ENPP3",19,GMT,286,exclude,GOBP_ATP_METABOLIC_PROCESS,GOBP_ATP_METABOLIC_PROCESS,0.0018,1.0,91.0,False,15,10.0,NUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS,NUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS,10
