Data_Type,Dataset_ID,Plot_Category,Analysis_Name,GeneSet_Name,GSEA_Result_File,Pathway ID,Name,pvalue,DEG number,DEG Density,Intersecton size,DEGs in Intersection,Result,Reciprocal pvalue,Filtered,Versus,Versus Name,Is Reciprocal,Top Genes
ngs,GSE50760,ATF3_high_low_DE,Primary_tumor,GO_MF,results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/ATF3_high_low_DE/GSEA/GO_MF/gsea_result.csv,GOMF_OXIDOREDUCTION_DRIVEN_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,GOMF_OXIDOREDUCTION_DRIVEN_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,1e-10,43,0.6515,0,0,1.0,0.0,keep,itself,,True,"UQCRFS1,NDUFB10,SURF1,UQCRH,COX6B1,NDUFC2,NDUFA3,NDUFA9,NDUFS6,NDUFB8,COX7A2L,NDUFS4,NDUFA8,NDUFB1,NDUFB5,NDUFS7,NDUFA10,UQCR10,COX8A,COX7B"
ngs,GSE50760,ATF3_high_low_DE,Primary_tumor,GO_MF,results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/ATF3_high_low_DE/GSEA/GO_MF/gsea_result.csv,GOMF_NADH_DEHYDROGENASE_UBIQUINONE_ACTIVITY,GOMF_NADH_DEHYDROGENASE_UBIQUINONE_ACTIVITY,1e-10,27,0.6585,0,0,1.0,0.0,keep,itself,,True,"NDUFC2,NDUFA3,NDUFA9,NDUFS6,NDUFB8,NDUFS4,NDUFA8,NDUFB1,NDUFB5,NDUFS7,NDUFA10,MT-ND6,NDUFB4,NDUFB7,NDUFA6,NDUFA2,MT-ND5,NDUFB3,NDUFA12,NDUFA1"
ngs,GSE50760,ATF3_high_low_DE,Primary_tumor,GO_MF,results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/ATF3_high_low_DE/GSEA/GO_MF/gsea_result.csv,GOMF_ANTIGEN_BINDING,GOMF_ANTIGEN_BINDING,1e-10,89,0.5174,0,0,1.0,0.0,keep,itself,,True,"IGLV7-43,LCK,HLA-A,IGLV2-23,IGHV3-16,CD209,IGHV3-23,IGLV1-40,IGHV2-26,IGLV1-47,TAPBP,IGLV2-14,IGHV3-7,IGHA2,IGKV3-15,HLA-DMA,IGHV2-5,HLA-C,IGHV3-64D,IGHV1-18"
ngs,GSE50760,ATF3_high_low_DE,Primary_tumor,GO_MF,results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/ATF3_high_low_DE/GSEA/GO_MF/gsea_result.csv,GOMF_ACTIVE_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,GOMF_ACTIVE_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,1e-10,60,0.5172,62,44,8.09e-06,0.0,keep,GOMF_OXIDOREDUCTION_DRIVEN_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,GOMF_OXIDOREDUCTION_DRIVEN_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,True,"ATP1A1,ATP13A4,TMEM94,ATP2A3,NDUFA5,UQCRFS1,ATP5F1B,ATP1B1,NDUFB10,SURF1,UQCRH,ATP6V1D,COX6B1,NDUFC2,NDUFA3,ATP2B1,NDUFA9,ATP6V0E2,NDUFS6,ATP6V0D2"
ngs,GSE50760,ATF3_high_low_DE,Primary_tumor,GO_MF,results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/ATF3_high_low_DE/GSEA/GO_MF/gsea_result.csv,GOMF_PROTON_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,GOMF_PROTON_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,1e-10,82,0.4385,62,44,1.36e-07,0.0,keep,GOMF_OXIDOREDUCTION_DRIVEN_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,GOMF_OXIDOREDUCTION_DRIVEN_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,True,"SLC11A2,SLC9A1,NDUFA5,ATP5MF,UQCRFS1,ATP5F1B,ATP5MG,NDUFB10,SLC25A5,SURF1,GHITM,ATP5F1C,UQCRH,ATP6V1D,COX6B1,ATP5F1E,TMEM175,SLC15A2,NDUFC2,NDUFA3"
ngs,GSE50760,ATF3_high_low_DE,Primary_tumor,GO_MF,results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/ATF3_high_low_DE/GSEA/GO_MF/gsea_result.csv,GOMF_PRIMARY_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,GOMF_PRIMARY_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,1e-10,74,0.4485,90,57,1.23e-07,1.89e-07,keep,GOMF_PROTON_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,GOMF_PROTON_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,True,"ATP6V1A,ABCD3,NDUFC1,ABCB4,ABCC3,ATP1A1,ABCC6,ATP13A4,TMEM94,ATP2A3,NDUFA5,ABCA10,UQCRFS1,ATP5F1B,ATP1B1,NDUFB10,SURF1,UQCRH,ATP6V1D,COX6B1"
ngs,GSE50760,ATF3_high_low_DE,Primary_tumor,GO_MF,results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/ATF3_high_low_DE/GSEA/GO_MF/gsea_result.csv,GOMF_ELECTRON_TRANSFER_ACTIVITY,GOMF_ELECTRON_TRANSFER_ACTIVITY,1e-10,49,0.4298,61,42,9.65e-10,0.0464,keep,GOMF_OXIDOREDUCTION_DRIVEN_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,GOMF_OXIDOREDUCTION_DRIVEN_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,True,"NDUFB10,IDO1,SURF1,UQCRH,ALDH2,COX6B1,CYBA,NDUFC2,NDUFA3,NDUFA9,NDUFS6,POR,GPX2,NDUFB8,COX7A2L,NDUFS4,NDUFA8,NDUFB1,NDUFB5,ETFA"
ngs,GSE50760,ATF3_high_low_DE,Primary_tumor,GO_MF,results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/ATF3_high_low_DE/GSEA/GO_MF/gsea_result.csv,GOMF_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,GOMF_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,1e-10,139,0.3035,61,45,5.03e-14,1.2e-13,keep,GOMF_ELECTRON_TRANSFER_ACTIVITY,GOMF_ELECTRON_TRANSFER_ACTIVITY,True,"SLC17A9,SLCO2A1,SLC2A13,SLC5A6,SLC35B3,SLC26A11,ATP6V1F,SLC37A2,SLC44A1,SLC30A6,SLCO4C1,ATP6V1A,CDH17,ABCD3,SLC25A12,SLC38A1,NDUFC1,ABCB4,SLC26A4,ABCC3"
ngs,GSE50760,ATF3_high_low_DE,Primary_tumor,GO_MF,results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/ATF3_high_low_DE/GSEA/GO_MF/gsea_result.csv,GOMF_PROTON_TRANSPORTING_ATP_SYNTHASE_ACTIVITY_ROTATIONAL_MECHANISM,GOMF_PROTON_TRANSPORTING_ATP_SYNTHASE_ACTIVITY_ROTATIONAL_MECHANISM,4.84e-09,13,0.7647,0,0,1.0,0.0,keep,itself,,True,"ATP5MF,ATP5F1B,ATP5MG,ATP5F1C,ATP5F1E,ATP5F1D,ATP6V0C,ATP5ME,ATP5PD,ATP5PO,ATP5PF,MT-ATP6,MT-ATP8"
ngs,GSE50760,ATF3_high_low_DE,Primary_tumor,GO_MF,results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/ATF3_high_low_DE/GSEA/GO_MF/gsea_result.csv,GOMF_HISTONE_BINDING,GOMF_HISTONE_BINDING,5.73e-09,69,0.3943,0,0,1.0,0.0,keep,itself,,True,"BRD3,PHC2,CHD8,SMARCC1,SIRT1,CHD2,BRD2,NASP,CHD4,NCAPD3,TSPYL4,VPS72,USP49,RCC1,SMARCA5,YEATS2,SUPT6H,PHF14,GRWD1,IPO9"
