Data_Type,Dataset_ID,Plot_Category,Analysis_Name,GeneSet_Name,GSEA_Result_File,Pathway ID,Name,pvalue,DEG number,DEG Density,Intersecton size,DEGs in Intersection,Result,Reciprocal pvalue,Filtered,Versus,Versus Name,Is Reciprocal,Top Genes
ngs,GSE50760,Main_DE,Liver_metastasis_vs_normal,CP_KEGG_MEDICUS,results/ngs/GSE50760/tables/Liver_metastasis_vs_normal/GSEA/CP_KEGG_MEDICUS/gsea_result.csv,KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION,KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION,2.06e-09,22,0.8148,0,0,1.0,0.0,keep,itself,,True,"CDC6,ORC6,MCM6,MTBP,MCM2,GINS1,GINS4,MCM3,POLE3,RECQL4,TICRR,GINS2,CDT1,CDC45,MCM4,GINS3,TOPBP1,ORC3,MCM7,MCM5"
ngs,GSE50760,Main_DE,Liver_metastasis_vs_normal,CP_KEGG_MEDICUS,results/ngs/GSE50760/tables/Liver_metastasis_vs_normal/GSEA/CP_KEGG_MEDICUS/gsea_result.csv,KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION,KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION,2.92e-09,24,0.8,15,13,0.3257,0.3879,keep,KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION,KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION,False,"RFC3,POLA1,MCM10,MCM6,MCM2,PRIM1,GINS1,GINS4,MCM3,RFC4,RFC2,POLE3,GINS2,PRIM2,RPA3,CDC45,WDHD1,MCM4,GINS3,MCM7"
ngs,GSE50760,Main_DE,Liver_metastasis_vs_normal,CP_KEGG_MEDICUS,results/ngs/GSE50760/tables/Liver_metastasis_vs_normal/GSEA/CP_KEGG_MEDICUS/gsea_result.csv,KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION,KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION,5.5e-09,56,0.6914,0,0,1.0,0.0,keep,itself,,True,"RPS7,RPL39,RPS21,RPL35,RPL24,RPL36A,RPL7,RPL30,RPL31,RPL35A,RPS15A,RPS18,RPS10,RPL37,RPS2,RPL38,RPL8,RPL27,RPL14,RPL12"
ngs,GSE50760,Main_DE,Liver_metastasis_vs_normal,CP_KEGG_MEDICUS,results/ngs/GSE50760/tables/Liver_metastasis_vs_normal/GSEA/CP_KEGG_MEDICUS/gsea_result.csv,KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING,KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING,4.55e-08,21,0.875,17,15,0.664,0.2495,keep,KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION,KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION,False,"CDK2,CDC6,ORC6,MCM6,MTBP,MCM2,MCM3,TICRR,CDT1,DBF4,CDC45,MCM4,ORC3,MCM7,MCM5,CCNA2,CCNE2,ORC5,CCNE1,CDC7"
ngs,GSE50760,Main_DE,Liver_metastasis_vs_normal,CP_KEGG_MEDICUS,results/ngs/GSE50760/tables/Liver_metastasis_vs_normal/GSEA/CP_KEGG_MEDICUS/gsea_result.csv,KEGG_MEDICUS_REFERENCE_LECTIN_PATHWAY_OF_COAGULATION_CASCADE_FIBRINOGEN_TO_FIBRIN,KEGG_MEDICUS_REFERENCE_LECTIN_PATHWAY_OF_COAGULATION_CASCADE_FIBRINOGEN_TO_FIBRIN,1.77e-07,8,0.8,0,0,1.0,0.0,keep,itself,,True,"COLEC11,FGG,FCN3,COLEC10,FGB,FGA,MBL2,FCN2"
ngs,GSE50760,Main_DE,Liver_metastasis_vs_normal,CP_KEGG_MEDICUS,results/ngs/GSE50760/tables/Liver_metastasis_vs_normal/GSEA/CP_KEGG_MEDICUS/gsea_result.csv,KEGG_MEDICUS_REFERENCE_COMMON_PATHWAY_OF_COMPLEMENT_CASCADE_MAC_FORMATION,KEGG_MEDICUS_REFERENCE_COMMON_PATHWAY_OF_COMPLEMENT_CASCADE_MAC_FORMATION,2.3e-07,6,0.8571,0,0,1.0,0.0,keep,itself,,True,"C9,C8B,C6,C8A,C5,C8G"
ngs,GSE50760,Main_DE,Liver_metastasis_vs_normal,CP_KEGG_MEDICUS,results/ngs/GSE50760/tables/Liver_metastasis_vs_normal/GSEA/CP_KEGG_MEDICUS/gsea_result.csv,KEGG_MEDICUS_REFERENCE_LECTIN_PATHWAY_OF_COAGULATION_CASCADE_PROTHROMBIN_TO_THROMBIN,KEGG_MEDICUS_REFERENCE_LECTIN_PATHWAY_OF_COAGULATION_CASCADE_PROTHROMBIN_TO_THROMBIN,4.75e-07,7,0.875,0,0,1.0,0.0,keep,itself,,True,"COLEC11,F2,FCN3,COLEC10,MBL2,FCN2,MASP2"
ngs,GSE50760,Main_DE,Liver_metastasis_vs_normal,CP_KEGG_MEDICUS,results/ngs/GSE50760/tables/Liver_metastasis_vs_normal/GSEA/CP_KEGG_MEDICUS/gsea_result.csv,KEGG_MEDICUS_REFERENCE_NUCLEAR_EXPORT_OF_MRNA,KEGG_MEDICUS_REFERENCE_NUCLEAR_EXPORT_OF_MRNA,1.12e-06,21,0.7,0,0,1.0,0.0,keep,itself,,True,"NUP107,NUP58,NUP210,NUP205,NXT1,NUP160,NUP188,NUP155,NUP35,NUP43,NUP93,SRSF3,NUP37,NUP62,NUP133,SRSF7,POM121,ALYREF,NUP85,NUP88"
ngs,GSE50760,Main_DE,Liver_metastasis_vs_normal,CP_KEGG_MEDICUS,results/ngs/GSE50760/tables/Liver_metastasis_vs_normal/GSEA/CP_KEGG_MEDICUS/gsea_result.csv,KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,1.99e-06,33,0.8049,0,0,1.0,0.0,keep,itself,,True,"PSMA7,PSMA1,ADRM1,PSMA2,PSMD14,PSMC2,PSMD12,PSMB7,PSMD7,PSMD6,PSMB5,PSMA3,SEM1,PSMD4,PSMD13,PSMB4,PSMA5,PSMB2,PSMD1,PSMB3"
ngs,GSE50760,Main_DE,Liver_metastasis_vs_normal,CP_KEGG_MEDICUS,results/ngs/GSE50760/tables/Liver_metastasis_vs_normal/GSEA/CP_KEGG_MEDICUS/gsea_result.csv,KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_VCP_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_VCP_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,2.36e-06,32,0.8,0,0,1.0,0.0,keep,itself,,True,"PSMA7,PSMA1,ADRM1,PSMA2,PSMD14,PSMC2,PSMD12,PSMB7,PSMD7,PSMD6,PSMB5,PSMA3,SEM1,PSMD4,PSMD13,PSMB4,VCP,PSMA5,PSMB2,PSMD1"
