Heatmap_Rank,term_id,term_name,p_value,term_size,intersection_size,intersection,Input_Order,Pathway_Gene_Source,Pathway_Gene_Count,Filtered,Versus,Versus Name,Result,Reciprocal pvalue,DEGs in Intersection,Is Reciprocal,GSEA_Rank,Neg_Log10_P,Pathway_Label_Clean,Pathway_Label,Heatmap_Cluster_Rank
1,KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION,KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION,2.0623442e-09,27,22,"CDC6,ORC6,MCM6,MTBP,MCM2,GINS1,GINS4,MCM3,POLE3,RECQL4,TICRR,GINS2,CDT1,CDC45,MCM4,GINS3,TOPBP1,ORC3,MCM7,MCM5,ORC5,POLE2",0,GMT,27,keep,itself,,1.0,0.0,0,True,1,8.68563885035914,REFERENCE PRE IC FORMATION,REFERENCE PRE IC FORMATION,1
2,KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING,KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING,4.55393938e-08,23,21,"CDK2,CDC6,ORC6,MCM6,MTBP,MCM2,MCM3,TICRR,CDT1,DBF4,CDC45,MCM4,ORC3,MCM7,MCM5,CCNA2,CCNE2,ORC5,CCNE1,CDC7,ORC1",2,GMT,24,keep,KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION,KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION,0.664,0.2495,15,False,4,7.341612754815896,REFERENCE DNA REPLICATION LICENSING,REFERENCE DNA REPLICATION LICENSING,2
3,KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION,KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION,2.9246837e-09,30,24,"RFC3,POLA1,MCM10,MCM6,MCM2,PRIM1,GINS1,GINS4,MCM3,RFC4,RFC2,POLE3,GINS2,PRIM2,RPA3,CDC45,WDHD1,MCM4,GINS3,MCM7,MCM5,POLA2,POLE2,RFC5",1,GMT,30,keep,KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION,KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION,0.3257,0.3879,13,False,2,8.533921095315952,REFERENCE ORIGIN UNWINDING AND ELONGATION,REFERENCE ORIGIN UNWINDING AND ELONGATION,3
4,KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_TERMINATION,KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_TERMINATION,1.3734433706e-05,21,14,"ELOC,MCM6,MCM2,GINS1,GINS4,MCM3,GINS2,CDC45,MCM4,GINS3,MCM7,MCM5,VCP,CUL2",15,GMT,21,exclude,KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION,KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION,0.001,0.0541,11,False,20,4.862189242572469,REFERENCE DNA REPLICATION TERMINATION,REFERENCE DNA REPLICATION TERMINATION,4
5,KEGG_MEDICUS_REFERENCE_TRAIP_DEPENDENT_REPLISOME_DISASSEMBLY,KEGG_MEDICUS_REFERENCE_TRAIP_DEPENDENT_REPLISOME_DISASSEMBLY,3.70181153476e-05,16,12,"MCM6,MCM2,GINS1,GINS4,MCM3,GINS2,CDC45,MCM4,GINS3,MCM7,MCM5,VCP",16,GMT,16,exclude,KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION,KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION,0.0027,0.0541,11,False,22,4.431585695658012,REFERENCE TRAIP DEPENDENT REPLISOME DISASSEMBLY,"REFERENCE TRAIP DEPENDENT REPLISOME
DISASSEMBLY",5
6,KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION,KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION,5.5049909e-09,80,56,"RPS7,RPL39,RPS21,RPL35,RPL24,RPL36A,RPL7,RPL30,RPL31,RPL35A,RPS15A,RPS18,RPS10,RPL37,RPS2,RPL38,RPL8,RPL27,RPL14,RPL12,RPL7A,RPL27A,RPL23,RPL36,RPL13,RPS20,RPS27A,RPL6,RPS19,RPL10,RPL37A,RPS13,RPS4X,RPL21,RPL32,RPS25,RPS12,RPL4,UBA52,RPS5,RPS16,RPS15,RPL23A,RPL19,RPL29,RPL10A,RPLP0,RPS3,RPS24,RPLP2,RPS27,RPL28,RPS6,RPS14,RPL11,RPL18",4,GMT,81,keep,itself,,1.0,0.0,0,True,3,8.25924339460014,REFERENCE TRANSLATION INITIATION,REFERENCE TRANSLATION INITIATION,6
7,KEGG_MEDICUS_REFERENCE_LECTIN_PATHWAY_OF_COAGULATION_CASCADE_FIBRINOGEN_TO_FIBRIN,KEGG_MEDICUS_REFERENCE_LECTIN_PATHWAY_OF_COAGULATION_CASCADE_FIBRINOGEN_TO_FIBRIN,1.767822338e-07,10,8,"COLEC11,FGG,FCN3,COLEC10,FGB,FGA,MBL2,FCN2",5,GMT,10,keep,itself,,1.0,0.0,0,True,5,6.752561382707105,REFERENCE LECTIN PATHWAY OF COAGULATION CASCADE FIBRINOGEN TO FIBRIN,"REFERENCE LECTIN PATHWAY OF COAGULATION
CASCADE FIBRINOGEN TO FIBRIN",7
8,KEGG_MEDICUS_PATHOGEN_SARS_COV_2_S_N_TO_LECTIN_PATHWAY_OF_COAGULATION_CASCADE,KEGG_MEDICUS_PATHOGEN_SARS_COV_2_S_N_TO_LECTIN_PATHWAY_OF_COAGULATION_CASCADE,5.09963440945e-05,6,5,"COLEC11,FCN3,COLEC10,MBL2,FCN2",32,GMT,6,keep,itself,,1.0,0.0,0,True,23,4.292460957166687,PATHOGEN SARS COV 2 S N TO LECTIN PATHWAY OF COAGULATION CASCADE,"PATHOGEN SARS COV 2 S N TO LECTIN PATHWAY OF
COAGULATION CASCADE",8
9,KEGG_MEDICUS_REFERENCE_LECTIN_PATHWAY_OF_COAGULATION_CASCADE_PROTHROMBIN_TO_THROMBIN,KEGG_MEDICUS_REFERENCE_LECTIN_PATHWAY_OF_COAGULATION_CASCADE_PROTHROMBIN_TO_THROMBIN,4.752085667e-07,8,7,"COLEC11,F2,FCN3,COLEC10,MBL2,FCN2,MASP2",13,GMT,8,keep,itself,,1.0,0.0,0,True,7,6.3231157388244155,REFERENCE LECTIN PATHWAY OF COAGULATION CASCADE PROTHROMBIN TO THROMBIN,"REFERENCE LECTIN PATHWAY OF COAGULATION
CASCADE PROTHROMBIN TO THROMBIN",9
10,KEGG_MEDICUS_REFERENCE_LECTIN_PATHWAY_OF_COMPLEMENT_CASCADE_C4_C2_TO_C3_CONVERTASE_FORMATION,KEGG_MEDICUS_REFERENCE_LECTIN_PATHWAY_OF_COMPLEMENT_CASCADE_C4_C2_TO_C3_CONVERTASE_FORMATION,3.7874911774e-06,11,9,"COLEC11,FCN3,COLEC10,MBL2,FCN2,MASP2,C2,C4B,C4A",7,GMT,11,keep,KEGG_MEDICUS_REFERENCE_LECTIN_PATHWAY_OF_COAGULATION_CASCADE_PROTHROMBIN_TO_THROMBIN,KEGG_MEDICUS_REFERENCE_LECTIN_PATHWAY_OF_COAGULATION_CASCADE_PROTHROMBIN_TO_THROMBIN,0.6182,1.0,6,False,14,5.421648370136096,REFERENCE LECTIN PATHWAY OF COMPLEMENT CASCADE C4 C2 TO C3 CONVERTASE FORMATION,"REFERENCE LECTIN PATHWAY OF COMPLEMENT
CASCADE C4 C2 TO C3 CONVERTASE FORMATION",10
11,KEGG_MEDICUS_REFERENCE_COMMON_PATHWAY_OF_COMPLEMENT_CASCADE_MAC_FORMATION,KEGG_MEDICUS_REFERENCE_COMMON_PATHWAY_OF_COMPLEMENT_CASCADE_MAC_FORMATION,2.304021119e-07,7,6,"C9,C8B,C6,C8A,C5,C8G",22,GMT,7,keep,itself,,1.0,0.0,0,True,6,6.6375135444228155,REFERENCE COMMON PATHWAY OF COMPLEMENT CASCADE MAC FORMATION,"REFERENCE COMMON PATHWAY OF COMPLEMENT
CASCADE MAC FORMATION",11
12,KEGG_MEDICUS_REFERENCE_REGULATION_OF_COMPLEMENT_CASCADE_MAC_INHIBITION,KEGG_MEDICUS_REFERENCE_REGULATION_OF_COMPLEMENT_CASCADE_MAC_INHIBITION,3.7874911774e-06,9,6,"VTN,C9,C8B,C6,C8A,C8G",18,GMT,9,keep,KEGG_MEDICUS_REFERENCE_COMMON_PATHWAY_OF_COMPLEMENT_CASCADE_MAC_FORMATION,KEGG_MEDICUS_REFERENCE_COMMON_PATHWAY_OF_COMPLEMENT_CASCADE_MAC_FORMATION,0.2262,1.0,5,False,15,5.421648370136096,REFERENCE REGULATION OF COMPLEMENT CASCADE MAC INHIBITION,"REFERENCE REGULATION OF COMPLEMENT CASCADE
MAC INHIBITION",12
13,KEGG_MEDICUS_REFERENCE_NUCLEAR_EXPORT_OF_MRNA,KEGG_MEDICUS_REFERENCE_NUCLEAR_EXPORT_OF_MRNA,1.1177110708e-06,30,21,"NUP107,NUP58,NUP210,NUP205,NXT1,NUP160,NUP188,NUP155,NUP35,NUP43,NUP93,SRSF3,NUP37,NUP62,NUP133,SRSF7,POM121,ALYREF,NUP85,NUP88,NUP54",3,GMT,30,keep,itself,,1.0,0.0,0,True,8,5.951670447410427,REFERENCE NUCLEAR EXPORT OF MRNA,REFERENCE NUCLEAR EXPORT OF MRNA,13
14,KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,1.9912856633e-06,39,33,"PSMA7,PSMA1,ADRM1,PSMA2,PSMD14,PSMC2,PSMD12,PSMB7,PSMD7,PSMD6,PSMB5,PSMA3,SEM1,PSMD4,PSMD13,PSMB4,PSMA5,PSMB2,PSMD1,PSMB3,RPS27A,UBA52,PSMC3,PSMC6,PSMD11,PSMC4,DERL1,PSMD2,SOD1,PSMD8,PSMD3,PSMA6,PSMC1",6,GMT,41,keep,itself,,1.0,0.0,0,True,9,5.700866433043568,VARIANT MUTATION CAUSED ABERRANT SOD1 TO 26S PROTEASOME MEDIATED PROTEIN DEGRADATION,"VARIANT MUTATION CAUSED ABERRANT SOD1 TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION",14
15,KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,6.0912544399e-06,37,31,"PSMA7,PSMA1,ADRM1,PSMA2,PSMD14,PSMC2,PSMD12,PSMB7,PSMD7,PSMD6,PSMB5,PSMA3,SEM1,PSMD4,PSMD13,PSMB4,PSMA5,PSMB2,PSMD1,PSMB3,RPS27A,UBA52,PSMC3,PSMC6,PSMD11,PSMC4,PSMD2,PSMD8,PSMD3,PSMA6,PSMC1",9,GMT,39,keep,KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,0.1803,0.1944,29,False,16,5.215293259054381,REFERENCE 26S PROTEASOME MEDIATED PROTEIN DEGRADATION,"REFERENCE 26S PROTEASOME MEDIATED PROTEIN
DEGRADATION",15
16,KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_VCP_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_VCP_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,2.356140489e-06,38,32,"PSMA7,PSMA1,ADRM1,PSMA2,PSMD14,PSMC2,PSMD12,PSMB7,PSMD7,PSMD6,PSMB5,PSMA3,SEM1,PSMD4,PSMD13,PSMB4,VCP,PSMA5,PSMB2,PSMD1,PSMB3,RPS27A,UBA52,PSMC3,PSMC6,PSMD11,PSMC4,PSMD2,PSMD8,PSMD3,PSMA6,PSMC1",12,GMT,40,keep,itself,,1.0,0.0,0,True,10,5.627798817544354,VARIANT MUTATION INACTIVATED VCP TO 26S PROTEASOME MEDIATED PROTEIN DEGRADATION,"VARIANT MUTATION INACTIVATED VCP TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION",16
17,KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_UBQLN2_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_UBQLN2_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,3.1639387814e-06,38,32,"PSMA7,PSMA1,ADRM1,PSMA2,PSMD14,PSMC2,PSMD12,PSMB7,PSMD7,PSMD6,PSMB5,PSMA3,SEM1,PSMD4,PSMD13,PSMB4,PSMA5,PSMB2,PSMD1,PSMB3,RPS27A,UBA52,PSMC3,PSMC6,PSMD11,PSMC4,PSMD2,PSMD8,PSMD3,PSMA6,PSMC1,UBQLN2",14,GMT,40,keep,KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,0.2568,0.1944,29,False,12,5.499771928195025,VARIANT MUTATION INACTIVATED UBQLN2 TO 26S PROTEASOME MEDIATED PROTEIN DEGRADATION,"VARIANT MUTATION INACTIVATED UBQLN2 TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION",17
18,KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,2.6112655377e-06,34,29,"PSMA7,PSMA1,ADRM1,PSMA2,PSMD14,PSMC2,PSMD12,PSMB7,PSMD7,PSMD6,PSMB5,PSMA3,SEM1,PSMD4,PSMD13,PSMB4,PSMA5,PSMB2,PSMD1,PSMB3,PSMC3,PSMC6,PSMD11,PSMC4,PSMD2,PSMD8,PSMD3,PSMA6,PSMC1",8,GMT,36,keep,KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,0.1944,0.3314,29,False,11,5.5831489628403395,VARIANT MUTATION CAUSED ABERRANT HTT TO 26S PROTEASOME MEDIATED PROTEIN DEGRADATION,"VARIANT MUTATION CAUSED ABERRANT HTT TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION",18
19,KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,3.6378954756e-06,34,29,"PSMA7,PSMA1,ADRM1,PSMA2,PSMD14,PSMC2,PSMD12,PSMB7,PSMD7,PSMD6,PSMB5,PSMA3,SEM1,PSMD4,PSMD13,PSMB4,PSMA5,PSMB2,PSMD1,PSMB3,PSMC3,PSMC6,PSMD11,PSMC4,PSMD2,PSMD8,PSMD3,PSMA6,PSMC1",11,GMT,36,keep,KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,0.1944,0.3314,29,False,13,5.439149783288554,VARIANT SCRAPIE CONFORMATION PRPSC TO 26S PROTEASOME MEDIATED PROTEIN DEGRADATION,"VARIANT SCRAPIE CONFORMATION PRPSC TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION",19
20,KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,7.345691783e-06,34,29,"PSMA7,PSMA1,ADRM1,PSMA2,PSMD14,PSMC2,PSMD12,PSMB7,PSMD7,PSMD6,PSMB5,PSMA3,SEM1,PSMD4,PSMD13,PSMB4,PSMA5,PSMB2,PSMD1,PSMB3,PSMC3,PSMC6,PSMD11,PSMC4,PSMD2,PSMD8,PSMD3,PSMA6,PSMC1",17,GMT,36,keep,KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,0.1944,0.3314,29,False,17,5.1339672981184865,VARIANT MUTATION CAUSED ABERRANT ABETA TO 26S PROTEASOME MEDIATED PROTEIN DEGRADATION,"VARIANT MUTATION CAUSED ABERRANT ABETA TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION",20
21,KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,1.08363251563e-05,34,29,"PSMA7,PSMA1,ADRM1,PSMA2,PSMD14,PSMC2,PSMD12,PSMB7,PSMD7,PSMD6,PSMB5,PSMA3,SEM1,PSMD4,PSMD13,PSMB4,PSMA5,PSMB2,PSMD1,PSMB3,PSMC3,PSMC6,PSMD11,PSMC4,PSMD2,PSMD8,PSMD3,PSMA6,PSMC1",20,GMT,36,keep,KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,0.1944,0.3314,29,False,19,4.965117971941916,VARIANT MUTATION CAUSED ABERRANT SNCA TO 26S PROTEASOME MEDIATED PROTEIN DEGRADATION,"VARIANT MUTATION CAUSED ABERRANT SNCA TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION",21
22,KEGG_MEDICUS_REFERENCE_ASSEMBLY_AND_TRAFFICKING_OF_TELOMERASE,KEGG_MEDICUS_REFERENCE_ASSEMBLY_AND_TRAFFICKING_OF_TELOMERASE,9.0067639188e-06,18,12,"CCT4,CCT3,CCT6A,DKC1,CCT2,NHP2,TCP1,CCT7,RUVBL1,CCT8,CCT5,GAR1",10,GMT,19,keep,itself,,1.0,0.0,0,True,18,5.045431220636519,REFERENCE ASSEMBLY AND TRAFFICKING OF TELOMERASE,"REFERENCE ASSEMBLY AND TRAFFICKING OF
TELOMERASE",22
