Heatmap_Rank,term_id,term_name,p_value,term_size,intersection_size,intersection,Input_Order,Pathway_Gene_Source,Pathway_Gene_Count,Filtered,Versus,Versus Name,Result,Reciprocal pvalue,DEGs in Intersection,Is Reciprocal,GSEA_Rank,Neg_Log10_P,Pathway_Label_Clean,Pathway_Label,Heatmap_Cluster_Rank
1,BIOCARTA_NUCLEARRS_PATHWAY,BIOCARTA_NUCLEARRS_PATHWAY,1e-10,34,19,"CYP2E1,CYP4A11,CYP8B1,CYP3A4,CYP2C9,CYP4A22,CYP1A2,ABCG5,ABCB4,ABCB11,ABCC2,NR1I3,NR1H4,NR0B2,NR1H3,CYP26A1,CYP2B6,RARB,ABCA1",0,GMT,34,keep,itself,,1.0,0.0,0,True,1,10.0,NUCLEARRS PATHWAY,NUCLEARRS PATHWAY,1
2,BIOCARTA_MRP_PATHWAY,BIOCARTA_MRP_PATHWAY,0.0031432415205129,6,2,"ABCB4,ABCB11",14,GMT,6,keep,BIOCARTA_NUCLEARRS_PATHWAY,BIOCARTA_NUCLEARRS_PATHWAY,0.4,0.7842,2,False,11,2.5026222473641875,MRP PATHWAY,MRP PATHWAY,2
3,BIOCARTA_INTRINSIC_PATHWAY,BIOCARTA_INTRINSIC_PATHWAY,1e-10,23,15,"FGB,FGA,FGG,SERPINC1,F9,F2,KNG1,F11,PROC,F12,KLKB1,F5,F10,SERPING1,PROS1",1,GMT,23,keep,itself,,1.0,0.0,0,True,2,10.0,INTRINSIC PATHWAY,INTRINSIC PATHWAY,3
4,BIOCARTA_EXTRINSIC_PATHWAY,BIOCARTA_EXTRINSIC_PATHWAY,2.7304382e-08,13,11,"FGB,FGA,FGG,SERPINC1,F2,PROC,F7,F5,F10,PROS1,TFPI",3,GMT,13,keep,BIOCARTA_INTRINSIC_PATHWAY,BIOCARTA_INTRINSIC_PATHWAY,0.4231,0.0376,9,True,5,7.5637676487210825,EXTRINSIC PATHWAY,EXTRINSIC PATHWAY,4
5,BIOCARTA_AMI_PATHWAY,BIOCARTA_AMI_PATHWAY,3.3940143412e-06,19,11,"FGB,FGA,FGG,SERPINC1,PLG,F2,PROC,F7,F10,PROS1,TFPI",5,GMT,20,exclude,BIOCARTA_EXTRINSIC_PATHWAY,BIOCARTA_EXTRINSIC_PATHWAY,0.000595,0.2949,10,False,7,5.469286326929697,AMI PATHWAY,AMI PATHWAY,5
6,BIOCARTA_FIBRINOLYSIS_PATHWAY,BIOCARTA_FIBRINOLYSIS_PATHWAY,5.1945773399e-06,12,7,"FGB,FGA,FGG,CPB2,PLG,F2,SERPINE1",7,GMT,12,keep,BIOCARTA_INTRINSIC_PATHWAY,BIOCARTA_INTRINSIC_PATHWAY,0.2475,0.4138,4,False,8,5.284449783316937,FIBRINOLYSIS PATHWAY,FIBRINOLYSIS PATHWAY,6
7,BIOCARTA_PLATELETAPP_PATHWAY,BIOCARTA_PLATELETAPP_PATHWAY,0.0091988171375116,14,5,"PLG,F9,F2,F11,SERPINE1",15,GMT,14,keep,BIOCARTA_FIBRINOLYSIS_PATHWAY,BIOCARTA_FIBRINOLYSIS_PATHWAY,0.2028,0.6894,3,False,17,2.036268014358662,PLATELETAPP PATHWAY,PLATELETAPP PATHWAY,7
8,BIOCARTA_LECTIN_PATHWAY,BIOCARTA_LECTIN_PATHWAY,6.8927743e-09,12,12,"C9,C8A,C6,MBL2,MASP2,C5,C4B,C4A,C3,C2,MASP1,C7",6,GMT,13,keep,itself,,1.0,0.0,0,True,3,8.161605942000424,LECTIN PATHWAY,LECTIN PATHWAY,8
9,BIOCARTA_COMP_PATHWAY,BIOCARTA_COMP_PATHWAY,2.38216931e-08,19,18,"C9,C8A,C6,MBL2,MASP2,C5,C4B,C4A,CFB,C3,C2,MASP1,C1QB,C7,C1QA,C1QC,C1R,C1S",2,GMT,20,keep,BIOCARTA_LECTIN_PATHWAY,BIOCARTA_LECTIN_PATHWAY,0.5895,1.0,12,False,4,7.623027374765238,COMP PATHWAY,COMP PATHWAY,9
10,BIOCARTA_CLASSIC_PATHWAY,BIOCARTA_CLASSIC_PATHWAY,1.382103657e-07,14,14,"C9,C8A,C6,C5,C4B,C4A,C3,C2,C1QB,C7,C1QA,C1QC,C1R,C1S",4,GMT,15,keep,itself,,1.0,0.0,0,True,6,6.85945938389748,CLASSIC PATHWAY,CLASSIC PATHWAY,10
