Pathway,COMPLEMENT AND COAGULATION CASCADES,PRION DISEASES,SYSTEMIC LUPUS ERYTHEMATOSUS,DRUG METABOLISM CYTOCHROME P450,METABOLISM OF XENOBIOTICS BY CYTOCHROME P450,RETINOL METABOLISM,DRUG METABOLISM OTHER ENZYMES,PORPHYRIN AND CHLOROPHYLL METABOLISM,STEROID HORMONE BIOSYNTHESIS,ASCORBATE AND ALDARATE METABOLISM,PENTOSE AND GLUCURONATE INTERCONVERSIONS,STARCH AND SUCROSE METABOLISM,GLYCINE SERINE AND THREONINE METABOLISM,TYROSINE METABOLISM,PHENYLALANINE METABOLISM,ALANINE ASPARTATE AND GLUTAMATE METABOLISM,ARGININE AND PROLINE METABOLISM,PPAR SIGNALING PATHWAY,FATTY ACID METABOLISM,TRYPTOPHAN METABOLISM,VALINE LEUCINE AND ISOLEUCINE DEGRADATION,PROPANOATE METABOLISM,BETA ALANINE METABOLISM,BUTANOATE METABOLISM,PEROXISOME,PRIMARY BILE ACID BIOSYNTHESIS,CALCIUM SIGNALING PATHWAY,GAP JUNCTION,DILATED CARDIOMYOPATHY,OLFACTORY TRANSDUCTION,CYSTEINE AND METHIONINE METABOLISM,GLYCOLYSIS GLUCONEOGENESIS,PYRUVATE METABOLISM,LINOLEIC ACID METABOLISM,ARACHIDONIC ACID METABOLISM,GLYOXYLATE AND DICARBOXYLATE METABOLISM,STEROID BIOSYNTHESIS,NEUROACTIVE LIGAND RECEPTOR INTERACTION,SPLICEOSOME,RIBOSOME
COMPLEMENT AND COAGULATION CASCADES,1.0,0.14492753623188406,0.2318840579710145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10144927536231885,0.0,0.0
PRION DISEASES,0.2857142857142857,1.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.11428571428571428,0.22857142857142856,0.11428571428571428,0.11428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0
SYSTEMIC LUPUS ERYTHEMATOSUS,0.11510791366906475,0.07194244604316546,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007194244604316547,0.0,0.007194244604316547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02158273381294964,0.02158273381294964,0.0
DRUG METABOLISM CYTOCHROME P450,0.0,0.0,0.0,1.0,0.8333333333333334,0.5277777777777778,0.3472222222222222,0.25,0.3055555555555556,0.25,0.25,0.25,0.027777777777777776,0.20833333333333334,0.08333333333333333,0.0,0.027777777777777776,0.0,0.09722222222222222,0.05555555555555555,0.013888888888888888,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.1527777777777778,0.0,0.1388888888888889,0.08333333333333333,0.0,0.0,0.0,0.0,0.0
METABOLISM OF XENOBIOTICS BY CYTOCHROME P450,0.0,0.0,0.0,0.8571428571428571,1.0,0.5142857142857142,0.3142857142857143,0.2571428571428571,0.4,0.2571428571428571,0.2714285714285714,0.2571428571428571,0.0,0.17142857142857143,0.05714285714285714,0.0,0.0,0.0,0.1,0.04285714285714286,0.0,0.0,0.0,0.0,0.014285714285714285,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.15714285714285714,0.0,0.14285714285714285,0.1,0.0,0.0,0.0,0.0,0.0
RETINOL METABOLISM,0.0,0.0,0.0,0.59375,0.5625,1.0,0.390625,0.28125,0.359375,0.28125,0.28125,0.28125,0.0,0.109375,0.0,0.0,0.0,0.03125,0.140625,0.03125,0.0,0.0,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.109375,0.0,0.140625,0.109375,0.0,0.0,0.0,0.0,0.0
DRUG METABOLISM OTHER ENZYMES,0.0,0.0,0.0,0.49019607843137253,0.43137254901960786,0.49019607843137253,1.0,0.37254901960784315,0.43137254901960786,0.35294117647058826,0.37254901960784315,0.37254901960784315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0784313725490196,0.0,0.0,0.0,0.0,0.0,0.0
PORPHYRIN AND CHLOROPHYLL METABOLISM,0.0,0.0,0.0,0.43902439024390244,0.43902439024390244,0.43902439024390244,0.4634146341463415,1.0,0.43902439024390244,0.43902439024390244,0.4634146341463415,0.4634146341463415,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STEROID HORMONE BIOSYNTHESIS,0.0,0.0,0.0,0.4,0.509090909090909,0.41818181818181815,0.4,0.32727272727272727,1.0,0.32727272727272727,0.32727272727272727,0.32727272727272727,0.0,0.01818181818181818,0.0,0.0,0.0,0.01818181818181818,0.0,0.03636363636363636,0.0,0.0,0.0,0.0,0.0,0.07272727272727272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07272727272727272,0.01818181818181818,0.0,0.01818181818181818,0.0,0.0,0.0
ASCORBATE AND ALDARATE METABOLISM,0.0,0.0,0.0,0.72,0.72,0.72,0.72,0.72,0.72,1.0,0.76,0.76,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
