Heatmap_Rank,term_id,term_name,p_value,term_size,intersection_size,intersection,Input_Order,Pathway_Gene_Source,Pathway_Gene_Count,Filtered,Versus,Versus Name,Result,Reciprocal pvalue,DEGs in Intersection,Is Reciprocal,GSEA_Rank,Neg_Log10_P,Pathway_Label_Clean,Pathway_Label,Heatmap_Cluster_Rank
1,GOCC_BLOOD_MICROPARTICLE,GOCC_BLOOD_MICROPARTICLE,1e-10,138,56,"ORM1,HP,FGB,HPR,APOA1,HPX,ITIH2,APCS,FGA,AMBP,GC,C9,FGG,ORM2,SERPINC1,AHSG,PLG,A1BG,VTN,ITIH4,SERPINA3,ITIH1,AFM,APOA2,ALB,TF,C8A,PON1,HRG,F2,CD5L,FCN2,CFHR3,CPN2,KNG1,CFHR1,SERPINF2,C4BPA,FCN3,CP,APOA4,C8G,AGT,APOE,PZP,C4B,C4A,CFB,CFH,SERPING1,C3,PROS1,ANGPTL4,BCHE,HSPA6,CLU",0,GMT,145,keep,itself,,1.0,0.0,0.0,True,1,10.0,BLOOD MICROPARTICLE,BLOOD MICROPARTICLE,1
2,GOCC_OTHER_ORGANISM_PART,GOCC_OTHER_ORGANISM_PART,1e-10,36,28,"C9,C8B,C8A,FCN2,C6,MBL2,MASP2,FCN3,C8G,C5,CLEC4M,C4B,C4A,CFB,CFH,C3,C2,MASP1,C1QB,C7,C1QA,C1QC,GZMK,C1R,FCN1,C1S,NUP153,GBP5",5,GMT,36,keep,itself,,1.0,0.0,0.0,True,6,10.0,OTHER ORGANISM PART,OTHER ORGANISM PART,2
3,GOCC_SYMBIONT_CELL_SURFACE,GOCC_SYMBIONT_CELL_SURFACE,1.1381212e-08,20,19,"FCN2,MBL2,MASP2,FCN3,C4B,C4A,CFB,CFH,C3,C2,MASP1,C1QB,C1QA,C1QC,GZMK,C1R,FCN1,C1S,GBP5",8,GMT,20,keep,GOCC_BLOOD_MICROPARTICLE,GOCC_BLOOD_MICROPARTICLE,0.45,1.47e-05,11.0,True,19,7.943811486896622,SYMBIONT CELL SURFACE,SYMBIONT CELL SURFACE,3
4,GOCC_SERINE_TYPE_PEPTIDASE_COMPLEX,GOCC_SERINE_TYPE_PEPTIDASE_COMPLEX,1e-10,33,19,"COLEC10,COLEC11,F9,F2,FCN2,MBL2,F11,MASP2,FCN3,PROC,F12,KLKB1,F7,F5,F10,CFI,CFH,C3,MASP1",3,GMT,34,keep,itself,,1.0,0.0,0.0,True,4,10.0,SERINE TYPE PEPTIDASE COMPLEX,SERINE TYPE PEPTIDASE COMPLEX,4
5,GOCC_ENDOPEPTIDASE_COMPLEX,GOCC_ENDOPEPTIDASE_COMPLEX,4.5833359e-09,115,40,"COLEC10,COLEC11,F9,F2,FCN2,MBL2,F11,MASP2,FCN3,PROC,F12,KLKB1,F7,F5,F10,CFI,CFH,C3,MASP1,PSMD12,ZFAND2A,FCN1,PSMA2,PSMA3,PSMC2,PSMA5,RAD23B,PSMF1,GPAA1,PSMD6,UCHL5,F8,PSMB2,PMPCA,PSMB7,PSMA7,PSME4,SEM1,ADRM1,PSMD4",15,GMT,121,keep,GOCC_SERINE_TYPE_PEPTIDASE_COMPLEX,GOCC_SERINE_TYPE_PEPTIDASE_COMPLEX,4.5e-05,0.0,21.0,True,17,8.33881831334854,ENDOPEPTIDASE COMPLEX,ENDOPEPTIDASE COMPLEX,5
6,GOCC_PEPTIDASE_COMPLEX,GOCC_PEPTIDASE_COMPLEX,5.8011433263e-06,153,62,"COLEC10,COLEC11,F9,F2,FCN2,MBL2,F11,MASP2,FCN3,PROC,F12,KLKB1,F7,F5,F10,CFI,CFH,C3,MASP1,PSMD12,ZFAND2A,FCN1,PSMA2,PSMA3,PSMC2,PSMA5,RAD23B,PSMF1,GPAA1,PSMD6,ENY2,UCHL5,F8,PSMB2,PMPCA,TAF9,PSMB7,PSMA7,PSME4,SEM1,ADRM1,PSMD4,TRIM27,SF3B3,PSMA1,PSMB4,PMPCB,SPG7,SUPT3H,PSMD7,TADA1,HTRA2,IMMP2L,SEC11C,TAF5L,CRADD,KAT2A,USP22,USP7,PSMD14,PSMC6,TAF6L",54,GMT,161,keep,GOCC_SERINE_TYPE_PEPTIDASE_COMPLEX,GOCC_SERINE_TYPE_PEPTIDASE_COMPLEX,2.12e-05,0.0,24.0,True,37,5.236486404476851,PEPTIDASE COMPLEX,PEPTIDASE COMPLEX,6
7,GOCC_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE,GOCC_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE,2.258870179e-07,352,88,"COLEC10,FGB,FGA,ASGR2,FGG,PLG,ASGR1,COLEC11,TRPM8,TFR2,F2,FCN2,MBL2,MASP2,FCN3,SERPINA5,VTCN1,CHRNA4,CLEC4M,F10,PKHD1,AZGP1,FCRLB,STAB2,ENPEP,CD84,CD226,FCGR3A,LEPR,CLEC4G,CD4,GHR,ITGAX,CD83,CTSB,FCER1G,CCR1,P2RX7,CD163,ALCAM,CD14,MASP1,ITGB2,ITGAM,GP1BA,TMEM123,FOLR1,LILRB1,SEMA7A,FCGR3B,FCGR2B,SPN,AQP4,CSF2RA,RTN4RL2,CD33,FCGR1A,CD86,SLC22A11,TLR4,LIFR,ABCA1,CCR5,CXCL12,PDCD1LG2,TLR8,ACKR2,FCRL6,MUC16,CXCR4,CSF3R,CX3CR1,FCGR2C,FCN1,CXCR3,HLA-DRB1,CLEC4A,CLEC4E,SDC1,P4HB,CD1B,TNF,CCR2,IL21R,LY6G6C,CXCL9,ICAM1,LY6G6D",88,GMT,381,exclude,GOCC_SERINE_TYPE_PEPTIDASE_COMPLEX,GOCC_SERINE_TYPE_PEPTIDASE_COMPLEX,0.000123,0.1194,10.0,False,24,6.646108727983597,EXTERNAL SIDE OF PLASMA MEMBRANE,EXTERNAL SIDE OF PLASMA MEMBRANE,7
8,GOCC_PROTEIN_LIPID_COMPLEX,GOCC_PROTEIN_LIPID_COMPLEX,1e-10,40,27,"APOC3,HPR,APOA1,APOH,SAA4,APOB,APOF,APOA2,APOC2,PON1,APOC4,APOA5,LPA,SAA2,APOA4,SAA1,LIPC,APOC1,APOM,APOE,CETP,LCAT,MSR1,CLU,PLA2G7,DBI,PEX3",1,GMT,40,exclude,GOCC_HIGH_DENSITY_LIPOPROTEIN_PARTICLE,GOCC_HIGH_DENSITY_LIPOPROTEIN_PARTICLE,0.0097,1.0,22.0,False,2,10.0,PROTEIN LIPID COMPLEX,PROTEIN LIPID COMPLEX,8
9,GOCC_HIGH_DENSITY_LIPOPROTEIN_PARTICLE,GOCC_HIGH_DENSITY_LIPOPROTEIN_PARTICLE,1e-10,27,22,"APOC3,HPR,APOA1,APOH,SAA4,APOF,APOA2,APOC2,PON1,APOC4,APOA5,SAA2,APOA4,SAA1,LIPC,APOC1,APOM,APOE,CETP,LCAT,CLU,PLA2G7",2,GMT,27,keep,itself,,1.0,0.0,0.0,True,3,10.0,HIGH DENSITY LIPOPROTEIN PARTICLE,HIGH DENSITY LIPOPROTEIN PARTICLE,9
10,GOCC_SPHERICAL_HIGH_DENSITY_LIPOPROTEIN_PARTICLE,GOCC_SPHERICAL_HIGH_DENSITY_LIPOPROTEIN_PARTICLE,6.365249219e-07,8,8,"APOC3,HPR,APOA1,APOA2,APOC2,PON1,APOM,CLU",31,GMT,8,keep,itself,,1.0,0.0,0.0,True,28,6.196184587718479,SPHERICAL HIGH DENSITY LIPOPROTEIN PARTICLE,SPHERICAL HIGH DENSITY LIPOPROTEIN PARTICLE,10
11,GOCC_TRIGLYCERIDE_RICH_PLASMA_LIPOPROTEIN_PARTICLE,GOCC_TRIGLYCERIDE_RICH_PLASMA_LIPOPROTEIN_PARTICLE,1e-10,21,12,"APOC3,APOA1,APOH,APOB,APOA2,APOC2,APOC4,APOA5,APOA4,APOC1,APOM,APOE",6,GMT,21,exclude,GOCC_HIGH_DENSITY_LIPOPROTEIN_PARTICLE,GOCC_HIGH_DENSITY_LIPOPROTEIN_PARTICLE,0.009,0.814,11.0,False,7,10.0,TRIGLYCERIDE RICH PLASMA LIPOPROTEIN PARTICLE,TRIGLYCERIDE RICH PLASMA LIPOPROTEIN PARTICLE,11
12,GOCC_CHYLOMICRON,GOCC_CHYLOMICRON,1.496597e-10,13,10,"APOC3,APOA1,APOH,APOB,APOA2,APOC2,APOA5,APOA4,APOC1,APOE",10,GMT,13,exclude,GOCC_HIGH_DENSITY_LIPOPROTEIN_PARTICLE,GOCC_HIGH_DENSITY_LIPOPROTEIN_PARTICLE,0.014,0.1061,9.0,False,13,9.824895129676095,CHYLOMICRON,CHYLOMICRON,12
13,GOCC_LOW_DENSITY_LIPOPROTEIN_PARTICLE,GOCC_LOW_DENSITY_LIPOPROTEIN_PARTICLE,4.982076275e-07,16,10,"APOA1,APOB,APOF,APOC2,APOA5,APOA4,APOM,APOE,MSR1,PLA2G7",13,GMT,16,keep,GOCC_HIGH_DENSITY_LIPOPROTEIN_PARTICLE,GOCC_HIGH_DENSITY_LIPOPROTEIN_PARTICLE,0.0919,0.7505,8.0,False,25,6.302589627751333,LOW DENSITY LIPOPROTEIN PARTICLE,LOW DENSITY LIPOPROTEIN PARTICLE,13
