Pathway,BLOOD MICROPARTICLE,OTHER ORGANISM PART,SYMBIONT CELL SURFACE,SERINE TYPE PEPTIDASE COMPLEX,ENDOPEPTIDASE COMPLEX,PEPTIDASE COMPLEX,EXTERNAL SIDE OF PLASMA MEMBRANE,PROTEIN LIPID COMPLEX,HIGH DENSITY LIPOPROTEIN PARTICLE,SPHERICAL HIGH DENSITY LIPOPROTEIN PARTICLE,TRIGLYCERIDE RICH PLASMA LIPOPROTEIN PARTICLE,CHYLOMICRON,LOW DENSITY LIPOPROTEIN PARTICLE,IMMUNOGLOBULIN COMPLEX,PLATELET ALPHA GRANULE LUMEN,VESICLE LUMEN,FIBRINOGEN COMPLEX,PLATELET ALPHA GRANULE,CATION CHANNEL COMPLEX,MONOATOMIC ION CHANNEL COMPLEX,SARCOLEMMA,SYNAPTIC MEMBRANE,POSTSYNAPTIC MEMBRANE,POSTSYNAPTIC SPECIALIZATION MEMBRANE,POSTSYNAPTIC SPECIALIZATION,NEURON TO NEURON SYNAPSE,PRESYNAPTIC MEMBRANE,BASAL PART OF CELL,BASOLATERAL PLASMA MEMBRANE,ENDOPLASMIC RETICULUM LUMEN,COMPLEX OF COLLAGEN TRIMERS,MICROBODY,MICROBODY LUMEN,CONTRACTILE MUSCLE FIBER,I BAND,ACTOMYOSIN,ACTIN FILAMENT BUNDLE,RIBOSOMAL SUBUNIT,RIBOSOME,PRERIBOSOME
BLOOD MICROPARTICLE,1.0,0.09655172413793103,0.07586206896551724,0.034482758620689655,0.041379310344827586,0.041379310344827586,0.07586206896551724,0.05517241379310345,0.05517241379310345,0.034482758620689655,0.034482758620689655,0.027586206896551724,0.020689655172413793,0.2,0.13793103448275862,0.20689655172413793,0.034482758620689655,0.14482758620689656,0.006896551724137931,0.013793103448275862,0.020689655172413793,0.013793103448275862,0.006896551724137931,0.0,0.0,0.006896551724137931,0.013793103448275862,0.034482758620689655,0.027586206896551724,0.15172413793103448,0.0,0.0,0.0,0.034482758620689655,0.020689655172413793,0.006896551724137931,0.006896551724137931,0.0,0.0,0.0
OTHER ORGANISM PART,0.3888888888888889,1.0,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYMBIONT CELL SURFACE,0.55,1.0,1.0,0.4,0.4,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERINE TYPE PEPTIDASE COMPLEX,0.14705882352941177,0.23529411764705882,0.23529411764705882,1.0,1.0,1.0,0.4117647058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.11764705882352941,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2647058823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENDOPEPTIDASE COMPLEX,0.049586776859504134,0.06611570247933884,0.06611570247933884,0.2809917355371901,1.0,1.0,0.1322314049586777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01652892561983471,0.1652892561983471,0.0,0.01652892561983471,0.0,0.0,0.0,0.0,0.0,0.0,0.01652892561983471,0.01652892561983471,0.0,0.008264462809917356,0.008264462809917356,0.0743801652892562,0.0,0.008264462809917356,0.008264462809917356,0.01652892561983471,0.008264462809917356,0.0,0.0,0.0,0.008264462809917356,0.0
PEPTIDASE COMPLEX,0.037267080745341616,0.049689440993788817,0.049689440993788817,0.2111801242236025,0.7515527950310559,1.0,0.09937888198757763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012422360248447204,0.12422360248447205,0.0,0.012422360248447204,0.0,0.0,0.0,0.0,0.0,0.0,0.012422360248447204,0.012422360248447204,0.0,0.012422360248447204,0.006211180124223602,0.06832298136645963,0.0,0.006211180124223602,0.006211180124223602,0.018633540372670808,0.012422360248447204,0.006211180124223602,0.0,0.0,0.006211180124223602,0.0
EXTERNAL SIDE OF PLASMA MEMBRANE,0.028871391076115485,0.02099737532808399,0.015748031496062992,0.03674540682414698,0.04199475065616798,0.04199475065616798,1.0,0.005249343832020997,0.0026246719160104987,0.0,0.0026246719160104987,0.0,0.005249343832020997,0.005249343832020997,0.015748031496062992,0.026246719160104987,0.010498687664041995,0.03412073490813648,0.013123359580052493,0.023622047244094488,0.023622047244094488,0.04199475065616798,0.026246719160104987,0.010498687664041995,0.015748031496062992,0.023622047244094488,0.02099737532808399,0.06036745406824147,0.047244094488188976,0.03674540682414698,0.0,0.005249343832020997,0.0026246719160104987,0.005249343832020997,0.0,0.0026246719160104987,0.0026246719160104987,0.0,0.0026246719160104987,0.0
PROTEIN LIPID COMPLEX,0.2,0.0,0.0,0.0,0.0,0.0,0.05,1.0,0.675,0.2,0.525,0.325,0.4,0.0,0.05,0.1,0.0,0.05,0.0,0.0,0.025,0.025,0.0,0.0,0.0,0.0,0.0,0.025,0.025,0.275,0.0,0.025,0.0,0.025,0.025,0.0,0.0,0.0,0.0,0.0
HIGH DENSITY LIPOPROTEIN PARTICLE,0.2962962962962963,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,1.0,1.0,0.2962962962962963,0.5185185185185185,0.3333333333333333,0.37037037037037035,0.0,0.07407407407407407,0.14814814814814814,0.0,0.07407407407407407,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPHERICAL HIGH DENSITY LIPOPROTEIN PARTICLE,0.625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.625,0.5,0.375,0.0,0.125,0.25,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRIGLYCERIDE RICH PLASMA LIPOPROTEIN PARTICLE,0.23809523809523808,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,1.0,0.6666666666666666,0.23809523809523808,1.0,0.6190476190476191,0.5714285714285714,0.0,0.047619047619047616,0.14285714285714285,0.0,0.047619047619047616,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHYLOMICRON,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6923076923076923,0.3076923076923077,1.0,1.0,0.6153846153846154,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
