term_id	term_name	p_value	term_size	intersection_size	intersection
SRF_01	SRF_01	1.455910233e-07	49	16	TPM1,GPR20,DIXDC1,MYL6,TGFB1I1,VCL,PHOX2B,NPAS4,IL17B,CD248,KCNMB1,PRUNE2,ASB2,MYH11,IRAG1,ACTG2
RGTTAMWNATT_HNF1_01	RGTTAMWNATT_HNF1_01	7.6636046e-09	70	19	IGFBP1,GC,PLG,HABP2,SLC17A2,TTR,HGFAC,G6PC1,LIPC,F13B,APOM,AGT,CFI,GOLT1A,SERPING1,CYP26A1,EEPD1,UGT1A6,SLC23A1
HNF1_Q6	HNF1_Q6	1e-10	233	53	IGFBP1,FGB,CYP2E1,FGA,GC,SLCO1B1,PLG,HABP2,AFM,ALB,ANGPTL3,SERPINA4,C8A,F2,HGFAC,PRODH2,HAO1,G6PC1,SERPINA7,LIPC,F13B,SERPINA6,C5,AFP,APOM,SERPINA10,TM4SF4,AQP9,HPN,ERRFI1,CLTRN,FXYD2,PKHD1,CFI,MTTP,CLDN10,NR1H4,CES5A,UGT1A1,GOLT1A,KLB,SLC7A9,TFEC,UGT1A6,GGCX,RORA,BPHL,GAS2,AOC2,RARB,CLUH,CNTLN,SLC39A14
HNF1_01	HNF1_01	1e-10	231	43	IGFBP1,CYP2E1,APCS,FGA,GC,LECT2,SLCO1B1,PLG,HABP2,AFM,ALB,SERPINA4,HGFAC,HAO1,G6PC1,SERPINA7,CA5A,LIPC,LEAP2,PAQR9,SERPINA6,AFP,APOM,SERPINA10,TM4SF4,HPN,ERRFI1,FXYD2,PKHD1,EVA1A,CFI,UGT1A4,PTH1R,NR1H4,CES5A,UGT1A1,GOLT1A,CHRD,SUCNR1,SLC7A9,EEPD1,SLC26A1,UGT1A6
SRF_Q6	SRF_Q6	1.6617082e-09	233	76	PLCB3,EVA1C,KCNK3,GPR158,RSF1,DMPK,PDLIM4,RSU1,H4C9,RAP1A,RAI2,PDLIM7,PRDM1,DHH,ITGA7,TAGLN,ITGB1BP2,MYLK,PPP2R3A,NNAT,NPPA,KCNA1,RAB27A,TRAF3IP2,PHF12,RHOJ,TPM2,CABP1,PADI2,ZEB1,HOXB5,MAP2K6,SVIL,NOL4,KBTBD12,HOXD13,HOXA5,MYL9,GPR20,NFATC4,DIXDC1,MYL6,TES,MAP1A,ATP1A2,BDNF,TGFB1I1,LPP,VCL,ELAVL4,LDB3,CACNA1B,NKX2-2,NPAS4,IL17B,CD248,KCNMB1,HOXD10,PCDH7,SCN3B,PRUNE2,ABL1,MYH11,FOXP2,PLN,JPH2,CNN1,FBXL22,ACTC1,INSM1,MRGPRF,ACKR1,RIMS1,RASD2,ACTG2,WNT5A
NRSF_01	NRSF_01	2.57894098674e-05	73	22	ELAVL3,VGF,TMEM179,CDKN2B,PCSK2,GRIN1,PTPRN,COL5A3,BDNF,TRIM9,NRSN1,GABRG2,AMER3,SST,NPAS4,INA,SCN3B,NEFM,SYT4,DNER,CHGA,VIP
CCAWWNAAGG_SRF_Q4	CCAWWNAAGG_SRF_Q4	3.31267209007e-05	80	23	PRDM1,TAGLN,MYLK,NPPA,PHF12,TCF4,TPM2,CSRP1,SVIL,HOXD13,DIXDC1,NKX2-2,HOXD10,PCDH7,SCN3B,VIT,MYH11,PLN,IRAG1,ACTC1,INSM1,MRGPRF,ACTG2
SRF_C	SRF_C	6.52129696e-08	204	67	PLCB3,EVA1C,CDC14A,KCNK3,SSH3,RSF1,DMPK,PDLIM4,KCTD15,NKX6-2,RSU1,CLEC18C,MITF,PDLIM7,AOC3,ITGA7,TAGLN,ITGB1BP2,ANAPC15,DSTN,MYLK,PPP2R3A,XK,TSPAN2,PHF12,COL8A1,RHOJ,PADI2,DACT3,HOXB5,HOXA5,MYL9,GPR20,DIXDC1,MYL6,MAP1A,ARHGAP1,TGFB1I1,LPP,MCAM,VCL,POPDC2,ELAVL4,LDB3,CACNA1B,NKX2-2,MEIS1,NPAS4,IL17B,CD248,KCNMB1,HOXD10,PRUNE2,ABL1,ASB2,MYH11,FOXP2,PLN,DLL1,JPH2,CNN1,FBXL22,IRAG1,ACTC1,MRGPRF,RASD2,ACTG2
EN1_01	EN1_01	3.42203991268e-05	102	33	SLC6A14,MMP14,PEX2,MITF,CD55,OSR1,TMEM59L,ELN,TCF4,TSHZ3,FHL1,GAP43,ATP13A4,ISL1,RBFOX1,SLC6A9,NEO1,GRIA1,BDNF,HOXA11,RUNX1T1,NRG1,ANK2,NKX2-2,PDGFRA,HOXD10,FOXP2,NOS1,CLC,GREM1,HOXD3,EYA4,PDZD2
CAGNWMCNNNGAC_UNKNOWN	CAGNWMCNNNGAC_UNKNOWN	9.27328325079e-05	68	17	ELAVL3,TMEM179,GRIN1,HPCA,PTPRN,COL5A3,BDNF,CACNA1B,GABRG2,INA,SCN3B,NEFM,SYT4,DNER,CHGA,CHGB,VIP
COUP_01	COUP_01	1.086643088e-07	250	55	SERPIND1,ASGR2,SERPINC1,PON1,CFHR2,CFHR5,GYS2,G6PC1,CFHR1,RTP3,CREB3L3,PKLR,APOM,ADRA1A,HPN,KYNU,GATA4,MTTP,PTH1R,C4B,C4A,SMOC1,SLC7A9,G0S2,RNF144B,TKFC,HSD17B8,DHRS3,RPRD1B,VEGFA,SHFL,PTMS,PLPPR1,ALDH6A1,MREG,DNMT3A,CLUH,MSRB1,ZIC4,ASXL1,NEK6,MYBPH,SRSF6,TNFRSF12A,SLC7A7,PLA2G12B,HAS1,NRP1,MRPL2,ZBTB18,TMEM150A,TOMM70,IL21R,FKBP5,SLC11A2
KRCTCNNNNMANAGC_UNKNOWN	KRCTCNNNNMANAGC_UNKNOWN	0.000943256228914	47	27	H2BC13,H2BC12,H2BC11,H2BC6,H2AC11,H2BC21,H2BC7,SEZ6,H2AC14,H2AC15,H1-4,H2AC7,H1-2,H3C10,H2BC9,H3C8,H2BC8,H2BC5,H3C4,H2AC6,H2AC8,H1-5,H3C6,H1-3,H2AC13,TCF21,CDK15
ZIC3_01	ZIC3_01	7.09954244e-08	239	74	TAL1,KIF7,ATP2B4,ITPR1,PTPN14,KCNK3,BECN1,UCHL1,KAZN,TIMP3,RCOR2,PI4KB,CYYR1,GDPD2,HOXA10,CDK5R2,RAB1B,IL11,EFEMP2,MYOC,METTL4,PYGM,HOXA7,INKA2,BCL2L2,PRDM8,RAB11A,TRAF3IP2,PHF12,FAM110D,TEAD3,P2RX1,FBXL20,MAPK10,GLI1,CASZ1,NLGN2,ETV6,GPR173,THRA,SEMA3B,HOXD13,NFATC4,MAP1A,HPCA,CRYAB,NRXN1,NLGN3,LHX6,SLIT3,MAST2,FSTL1,ANGPTL2,HOXA11,SIX4,NRG1,MUSK,NKX2-2,COL7A1,GABRG2,PIANP,ZER1,HSPB7,SCN3B,HOXD12,ZNF521,RHBDL3,HOXD3,CYP26B1,MRGPRF,NEGR1,GRIK3,CTSK,FGF10
RNTCANNRNNYNATTW_UNKNOWN	RNTCANNRNNYNATTW_UNKNOWN	0.0012636736215062	57	17	TSPAN2,WNT2,PDZRN4,HEY1,SULF2,ZNF827,IL22,NOL4,TMOD4,NRXN1,GPM6B,ELAVL4,CASQ2,CHRDL1,FOXP2,TAC1,FGF10
HMX1_01	HMX1_01	0.0021303591869374	38	10	SMAD2,DAAM2,BCL2L2,LRRK1,PHF12,ATOH1,NKX2-2,PBX1,AMPH,KCNB2
HNF1_C	HNF1_C	7.732728164e-06	226	47	FGB,APCS,FGA,GC,RBP4,HABP2,SLC17A2,AFM,SERPINA4,C8A,F2,G6PC1,SERPINA7,PROC,PKLR,CPN1,AFP,APOM,SERPINA10,AQP9,FST,ERRFI1,PKHD1,EVA1A,CES5A,GOLT1A,KLB,LRAT,SLC7A9,EEPD1,EML4,GPX1,SLC37A4,RORA,AQP4,TBL1X,CNTLN,SLC39A14,A1CF,EGR1,DPYD,PLS3,GJB1,ASB4,NRP1,ARPP21,FGFR4
CDX2_Q5	CDX2_Q5	7.216727386e-07	236	86	ATXN7L1,ARL4A,MARCHF3,DTNA,CLTC,KRT20,FOXP1,LPL,HOXC4,C1QTNF7,PPP1R12A,CCDC68,MBD5,INPPL1,SEZ6,ANGPT1,PTGES2,NDRG3,AGR3,KIF1C,KCTD15,MEIS2,MLLT3,LOX,TEKT3,VANGL1,SOX14,HOXB6,PRDM1,AOC1,PAPPA,MAP2K5,HOXA7,PNMA1,BBS1,RIMS2,PIK3R3,WDR47,NREP,FSIP2,SYTL2,PDZRN4,NID2,TWIST1,TNFRSF17,TLE4,DCHS1,TMOD4,PCSK2,ATP13A4,MN1,GCG,NRXN1,LHX6,SLIT3,NEO1,POU3F3,CTTNBP2NL,HOXA11,HOXC6,NME3,SI,CACNA1C,ELAVL4,SMAD1,ARX,PHOX2B,MEIS1,SBSPON,HOXD9,TCF21,PCDH7,PLPP7,FOXD3,ASB2,VIT,BNC2,LSAMP,PCSK1,HOXD3,PRPH,SERTAD4,ADCYAP1,EPHA7,LMO3,GRIK3
CART1_01	CART1_01	4.394968422e-06	201	56	KCTD15,UNC13B,MEIS2,PRSS12,HOXB6,PELI2,GOLGA1,BACE2,CADM2,ZNF219,TMEM117,PRDM1,PAPPA,MAP2K5,ANAPC15,RIMS2,HOXB7,ANKS1B,ARRB1,PDZRN4,ZNF423,ROR1,TEAD3,ATP8B1,SLC16A9,MSRB3,IRX2,HOXB5,NOL4,HOXA5,RBFOX1,PRRX1,JPH3,CALB2,HOXA11,RUNX1T1,SLC26A3,PDGFRA,PHOX2B,CHRDL1,PAK3,PBX1,PRUNE2,BNC2,LOXHD1,FOXP2,NOS1,SLITRK5,SERTAD4,EPHA7,LRRC15,HPSE2,LMO3,TAFA1,LGALS12,LRFN5
OCT1_04	OCT1_04	9.394111949e-07	205	79	ARMH4,NPTX2,ITM2B,TDRD5,HOXA3,FOXG1,STX12,COMMD10,MEF2C,PPIP5K2,DTNA,FOXP1,HOXC4,PLAGL1,XYLT2,GALNT1,NSF,RELCH,RAB6C,CUX1,SH3BGRL,MPPED2,SEL1L3,C12orf57,LMO4,ARMCX4,RHOBTB2,ANK3,TP53INP2,UNC13B,HDAC9,OLFML3,PPP3CB,PI4KB,CADM2,MITF,HOXA10,PRDM2,ETV1,CDC42EP3,PNMA1,PPP2R3A,CCDC91,OPCML,PDZRN4,TWIST1,CDH13,SCUBE2,ATOH1,C2CD5,TMTC2,MAP2K6,KCNS3,ACKR4,THRA,JAM3,ISL1,DIXDC1,NR3C2,NCAM1,TSPAN13,HOXC6,CACNA1C,ELAVL4,IL17F,C8orf34,GABRG2,PHOX2B,MEIS1,HOXD10,PBX1,BNC2,FOXP2,HOXD4,SERTAD4,LMO3,MAB21L2,GRIK3,CSF3
POU3F2_01	POU3F2_01	0.0003177593618703	83	29	UNC80,NSF,CUX1,C6orf136,KCTD15,HDAC9,LOX,HOXB6,CDH10,KCNK10,PDZRN4,ZNF423,TWIST1,CSNK1G3,VGF,RAB3C,PPM1L,TMEM179,NOVA1,PRRX1,HOXA11,PHOX2B,HOXD10,BNC2,FOXP2,EPHA7,LMO3,STAC2,WNT5A
SRF_Q4	SRF_Q4	1.9034154382e-06	214	52	TAGLN,ITGB1BP2,DSTN,IP6K1,MYLK,PPP2R3A,XK,NPPA,KCNA1,PHF12,VGF,RHOJ,TPM2,PADI2,CSRP1,TPM1,HOXB5,MAP2K6,SVIL,KBTBD12,SORT1,HOXA5,MYL9,GPR20,DIXDC1,MYL6,MAP1A,NLGN3,TGFB1I1,LPP,VCL,ELAVL4,CACNA1B,NKX2-2,NPAS4,IL17B,KCNMB1,HOXD10,PRUNE2,BNC2,MYH11,FOXP2,DLL1,JPH2,CNN1,ACTC1,INSM1,MRGPRF,SERTAD4,RIMS1,RASD2,ACTG2
HNF4_01	HNF4_01	5.0949439366e-06	260	65	SLC25A47,F2,INHBC,G6PC1,RTP3,LEAP2,F13B,PKLR,APOM,PRG4,F10,PFKFB1,KYNU,NRAP,GATA4,C4B,C4A,PDZK1,GPD1,SMOC1,SLC7A9,NR1H3,SOX5,PCK1,GBE1,VWCE,WNT3,NIPSNAP1,RPRD1B,SEC16B,SHFL,PTMS,PLPPR1,EPHA3,SLC25A25,RARB,MREG,GCH1,CLUH,ZIC4,ASXL1,HSPD1,NEK6,LRP1,SRSF6,MRPS28,SLC7A7,AKT2,MYH10,PAN2,LTB4R2,ZBTB18,LMAN2,PATZ1,TOMM70,FKBP5,SERPINF1,HSPE1,ADRB2,SLC34A1,PDIA4,MPC2,PPARA,RNF5,DNAJA2
CTGYNNCTYTAA_UNKNOWN	CTGYNNCTYTAA_UNKNOWN	0.0005447939874731	83	30	ZNF462,INPPL1,BTBD3,CDC14A,IVNS1ABP,DGLUCY,GPR158,TUG1,PELI2,ITGA3,ZBTB22,PRDM1,PMP22,MEF2D,CLN3,MECOM,CERCAM,NLGN2,MFRP,NR3C2,DAB2IP,GJC1,PLP1,FIBIN,PHOX2B,CDK15,IRAG1,PDPN,PRPH,OSR2
SEF1_C	SEF1_C	0.0037370986810232	6	5	MEIS2,SLC6A7,LIMK2,SPRYD3,POU3F3
SRF_Q5_01	SRF_Q5_01	6.6275603988e-06	211	57	YBX3,RAI2,MITF,PDLIM7,FOXO4,CIPC,TAGLN,ITGB1BP2,DSTN,MYLK,NRXN3,PPP2R3A,XK,TRIM3,NPPA,KCNA1,PHF12,RHOJ,TPM2,PADI2,CSRP1,HOXB5,MAP2K6,SVIL,CXCL5,MYL9,GPR20,NFATC4,DIXDC1,MYL6,MAP1A,TGFB1I1,LPP,VCL,ELAVL4,CACNA1B,NKX2-2,FGF7,NPAS4,IL17B,CD248,HOXD10,PCDH7,PRUNE2,ASB2,BNC2,MYH11,FOXP2,PLN,DLL1,CNN1,ACTC1,FLNC,MRGPRF,SERTAD4,RIMS1,ACTG2
