Heatmap_Rank,term_id,term_name,p_value,term_size,intersection_size,intersection,Input_Order,Pathway_Gene_Source,Pathway_Gene_Count,Filtered,Versus,Versus Name,Result,Reciprocal pvalue,DEGs in Intersection,Is Reciprocal,GSEA_Rank,Neg_Log10_P,Pathway_Label_Clean,Pathway_Label,Heatmap_Cluster_Rank
1,REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA,REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA,1e-10,69,57,"IGHV1-46,IGHV1-69,IGLV3-21,IGHV4-34,IGKV1D-16,IGKV1-5,IGHV4-39,IGLV1-44,IGKV1D-39,IGKV1D-33,IGKV1-39,IGKV4-1,IGKV1-17,IGHV1-2,IGLV3-19,IGLV3-25,IGKV1-16,IGKV3-20,IGHV3-48,IGLV1-47,IGHV3-23,IGLV3-27,IGKV2D-30,IGKV2-30,IGHV3-11,IGKV3-15,IGHV3-30,IGHV3-33,IGHV4-59,IGLV3-1,IGHV3-13,IGKV3D-20,IGKV2-28,IGKV1-33,IGHV2-5,IGLV1-51,IGHV3-7,IGKV2D-28,IGKV3-11,IGLV2-11,IGLV2-14,IGLC3,IGLV2-23,IGLC2,IGKV5-2,IGLV6-57,IGLV7-43,IGLV2-8,IGLV1-40,IGKV1D-12,IGKV1-12,IGHA1,IGHA2,JCHAIN,HBA2,HBA1,HBB",0,GMT,69,keep,REACTOME_CD22_MEDIATED_BCR_REGULATION,REACTOME_CD22_MEDIATED_BCR_REGULATION,1.46e-05,0.0166,51,True,1,10.0,SCAVENGING OF HEME FROM PLASMA,SCAVENGING OF HEME FROM PLASMA,1
2,REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,1e-10,100,62,"COLEC12,IGHV1-46,IGHV1-69,IGLV3-21,IGHV4-34,IGKV1D-16,IGKV1-5,IGHV4-39,IGLV1-44,IGKV1D-39,IGKV1D-33,IGKV1-39,IGKV4-1,IGKV1-17,IGHV1-2,IGLV3-19,IGLV3-25,IGKV1-16,IGKV3-20,IGHV3-48,IGLV1-47,IGHV3-23,IGLV3-27,STAB1,IGKV2D-30,IGKV2-30,IGHV3-11,CD36,IGKV3-15,IGHV3-30,IGHV3-33,IGHV4-59,IGLV3-1,IGHV3-13,IGKV3D-20,IGKV2-28,IGKV1-33,IGHV2-5,IGLV1-51,IGHV3-7,IGKV2D-28,IGKV3-11,IGLV2-11,IGLV2-14,STAB2,IGLC3,IGLV2-23,IGLC2,IGKV5-2,IGLV6-57,IGLV7-43,IGLV2-8,IGLV1-40,IGKV1D-12,IGKV1-12,IGHA1,IGHA2,JCHAIN,SCARA5,HBA2,HBA1,HBB",24,GMT,102,exclude,REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA,REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA,5.79e-11,1.0,57,False,25,10.0,BINDING AND UPTAKE OF LIGANDS BY SCAVENGER RECEPTORS,"BINDING AND UPTAKE OF LIGANDS BY SCAVENGER
RECEPTORS",2
3,REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,1e-10,181,110,"HLA-B,LILRB1,IGHV2-70,FCGR2B,NCR1,COL2A1,SLAMF6,HLA-A,HLA-G,HLA-F,TRBV12-3,ITGA4,HCST,CD1C,NCR3,HLA-C,SIGLEC11,JAML,HLA-E,COLEC12,KLRD1,IGHV1-46,IGHV1-69,TRAV19,IGLV3-21,COL17A1,CD40LG,KLRF1,CD226,IGHV4-34,TRBV7-9,CD3G,CLEC2D,SH2D1B,IGKV1D-16,CD3D,IGKV1-5,CD247,IGHV4-39,IGLV1-44,MADCAM1,IGKV1D-39,IGKV1D-33,SIGLEC1,IGKV1-39,IGKV4-1,CD19,IGKV1-17,IGHV1-2,IGLV3-19,IGLV3-25,CD8B,CD200R1,IGKV1-16,CD22,ICAM3,IGKV3-20,IGHV3-48,IGLV1-47,IGHV3-23,IGLV3-27,IGKV2D-30,IGKV2-30,IGHV3-11,CRTAM,KIR3DL2,IGKV3-15,IGHV3-30,IGHV3-33,IGHV4-59,LILRB5,B2M,IGLV3-1,CD1D,LILRA4,CD3E,KLRK1,IGHV3-13,IGKV3D-20,IGKV2-28,IGKV1-33,IGHV2-5,KLRC1,IGLV1-51,IGHV3-7,IGKV2D-28,CD96,ITGB7,KLRB1,SIGLEC8,IGKV3-11,IGLV2-11,IGLV2-14,CD8A,IGLC3,CD160,IGLV2-23,IGLC2,IGKV5-2,IGLV6-57,IGLV7-43,SLAMF7,IGLV2-8,IGLV1-40,IGKV1D-12,ITGAL,IGKV1-12,KIR2DL4,PIANP,SIGLEC6",30,GMT,191,keep,REACTOME_CD22_MEDIATED_BCR_REGULATION,REACTOME_CD22_MEDIATED_BCR_REGULATION,7.66e-14,0.000407,53,True,31,10.0,IMMUNOREGULATORY INTERACTIONS BETWEEN A LYMPHOID AND A NON LYMPHOID CELL,"IMMUNOREGULATORY INTERACTIONS BETWEEN A
LYMPHOID AND A NON LYMPHOID CELL",3
4,REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS,REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS,1e-10,69,52,"IGHV1-46,IGHV1-69,IGLV3-21,IGHV4-34,IGKV1D-16,IGKV1-5,IGHV4-39,IGLV1-44,IGKV1D-39,IGKV1D-33,IGKV1-39,IGKV4-1,IGKV1-17,IGHV1-2,IGLV3-19,IGLV3-25,IGKV1-16,IGKV3-20,IGHV3-48,IGLV1-47,IGHV3-23,IGLV3-27,IGKV2D-30,IGKV2-30,IGHV3-11,IGKV3-15,IGHV3-30,IGHV3-33,IGHV4-59,IGLV3-1,IGHV3-13,IGKV3D-20,IGKV2-28,IGKV1-33,IGHV2-5,IGLV1-51,IGHV3-7,IGKV2D-28,IGKV3-11,IGLV2-11,IGLV2-14,MASP2,IGLC3,IGLV2-23,IGLC2,IGKV5-2,IGLV6-57,IGLV7-43,IGLV2-8,IGLV1-40,IGKV1D-12,IGKV1-12",3,GMT,71,keep,REACTOME_CD22_MEDIATED_BCR_REGULATION,REACTOME_CD22_MEDIATED_BCR_REGULATION,4.88e-12,0.0166,51,True,4,10.0,CREATION OF C4 AND C2 ACTIVATORS,CREATION OF C4 AND C2 ACTIVATORS,4
5,REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT,REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT,1e-10,77,54,"IGHV1-46,IGHV1-69,IGLV3-21,IGHV4-34,IGKV1D-16,IGKV1-5,IGHV4-39,IGLV1-44,IGKV1D-39,IGKV1D-33,IGKV1-39,IGKV4-1,IGKV1-17,IGHV1-2,IGLV3-19,IGLV3-25,IGKV1-16,IGKV3-20,IGHV3-48,IGLV1-47,IGHV3-23,IGLV3-27,IGKV2D-30,IGKV2-30,IGHV3-11,IGKV3-15,IGHV3-30,IGHV3-33,IGHV4-59,IGLV3-1,IGHV3-13,IGKV3D-20,IGKV2-28,IGKV1-33,IGHV2-5,IGLV1-51,GZMM,IGHV3-7,IGKV2D-28,IGKV3-11,IGLV2-11,IGLV2-14,MASP2,IGLC3,IGLV2-23,IGLC2,IGKV5-2,IGLV6-57,IGLV7-43,IGLV2-8,IGLV1-40,IGKV1D-12,IGKV1-12,CFD",6,GMT,80,exclude,REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS,REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS,0.0044,1.0,52,False,7,10.0,INITIAL TRIGGERING OF COMPLEMENT,INITIAL TRIGGERING OF COMPLEMENT,5
6,REACTOME_COMPLEMENT_CASCADE,REACTOME_COMPLEMENT_CASCADE,1e-10,109,59,"IGHV1-46,IGHV1-69,IGLV3-21,ELANE,IGHV4-34,C8G,IGKV1D-16,IGKV1-5,IGHV4-39,IGLV1-44,IGKV1D-39,IGKV1D-33,IGKV1-39,IGKV4-1,CD19,IGKV1-17,IGHV1-2,IGLV3-19,IGLV3-25,IGKV1-16,CR2,IGKV3-20,IGHV3-48,IGLV1-47,IGHV3-23,IGLV3-27,C7,IGKV2D-30,IGKV2-30,IGHV3-11,IGKV3-15,IGHV3-30,IGHV3-33,IGHV4-59,IGLV3-1,IGHV3-13,IGKV3D-20,IGKV2-28,IGKV1-33,IGHV2-5,IGLV1-51,GZMM,IGHV3-7,IGKV2D-28,IGKV3-11,IGLV2-11,IGLV2-14,MASP2,IGLC3,IGLV2-23,IGLC2,IGKV5-2,IGLV6-57,IGLV7-43,IGLV2-8,IGLV1-40,IGKV1D-12,IGKV1-12,CFD",14,GMT,115,exclude,REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS,REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS,1.2e-09,1.0,52,False,15,10.0,COMPLEMENT CASCADE,COMPLEMENT CASCADE,6
7,REACTOME_CD22_MEDIATED_BCR_REGULATION,REACTOME_CD22_MEDIATED_BCR_REGULATION,1e-10,61,55,"IGHV1-46,IGHV1-69,IGLV3-21,IGHV4-34,IGKV1D-16,IGKV1-5,IGHV4-39,IGLV1-44,IGKV1D-39,IGKV1D-33,IGKV1-39,IGKV4-1,IGKV1-17,IGHV1-2,IGLV3-19,IGLV3-25,IGKV1-16,CD22,IGKV3-20,IGHV3-48,IGHM,IGLV1-47,IGHV3-23,IGLV3-27,IGKV2D-30,IGKV2-30,CD79B,IGHV3-11,IGKV3-15,IGHV3-30,IGHV3-33,IGHV4-59,IGLV3-1,IGHV3-13,IGKV3D-20,IGKV2-28,IGKV1-33,IGHV2-5,IGLV1-51,IGHV3-7,IGKV2D-28,IGKV3-11,IGLV2-11,IGLV2-14,IGLC3,IGLV2-23,IGLC2,IGKV5-2,IGLV6-57,IGLV7-43,IGLV2-8,IGLV1-40,IGKV1D-12,IGKV1-12,CD79A",1,GMT,61,keep,itself,,1.0,0.0,0,True,2,10.0,CD22 MEDIATED BCR REGULATION,CD22 MEDIATED BCR REGULATION,7
8,REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,1e-10,86,67,"NCK1,IGHV1-46,IGHV1-69,IGLV3-21,BLNK,GRB2,IGHV4-34,IGKV1D-16,IGKV1-5,SH3KBP1,IGHV4-39,IGLV1-44,IGKV1D-39,IGKV1D-33,VAV1,IGKV1-39,IGKV4-1,CD19,IGKV1-17,IGHV1-2,IGLV3-19,IGLV3-25,IGKV1-16,CD22,IGKV3-20,IGHV3-48,IGHM,IGLV1-47,IGHV3-23,IGLV3-27,IGKV2D-30,IGKV2-30,CD79B,IGHV3-11,PIK3CD,BTK,IGKV3-15,IGHV3-30,IGHV3-33,IGHV4-59,IGLV3-1,BLK,IGHV3-13,IGKV3D-20,IGKV2-28,IGKV1-33,IGHV2-5,IGLV1-51,IGHV3-7,IGKV2D-28,IGKV3-11,IGLV2-11,IGLV2-14,IGLC3,IGLV2-23,IGLC2,IGKV5-2,IGLV6-57,IGLV7-43,CALM1,IGLV2-8,IGLV1-40,IGKV1D-12,IGKV1-12,CD79A,PLCG2,STIM1",2,GMT,86,exclude,REACTOME_CD22_MEDIATED_BCR_REGULATION,REACTOME_CD22_MEDIATED_BCR_REGULATION,5.81e-05,1.0,55,False,3,10.0,ANTIGEN ACTIVATES B CELL RECEPTOR BCR LEADING TO GENERATION OF SECOND MESSENGERS,"ANTIGEN ACTIVATES B CELL RECEPTOR BCR LEADING
TO GENERATION OF SECOND MESSENGERS",8
9,REACTOME_FCGR_ACTIVATION,REACTOME_FCGR_ACTIVATION,1e-10,69,53,"IGHV1-46,IGHV1-69,IGLV3-21,IGHV4-34,CD3G,IGKV1D-16,IGKV1-5,CD247,IGHV4-39,IGLV1-44,IGKV1D-39,IGKV1D-33,IGKV1-39,IGKV4-1,IGKV1-17,IGHV1-2,IGLV3-19,IGLV3-25,IGKV1-16,IGKV3-20,IGHV3-48,IGLV1-47,IGHV3-23,IGLV3-27,IGKV2D-30,IGKV2-30,IGHV3-11,IGKV3-15,IGHV3-30,IGHV3-33,IGHV4-59,IGLV3-1,IGHV3-13,IGKV3D-20,IGKV2-28,IGKV1-33,IGHV2-5,IGLV1-51,IGHV3-7,IGKV2D-28,IGKV3-11,IGLV2-11,IGLV2-14,IGLC3,IGLV2-23,IGLC2,IGKV5-2,IGLV6-57,IGLV7-43,IGLV2-8,IGLV1-40,IGKV1D-12,IGKV1-12",8,GMT,69,exclude,REACTOME_CD22_MEDIATED_BCR_REGULATION,REACTOME_CD22_MEDIATED_BCR_REGULATION,1.64e-08,0.102,51,False,9,10.0,FCGR ACTIVATION,FCGR ACTIVATION,9
10,REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS,REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS,1e-10,93,60,"IGHV1-46,IGHV1-69,IGLV3-21,IGHV4-34,CD3G,IGKV1D-16,IGKV1-5,CD247,IGHV4-39,IGLV1-44,IGKV1D-39,IGKV1D-33,IGKV1-39,IGKV4-1,IGKV1-17,IGHV1-2,IGLV3-19,IGLV3-25,IGKV1-16,IGKV3-20,IGHV3-48,IGLV1-47,IGHV3-23,IGLV3-27,IGKV2D-30,IGKV2-30,IGHV3-11,IGKV3-15,IGHV3-30,IGHV3-33,IGHV4-59,PRKAR2B,IGLV3-1,PRKACB,ADCY6,IGHV3-13,IGKV3D-20,IGKV2-28,IGKV1-33,IGHV2-5,IGLV1-51,IGHV3-7,IGKV2D-28,IGKV3-11,IGLV2-11,IGLV2-14,IGLC3,IGLV2-23,IGLC2,IGKV5-2,IGLV6-57,IGLV7-43,CALM1,IGLV2-8,IGLV1-40,IGKV1D-12,ADCY5,IGKV1-12,PLCG2,ADCY9",10,GMT,95,exclude,REACTOME_CD22_MEDIATED_BCR_REGULATION,REACTOME_CD22_MEDIATED_BCR_REGULATION,7.93e-13,0.102,51,False,11,10.0,FCGR3A MEDIATED IL10 SYNTHESIS,FCGR3A MEDIATED IL10 SYNTHESIS,10
