term_id	term_name	p_value	term_size	intersection_size	intersection
GOMF_ANTIGEN_BINDING	GOMF_ANTIGEN_BINDING	1e-10	161	117	HLA-DRB1,HLA-DMA,HLA-DQB2,GP2,HLA-DMB,HLA-DPA1,TRBV28,HLA-B,IGHV2-70,IGHE,IGHD,IGHV5-10-1,IGHV3-35,HLA-A,HLA-G,HLA-DPB1,CLEC4M,HLA-F,TRBV12-3,ITGA4,CD1C,HLA-DOA,IGHV1-69-2,HLA-C,TRAV12-1,HLA-E,IGHV3-38,KLRD1,IGHV3-73,IGHV1-69,ABO,IGHV2-26,TRAV19,IGLV3-21,HLA-DQA1,IGHV1-69D,IGHV4-34,IGHV1-45,TRBV7-9,IGHV5-51,FCGRT,IGHV3-72,IGHV4-4,CD209,IGKV1-5,IGHV3-21,IGHV4-61,IGHV4-39,IGLV1-44,IGHV3-16,IGKV1D-39,IGKV1D-33,SLAMF1,IGHV3-64D,HLA-DOB,IGHV3-43,IGKV1-39,IGHV3-20,IGKV4-1,IGHV1-3,IGKV1-17,IGHV4-28,IGLV3-19,IGLV3-25,IGKV1-16,IGHV3-66,IGHV6-1,IGKV3-20,IGHV3-48,IGHM,IGLV1-47,TRGV9,IGHV3-23,IGLV3-27,IGKV2-30,IGHV3-11,IGKV3-15,LAG3,IGHV3-15,IGHV3-30,IGHV3-33,IGHV4-59,B2M,IGLV3-1,CD1D,IGHV1-18,IGHV1-58,TRGV3,IGLC1,IGHV3-13,IGHV3-49,IGHV3-74,IGLL5,IGLC7,IGKC,IGHV2-5,KLRC1,IGLV1-51,IGHV3-7,IGKV2D-28,IGHV3-64,IGLV2-11,KLRC2,IGLV2-14,IGLC3,IGLV2-23,IGLC2,IGKV5-2,IGLV6-57,IGLV7-43,IGLV2-8,IGLV1-40,IGKV1D-12,IGHA1,IGHA2,IGHV7-4-1,JCHAIN
GOMF_ATP_DEPENDENT_ACTIVITY_ACTING_ON_DNA	GOMF_ATP_DEPENDENT_ACTIVITY_ACTING_ON_DNA	1e-10	112	73	XRCC2,DSCC1,MCM6,RFC3,RAD54B,HELLS,RUVBL1,RFC4,DNA2,ERCC6L,TWNK,XRCC5,ASCC3,DHX9,G3BP1,MORC2,BLM,RAD54L,MSH2,MCM3,RECQL4,CHTF18,ATAD5,MSH6,CDK7,CHD4,POLQ,TOP2A,MCM8,MCM2,MRE11,DHX36,MSH5,RFC2,RAD51C,DDX11,ERCC3,ZRANB3,SMARCA4,BRIP1,RTEL1,RECQL,MCM7,RAD54L2,PMS1,NAV2,MCM4,RAD51D,RAD51,RAD51B,ZGRF1,SMARCAD1,ERCC2,RUVBL2,TTF2,CHD6,CHD7,RAD50,PMS2,ATRX,SMARCA5,WRNIP1,DHX30,UPF1,MCM5,MLH1,FANCM,HLTF,RFC5,PIF1,SMARCAL1,DDX1,RFC1
GOMF_DNA_HELICASE_ACTIVITY	GOMF_DNA_HELICASE_ACTIVITY	1e-10	63	47	DSCC1,MCM6,RFC3,RUVBL1,RFC4,DNA2,ERCC6L,TWNK,XRCC5,ASCC3,DHX9,G3BP1,BLM,RAD54L,MCM3,RECQL4,CHTF18,POLQ,MCM8,MCM2,MRE11,DHX36,RFC2,DDX11,ERCC3,ZRANB3,BRIP1,RTEL1,RECQL,MCM7,RAD54L2,NAV2,MCM4,RAD51,ZGRF1,SMARCAD1,ERCC2,RUVBL2,RAD50,ATRX,WRNIP1,DHX30,UPF1,MCM5,FANCM,RFC5,PIF1
GOMF_NUCLEIC_ACID_CONFORMATION_ISOMERASE_ACTIVITY	GOMF_NUCLEIC_ACID_CONFORMATION_ISOMERASE_ACTIVITY	1e-10	153	89	DSCC1,MCM6,RFC3,DDX10,RAD54B,HELLS,DDX21,RUVBL1,RFC4,DDX18,DDX47,DDX31,DDX52,DNA2,ERCC6L,TWNK,XRCC5,ASCC3,DHX9,G3BP1,DDX56,BLM,RAD54L,MCM3,DDX27,RECQL4,CHTF18,EIF4A1,DHX37,DDX19A,DDX20,TOP1MT,DHX34,POLQ,DHX57,TOP2A,HELZ2,MCM8,MCM2,DDX39A,MRE11,DHX36,RFC2,DDX11,DDX55,ERCC3,ZRANB3,SMARCA4,BRIP1,RTEL1,RECQL,MCM7,RAD54L2,NAV2,MCM4,DHX33,DDX54,DDX50,RAD51,DHX8,DDX39B,FXR1,ZGRF1,TOP1,SMARCAD1,ERCC2,RUVBL2,TTF2,SNRNP200,DHX15,RAD50,ATRX,DHX35,SMARCA5,MOV10L1,WRNIP1,EIF4A3,DHX30,UPF1,MCM5,DDX23,FANCM,HLTF,DDX28,RFC5,DDX46,PIF1,DDX49,SMARCAL1
GOMF_NUCLEOCYTOPLASMIC_CARRIER_ACTIVITY	GOMF_NUCLEOCYTOPLASMIC_CARRIER_ACTIVITY	3.508513e-10	34	23	CSE1L,XPO5,IPO7,KPNA2,IPO11,KPNA3,RAN,IPO4,XPO4,NUTF2,HIKESHI,IPO5,XPO1,KPNB1,IPO9,NUP42,TNPO2,CALR,KPNA4,TNPO1,TNPO3,KPNA1,RANBP17
GOMF_CATALYTIC_ACTIVITY_ACTING_ON_RNA	GOMF_CATALYTIC_ACTIVITY_ACTING_ON_RNA	1e-10	408	213	STK31,PUS7,GARS1,PNPT1,IARS1,RPP40,CPSF3,POLR2K,DDX10,METTL5,EXO1,METTL1,PRIM2,DARS1,POP1,NOP2,DDX21,TGS1,EXOSC8,PTRH1,POLR1B,AZGP1,NAT10,FTSJ1,DIMT1,DDX18,VARS1,DDX47,RNASEH2A,DDX31,EXOSC3,POLR1A,RCL1,EXOSC5,POLR3K,DDX52,PUS1,EXOSC2,REXO2,AGO2,POLR1C,DHX9,TFB1M,YARS1,G3BP1,DDX56,EXOSC7,RLIG1,LACTB2,PUS3,RPUSD4,TRMT61B,FEN1,SND1,NOB1,POLR1H,ADAT1,DIS3,DDX27,PRIM1,YARS2,EIF4A1,DUS4L,DHX37,QTRT2,TRMT11,XRN2,HENMT1,TARS1,CDK5RAP1,DDX19A,AARS1,GTPBP3,DDX20,EARS2,TFB2M,DHX34,DHX57,DTD1,MRM2,EXOSC4,RARS1,ADAT2,HELZ2,BUD23,THUMPD2,DDX39A,TARS2,DHX36,NSUN5,TRNT1,METTL6,POLR3C,KARS1,TRMT10C,FARSB,TARBP1,FARSA,ISG20L2,POLR1D,POLR3F,TYW1,DDX55,TRIT1,TRMT1,EPRS1,CDKAL1,POLR3G,MARS1,RAD54L2,DHX33,TSEN2,DDX54,METTL8,DDX50,WARS1,ANGEL1,GATC,QTGAL,METTL2B,EXOSC9,FBL,POLR2C,RNASEH1,DHX8,DUS3L,APEX1,POLR2B,DDX39B,LARS1,POP7,PAN3,EXOSC6,PARN,FXR1,DBR1,DXO,TRMT61A,MRPL58,TUT1,NSUN4,EXOSC1,CARS2,CRCP,SNRNP200,ETF1,DHX15,NARS2,POLR2L,NSUN2,MED21,SPOUT1,ERI1,CARS1,CMTR1,RPP30,RNASE2,DTD2,TRUB1,DHX35,POLR3A,THUMPD3,MOV10L1,EIF4A3,MEPCE,DCPS,DHX30,PIWIL1,MYG1,RPP21,PTRH2,UPF1,DROSHA,PUSL1,WARS2,TRMT5,DDX23,TRUB2,FANCM,RNGTT,JMJD6,AARSD1,RIDA,EMG1,GGT5,DDX28,MARS2,PIWIL4,TYW5,DDX46,PIF1,DDX49,TYW2,FTO,FTSJ3,RPP25,POLR2I,OSGEPL1,POLR2E,ANKZF1,MED20,DDX1,VARS2,ZCCHC4,RNMT,ALKBH3,ERI3,DIS3L2,POLR2F,DHX40,AARS2,METTL3,DDX51
GOMF_CATALYTIC_ACTIVITY_ACTING_ON_A_TRNA	GOMF_CATALYTIC_ACTIVITY_ACTING_ON_A_TRNA	1e-10	151	80	PUS7,GARS1,IARS1,RPP40,METTL1,DARS1,POP1,PTRH1,NAT10,FTSJ1,VARS1,PUS1,YARS1,PUS3,RPUSD4,TRMT61B,ADAT1,YARS2,DUS4L,QTRT2,TRMT11,TARS1,CDK5RAP1,AARS1,GTPBP3,EARS2,DTD1,RARS1,ADAT2,THUMPD2,TARS2,TRNT1,METTL6,KARS1,TRMT10C,FARSB,TARBP1,FARSA,TYW1,TRIT1,TRMT1,EPRS1,CDKAL1,MARS1,TSEN2,METTL8,WARS1,GATC,QTGAL,METTL2B,DUS3L,LARS1,POP7,TRMT61A,MRPL58,CARS2,ETF1,NARS2,NSUN2,CARS1,RPP30,DTD2,TRUB1,THUMPD3,RPP21,PTRH2,PUSL1,WARS2,TRMT5,TRUB2,AARSD1,GGT5,MARS2,TYW5,TYW2,FTO,RPP25,OSGEPL1,ANKZF1,VARS2
GOMF_OXIDOREDUCTION_DRIVEN_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOMF_OXIDOREDUCTION_DRIVEN_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1.0840322e-09	64	45	MT-ND3,MT-ND4,MT-CO3,NDUFB2,NDUFV3,CYB561D2,UQCRH,CYC1,NDUFA12,MT-ND1,NDUFA9,COX6B1,COX7B,MT-CO1,SURF1,NDUFB7,NDUFS4,NDUFB10,NDUFA2,NDUFC1,MT-ND5,CYB561D1,NDUFS3,MT-ND6,COX8A,NDUFV2,COX4I1,NDUFA5,COX5B,NDUFS1,COX5A,NDUFA1,CYBRD1,UQCR10,NDUFB1,NDUFB8,NDUFA6,NDUFS2,NDUFV1,NDUFS7,NDUFA10,UQCRFS1,UQCRC1,NNT,CYB561A3
GOMF_UNFOLDED_PROTEIN_BINDING	GOMF_UNFOLDED_PROTEIN_BINDING	1e-10	107	53	UGGT2,PFDN6,PFDN4,GRPEL2,CCT6A,CCT4,PFDN2,HSPE1,CCT2,DNAJA1,HSP90AB1,NPM1,CCT3,SERPINH1,UGGT1,PDRG1,HSPD1,PPIA,CHAF1B,CCT7,TMEM67,CCT8,HSPA5,TRAP1,CCT5,HEATR3,CDC37,TCP1,CALR,SRSF10,HSPA8,NUDC,CANX,VBP1,NAP1L4,TOMM20,NUDCD3,TIMM10B,HSP90AA1,DNAJB11,DNAJA3,PPIB,HYOU1,CCT6B,PTGES3,HSP90B1,RUVBL2,PFDN1,AHSA1,NACA,SHQ1,CHAF1A,DNAJB6
GOMF_STRUCTURAL_CONSTITUENT_OF_NUCLEAR_PORE	GOMF_STRUCTURAL_CONSTITUENT_OF_NUCLEAR_PORE	3.04055852e-08	23	21	NUP107,NUP35,NUP58,NUP188,NUP205,NUTF2,NUP160,NUP93,NUP155,NUP98,NUP54,NUP133,NUP85,NUP153,TPR,POM121C,NUP62,NUP62CL,POM121,NDC1,NUP214
GOMF_TRNA_BINDING	GOMF_TRNA_BINDING	1.620047e-10	81	41	XPOT,SSB,IARS1,XPO5,EIF5B,METTL1,PTRH1,NAT10,PUS1,YARS1,CTU2,RPUSD4,EIF2S3,YARS2,TRMT11,TARS1,EIF2S3B,AARS1,EARS2,DTD1,RARS1,ELP1,RPL35A,EIF1AX,TRNT1,PTCD1,KARS1,TRMT10C,TARBP1,FARSA,TRMT1,MARS1,YRDC,CTU1,HSD17B10,EIF2A,EEFSEC,NSUN2,CARS1,DTD2,THUMPD3
GOMF_CATALYTIC_ACTIVITY_ACTING_ON_DNA	GOMF_CATALYTIC_ACTIVITY_ACTING_ON_DNA	1e-10	241	136	XRCC2,DSCC1,MCM6,NME1,AEN,RFC3,RAD54B,EXO1,HELLS,DKC1,RUVBL1,RFC4,POLB,DNA2,POLA1,ERCC6L,DCLRE1B,TWNK,REXO2,XRCC5,ASCC3,DHX9,ALKBH2,G3BP1,MORC2,BLM,RAD54L,FEN1,MSH2,MCM3,SND1,POLE2,POLE3,RECQL4,CHTF18,DNMT1,MPG,NEIL3,ATAD5,APLF,MSH6,TOP1MT,CDK7,PDS5B,CHD4,POLQ,TOP2A,MCM8,MCM2,MRE11,DHX36,MSH5,XRCC1,RFC2,RAD51C,DDX11,NTHL1,POLM,ERCC3,ZRANB3,SMARCA4,BRIP1,LIG3,RTEL1,RECQL,MCM7,RAD54L2,PMS1,NAV2,MCM4,PCNA,RAD51D,DNASE1,DCLRE1A,TDP1,BIVM,LIG1,RAD51,APEX1,ERCC1,HMGA1,DNMT3B,RAD51B,MGME1,CHRAC1,ERCC4,ZGRF1,TOP1,SMARCAD1,PTGES3,NEIL2,ERCC2,RUVBL2,EME1,TTF2,CHD6,CHD7,MGMT,RAD50,PMS2,MAP1S,ATRX,SMARCA5,WRNIP1,POLD1,RPS3,DHX30,UPF1,MCM5,TERF1,MLH1,FANCM,HLTF,HMGA2,RFC5,PIF1,FTO,SMARCAL1,POLD3,DDX1,SETMAR,RFC1,CRY1,ALKBH3,RAG1,XRCC6,XRCC3,ERCC5,TERF2,EXOG,DCLRE1C,DNASE1L1,RBBP4,CECR2,DNASE1L2,POLG2
GOMF_SNORNA_BINDING	GOMF_SNORNA_BINDING	1.17840273e-07	30	19	BYSL,NUFIP1,NOP58,WDR3,DDX21,DKC1,RRP9,PRKDC,XRCC5,HEATR1,UTP25,DHX37,NOP14,NHP2,NUDT5,UTP6,NOP56,NUDT1,GAR1
GOMF_NUCLEAR_IMPORT_SIGNAL_RECEPTOR_ACTIVITY	GOMF_NUCLEAR_IMPORT_SIGNAL_RECEPTOR_ACTIVITY	2.262671556e-07	22	15	IPO7,KPNA2,IPO11,KPNA3,IPO4,NUTF2,HIKESHI,IPO5,KPNB1,IPO9,TNPO2,KPNA4,TNPO1,TNPO3,KPNA1
GOMF_DAMAGED_DNA_BINDING	GOMF_DAMAGED_DNA_BINDING	2.37851969e-08	73	47	BRCA1,POLB,RAD1,DCLRE1B,XRCC5,HMGB1,NBN,POT1,BLM,FEN1,MSH2,RECQL4,RAD18,MPG,NEIL3,MSH6,RAD23B,RPA3,POLQ,FANCG,XRCC1,NTHL1,ERCC3,CUL4B,H2AX,PCNA,DCLRE1A,RAD23A,APEX1,ERCC1,PARP2,ERCC4,NEIL2,ERCC2,DDB1,POLD1,RPS3,APTX,AUNIP,PARP1,SDE2,XRCC6,HMGB2,ERCC5,RPA2,ZNF432,DCLRE1C
GOMF_ATP_DEPENDENT_PROTEIN_FOLDING_CHAPERONE	GOMF_ATP_DEPENDENT_PROTEIN_FOLDING_CHAPERONE	1.1319323827e-06	30	19	HSPH1,CCT6A,CCT4,CCT2,HSP90AB1,CCT3,HSPD1,CCT7,CCT8,HSPA5,TRAP1,CCT5,TCP1,HSPA8,HSP90AA1,HYOU1,CCT6B,HSPA14,HSP90B1
