"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GOBP_RIBOSOME_BIOGENESIS","GOBP_RIBOSOME_BIOGENESIS","328","0.6018241129360433","3.256288915399663","0.0000000001000000000000000","0.000000008264772727272727","0.000000005326468790074310","3818","tags=61%, list=23%, signal=48%","PNO1/BYSL/UTP20/DCAF13/PAK1IP1/URB2/SRFBP1/WDR77/RPF2/WDR75/TMA16/WDR12/MTERF3/RPP40/UTP15/DDX10/NMD3/EIF5B/METTL5/NOP58/TEX10/BRIX1/UTP4/UTP14A/WDR3/WDR43/NOP2/GTPBP4/URB1/DDX21/LYAR/DKC1/EXOSC8/NOLC1/TCOF1/WDR46/MPHOSPH10/RIOK1/NAT10/DIMT1/RRP9/RPL7L1/DDX18/NIP7/DDX47/PRKDC/RRP1/GNL2/DDX31/EXOSC3/RBIS/RCL1/LTV1/EXOSC5/DDX52/NOL8/RAN/RRP15/EXOSC2/NOL10/XRCC5/NOL6/HEATR1/UTP18/NPM1/TFB1M/DDX56/EXOSC7/SUV39H1/BOP1/MALSU1/RRS1/GNL3L/NOC4L/UTP25/UTP23/GTF3A/RPUSD4/PA2G4/TRMT61B/NOB1/NOM1/DIS3/DDX27/RPS21/EBNA1BP2/TRMT112/XPO1/DHX37/PDCD11/XRN2/NOP14/AATF/RPS7/WDR74/FASTKD2/NPM3/RPL35/NHP2/UTP6/SDAD1/CUL4A/LSG1/NLE1/PDCD2/NOP56/MAK16/UTP11/MRTO4/WDR36/HEATR3/RRP1B/TFB2M/ZNHIT6/TSR1/ZNF593/GTPBP10/MRM2/EXOSC4/BMS1/BUD23/MTG2/RPL35A/RRP36/NSUN5/AIRIM/EIF1AX/PWP1/RPL7/GAR1/RPL27/NOL11/PES1/LAS1L/ISG20L2/RIOX2/GRWD1/DDX55/WDR18/CUL4B/MPHOSPH6/CDKN2A/RPS19/NOC2L/NOL7/RPL7A/DDX54/PPAN/RRP8/DNTTIP2/REXO4/EXOSC9/FBL/ESF1/MYBBP1A/POP7/TBL3/RPL26L1/EXOSC6/RPS15/ZNHIT3/PRMT5/RPL38/NAF1/GTF2H5/ABT1/EIF2A/RPS27A/SURF6/KRI1/IMP4/NSUN4/USP36/RPS12/ERCC2/PIN4/RPL14/EXOSC1/RPS15A/RPS13/EIF6/SPOUT1/CHD7/ERI1/ABCF1/RPL24/RRP7A/RPS4X/RSL24D1/RPP30/COPRS/AFG2A/GEMIN4/RPUSD1/RBM34/EIF4A3/MPV17L2/WBP11/LSM6/DHX30/MYG1",NA
"GOBP_RRNA_PROCESSING","GOBP_RRNA_PROCESSING","233","0.6092431127852640","3.146060878746409","0.0000000001000000000000000","0.000000008264772727272727","0.000000005326468790074310","4056","tags=67%, list=24%, signal=51%","PNO1/BYSL/UTP20/DCAF13/PAK1IP1/SRFBP1/WDR77/RPF2/WDR75/WDR12/RPP40/UTP15/DDX10/METTL5/NOP58/TEX10/BRIX1/UTP4/UTP14A/WDR3/WDR43/NOP2/GTPBP4/URB1/DDX21/LYAR/DKC1/EXOSC8/NOLC1/WDR46/MPHOSPH10/RIOK1/NAT10/DIMT1/RRP9/RPL7L1/DDX18/DDX47/PRKDC/RRP1/EXOSC3/RCL1/EXOSC5/DDX52/NOL8/RRP15/EXOSC2/NOL10/NOL6/HEATR1/UTP18/TFB1M/DDX56/EXOSC7/SUV39H1/BOP1/RRS1/NOC4L/UTP25/UTP23/RPUSD4/PA2G4/TRMT61B/NOB1/DIS3/DDX27/RPS21/EBNA1BP2/TRMT112/DHX37/PDCD11/XRN2/NOP14/AATF/RPS7/WDR74/NPM3/RPL35/NHP2/UTP6/NOP56/MAK16/UTP11/MRTO4/WDR36/RRP1B/TFB2M/ZNHIT6/TSR1/MRM2/EXOSC4/BMS1/BUD23/RPL35A/RRP36/NSUN5/PWP1/RPL7/GAR1/RPL27/NOL11/PES1/LAS1L/DDX55/WDR18/MPHOSPH6/CDKN2A/RPS19/NOL7/RPL7A/DDX54/PPAN/RRP8/DNTTIP2/REXO4/EXOSC9/FBL/ESF1/POP7/TBL3/EXOSC6/RPS15/ZNHIT3/PRMT5/NAF1/GTF2H5/ABT1/KRI1/IMP4/NSUN4/USP36/ERCC2/PIN4/RPL14/EXOSC1/EIF6/SPOUT1/CHD7/ERI1/RRP7A/RPP30/COPRS/GEMIN4/RPUSD1/RBM34/EIF4A3/WBP11/LSM6/MYG1/DROSHA/KRR1/TENT4B/SLX9/SNU13/RPS25",NA
"GOBP_RRNA_METABOLIC_PROCESS","GOBP_RRNA_METABOLIC_PROCESS","285","0.5904435568285300","3.144284867882695","0.0000000001000000000000000","0.000000008264772727272727","0.000000005326468790074310","4056","tags=63%, list=24%, signal=49%","PNO1/NIFK/BYSL/UTP20/DCAF13/PAK1IP1/SRFBP1/WDR77/RPF2/WDR75/WDR12/RPP40/UTP15/POLR2K/DDX10/METTL5/NOP58/POLR1F/TEX10/BRIX1/UTP4/UTP14A/WDR3/WDR43/NOP2/GTPBP4/URB1/DDX21/LYAR/DKC1/EXOSC8/NOLC1/TCOF1/WDR46/MPHOSPH10/RIOK1/POLR1B/NAT10/DIMT1/RRP9/RPL7L1/DDX18/DDX47/PRKDC/RRP1/EXOSC3/POLR1A/RCL1/EXOSC5/DDX52/NOL8/RRP15/EXOSC2/NOL10/POLR1G/NOL6/HEATR1/POLR1C/UTP18/TFB1M/DDX56/EXOSC7/SUV39H1/BOP1/RRS1/NCL/NOC4L/UTP25/UTP23/GTF3A/RPUSD4/PA2G4/TRMT61B/NOB1/POLR1H/DIS3/DDX27/RPS21/EBNA1BP2/TRMT112/DHX37/PDCD11/XRN2/NOP14/AATF/RPS7/WDR74/NPM3/RPL35/NHP2/UTP6/GTF3C3/NOP56/GTF3C4/MAK16/POLR1E/UTP11/MYC/MRTO4/WDR36/RRP1B/TAF1B/TFB2M/ZNHIT6/TSR1/MRM2/EXOSC4/BMS1/BUD23/RPL35A/RRP36/NSUN5/PWP1/RPL7/GAR1/RPL27/DDX11/NOL11/PES1/LAS1L/POLR1D/DDX55/SMARCA4/WDR18/MPHOSPH6/MARS1/CDKN2A/RPS19/NOL7/RPL7A/DDX54/PPAN/RRP8/PELO/DNTTIP2/REXO4/EXOSC9/FBL/ESF1/POP7/TBL3/EXOSC6/RPS15/ZNHIT3/PRMT5/NAF1/GTF2H5/TOP1/ABT1/KRI1/IMP4/NSUN4/USP36/ERCC2/PIN4/RPL14/EXOSC1/POLR2L/EIF6/SPOUT1/CHD7/ERI1/IPPK/RRP7A/RPP30/COPRS/GEMIN4/RPUSD1/RBM34/EIF4A3/WBP11/LSM6/MYG1/DROSHA/KRR1/TENT4B/SLX9/SNU13/RPS25",NA
"GOBP_DNA_TEMPLATED_DNA_REPLICATION","GOBP_DNA_TEMPLATED_DNA_REPLICATION","172","0.5962652618208504","2.945806958732307","0.0000000001000000000000000","0.000000008264772727272727","0.000000005326468790074310","4692","tags=66%, list=28%, signal=48%","MCM6/BRCA2/MCM10/RFC3/CDK2/CDC6/NOC3L/E2F7/EXO1/ATR/DTL/ORC6/SSBP1/PRIM2/GINS1/BRCA1/DBF4/WDHD1/RFC4/ZPR1/POLB/ELOC/MMS22L/MCIDAS/CDC7/DNA2/TIMELESS/POLA1/TWNK/FAM111B/TICRR/GINS4/NBN/FBXO5/RFWD3/DONSON/BLM/BARD1/GINS3/FEN1/MCM3/CCNE2/POLE2/ORC5/POLE3/PRIM1/CCNE1/CDC45/RRM1/POLD2/DACH1/ATAD5/CUL4A/POLA2/CDT1/DBF4B/POLQ/TONSL/E2F8/MCM8/MCM2/MRE11/RFC2/TOPBP1/RAD51C/DDX11/ORC1/ZRANB3/ORC3/LIG3/WDR18/CUL4B/RTEL1/TIPIN/RECQL/MCM7/MCM4/PCNA/CDK2AP1/LIG1/RAD51/LRWD1/DNAJA3/TRAIP/MGME1/CHRAC1/CUL2/MCMBP/EME1/WIZ/ORC2/RAD50/DDB1/ATRX/CARM1/WRNIP1/POLD1/UPF1/NUCKS1/MCM5/TERF1/FANCM/ELOB/HLTF/TK1/PARP1/FAM111A/BCL6/SENP2/RFC5/SMARCAL1/POLD3/SETMAR/RFC1",NA
"GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS","GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS","113","0.6225718783073133","2.931073081517495","0.0000000001000000000000000","0.000000008264772727272727","0.000000005326468790074310","3445","tags=61%, list=20%, signal=49%","PNO1/BYSL/UTP20/DCAF13/SRFBP1/WDR75/RPP40/UTP15/NOP58/UTP4/UTP14A/WDR3/WDR43/WDR46/MPHOSPH10/RIOK1/NAT10/DIMT1/RRP9/PRKDC/RCL1/LTV1/DDX52/NOL10/XRCC5/NOL6/HEATR1/UTP18/NPM1/TFB1M/RRS1/NOC4L/UTP25/UTP23/NOB1/NOM1/RPS21/TRMT112/DHX37/NOP14/AATF/RPS7/UTP6/PDCD2/NOP56/UTP11/WDR36/TSR1/BMS1/RRP36/NOL11/RPS19/NOL7/DNTTIP2/FBL/TBL3/RPS15/GTF2H5/ABT1/RPS27A/SURF6/KRI1/IMP4/RPS12/ERCC2/RPS15A/RPS13/RRP7A/RPS4X",NA
"GOBP_DNA_REPLICATION","GOBP_DNA_REPLICATION","311","0.5447933210422498","2.924571808651900","0.0000000001000000000000000","0.000000008264772727272727","0.000000005326468790074310","4223","tags=55%, list=25%, signal=42%","S100A11/DSCC1/MCM6/BRCA2/MCM10/RFC3/CDK2/OBI1/JADE3/CDC6/NOC3L/E2F7/EXO1/ATR/DTL/ORC6/CHEK1/SSBP1/PRIM2/GINS1/BRCA1/GTPBP4/CDK1/DBF4/DNAJC2/WDHD1/RUVBL1/RFC4/ZPR1/POLB/ACTL6A/ELOC/MMS22L/RNASEH2A/MCIDAS/CDC7/DNA2/TIMELESS/SET/POLA1/TWNK/FAM111B/TICRR/UBE2V1/ASCC3/DHX9/CDC25A/GINS4/NBN/FBXO5/RFWD3/EREG/DONSON/BLM/BARD1/GINS3/FEN1/MSH2/MCM3/CCNE2/POLE2/ORC5/POLE3/PRIM1/RECQL4/CHTF18/CHAF1B/CCNA2/CCNE1/RAD18/CDC45/RRM1/POLD2/SSRP1/DACH1/ATAD5/CUL4A/POLA2/PCLAF/GINS2/UBE2V2/TOP1MT/CDT1/ACTR5/DBF4B/RPA3/POLQ/WEE1/DTD1/TONSL/E2F8/MCM8/MCM2/MRE11/AIRIM/NAP1L1/RFC2/NASP/TOPBP1/CACYBP/RAD51C/DDX11/GRWD1/ORC1/ZRANB3/UBE2N/SLX4/ORC3/LIG3/WDR18/CUL4B/RTEL1/TIPIN/RECQL/MAD2L2/MCM7/MCM4/PCNA/TNFAIP1/CDK2AP1/VCP/MEAF6/ESCO2/LIG1/RAD51/RNASEH1/LRWD1/DNAJA3/UCHL5/TRAIP/EHMT2/MGME1/CHRAC1/SPRTN/TOP1/USP10/TTF1/CUL2/MCMBP/SUPT16H/RUVBL2/EME1/WIZ/SMC3/RMI2/NFIX/ORC2/RAD50/AFG2A/DDB1/ATRX/CARM1/SMARCA5/WRNIP1/POLD1/RBBP6/CHAF1A/RMI1/WDR33/UPF1/RBBP7/NUCKS1/USP1/MCM5/TERF1/FANCM/ASCC1/ELOB/HLTF/FAF1/TK1/PARP1",NA
"GOBP_MATURATION_OF_SSU_RRNA","GOBP_MATURATION_OF_SSU_RRNA","73","0.6765054747386670","2.910148244988280","0.0000000001000000000000000","0.000000008264772727272727","0.000000005326468790074310","3155","tags=71%, list=19%, signal=58%","PNO1/BYSL/UTP20/DCAF13/SRFBP1/WDR75/RPP40/UTP15/NOP58/UTP4/UTP14A/WDR3/WDR43/WDR46/MPHOSPH10/RIOK1/NAT10/RRP9/RCL1/DDX52/NOL10/NOL6/HEATR1/UTP18/RRS1/NOC4L/UTP25/UTP23/NOB1/RPS21/TRMT112/DHX37/NOP14/AATF/UTP6/NOP56/UTP11/WDR36/TSR1/BMS1/RRP36/NOL11/RPS19/NOL7/DNTTIP2/FBL/TBL3/GTF2H5/ABT1/KRI1/IMP4/ERCC2",NA
"GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS","GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS","79","0.6544596977248002","2.843969210303774","0.0000000001000000000000000","0.000000008264772727272727","0.000000005326468790074310","3622","tags=66%, list=21%, signal=52%","PAK1IP1/RPF2/TMA16/WDR12/TEX10/BRIX1/NOP2/GTPBP4/URB1/RPL7L1/DDX18/NIP7/RRP15/NPM1/BOP1/MALSU1/RRS1/GTF3A/EBNA1BP2/TRMT112/WDR74/FASTKD2/RPL35/SDAD1/NLE1/MAK16/MRTO4/HEATR3/ZNHIT6/GTPBP10/MRM2/MTG2/RPL35A/AIRIM/RPL7/PES1/LAS1L/DDX55/WDR18/NOC2L/RPL7A/PPAN/RPL26L1/ZNHIT3/SURF6/NSUN4/RPL14/EIF6/RPL24/RSL24D1/AFG2A/RBM34",NA
"GOBP_RNA_LOCALIZATION","GOBP_RNA_LOCALIZATION","203","0.5606953288281104","2.838121301975825","0.0000000001000000000000000","0.000000008264772727272727","0.000000005326468790074310","3900","tags=56%, list=23%, signal=44%","XPOT/SSB/PNPT1/XPO5/NUP43/NOP58/CCT6A/ATR/RAE1/NUP107/MAGOHB/CCT4/NUP35/NUP58/DKC1/NXT1/RUVBL1/BICD1/NCBP2/NUP37/CAPRIN1/RAN/NUP188/CCT2/NUP205/HNRNPA1L2/NOL6/DHX9/NUTF2/CKAP5/CCT3/NUP160/NUP93/NUP155/NUP98/CCT7/XPO1/MEX3D/CCT8/NHP2/NUP54/NUP133/DDX19A/THOC7/HNRNPU/CCT5/HNRNPA1/KPNB1/ENY2/NUP42/PCID2/SRSF3/ZNHIT6/SEM1/AGFG1/CETN2/NUP85/SLBP/DDX39A/STAU1/DHX36/HNRNPA2B1/ALYREF/TCP1/SRSF1/SRSF7/RANBP2/GATD1/CPSF6/KHSRP/NUP153/ERH/TOMM20/IGF2BP3/AHCTF1/FBL/KHDRBS1/THOC2/THOC3/DDX39B/TPR/CHTOP/PRPF6/RANBP17/PARN/FXR1/IWS1/BORCS5/UPF3A/NAF1/NCBP1/MRPL18/POM121C/SEH1L/NUP62/MX2/RUVBL2/UPF3B/HSF1/SARNP/NSUN2/POM121/THOC6/WNK1/SMG7/SHQ1/EIF4A3/FUBP3/NDC1/MAGOH/ATXN2/CASC3/UPF1/NUP214",NA
"GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING","GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING","200","0.5494187500554217","2.810191661545317","0.0000000001000000000000000","0.000000008264772727272727","0.000000005326468790074310","3615","tags=51%, list=21%, signal=41%","BRCA2/TRIP13/E2F1/RFC3/CDK2/CDC6/SKA3/ATR/DTL/CHEK1/INTS7/CCND1/SPDL1/BRCA1/NUF2/CDK1/DBF4/MBTPS2/RFC4/MAD2L1/PRKDC/RAD1/CDC7/DNA2/TIMELESS/CLSPN/TICRR/BUB1B/SPC25/CDC5L/NBN/RFWD3/BUB1/DONSON/BLM/BARD1/TTI1/RNASEH2B/MAP3K20/MSH2/ZWILCH/IER3/ZW10/CDC45/RINT1/SPC24/TTK/CENPF/CUL4A/CHEK2/GNB1L/WDR76/MDC1/FANCD2/BIRC5/CDT1/TRIAP1/CCNB1/KNL1/MRE11/KNTC1/RFC2/PLK1/DGKZ/TOPBP1/FBXO4/ZNF207/DYNC1LI1/ORC1/BRIP1/NAE1/INCENP/TIPIN/MAD2L2/PTPN11/NDC80/PRPF19/H2AX/TELO2/MAD1L1/RAD51/CDC20/TP53BP1/TPR/CDCA8/NABP2/PROX1/AURKB/HASPIN/DYNC1I2/SKA1/LYN/EME1/CUL1/NSUN2/TRIM39/BUB3/RAD50/ZWINT/DYNLRB1/BABAM2/NEK11",NA
