"GeneID","Symbol","Ensembl","Entrez","Target_Gene","Target_Feature_ID","Correlation_Method","Correlation","P.Value","adj.P.Val","Samples_Used"
"ENSG00000087074.7","PPP1R15A","ENSG00000087074.7","23645","ATF3","ENSG00000162772.16","spearman","0.84852075951118555163788","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001746507319247393","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003523578516581615","817"
"ENSG00000123358.19","NR4A1","ENSG00000123358.19","3164","ATF3","ENSG00000162772.16","spearman","0.82053958727254394656114","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003594616359245889970194884279719761617189470","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003626069252389291488491633572484396861122863","817"
"ENSG00000113070.7","HBEGF","ENSG00000113070.7","1839","ATF3","ENSG00000162772.16","spearman","0.77343926725358813634159","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015411222733953165226278992530306885610526104207350834830656188243842346364105922","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010364047288583503627011412185958147255911445257171482178143031961074655545632369","817"
"ENSG00000128016.5","ZFP36","ENSG00000128016.5","7538","ATF3","ENSG00000162772.16","spearman","0.77075251368649200234273","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001017182086453111900099720054580065157632744058183809782346530296848192092909644542","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000513041214854788332681719952866937494221133560611409261899997134040395187396553353","817"
"ENSG00000142871.16","CYR61","ENSG00000142871.16","3491","ATF3","ENSG00000162772.16","spearman","0.76514309401417213152286","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005336854957645865466875905408867246554919653379836181811139906203299492326533543319304","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002153420975410106685237164273880296592650135675304420031842556825118233985946270318655","817"
"ENSG00000144655.14","CSRNP1","ENSG00000144655.14","64651","ATF3","ENSG00000162772.16","spearman","0.76382131485735405007631","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000038787070490021361701696252352174421331040329144533959599266419627001055178786961807720","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013042152452269681749810092575489343091907880192481277197946612883394453064545216118154","817"
"ENSG00000153234.13","NR4A2","ENSG00000153234.13","4929","ATF3","ENSG00000162772.16","spearman","0.74840879512572699994166","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000170642004875756267979726245836808032036921686620372115340227477360524742381094023266548377029705","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000049181463548119754814606922475268246593117718294352130259672774682504240712320412917686980605575","817"
"ENSG00000185022.11","MAFF","ENSG00000185022.11","23764","ATF3","ENSG00000162772.16","spearman","0.74599529609631098914235","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004771303642083237730144788141803772718404314193507278795190665726458655060889303057457478235232469","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001203263137237866475528010606171610501976716345801852747088334064430582427094944643789818709158362","817"
"ENSG00000143333.6","RGS16","ENSG00000143333.6","6004","ATF3","ENSG00000162772.16","spearman","0.74176541795489603359215","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001495148836931258324087717958303575930295035879430266558028288496263316154868645395827811916416760817","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000335162530945423710763909930386914459875859243850310597469183417264756013916972399660145873682164516","817"
"ENSG00000179388.8","EGR3","ENSG00000179388.8","1960","ATF3","ENSG00000162772.16","spearman","0.73787588672395754141320","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000267323265448371363139603040614272536249892890314612018528831626192104691039798866729010611456240568048","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000053932468804208918894954293072579181388658499290908980198513012625778464118363105017969393104621950725","817"
