"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"KEGG_MEDICUS_REFERENCE_CENPE_INTERACTION_WITH_NDC80_COMPLEX","KEGG_MEDICUS_REFERENCE_CENPE_INTERACTION_WITH_NDC80_COMPLEX","12","-0.7324960954777476","-2.572819844128004","0.0000625372686602158742901","0.0102873806946055107447","0.00439914230586993266342","2248","tags=67%, list=12%, signal=59%","SPAG5/SPC25/CENPE/NDC80/NUF2/AURKB/PPP1CA/AURKA","0.5384340963099162"
"KEGG_MEDICUS_REFERENCE_RECRUITMENT_AND_FORMATION_OF_THE_MCC","KEGG_MEDICUS_REFERENCE_RECRUITMENT_AND_FORMATION_OF_THE_MCC","10","-0.7953951361537150","-2.540467936890682","0.0000576652758623964002737","0.0102873806946055107447","0.00439914230586993266342","1560","tags=80%, list=8%, signal=74%","NDC80/BUB1/BUB1B/KNL1/AURKB/TTK/CDC20/MAD2L1","0.5573322387586460"
"KEGG_MEDICUS_REFERENCE_DEPHOSPHORYLATION_OF_KINETOCHORE","KEGG_MEDICUS_REFERENCE_DEPHOSPHORYLATION_OF_KINETOCHORE","12","-0.7198723314475154","-2.528480125725290","0.0000880374189419497052899","0.0115857243327605798772","0.00495434664755042483697","1585","tags=67%, list=8%, signal=61%","SPC25/NDC80/SKA3/NUF2/SKA1/AURKB/TTK/PPP1CA","0.5384340963099162"
"KEGG_MEDICUS_REFERENCE_ISOLEUCINE_DEGRADATION","KEGG_MEDICUS_REFERENCE_ISOLEUCINE_DEGRADATION","10","-0.7627993930218000","-2.436358122105805","0.0001662730464320335502931","0.0154306140946336607656","0.00659851805667612152650","2424","tags=70%, list=13%, signal=61%","HADHA/ACADM/ACAA1/ECHS1/ACAA2/HADH/ACADS","0.5188480777437918"
"KEGG_MEDICUS_REFERENCE_CROSSTALK_BETWEEN_EXTRINSIC_AND_INTRINSIC_APOPTOTIC_PATHWAYS","KEGG_MEDICUS_REFERENCE_CROSSTALK_BETWEEN_EXTRINSIC_AND_INTRINSIC_APOPTOTIC_PATHWAYS","15","-0.6181097486770205","-2.397847463902246","0.0002198344254986336649294","0.0154306140946336607656","0.00659851805667612152650","2874","tags=73%, list=15%, signal=62%","FASLG/APAF1/CASP10/CYCS/TNFSF10/BAX/CASP8/CASP7/BAK1/CASP3/FADD","0.5188480777437918"
"KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION","KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION","27","-0.5095026291190022","-2.392197278036913","0.0000365808067400888816713","0.0102873806946055107447","0.00439914230586993266342","2968","tags=48%, list=16%, signal=41%","MCM5/GINS4/CDC6/POLE2/CDC45/MCM2/RECQL4/GINS2/ORC1/ORC6/CDT1/GINS1/MCM4","0.5573322387586460"
"KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_OUTER_KINETOCHORE","KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_OUTER_KINETOCHORE","19","-0.5541009942364741","-2.381418330663169","0.0002017984602333907262657","0.0154306140946336607656","0.00659851805667612152650","2403","tags=58%, list=13%, signal=51%","DSN1/CENPX/INCENP/SPC25/NDC80/BIRC5/NUF2/CDCA8/ZWINT/KNL1/AURKB","0.5188480777437918"
"KEGG_MEDICUS_REFERENCE_BETA_OXIDATION","KEGG_MEDICUS_REFERENCE_BETA_OXIDATION","11","-0.7108759345668485","-2.377651803695735","0.0002480313351237276617116","0.0154306140946336607656","0.00659851805667612152650","2424","tags=64%, list=13%, signal=56%","HADHA/ACAT1/ACADM/ECHS1/ACAA2/HADH/ACADS","0.4984931087665903"
"KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION","KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION","81","0.5466155104880628","2.364647689680407","0.0000000002408371197574655","0.0000001584708248004123","0.00000006776610395988937","5491","tags=73%, list=29%, signal=52%","RPS27/RPL21/RPL10/RPL24/RPL4/RPS20/RPL7/RPL12/RPS25/RPL15/RPL10A/RPS13/RPL35/RPL35A/RPL23/RPL3/RPL14/RPL5/RPL17/RPL32/RPL22/RPL34/RPS16/RPS7/RPL38/RPL31/RPL13/RPS3A/RPS8/RPL19/RPLP1/FAU/UBA52/RPL30/RPL27/RPS27A/RPL7A/RPS15/RPS5/RPS11/RPL6/RPL37A/RPL37/RPS23/RPS15A/RPL11/RPL18A/RPS9/RPS12/RPL23A/RPS6/RPL29/RPS17/RPS24/RPS4X/RPL18/RPL27A/RPL8/RPL26","0.8140358378479079"
"KEGG_MEDICUS_REFERENCE_CHOLESTEROL_BIOSYNTHESIS","KEGG_MEDICUS_REFERENCE_CHOLESTEROL_BIOSYNTHESIS","13","-0.6118501682901613","-2.337292931959608","0.0016410021716164861250997","0.0431911771569459118636","0.01846963190261619036647","2737","tags=69%, list=14%, signal=59%","CYP51A1/MSMO1/TM7SF2/SQLE/DHCR7/NSDHL/FDFT1/DHCR24/EBP","0.4550598673872295"
"KEGG_MEDICUS_REFERENCE_CITRATE_CYCLE_SECOND_CARBON_OXIDATION_2","KEGG_MEDICUS_REFERENCE_CITRATE_CYCLE_SECOND_CARBON_OXIDATION_2","10","-0.7288395130125399","-2.327891295515220","0.0005226904191223858027471","0.0264561765986561434061","0.01131332544033720501064","2801","tags=70%, list=15%, signal=60%","SDHD/MDH2/FH/SDHB/SUCLG2/SUCLG1/SDHA","0.4772708153628621"
