"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"WP_PANCREATIC_CANCER_SUBTYPES","WP_PANCREATIC_CANCER_SUBTYPES","47","-0.6410135645959840","-3.382909318606615","0.0000000001000000000000000","0.00000004620000000000000","0.00000001807014156838996","2640","tags=60%, list=14%, signal=51%","TNS4/ANXA10/SCEL/SPINK4/TFF2/REG4/TFF1/KRT15/FGFBP1/TFF3/AGR2/VSIG2/PLA2G10/CTSV/BTNL8/DHRS9/AGR3/CEACAM6/CLRN3/CTSE/TSPAN8/FAM3D/KRT20/MYO1A/CDH17/LGALS4/PRR15L/ST6GALNAC1",NA
"WP_GLUCURONIDATION","WP_GLUCURONIDATION","24","-0.6611097834178479","-2.940244057307316","0.0000002370054695977628548","0.00001684561953141022137","0.00000658880367402202700","2024","tags=67%, list=11%, signal=60%","UGT2B11/UGT2B28/UGT2B17/UGDH/PGM1/UGT2B15/UGT1A10/UGT1A6/UGT1A1/UGT1A4/UGT1A8/UGT1A9/UGT1A7/UGT2B7/UGT2A3/UGT2B10","0.6901324587967956"
"WP_CODEINE_AND_MORPHINE_METABOLISM","WP_CODEINE_AND_MORPHINE_METABOLISM","14","-0.7716933107634578","-2.878656014073372","0.0000013532396369129810427","0.00006581018023724180663","0.00002574024401576231584","3592","tags=86%, list=19%, signal=70%","UGT2B4/ABCB1/CYP2D6/CYP2C8/CYP3A4/ABCC3/UGT1A10/UGT1A6/UGT1A1/UGT1A8/UGT1A9/UGT2B7","0.6435518361507222"
"WP_CHOLESTEROL_SYNTHESIS_DISORDERS","WP_CHOLESTEROL_SYNTHESIS_DISORDERS","18","-0.6480901176874880","-2.654221604436180","0.0000162908472598984312911","0.00045614372327715604905","0.00017841085833659537036","2737","tags=67%, list=14%, signal=57%","CYP51A1/MSMO1/MVK/FDPS/SQLE/DHCR7/HMGCS1/FDFT1/HSD3B2/HMGCR/DHCR24/EBP","0.5756102610711286"
"WP_ESTROGEN_METABOLISM_WP697","WP_ESTROGEN_METABOLISM_WP697","17","-0.6354231104757299","-2.564682593079635","0.0000985639383305469409750","0.00185863426566174245493","0.00072696502823307786612","2119","tags=65%, list=11%, signal=58%","CYP3A4/GSTA1/SULT1E1/ARSL/NQO1/SULT1A1/UGT1A6/UGT1A1/UGT1A9/UGT2B7/ARSD","0.5384340963099162"
"WP_MITOCHONDRIAL_COMPLEX_IV_ASSEMBLY","WP_MITOCHONDRIAL_COMPLEX_IV_ASSEMBLY","34","-0.5027431889895329","-2.535183889360878","0.0000077597033970768529356","0.00025607021210353612993","0.00010015638493849658643","3286","tags=53%, list=17%, signal=44%","COX6B1/COX18/COX10/COX19/COX7A2/COX8A/COX5B/HIGD1A/COX4I1/PNKD/COX6A1/MT-CO3/MT-CO2/MT-CO1/COA3/COX5A/TACO1/TMEM177","0.5933254763964051"
"WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA","WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA","105","-0.3919612433050285","-2.518598738505513","0.0000000001818088781770071","0.00000005599713447851817","0.00000002190208111365788","3342","tags=42%, list=17%, signal=35%","UCP2/NDUFS2/COX6B1/MT-ND5/NDUFS1/MT-ND6/COX7A2/SDHD/NDUFA10/MT-ND4L/NDUFB3/UQCR10/ATP5MF/MT-CYB/COX8A/ATP5F1C/COX5B/UQCRC2/UQCRQ/COX4I1/ATP5F1A/SCO1/MT-ND1/MT-ATP8/UQCRFS1/MT-ATP6/NDUFV1/SDHB/MT-ND4/COX6A1/NDUFS3/MT-CO3/ATP5F1B/SLC25A5/ATP5MC3/ATP5PB/ATP5IF1/ATP5MC1/MT-CO2/MT-CO1/UQCRC1/SDHA/NDUFA9/COX5A","0.8266573011783021"
"WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY","WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY","15","-0.6699379697817717","-2.508442964719785","0.0000515656342283876207222","0.00113444395302452773720","0.00044371348122418066045","2737","tags=67%, list=14%, signal=57%","CYP51A1/MSMO1/MVK/FDPS/SQLE/DHCR7/HMGCS1/NSDHL/FDFT1/HMGCR","0.5573322387586460"
"WP_ARYLAMINE_METABOLISM","WP_ARYLAMINE_METABOLISM","6","-0.9358356710161152","-2.502904551373735","0.0000071736395039925414117","0.00024549788524774474865","0.00009602124547980738769","665","tags=83%, list=3%, signal=80%","SULT1A1/SULT1A2/UGT1A4/UGT1A9/NAT2","0.6105268783859310"
"WP_DRUG_INDUCTION_OF_BILE_ACID_PATHWAY","WP_DRUG_INDUCTION_OF_BILE_ACID_PATHWAY","17","-0.6160418637546885","-2.486456376125671","0.0002055702852716900579880","0.00316578239318402680086","0.00123822805237124976968","3463","tags=65%, list=18%, signal=53%","SULT2A1/SLC10A1/ABCB1/CYP3A4/VDR/ABCC3/SLC51A/NR1I2/SLC51B/ABCB11/NR1H4","0.5188480777437918"
"WP_FATTY_ACID_BETAOXIDATION","WP_FATTY_ACID_BETAOXIDATION","34","-0.4906783501294034","-2.474344506996671","0.0000151143516347696312577","0.00043642690345397310405","0.00017069904609669591831","2441","tags=41%, list=13%, signal=36%","LIPC/HADHA/ACAT1/CPT1B/ACADM/GPD2/ACSL5/SLC25A20/ECHS1/DECR1/ACSS2/HADH/ACADS/CPT2","0.5933254763964051"
