"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","198","0.6471705132134635","3.060020364134804","0.0000000001000000000000000","0.000000001433333333333333","0.0000000005833439989589514","2476","tags=53%, list=13%, signal=47%","PPP1R15A/NR4A1/HBEGF/ZFP36/CCN1/NR4A2/MAFF/EGR3/IL6/SLC2A3/JUN/DUSP5/NR4A3/SIK1/BHLHE40/DUSP1/CCL2/JUNB/PTGS2/MCL1/CXCL2/SOCS3/EGR2/KLF6/KLF2/NFIL3/MAP3K8/CCNL1/GADD45B/EGR1/CLCF1/DNAJB4/RCAN1/GEM/FOS/PFKFB3/ICAM1/IER2/FOSB/FOSL1/CEBPB/PNRC1/FOSL2/BTG2/SERPINE1/IER3/PDE4B/CEBPD/TIPARP/GFPT2/PHLDA1/TNFAIP6/SPHK1/EIF1/SDC4/FJX1/DUSP4/ACKR3/RHOB/INHBA/TNFSF9/KDM6B/PER1/NFKB2/BCL6/CDKN1A/BTG3/RELA/RIPK2/KLF9/NFE2L2/MYC/PANX1/TRAF1/TSC22D1/IL6ST/NAMPT/PMEPA1/TNFAIP3/TNC/PLK2/CD44/SNN/TNFAIP2/CFLAR/CD83/TRIP10/KLF10/DENND5A/CSF1/PLPP3/PTX3/SQSTM1/REL/BCL3/IER5/GADD45A/PDLIM5/IRS2/BTG1/DRAM1/NFAT5/PLAUR/PLAU/TUBB2A",NA
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","200","0.6000743196332210","2.845563896394243","0.0000000001000000000000000","0.000000001433333333333333","0.0000000005833439989589514","3662","tags=66%, list=19%, signal=54%","CCN1/IL6/JUN/THBS1/GADD45B/TPM4/GEM/CCN2/SERPINE1/CXCL8/SDC4/TFPI2/RHOB/INHBA/FSTL3/VCAM1/MSX1/PDLIM4/THBS2/SERPINH1/TIMP1/FMOD/THY1/TNFRSF12A/GLIPR1/IGFBP4/ITGA5/VIM/MGP/GJA1/FAP/CDH11/VCAN/COL12A1/LOXL2/SPP1/FSTL1/NTM/FOXC2/COL16A1/PMEPA1/TNFAIP3/TNC/TGFBI/SPARC/PDGFRB/CD44/PMP22/DPYSL3/ENO2/SLIT2/CDH6/FBN1/CD59/MMP3/LRP1/GPC1/NID2/PRRX1/GREM1/COL4A1/LGALS1/CADM1/CALU/SGCD/TIMP3/ITGB3/BGN/COL6A2/COMP/SPOCK1/BMP1/PTX3/ECM2/NNMT/EFEMP2/SFRP4/RGS4/VEGFC/FBLN5/ITGAV/WIPF1/PTHLH/TGFB1/ITGB1/CDH2/HTRA1/COL5A1/COL1A1/COL1A2/ACTA2/IGFBP3/CXCL12/APLP1/COL8A2/IL15/FGF2/SLIT3/COL4A2/P3H1/TGM2/GADD45A/BDNF/GPX7/PCOLCE/COL6A3/DCN/ELN/PLAUR/FERMT2/MMP14/COL5A3/PLOD1/ABI3BP/COL11A1/DST/LAMC1/FLNA/TAGLN/TGFBR3/MMP2/FN1/TPM2/NT5E/LOX/SERPINE2/LOXL1/COLGALT1/COL3A1/EMP3/DAB2",NA
"HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS","36","0.5849219682196556","2.198632083986501","0.0000018251862327081474336","0.000009374848377449248544","0.0000038154150293965682483","4197","tags=58%, list=22%, signal=46%","STC1/MSX1/TIMP1/FGFR1/NRP1/VCAN/SPP1/FSTL1/THBD/PDGFA/PRG2/KCNJ8/ITGAV/CCND2/OLR1/PTK2/LPL/COL3A1/VTN/LUM/COL5A2","0.6435518361507222"
"HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM","157","-0.2999557831096122","-2.116172963931144","0.0000000238139347432970500","0.000000170666532326962207","0.0000000694585796205120329","2801","tags=34%, list=15%, signal=29%","SDHD/MDH2/HSD17B4/D2HGDH/S100A10/MIX23/GPD1/HCCS/HIBCH/FH/ACAT2/HMGCS1/NSDHL/ACSM3/MGLL/ACO2/ACADM/GPD2/CBR1/UGDH/ACSL5/ACAA1/PPARA/AQP7/DHCR24/ECI2/CD1D/HSD17B11/MAOA/CA2/ECHS1/FABP2/ALDH3A1/FABP1/CA4/ACOX1/HMGCS2/GSTZ1/SLC22A5/HMGCL/PDHA1/SUCLG2/DECR1/ACAA2/SUCLG1/ADH1C/HADH/SDHA/IDH1/EHHADH/RETSAT/ACADS/CPT2","0.7337619883564803"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","199","0.4403570978025063","2.090228669250869","0.0000000001000000000000000","0.000000001433333333333333","0.0000000005833439989589514","4582","tags=48%, list=24%, signal=37%","PPP1R15A/ZFP36/CCN1/MAFF/IL6/SLC2A3/PIM1/JUN/BHLHE40/DUSP1/KLF6/NFIL3/DDIT3/FOS/PFKFB3/PNRC1/FOSL2/CCN2/STC1/SERPINE1/HAS1/IER3/TIPARP/ERRFI1/SDC4/ACKR3/AKAP12/TGFB3/JMJD6/CDKN1A/CSRP2/WSB1/PDGFB/MYH9/TNFAIP3/CHST3/TGFBI/CDKN1C/ANGPTL4/BNIP3L/ENO2/RORA/GPC1/SRPX/IDS/STC2/MT2A/BGN/KLF7/SDC2/DTNA/CITED2/VLDLR/TMEM45A/COL5A1/IGFBP3/PFKP/NR3C1/RRAGD/KIF5A/RBPJ/TGM2/FOXO3/ETS1/PDK3/IRS2/BTG1/CAVIN1/DCN/PLAUR/SDC3/PHKG1/PPP1R3C/DPYSL4/P4HA1/SAP30/ADM/NDST2/ALDOC/HDLBP/LOX/GPC3/CAVIN3/PPFIA4/PYGM/ATP7A/PAM/GPC4/NDST1/PGM2/P4HA2/TES/GAA/INHA/ZNF292",NA
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","144","0.4353702848031965","2.011159222536844","0.0000000084491964596961423","0.000000072663089553386820","0.0000000295727283047337666","5615","tags=58%, list=29%, signal=42%","CCN1/BHLHE40/DUSP1/DLC1/SERPINE1/RND3/SCHIP1/GJA1/NRP1/MYC/FYN/PDGFRB/PMP22/MAP1B/LTBP1/ITGB3/PLPP3/SDC2/PRKCE/AMPH/CITED2/RGS4/FHL2/FBLN5/MMP16/VLDLR/COL1A1/COL1A2/NR3C1/PTGFR/YTHDC1/TENT4A/SYNE1/NFIB/PDLIM5/GRK5/BDNF/TGFBR2/LPAR1/TFPI/IRS1/COL11A1/LAMC1/AKT3/IGF1R/TGFBR3/SPOP/PRDM2/ADGRL2/BMPR1A/EFEMP1/MAGI2/COL3A1/RBPMS/DAB2/ATRX/PHF3/MGMT/ATXN1/CDON/PTPRM/SCAF8/NIPBL/COL5A2/SMAD3/PIAS3/KIT/DYRK1A/MTA1/CELF2/NOTCH2/APBB2/TJP1/ATP2B4/IGFBP5/PIK3R3/PTEN/KCNMA1/CDC42BPA/PEX14/PRKCA/ABCC1/CAV1/ZMIZ1","0.7477396631498854"
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS","200","0.4191004429154859","1.987382312997619","0.0000000002753084312514338","0.000000002959565635952913","0.0000000012044964092499520","5792","tags=56%, list=30%, signal=39%","HBEGF/BHLHE40/GADD45B/IFRD1/SPHK1/CNN3/CDKN1A/CRYAB/MEF2D/SCHIP1/PTP4A3/KIFC3/SOD3/TNNT3/CLU/PTGIS/MEF2C/MYH9/SPARC/MEF2A/SPTAN1/AEBP1/IGFBP7/FXYD1/STC2/SGCD/COL6A2/RIT1/EFS/DTNA/ITGA7/MYL3/CDH13/EIF4A2/TGFB1/ITGB1/IGF1/COL1A1/IGFBP3/LPIN1/NOS1/FGF2/COL4A2/SGCA/HDAC5/SLN/FABP3/GABARAPL2/COL6A3/COL15A1/AKT2/WWTR1/PKIA/SMTN/DES/MYH3/PDLIM7/DENND2B/HSPB2/GSN/PRNP/TAGLN/HSPB8/MRAS/PPP1R3C/DMPK/SH3BGR/CKMT2/CTF1/RYR1/NCAM1/TPM2/CASQ1/COX7A1/CAMK2B/SIRT2/FHL1/PPFIA4/COL3A1/PYGM/SSPN/DMD/MYOM2/ACTN3/HRC/CASQ2/SPEG/CACNA1H/TEAD4/ACTN2/LDB3/GAA/GNAO1/NAV2/RB1/SORBS1/REEP1/TSC2/MYOM1/ACSL1/MYL6B/PSEN2/MYLK/TPD52L1/SGCG/MYH11/PFKM/ITGB5/BIN1/SORBS3/SVIL","0.8140358378479079"
"HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING","54","0.4909143408406411","1.985831227983465","0.0000359107345856001053896","0.000128680132265067057300","0.0000523707787967937052798","5055","tags=56%, list=26%, signal=41%","PPP1R15A/JUNB/THBS1/SERPINE1/SKIL/UBE2D3/PMEPA1/CDKN1C/CDK9/SKI/TGFBR1/KLF10/BMPR2/TGFB1/SMURF2/RAB31/NCOR2/SMURF1/WWTR1/ACVR1/SPTBN1/BMPR1A/MAP3K7/ARID4B/RHOA/SMAD3/CTNNB1/ENG/TJP1/FNTA","0.5573322387586460"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","199","0.3872750017453255","1.838265615728319","0.0000001320652047406665307","0.000000811257686264094493","0.0000003301690485289417267","3797","tags=38%, list=20%, signal=31%","MAFF/RGS16/SLC2A3/PIM1/BHLHE40/KLF6/NFIL3/MAP3K8/GADD45B/PHLDA1/RHOB/GABARAPL1/NFKBIZ/MAPKAPK2/IFITM3/IL4R/NRP1/MYC/IL3RA/F2RL2/SPP1/TRAF1/IKZF4/AHR/SELP/PENK/CDKN1C/SWAP70/CD44/TNFRSF1B/CD83/ADAM19/SYT11/RORA/ALCAM/DENND5A/CSF1/FGL2/BATF3/PTH1R/ITIH5/BMPR2/LRRC8C/ITGAV/APLP1/RRAGD/TGM2/CCND2/GPR83/CD81/DRC1/COL6A1/PRAF2/HOPX/RNH1/EMP1/SOCS2/GPX4/POU2F1/SNX9/PRNP/IGF1R/TIAM1/EEF1AKMT1/P4HA1/FLT3LG/PLPP1/MAP6/NT5E/AGER/SPRY4/GUCY1B1/PLEC/TWSG1/GLIPR2/COCH","0.6901324587967956"
"HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING","36","0.4847777362156289","1.822205255326927","0.0012185589182432167171949","0.003493202232297221328239","0.0014216780646701837088897","4382","tags=53%, list=23%, signal=41%","THY1/NRP1/DPYSL2/PML/CRMP1/MYH9/TLE3/HEY2/L1CAM/SLIT1/VLDLR/NRCAM/HEY1/NF1/RTN1/OPHN1/TLE1/SCG2/LDB1","0.4550598673872295"
