"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"KEGG_RIBOSOME","KEGG_RIBOSOME","87","-0.7975222310386203","-3.720668052289915","0.0000000001000000000000000","0.000000003100000000000000","0.000000001783332816817723","2221","tags=78%, list=13%, signal=69%","RPS19/RPL17/RPL14/RPL4/RPL9/RPL3L/RPL26L1/RPL23/RPL26/RPL38/RPL11/RPS27A/RPS7/RPL31/RPL27A/RPS9/RPS29/RPL7/RPS13/RPL5/RPS16/RPS6/RPL29/RPL35/RPL32/RPL36/RPS15A/RPL13A/RPL30/UBA52/RPS4X/RPL27/RPS5/RPL10A/RPLP1/FAU/RPS8/RPL28/RPL19/RPS12/RPSA/RPS27/RPL12/RPL15/RPL3/RPL10/RPL37A/RPL41/RPS15/RPL18/RPL21/RPLP2/RPL37/RPS21/RPS11/RPL18A/RPL8/RPS10/RPS3/RPLP0/RPL7A/RPS18/RPL36A/RPL39/RPL23A/RPS28/RPS2/RPL13",NA
"KEGG_OXIDATIVE_PHOSPHORYLATION","KEGG_OXIDATIVE_PHOSPHORYLATION","125","-0.5512496611292242","-2.774671073822761","0.0000000001000000000000000","0.000000003100000000000000","0.000000001783332816817723","3795","tags=53%, list=22%, signal=42%","ATP6V1H/ATP6V0E1/ATP6V1B1/NDUFB4/ATP5MF/COX6C/NDUFB2/ATP5F1B/NDUFS7/NDUFA9/COX15/UQCR11/ATP6V1F/ATP5MC3/ATP6V0B/SDHB/COXFA4/NDUFA3/COX6B1/COX5A/ATP5MG/ATP5MC1/NDUFA11/MT-ND2/NDUFS5/MT-ND5/ATP5F1E/NDUFB7/NDUFA7/UQCRQ/NDUFAB1/NDUFB9/MT-CO3/MT-CO1/SDHA/MT-ND3/MT-ND4/ATP5F1D/UQCRC2/NDUFS3/NDUFA10/NDUFB8/NDUFA6/MT-ATP6/MT-CYB/NDUFA8/COX7B/COX5B/ATP6V0A1/ATP6V0D1/NDUFS8/MT-CO2/COX8A/UQCR10/MT-ND4L/ATP6V0C/ATP5MC2/MT-ND1/NDUFB10/CYC1/NDUFS6/ATP6AP1/NDUFV1/COX6A1/UQCRC1/COX4I1",NA
"KEGG_PARKINSONS_DISEASE","KEGG_PARKINSONS_DISEASE","122","-0.5076502043736566","-2.552044453274460","0.0000000001000000000000000","0.000000003100000000000000","0.000000001783332816817723","3460","tags=48%, list=20%, signal=39%","PARK7/COX6C/NDUFB2/ATP5F1B/NDUFS7/NDUFA9/PRKN/UQCR11/ATP5MC3/UBB/SDHB/UBA1/COXFA4/NDUFA3/COX6B1/COX5A/ATP5MC1/MT-ND2/NDUFS5/SLC25A5/MT-ND5/ATP5F1E/NDUFB7/NDUFA7/UQCRQ/NDUFAB1/NDUFB9/MT-CO3/MT-CO1/PINK1/SDHA/MT-ND3/MT-ND4/ATP5F1D/UQCRC2/NDUFS3/NDUFA10/NDUFB8/NDUFA6/MT-ATP6/MT-CYB/NDUFA8/COX7B/COX5B/NDUFS8/MT-CO2/COX8A/UQCR10/MT-ND4L/ATP5MC2/MT-ND1/NDUFB10/CYC1/NDUFS6/NDUFV1/COX6A1/UQCRC1/SLC25A6/COX4I1",NA
"KEGG_HEMATOPOIETIC_CELL_LINEAGE","KEGG_HEMATOPOIETIC_CELL_LINEAGE","82","0.6142206565720698","2.487976507741344","0.0000000001000000000000000","0.000000003100000000000000","0.000000001783332816817723","4611","tags=65%, list=26%, signal=48%","IL6/CD55/IL1A/IL7R/CD1B/ITGA1/IL1B/IL1R1/ITGA5/CD3G/CD7/ITGA2/CSF3/CD1E/CD3E/CD2/KITLG/IL1R2/ITGA4/CD3D/CD44/TNF/IL11/HLA-DRA/IL7/IL2RA/ITGA2B/GP9/CSF1/CR2/CD37/IL5RA/KIT/CD59/CD8A/FLT3LG/CD4/HLA-DRB5/TFRC/IL9R/FLT3/CR1/CD1A/MS4A1/CD22/ITGB3/CD1C/HLA-DRB1/CD19/FCER2/IL4R/CD5/CD36",NA
"KEGG_RNA_POLYMERASE","KEGG_RNA_POLYMERASE","28","-0.6576194162102244","-2.344781295663839","0.0000022829176406319770251","0.000035385223429795641559","0.000020356009733155470411","2711","tags=61%, list=16%, signal=51%","POLR3C/POLR1A/POLR2J2/POLR1E/POLR1B/POLR1H/POLR2D/POLR3K/POLR2F/POLR1C/POLR2C/POLR2L/POLR3B/POLR3H/POLR2G/POLR2H/POLR2I","0.6272567397185284"
"KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION","KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION","239","0.5088118736915579","2.317174791236156","0.0000000001000000000000000","0.000000003100000000000000","0.000000001783332816817723","3895","tags=46%, list=22%, signal=36%","LIF/CXCL3/CXCL2/IL20/BMP2/CXCL1/IL6/CLCF1/FAS/IL1A/IL7R/TNFRSF21/CXCL8/OSM/CXCR4/IL15/IL1B/CCR7/VEGFA/TSLP/INHBA/IL13/IL1R1/IL2/RELT/IL6ST/TNFRSF11B/TNFRSF12A/TNFSF8/CCL5/TNFRSF10B/ACVR1/IL2RB/EGFR/TNFRSF9/CXCL13/CSF3/CCL20/TNFSF18/CCR4/TNFRSF10A/IL24/CCR3/IFNGR1/KITLG/CCL4/PDGFA/IL10RA/IL1R2/IL18RAP/IL13RA1/CCR8/PDGFB/TNF/IL11/CCL1/BMPR2/IL22RA2/IL7/IL2RA/LTB/TNFRSF13B/CXCR6/IL12B/CXCL10/IL12RB2/IL18R1/CD40LG/CCR9/TNFRSF1A/LIFR/IL19/TGFBR1/CSF2RB/IL1RAP/TNFRSF13C/IL21R/EDA2R/CSF1/CD70/HGF/IL5RA/CXCL11/KIT/XCL1/IL12RB1/XCR1/CXCL12/TNFSF9/CCR6/FLT3LG/OSMR/CXCL9/CCL18/CCL19/IL9R/FLT3/TNFRSF8/CCL28/TNFRSF11A/CCL22/PDGFRA/TNFSF4/CCL25/IL18/IL12A/PDGFRB/CXCL6/MET/XCL2",NA
"KEGG_HUNTINGTONS_DISEASE","KEGG_HUNTINGTONS_DISEASE","171","-0.4248209802389011","-2.230411047284164","0.0000000002011110424498469","0.000000005343807699381646","0.000000003074125044216292","3474","tags=42%, list=20%, signal=34%","IFT57/COX6C/AP2S1/TBPL2/NDUFB2/ATP5F1B/TBP/NDUFS7/NDUFA9/DNAL4/UQCR11/ATP5MC3/CREB3L4/SDHB/COXFA4/NDUFA3/COX6B1/COX5A/ATP5MC1/POLR2J2/NDUFS5/SLC25A5/ATP5F1E/NDUFB7/NDUFA7/AP2A2/CREBBP/PLCB4/UQCRQ/NDUFAB1/NDUFB9/MT-CO3/MT-CO1/SDHA/CREB3L3/POLR2D/ATP5F1D/GPX1/UQCRC2/NDUFS3/NDUFA10/NDUFB8/NDUFA6/TAF4/MT-ATP6/MT-CYB/POLR2F/DNAH1/AP2M1/NDUFA8/COX7B/CLTA/POLR2C/COX5B/POLR2L/NDUFS8/MT-CO2/COX8A/UQCR10/POLR2G/ATP5MC2/NDUFB10/POLR2H/POLR2I/CYC1/NDUFS6/NDUFV1/COX6A1/DNAH3/UQCRC1/SLC25A6/COX4I1","0.8266573011783021"
"KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION","45","0.6119088751816113","2.197498545413888","0.0000047142570635455651425","0.000058456787587965010138","0.000033628357313342248142","5648","tags=80%, list=32%, signal=54%","IL6/CXCR4/IL15/ICOS/IL2/CD28/MAP3K14/CD80/HLA-DOA/ITGA4/HLA-DRA/HLA-DMB/TNFRSF13B/CD40LG/CCR9/HLA-DQA1/TNFRSF13C/CD86/HLA-DMA/CXCL12/HLA-DPA1/HLA-DRB5/CCL28/CCL25/HLA-DRB1/IL15RA/PIGR/HLA-DOB/HLA-DPB1/IL10/TNFRSF17/LTBR/TNFSF13B/HLA-DQB1/AICDA/CD40","0.6105268783859310"
"KEGG_GRAFT_VERSUS_HOST_DISEASE","KEGG_GRAFT_VERSUS_HOST_DISEASE","36","0.6345034002516181","2.173975686092257","0.0000034143689857612534092","0.000047588527802645196009","0.000027376188172419283444","3188","tags=56%, list=18%, signal=45%","IL6/FAS/IL1A/IL1B/IL2/KLRC1/CD28/CD80/HLA-DOA/TNF/HLA-DRA/HLA-DMB/KLRD1/HLA-DQA1/CD86/HLA-DMA/KIR2DL1/HLA-DPA1/HLA-DRB5/KIR3DL2","0.6272567397185284"
"KEGG_JAK_STAT_SIGNALING_PATHWAY","KEGG_JAK_STAT_SIGNALING_PATHWAY","132","0.5009833280310345","2.161165421043527","0.0000000202489822060061410","0.000000418478965590793599","0.000000240737829834192546","4046","tags=47%, list=23%, signal=36%","SOCS3/LIF/IL20/IL6/CLCF1/IL7R/PIM1/OSM/IL15/TSLP/IL13/SOCS2/IL2/IL6ST/JAK1/IL2RB/SOCS4/JAK2/CSF3/IL24/IFNGR1/PTPN11/PIAS1/STAT4/IL10RA/SPRY1/SPRY4/IL13RA1/SPRED1/IL11/CBL/IL22RA2/IL7/IL2RA/PIK3R3/STAT1/IL12B/IL12RB2/SOS1/LIFR/IL19/CSF2RB/IL21R/PIAS2/IL5RA/PIK3CG/PIK3R5/IL12RB1/CBLB/OSMR/PIK3CA/SPRED2/IL9R/STAM2/GRB2/STAT3/IL13RA2/STAM/IL12A/IFNAR1/IL15RA/SOCS1","0.7337619883564803"
