"Cancer","Normal","Tumor"
"ACC","0","79"
"BLCA","19","409"
"BRCA","113","1113"
"CESC","3","306"
"CHOL","9","35"
"COAD","41","473"
"DLBC","0","48"
"ESCA","13","185"
"GBM","5","169"
"HNSC","44","522"
"KICH","25","66"
"KIRC","72","538"
"KIRP","32","291"
"LAML","0","151"
"LGG","0","534"
"LIHC","50","374"
"LUAD","59","530"
"LUSC","51","501"
"MESO","0","87"
"OV","0","429"
"PAAD","4","179"
"PCPG","3","184"
"PRAD","52","502"
"READ","10","167"
"SARC","2","263"
"SKCM","1","472"
"STAD","36","412"
"TGCT","0","156"
"THCA","59","513"
"THYM","2","120"
"UCEC","35","550"
"UCS","0","57"
"UVM","0","80"
