"Feature_ID","GeneID","Symbol","Ensembl","Entrez","Biotype","Length","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000288825","ENSG00000288825","H2AC18","ENSG00000288825","8337","protein_coding",533,1.66743160857509,3.15137193319923,15.4240608187623,9.81570231197519e-09,8.22651130906135e-05,9.40713447813722
"ENSG00000288859","ENSG00000288859","H2AC19","ENSG00000288859","723790","protein_coding",592,1.67437334279639,3.14460555230009,15.3054284629255,1.06388765716927e-08,8.22651130906135e-05,9.34632267139597
"ENSG00000123384","ENSG00000123384","LRP1","ENSG00000123384","4035","protein_coding",84879,0.663252759412039,6.57808695671412,13.6071681735664,3.60349707420238e-08,0.000185760274175133,9.43067976369578
"ENSG00000160179","ENSG00000160179","ABCG1","ENSG00000160179","9619","protein_coding",104701,1.74751059779171,3.59443546184536,13.0017721118082,5.7560051660573e-08,0.00019331955127679,8.40424046220483
"ENSG00000136450","ENSG00000136450","SRSF1","ENSG00000136450","6426","protein_coding",6428,-0.5958197295454,7.66522842136561,-12.8978110554539,6.2502279753246e-08,0.00019331955127679,8.89379754650939
"ENSG00000163817","ENSG00000163817","SLC6A20","ENSG00000163817","54716","protein_coding",41143,0.644130550071677,5.9745889367468,12.433337824511,9.09733175881648e-08,0.000234483726083495,8.51887476732309
"ENSG00000228691","ENSG00000228691","NEU1","ENSG00000228691","4758","protein_coding",5248,0.780513460337967,5.55286224295796,12.1207506359372,1.17942025774457e-07,0.000260567632657426,8.25421724796611
"ENSG00000166311","ENSG00000166311","SMPD1","ENSG00000166311","6609","protein_coding",4585,0.694881988901717,5.45611387806415,11.7721250851912,1.58656441833206e-07,0.000286538322773579,7.96422263532507
"ENSG00000143815","ENSG00000143815","LBR","ENSG00000143815","3930","protein_coding",28026,-0.527188527459076,6.5524344998975,-11.7144692066238,1.66753631100046e-07,0.000286538322773579,7.92182086101973
"ENSG00000277753","ENSG00000277753","MUC20","ENSG00000277753","200958","protein_coding",19711,0.529583455470481,6.58334144439766,11.4111503485401,2.17439469294523e-07,0.000336270139263979,7.65637184910198
"ENSG00000130513","ENSG00000130513","GDF15","ENSG00000130513","9518","protein_coding",14446,0.71687729325215,6.56653004816228,10.9321546738753,3.34828614655645e-07,0.000444012744800066,7.22416243647414
"ENSG00000128050","ENSG00000128050","PAICS","ENSG00000128050","10606","protein_coding",29521,-0.508405053038798,7.99780320059033,-10.86825489945,3.55107042170113e-07,0.000444012744800066,7.16148148927049
"ENSG00000163435","ENSG00000163435","ELF3","ENSG00000163435","1999","protein_coding",9239,0.727571188869335,6.32566874976123,10.7428111820748,3.9889847216338e-07,0.000444012744800066,7.05249429068273
"ENSG00000276358","ENSG00000276358","PLEKHM1","ENSG00000276358","9842","protein_coding",54500,0.472758034913657,7.58212853494689,10.7346294372809,4.01951401694208e-07,0.000444012744800066,7.03217810930628
"ENSG00000077312","ENSG00000077312","SNRPA","ENSG00000077312","6626","protein_coding",14809,-0.659840471255574,5.71683700219504,-10.4209566514626,5.40434952451301e-07,0.000520479014340385,6.76219309644506
